,회사명,거래소코드,회계년도,이자보상배율,count,부실기업
0,(주)CMG제약,58820,11-Dec,3.53,0.0,
1,(주)CMG제약,58820,12-Dec,-7.75,0.0,
2,(주)CMG제약,58820,13-Dec,0.7,1.0,1.0
3,(주)CMG제약,58820,14-Dec,3.6,2.0,
4,(주)CMG제약,58820,15-Dec,-32.22,0.0,
5,(주)CMG제약,58820,16-Dec,0.0,1.0,0.0
6,(주)CMG제약,58820,17-Dec,0.0,0.0,0.0
7,(주)CMG제약,58820,18-Dec,0.0,0.0,0.0
8,(주)CMG제약,58820,19-Dec,303.0,0.0,
9,(주)DB하이텍,990,11-Dec,-0.75,0.0,
10,(주)DB하이텍,990,12-Dec,-0.31,1.0,1.0
11,(주)DB하이텍,990,13-Dec,-0.16,2.0,1.0
12,(주)DB하이텍,990,14-Dec,0.67,3.0,1.0
13,(주)DB하이텍,990,15-Dec,2.5,4.0,
14,(주)DB하이텍,990,16-Dec,4.41,0.0,
15,(주)DB하이텍,990,17-Dec,6.05,0.0,
16,(주)DB하이텍,990,18-Dec,6.77,0.0,
17,(주)DB하이텍,990,19-Dec,13.44,0.0,
18,(주)ES큐브,50120,11-Dec,-245.99,0.0,
19,(주)ES큐브,50120,12-Dec,1.72,1.0,
20,(주)ES큐브,50120,13-Dec,-37.44,0.0,
21,(주)ES큐브,50120,14-Dec,22.2,1.0,
22,(주)ES큐브,50120,15-Dec,-11.86,0.0,
23,(주)ES큐브,50120,16-Dec,8.98,1.0,
24,(주)ES큐브,50120,17-Dec,2.86,0.0,
25,(주)ES큐브,50120,18-Dec,-0.82,0.0,
26,(주)ES큐브,50120,19-Dec,-0.68,1.0,1.0
27,(주)HJ중공업,97230,11-Dec,0.55,0.0,
28,(주)HJ중공업,97230,12-Dec,0.27,1.0,1.0
29,(주)HJ중공업,97230,13-Dec,-0.4,2.0,1.0
30,(주)HJ중공업,97230,14-Dec,-0.88,3.0,1.0
31,(주)HJ중공업,97230,15-Dec,-0.5,4.0,1.0
32,(주)HJ중공업,97230,16-Dec,-0.58,5.0,1.0
33,(주)HJ중공업,97230,17-Dec,-1.08,6.0,1.0
34,(주)HJ중공업,97230,18-Dec,0.62,7.0,1.0
35,(주)HJ중공업,97230,19-Dec,0.69,8.0,1.0
36,(주)MH에탄올,23150,11-Dec,0.12,0.0,
37,(주)MH에탄올,23150,12-Dec,1.08,1.0,
38,(주)MH에탄올,23150,13-Dec,0.87,0.0,
39,(주)MH에탄올,23150,14-Dec,5.62,1.0,
40,(주)MH에탄올,23150,15-Dec,12.69,0.0,
41,(주)MH에탄올,23150,16-Dec,29.41,0.0,
42,(주)MH에탄올,23150,17-Dec,3.46,0.0,
43,(주)MH에탄올,23150,18-Dec,0.1,0.0,
44,(주)MH에탄올,23150,19-Dec,0.73,1.0,1.0
45,(주)SH에너지화학,2360,11-Dec,2.82,0.0,
46,(주)SH에너지화학,2360,12-Dec,1.72,0.0,
47,(주)SH에너지화학,2360,13-Dec,5.3,0.0,
48,(주)SH에너지화학,2360,14-Dec,26.68,0.0,
49,(주)SH에너지화학,2360,15-Dec,84.87,0.0,
50,(주)SH에너지화학,2360,16-Dec,210.93,0.0,
51,(주)SH에너지화학,2360,17-Dec,162.17,0.0,
52,(주)SH에너지화학,2360,18-Dec,22.72,0.0,
53,(주)SH에너지화학,2360,19-Dec,-24.12,0.0,
54,(주)SIMPAC,9160,11-Dec,20.93,0.0,
55,(주)SIMPAC,9160,12-Dec,15.51,0.0,
56,(주)SIMPAC,9160,13-Dec,16.58,0.0,
57,(주)SIMPAC,9160,14-Dec,8.48,0.0,
58,(주)SIMPAC,9160,15-Dec,14.66,0.0,
59,(주)SIMPAC,9160,16-Dec,16.75,0.0,
60,(주)SIMPAC,9160,17-Dec,10.1,0.0,
61,(주)SIMPAC,9160,18-Dec,4.07,0.0,
62,(주)SIMPAC,9160,19-Dec,3.47,0.0,
63,(주)SNT에너지,100840,11-Dec,-9.21,0.0,
64,(주)SNT에너지,100840,12-Dec,77.44,1.0,
65,(주)SNT에너지,100840,13-Dec,50.81,0.0,
66,(주)SNT에너지,100840,14-Dec,41.09,0.0,
67,(주)SNT에너지,100840,15-Dec,359.1,0.0,
68,(주)SNT에너지,100840,16-Dec,0.0,0.0,0.0
69,(주)SNT에너지,100840,17-Dec,0.0,0.0,0.0
70,(주)SNT에너지,100840,18-Dec,0.0,0.0,0.0
71,(주)SNT에너지,100840,19-Dec,1771.27,0.0,
72,(주)SNT홀딩스,36530,11-Dec,16.87,0.0,
73,(주)SNT홀딩스,36530,12-Dec,20.28,0.0,
74,(주)SNT홀딩스,36530,13-Dec,30.38,0.0,
75,(주)SNT홀딩스,36530,14-Dec,34.38,0.0,
76,(주)SNT홀딩스,36530,15-Dec,218.55,0.0,
77,(주)SNT홀딩스,36530,16-Dec,286.46,0.0,
78,(주)SNT홀딩스,36530,17-Dec,178.66,0.0,
79,(주)SNT홀딩스,36530,18-Dec,59.79,0.0,
80,(주)SNT홀딩스,36530,19-Dec,184.05,0.0,
81,(주)ST,11810,11-Dec,1.66,0.0,
82,(주)ST,11810,12-Dec,-3.12,0.0,
83,(주)ST,11810,13-Dec,-10.71,1.0,1.0
84,(주)ST,11810,14-Dec,0.76,2.0,1.0
85,(주)ST,11810,15-Dec,-0.84,3.0,1.0
86,(주)ST,11810,16-Dec,-0.91,4.0,1.0
87,(주)ST,11810,17-Dec,2.02,5.0,
88,(주)ST,11810,18-Dec,-1.12,0.0,
89,(주)ST,11810,19-Dec,0.11,1.0,1.0
90,(주)TCC스틸,2710,11-Dec,1.41,0.0,
91,(주)TCC스틸,2710,12-Dec,0.57,0.0,
92,(주)TCC스틸,2710,13-Dec,-0.59,1.0,1.0
93,(주)TCC스틸,2710,14-Dec,0.02,2.0,1.0
94,(주)TCC스틸,2710,15-Dec,2.17,3.0,
95,(주)TCC스틸,2710,16-Dec,2.53,0.0,
96,(주)TCC스틸,2710,17-Dec,1.55,0.0,
97,(주)TCC스틸,2710,18-Dec,3.3,0.0,
98,(주)TCC스틸,2710,19-Dec,2.27,0.0,
99,(주)가비아,79940,11-Dec,22.28,0.0,
100,(주)가비아,79940,12-Dec,15.43,0.0,
101,(주)가비아,79940,13-Dec,15.81,0.0,
102,(주)가비아,79940,14-Dec,24.59,0.0,
103,(주)가비아,79940,15-Dec,64.83,0.0,
104,(주)가비아,79940,16-Dec,83.64,0.0,
105,(주)가비아,79940,17-Dec,53.72,0.0,
106,(주)가비아,79940,18-Dec,62.3,0.0,
107,(주)가비아,79940,19-Dec,34.25,0.0,
108,(주)강스템바이오텍,217730,15-Dec,-5.41,0.0,
109,(주)강스템바이오텍,217730,16-Dec,-18.89,1.0,1.0
110,(주)강스템바이오텍,217730,17-Dec,-8.15,2.0,1.0
111,(주)강스템바이오텍,217730,18-Dec,-12.31,3.0,1.0
112,(주)강스템바이오텍,217730,19-Dec,-21.5,4.0,1.0
113,(주)강원랜드,35250,11-Dec,1142.61,0.0,
114,(주)강원랜드,35250,12-Dec,565.68,0.0,
115,(주)강원랜드,35250,13-Dec,1421.81,0.0,
116,(주)강원랜드,35250,14-Dec,2073.72,0.0,
117,(주)강원랜드,35250,15-Dec,2623.81,0.0,
118,(주)강원랜드,35250,16-Dec,836.02,0.0,
119,(주)강원랜드,35250,17-Dec,2241.82,0.0,
120,(주)강원랜드,35250,18-Dec,1834.66,0.0,
121,(주)강원랜드,35250,19-Dec,255.56,0.0,
122,(주)강원에너지,114190,11-Nov,393.9,0.0,
123,(주)강원에너지,114190,12-Dec,58.37,0.0,
124,(주)강원에너지,114190,13-Dec,18.11,0.0,
125,(주)강원에너지,114190,14-Dec,39.01,0.0,
126,(주)강원에너지,114190,15-Dec,187.51,0.0,
127,(주)강원에너지,114190,16-Dec,-241.54,0.0,
128,(주)강원에너지,114190,17-Dec,-26.56,1.0,1.0
129,(주)강원에너지,114190,18-Dec,0.2,2.0,1.0
130,(주)강원에너지,114190,19-Dec,-8.38,3.0,1.0
131,(주)갤럭시아에스엠,11420,11-Dec,6.31,0.0,
132,(주)갤럭시아에스엠,11420,12-Dec,3.79,0.0,
133,(주)갤럭시아에스엠,11420,13-Dec,1.9,0.0,
134,(주)갤럭시아에스엠,11420,14-Dec,-0.88,0.0,
135,(주)갤럭시아에스엠,11420,15-Dec,5.69,1.0,
136,(주)갤럭시아에스엠,11420,16-Dec,-18.76,0.0,
137,(주)갤럭시아에스엠,11420,17-Dec,-35.52,1.0,1.0
138,(주)갤럭시아에스엠,11420,18-Dec,-157.86,2.0,1.0
139,(주)갤럭시아에스엠,11420,19-Dec,-8.95,3.0,1.0
140,(주)경농,2100,11-Dec,4.52,0.0,
141,(주)경농,2100,12-Dec,5.6,0.0,
142,(주)경농,2100,13-Dec,4.81,0.0,
143,(주)경농,2100,14-Dec,4.53,0.0,
144,(주)경농,2100,15-Dec,3.96,0.0,
145,(주)경농,2100,16-Dec,3.5,0.0,
146,(주)경농,2100,17-Dec,2.8,0.0,
147,(주)경농,2100,18-Dec,5.16,0.0,
148,(주)경농,2100,19-Dec,2.2,0.0,
149,(주)경동나비엔,9450,11-Dec,12.0,0.0,
150,(주)경동나비엔,9450,12-Dec,11.7,0.0,
151,(주)경동나비엔,9450,13-Dec,14.4,0.0,
152,(주)경동나비엔,9450,14-Dec,4.93,0.0,
153,(주)경동나비엔,9450,15-Dec,6.98,0.0,
154,(주)경동나비엔,9450,16-Dec,25.05,0.0,
155,(주)경동나비엔,9450,17-Dec,30.33,0.0,
156,(주)경동나비엔,9450,18-Dec,11.32,0.0,
157,(주)경동나비엔,9450,19-Dec,11.06,0.0,
158,(주)경동도시가스,267290,17-Dec,66.86,0.0,
159,(주)경동도시가스,267290,18-Dec,98.82,0.0,
160,(주)경동도시가스,267290,19-Dec,29.28,0.0,
161,(주)경동인베스트,12320,11-Dec,11.03,0.0,
162,(주)경동인베스트,12320,12-Dec,17.71,0.0,
163,(주)경동인베스트,12320,13-Dec,27.91,0.0,
164,(주)경동인베스트,12320,14-Dec,20.25,0.0,
165,(주)경동인베스트,12320,15-Dec,-4.35,0.0,
166,(주)경동인베스트,12320,16-Dec,7.92,1.0,
167,(주)경동인베스트,12320,17-Dec,9.05,0.0,
168,(주)경동인베스트,12320,18-Dec,10.67,0.0,
169,(주)경동인베스트,12320,19-Dec,5.29,0.0,
170,(주)경방,50,11-Dec,1.15,0.0,
171,(주)경방,50,12-Dec,0.36,0.0,
172,(주)경방,50,13-Dec,2.58,1.0,
173,(주)경방,50,14-Dec,2.47,0.0,
174,(주)경방,50,15-Dec,3.9,0.0,
175,(주)경방,50,16-Dec,5.54,0.0,
176,(주)경방,50,17-Dec,6.35,0.0,
177,(주)경방,50,18-Dec,5.13,0.0,
178,(주)경방,50,19-Dec,3.59,0.0,
179,(주)경보제약,214390,15-Dec,29.2,0.0,
180,(주)경보제약,214390,16-Dec,16.24,0.0,
181,(주)경보제약,214390,17-Dec,24.47,0.0,
182,(주)경보제약,214390,18-Dec,19.43,0.0,
183,(주)경보제약,214390,19-Dec,4.77,0.0,
184,(주)경인양행,12610,11-Dec,1.77,0.0,
185,(주)경인양행,12610,12-Dec,1.26,0.0,
186,(주)경인양행,12610,13-Dec,5.73,0.0,
187,(주)경인양행,12610,14-Dec,7.16,0.0,
188,(주)경인양행,12610,15-Dec,4.19,0.0,
189,(주)경인양행,12610,16-Dec,6.44,0.0,
190,(주)경인양행,12610,17-Dec,3.12,0.0,
191,(주)경인양행,12610,18-Dec,5.68,0.0,
192,(주)경인양행,12610,19-Dec,4.66,0.0,
193,(주)고려시멘트,198440,14-Dec,0.0,0.0,0.0
194,(주)고려시멘트,198440,15-Dec,0.0,0.0,0.0
195,(주)고려시멘트,198440,16-Dec,0.0,0.0,0.0
196,(주)고려시멘트,198440,17-Dec,16.79,0.0,
197,(주)고려시멘트,198440,18-Dec,9.2,0.0,
198,(주)고려시멘트,198440,19-Dec,-1.08,0.0,
199,(주)고영테크놀러지,98460,11-Dec,22785.6,0.0,
200,(주)고영테크놀러지,98460,12-Dec,1627.45,0.0,
201,(주)고영테크놀러지,98460,13-Dec,443.96,0.0,
202,(주)고영테크놀러지,98460,14-Dec,1673.12,0.0,
203,(주)고영테크놀러지,98460,15-Dec,2242.05,0.0,
204,(주)고영테크놀러지,98460,16-Dec,2001.96,0.0,
