,회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,매출액증가율,재고자산증가율,자기자본증가율,순이익증가율,정상영업이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,당좌자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,직원감소율여부
0,CMG제약,58820,11-Dec,3.53,1.98,-5.9,17.64,56.4,-1.43,-2.02,0,0,41.83,-8.5,-8.28,2.37,3.61,-5.58,0.66,6.42,2.45,1.77,11.95,0.97,2.01,1.25,1.55,0.86,200.97,165.03,15.1,51.41,9.08,-46.08,-24.07,-172.4,66.05,13.74,46.14,56.18,602.31,80.71,42.33,33.95,17.88,35.59,28.23,71.32,19.75,204.06,35.86,12.72,19.56,0
1,CMG제약,58820,12-Dec,-7.75,109.15,-4.12,207.08,-8.43,7.73,75.17,0,0,28.34,-40.97,-26.84,-9.96,-25.87,-15.78,0.39,5.71,1.85,1.71,7.83,0.66,0.93,0.52,0.57,0.42,693.49,649.98,68.81,80.77,30.58,-8.1,-12.71,-11.83,55.32,55.28,77.32,82.49,323.41,0.57,21.5,44.68,6.27,7.33,70.6,69.14,18.64,425.29,2.89,0.47,1.66,0
2,CMG제약,58820,13-Dec,0.7,-2.09,16.09,-18.89,25.51,56.29,55.1,0,0,38.7,1.45,0.74,1.4,3.88,0.52,0.36,5.39,2.07,2.03,6.2,0.51,1.26,0.48,0.52,0.42,694.71,610.74,394.63,14.11,2.53,-39.85,-13.51,-194.73,87.63,2.89,60.08,68.34,282.72,0,11.23,12.37,12.09,14.12,58.5,66.01,17.77,411.48,77.91,12.51,34.29,0
3,CMG제약,58820,14-Dec,3.6,3.86,74.3,-25.93,11.52,6.37,0.01,-46.64,-44.1,37.07,0.69,0.32,0.78,1.94,0.28,0.4,4.77,1.86,1.54,5.27,0.46,2.85,0.68,0.8,0.56,324.58,268.23,101.24,18.5,2.66,-17.73,-7.06,-104.12,84.39,3.15,40.28,48.74,285.31,0,17.79,15.61,17.36,25.09,33.72,113.9,32.6,354.43,37.8,12.16,31.04,1
4,CMG제약,58820,15-Dec,-32.22,-2.64,-5.37,-7.17,18.85,11.04,-4.48,0,0,36.26,-13.5,-7.62,-4.49,-9.51,-6.37,0.47,5.22,2.1,1.48,5.66,0.56,2.88,0.99,1.22,0.75,296.85,235.21,29,20.78,0.01,16.12,5.8,24988.82,82.8,0.01,36.82,46.47,254.69,0,18.91,17.2,20.77,31.32,30.82,114.25,30.43,362.77,24.21,7.63,15.96,0
5,CMG제약,58820,16-Dec,303,96.31,-5.14,199.84,21.92,17.2,116.01,0,0,40.36,5.24,2.34,2.07,5.25,2.06,0.39,5.56,2.66,1.9,6.26,0.45,3.36,0.63,0.71,0.54,862.15,792.17,23.52,9.76,0,29.03,8.69,0,91.1,0,65.22,70.98,219.41,0,9.04,8.9,8.12,9.18,62.75,105.51,24.03,693.62,62.31,9.48,31.9,0
6,CMG제약,58820,17-Dec,303,-1.27,-4.28,3.12,25.98,23.63,-3.13,64.07,-9.95,43.43,6.83,2.85,1.41,3.75,2.57,0.38,5.81,3.01,2.51,6.55,0.42,3.86,0.52,0.57,0.46,746.28,673.66,34.9,11.87,0,22.67,6.34,0,89.39,0,66.92,74.13,215.55,0,11.11,10.61,9.73,11.24,64.2,80.77,17.62,547.84,84.87,12.51,33.01,1
7,CMG제약,58820,18-Dec,303,4.39,6.71,0.18,20.05,8.45,6.16,113.94,64.75,45.6,12.16,6.01,2.29,5.15,5.42,0.45,6.05,3.08,2.98,8.93,0.49,4.53,0.61,0.68,0.55,957.86,856.94,158.5,10,0,13.63,2.84,0,90.91,0,63.65,71.14,414.65,0,8.17,9.09,10.54,11.76,63.71,0,0,0,106.25,14.73,33.79,0
8,CMG제약,58820,19-Dec,303,68.07,39.67,85.06,17.56,5.56,73.26,-49.69,1.4,49.34,5.2,2.15,1.7,4.44,1.99,0.38,6.65,3.12,2.83,13.81,0.41,5.21,0.51,0.55,0.47,1618.07,1520.84,199.55,6.71,0.15,15.35,3.16,647.74,93.71,0.16,73.62,78.33,468.79,45.27,5.17,6.29,6.01,6.41,73.49,0,0,0,114.6,9.9,32.47,0
9,DB하이텍,990,11-Dec,-0.75,-13.19,-7.89,-10.08,-10.94,-3.28,-22.6,0,0,16.62,-17.74,-27.74,-3.34,-7.81,-7.59,0.43,7.04,6.12,0.7,20.51,1.56,0.59,1.87,2.54,0.72,35.2,25.5,5.04,289.22,59,5.87,9.47,7.39,25.69,229.64,16.9,23.33,336.28,0,257.97,74.31,27.57,0,-42.95,284.94,107.56,461.22,29.75,18.17,39.45,0
