,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
0,CMG제약,58820,11-Dec,3.53,-7.75,0,,
1,CMG제약,58820,12-Dec,-7.75,0.7,1,,
2,CMG제약,58820,13-Dec,0.7,3.6,1,,
3,CMG제약,58820,14-Dec,3.6,-32.22,0,,
4,CMG제약,58820,15-Dec,-32.22,303,1,,
5,CMG제약,58820,16-Dec,303,303,0,,
6,CMG제약,58820,17-Dec,303,303,0,,
7,CMG제약,58820,18-Dec,303,303,0,,
8,CMG제약,58820,19-Dec,303,,0,,
9,DB하이텍,990,11-Dec,-0.75,-0.31,1,,
10,DB하이텍,990,12-Dec,-0.31,-0.16,1,,
11,DB하이텍,990,13-Dec,-0.16,0.67,1,,
12,DB하이텍,990,14-Dec,0.67,2.5,1,,
13,DB하이텍,990,15-Dec,2.5,4.41,0,,
14,DB하이텍,990,16-Dec,4.41,6.05,0,,
15,DB하이텍,990,17-Dec,6.05,6.77,0,,
16,DB하이텍,990,18-Dec,6.77,13.44,0,,
17,DB하이텍,990,19-Dec,13.44,,0,,
18,ES큐브,50120,11-Dec,-245.99,1.72,1,,
19,ES큐브,50120,12-Dec,1.72,-37.44,0,1,
20,ES큐브,50120,13-Dec,-37.44,22.2,1,,
21,ES큐브,50120,14-Dec,22.2,-11.86,0,,
22,ES큐브,50120,15-Dec,-11.86,8.98,1,,
23,ES큐브,50120,16-Dec,8.98,2.86,0,,
24,ES큐브,50120,17-Dec,2.86,-0.82,0,,
25,ES큐브,50120,18-Dec,-0.82,-0.68,1,,
26,ES큐브,50120,19-Dec,-0.68,,1,,
27,HJ중공업,97230,11-Dec,0.55,0.27,1,,
28,HJ중공업,97230,12-Dec,0.27,-0.4,1,,
29,HJ중공업,97230,13-Dec,-0.4,-0.88,1,,
30,HJ중공업,97230,14-Dec,-0.88,-0.5,1,,
31,HJ중공업,97230,15-Dec,-0.5,-0.58,1,,
32,HJ중공업,97230,16-Dec,-0.58,-1.08,1,,
33,HJ중공업,97230,17-Dec,-1.08,0.62,1,,
34,HJ중공업,97230,18-Dec,0.62,0.69,1,,
35,HJ중공업,97230,19-Dec,0.69,,1,,
36,MH에탄올,23150,11-Dec,0.12,1.08,1,,
37,MH에탄올,23150,12-Dec,1.08,0.87,0,1,
38,MH에탄올,23150,13-Dec,0.87,5.62,1,,
39,MH에탄올,23150,14-Dec,5.62,12.69,0,,
40,MH에탄올,23150,15-Dec,12.69,29.41,0,,
41,MH에탄올,23150,16-Dec,29.41,3.46,0,,
42,MH에탄올,23150,17-Dec,3.46,0.1,0,,
43,MH에탄올,23150,18-Dec,0.1,0.73,1,,
44,MH에탄올,23150,19-Dec,0.73,,1,,
45,SH에너지화학,2360,11-Dec,2.82,1.72,0,,
46,SH에너지화학,2360,12-Dec,1.72,5.3,0,,
47,SH에너지화학,2360,13-Dec,5.3,26.68,0,,
48,SH에너지화학,2360,14-Dec,26.68,84.87,0,,
49,SH에너지화학,2360,15-Dec,84.87,210.93,0,,
50,SH에너지화학,2360,16-Dec,210.93,162.17,0,,
51,SH에너지화학,2360,17-Dec,162.17,22.72,0,,
52,SH에너지화학,2360,18-Dec,22.72,-24.12,0,,
53,SH에너지화학,2360,19-Dec,-24.12,,1,,
54,SNT에너지,100840,11-Dec,-9.21,77.44,1,,
55,SNT에너지,100840,12-Dec,77.44,50.81,0,1,
56,SNT에너지,100840,13-Dec,50.81,41.09,0,,1
57,SNT에너지,100840,14-Dec,41.09,359.1,0,,
58,SNT에너지,100840,15-Dec,359.1,1771.27,0,,
59,SNT에너지,100840,16-Dec,1771.27,1771.27,0,,
60,SNT에너지,100840,17-Dec,1771.27,-9.21,0,,
61,SNT에너지,100840,18-Dec,-9.21,1771.27,1,,
62,SNT에너지,100840,19-Dec,1771.27,,0,,
63,STX,11810,11-Dec,1.66,-3.12,0,,
64,STX,11810,12-Dec,-3.12,-10.71,1,,
65,STX,11810,13-Dec,-10.71,0.76,1,,
66,STX,11810,14-Dec,0.76,-0.84,1,,
67,STX,11810,15-Dec,-0.84,-0.91,1,,
68,STX,11810,16-Dec,-0.91,2.02,1,,
69,STX,11810,17-Dec,2.02,-1.12,0,,
70,STX,11810,18-Dec,-1.12,0.11,1,,
71,STX,11810,19-Dec,0.11,,1,,
72,TCC스틸,2710,11-Dec,1.41,0.57,0,,
73,TCC스틸,2710,12-Dec,0.57,-0.59,1,,
74,TCC스틸,2710,13-Dec,-0.59,0.02,1,,
75,TCC스틸,2710,14-Dec,0.02,2.17,1,,
76,TCC스틸,2710,15-Dec,2.17,2.53,0,,
77,TCC스틸,2710,16-Dec,2.53,1.55,0,,
78,TCC스틸,2710,17-Dec,1.55,3.3,0,,
79,TCC스틸,2710,18-Dec,3.3,2.27,0,,
80,TCC스틸,2710,19-Dec,2.27,,0,,
81,강스템바이오텍,217730,15-Dec,-5.41,-18.89,1,,
82,강스템바이오텍,217730,16-Dec,-18.89,-8.15,1,,
83,강스템바이오텍,217730,17-Dec,-8.15,-12.31,1,,
84,강스템바이오텍,217730,18-Dec,-12.31,-21.5,1,,
85,강스템바이오텍,217730,19-Dec,-21.5,,1,,
86,강원에너지,114190,12-Dec,58.37,18.11,0,,
87,강원에너지,114190,13-Dec,18.11,39.01,0,,
88,강원에너지,114190,14-Dec,39.01,187.51,0,,
89,강원에너지,114190,15-Dec,187.51,-241.54,0,,
90,강원에너지,114190,16-Dec,-241.54,-26.56,1,,
91,강원에너지,114190,17-Dec,-26.56,0.2,1,,
92,강원에너지,114190,18-Dec,0.2,-8.38,1,,
93,강원에너지,114190,19-Dec,-8.38,,1,,
94,갤럭시아에스엠,11420,11-Dec,6.31,3.79,0,,
95,갤럭시아에스엠,11420,12-Dec,3.79,1.9,0,,
96,갤럭시아에스엠,11420,13-Dec,1.9,-0.88,0,,
97,갤럭시아에스엠,11420,14-Dec,-0.88,5.69,1,,
98,갤럭시아에스엠,11420,15-Dec,5.69,-18.76,0,1,
99,갤럭시아에스엠,11420,16-Dec,-18.76,-35.52,1,,
100,갤럭시아에스엠,11420,17-Dec,-35.52,-157.86,1,,
101,갤럭시아에스엠,11420,18-Dec,-157.86,-8.95,1,,
102,갤럭시아에스엠,11420,19-Dec,-8.95,,1,,
103,경동인베스트,12320,11-Dec,11.03,17.71,0,,
104,경동인베스트,12320,12-Dec,17.71,27.91,0,,
105,경동인베스트,12320,13-Dec,27.91,20.25,0,,
106,경동인베스트,12320,14-Dec,20.25,-4.35,0,,
107,경동인베스트,12320,15-Dec,-4.35,7.92,1,,
108,경동인베스트,12320,16-Dec,7.92,9.05,0,1,
109,경동인베스트,12320,17-Dec,9.05,10.67,0,,1
110,경동인베스트,12320,18-Dec,10.67,5.29,0,,
111,경동인베스트,12320,19-Dec,5.29,,0,,
112,경방,50,11-Dec,1.15,0.36,0,,
113,경방,50,12-Dec,0.36,2.58,1,,
114,경방,50,13-Dec,2.58,2.47,0,1,
115,경방,50,14-Dec,2.47,3.9,0,,1
116,경방,50,15-Dec,3.9,5.54,0,,
117,경방,50,16-Dec,5.54,6.35,0,,
118,경방,50,17-Dec,6.35,5.13,0,,
119,경방,50,18-Dec,5.13,3.59,0,,
120,경방,50,19-Dec,3.59,,0,,
121,골드앤에스,35290,11-Dec,1.13,-1.91,0,,
122,골드앤에스,35290,12-Dec,-1.91,-3.83,1,,
123,골드앤에스,35290,13-Dec,-3.83,-1.41,1,,
124,골드앤에스,35290,14-Dec,-1.41,1.99,1,,
125,골드앤에스,35290,15-Dec,1.99,2.42,0,,
126,골드앤에스,35290,16-Dec,2.42,-26.15,0,,
127,골드앤에스,35290,17-Dec,-26.15,-4.56,1,,
128,골드앤에스,35290,18-Dec,-4.56,-1.46,1,,
129,골드앤에스,35290,19-Dec,-1.46,,1,,
130,골드퍼시픽,38530,11-Dec,14.16,2.66,0,,
131,골드퍼시픽,38530,12-Dec,2.66,-11.34,0,,
132,골드퍼시픽,38530,13-Dec,-11.34,-4.33,1,,
133,골드퍼시픽,38530,14-Dec,-4.33,-9.59,1,,
134,골드퍼시픽,38530,15-Dec,-9.59,-17.43,1,,
135,골드퍼시픽,38530,16-Dec,-17.43,0.62,1,,
136,골드퍼시픽,38530,17-Dec,0.62,-0.68,1,,
137,골드퍼시픽,38530,18-Dec,-0.68,-0.89,1,,
138,골드퍼시픽,38530,19-Dec,-0.89,,1,,
139,골프존뉴딘홀딩스,121440,11-Dec,1101.46,31.08,0,,
140,골프존뉴딘홀딩스,121440,12-Dec,31.08,25.98,0,,
141,골프존뉴딘홀딩스,121440,13-Dec,25.98,22.05,0,,
142,골프존뉴딘홀딩스,121440,14-Dec,22.05,-1.54,0,,
143,골프존뉴딘홀딩스,121440,15-Dec,-1.54,5.22,1,,
144,골프존뉴딘홀딩스,121440,16-Dec,5.22,2.81,0,1,
145,골프존뉴딘홀딩스,121440,17-Dec,2.81,0.15,0,,1
146,골프존뉴딘홀딩스,121440,18-Dec,0.15,-0.36,1,,
147,골프존뉴딘홀딩스,121440,19-Dec,-0.36,,1,,
148,광림,14200,11-Dec,4.55,1.71,0,,
149,광림,14200,12-Dec,1.71,6.18,0,,
150,광림,14200,13-Dec,6.18,0.7,0,,
151,광림,14200,14-Dec,0.7,0.43,1,,
152,광림,14200,15-Dec,0.43,0.16,1,,
153,광림,14200,16-Dec,0.16,-3.19,1,,
154,광림,14200,17-Dec,-3.19,-0.23,1,,
155,광림,14200,18-Dec,-0.23,-2.3,1,,
156,광림,14200,19-Dec,-2.3,,1,,
157,광명전기,17040,11-Dec,0.38,3.63,1,,
158,광명전기,17040,12-Dec,3.63,11.84,0,1,
159,광명전기,17040,13-Dec,11.84,19.42,0,,1
160,광명전기,17040,14-Dec,19.42,20.92,0,,
161,광명전기,17040,15-Dec,20.92,10.52,0,,
162,광명전기,17040,16-Dec,10.52,5.78,0,,
163,광명전기,17040,17-Dec,5.78,3.61,0,,
164,광명전기,17040,18-Dec,3.61,21.67,0,,
165,광명전기,17040,19-Dec,21.67,,0,,
166,광무,29480,11-Dec,-3.01,-2.69,1,,
167,광무,29480,12-Dec,-2.69,-8.2,1,,
168,광무,29480,13-Dec,-8.2,1.12,1,,
169,광무,29480,14-Dec,1.12,-0.8,0,,
