,회사명,거래소코드,회계년도,이자보상배율,부실기업
0,(주)CMG제약,58820,2011,3.53,
1,(주)CMG제약,58820,2012,-7.75,
2,(주)CMG제약,58820,2013,0.7,1.0
3,(주)CMG제약,58820,2014,3.6,
4,(주)CMG제약,58820,2015,-32.22,
5,(주)CMG제약,58820,2016,,
6,(주)CMG제약,58820,2017,,
7,(주)CMG제약,58820,2018,,
8,(주)CMG제약,58820,2019,303.0,
9,(주)DB하이텍,990,2011,-0.75,
10,(주)DB하이텍,990,2012,-0.31,1.0
11,(주)DB하이텍,990,2013,-0.16,1.0
12,(주)DB하이텍,990,2014,0.67,1.0
13,(주)DB하이텍,990,2015,2.5,
14,(주)DB하이텍,990,2016,4.41,
15,(주)DB하이텍,990,2017,6.05,
16,(주)DB하이텍,990,2018,6.77,
17,(주)DB하이텍,990,2019,13.44,
18,(주)ES큐브,50120,2011,-245.99,
19,(주)ES큐브,50120,2012,1.72,
20,(주)ES큐브,50120,2013,-37.44,
21,(주)ES큐브,50120,2014,22.2,
22,(주)ES큐브,50120,2015,-11.86,
23,(주)ES큐브,50120,2016,8.98,
24,(주)ES큐브,50120,2017,2.86,
25,(주)ES큐브,50120,2018,-0.82,
26,(주)ES큐브,50120,2019,-0.68,1.0
27,(주)HJ중공업,97230,2011,0.55,
28,(주)HJ중공업,97230,2012,0.27,1.0
29,(주)HJ중공업,97230,2013,-0.4,1.0
30,(주)HJ중공업,97230,2014,-0.88,1.0
31,(주)HJ중공업,97230,2015,-0.5,1.0
32,(주)HJ중공업,97230,2016,-0.58,1.0
33,(주)HJ중공업,97230,2017,-1.08,1.0
34,(주)HJ중공업,97230,2018,0.62,1.0
35,(주)HJ중공업,97230,2019,0.69,1.0
36,(주)MH에탄올,23150,2011,0.12,
37,(주)MH에탄올,23150,2012,1.08,
38,(주)MH에탄올,23150,2013,0.87,
39,(주)MH에탄올,23150,2014,5.62,
40,(주)MH에탄올,23150,2015,12.69,
41,(주)MH에탄올,23150,2016,29.41,
42,(주)MH에탄올,23150,2017,3.46,
43,(주)MH에탄올,23150,2018,0.1,
44,(주)MH에탄올,23150,2019,0.73,1.0
45,(주)SH에너지화학,2360,2011,2.82,
46,(주)SH에너지화학,2360,2012,1.72,
47,(주)SH에너지화학,2360,2013,5.3,
48,(주)SH에너지화학,2360,2014,26.68,
49,(주)SH에너지화학,2360,2015,84.87,
50,(주)SH에너지화학,2360,2016,210.93,
51,(주)SH에너지화학,2360,2017,162.17,
52,(주)SH에너지화학,2360,2018,22.72,
53,(주)SH에너지화학,2360,2019,-24.12,
54,(주)SIMPAC,9160,2011,20.93,
55,(주)SIMPAC,9160,2012,15.51,
56,(주)SIMPAC,9160,2013,16.58,
57,(주)SIMPAC,9160,2014,8.48,
58,(주)SIMPAC,9160,2015,14.66,
59,(주)SIMPAC,9160,2016,16.75,
60,(주)SIMPAC,9160,2017,10.1,
61,(주)SIMPAC,9160,2018,4.07,
62,(주)SIMPAC,9160,2019,3.47,
63,(주)SNT에너지,100840,2011,-9.21,
64,(주)SNT에너지,100840,2012,77.44,
65,(주)SNT에너지,100840,2013,50.81,
66,(주)SNT에너지,100840,2014,41.09,
67,(주)SNT에너지,100840,2015,359.1,
68,(주)SNT에너지,100840,2016,,
69,(주)SNT에너지,100840,2017,,
70,(주)SNT에너지,100840,2018,,
71,(주)SNT에너지,100840,2019,1771.27,
72,(주)SNT홀딩스,36530,2011,16.87,
73,(주)SNT홀딩스,36530,2012,20.28,
74,(주)SNT홀딩스,36530,2013,30.38,
75,(주)SNT홀딩스,36530,2014,34.38,
76,(주)SNT홀딩스,36530,2015,218.55,
77,(주)SNT홀딩스,36530,2016,286.46,
78,(주)SNT홀딩스,36530,2017,178.66,
79,(주)SNT홀딩스,36530,2018,59.79,
80,(주)SNT홀딩스,36530,2019,184.05,
81,(주)ST,11810,2011,1.66,
82,(주)ST,11810,2012,-3.12,
83,(주)ST,11810,2013,-10.71,1.0
84,(주)ST,11810,2014,0.76,1.0
85,(주)ST,11810,2015,-0.84,1.0
86,(주)ST,11810,2016,-0.91,1.0
87,(주)ST,11810,2017,2.02,
88,(주)ST,11810,2018,-1.12,
89,(주)ST,11810,2019,0.11,1.0
90,(주)TCC스틸,2710,2011,1.41,
91,(주)TCC스틸,2710,2012,0.57,
92,(주)TCC스틸,2710,2013,-0.59,1.0
93,(주)TCC스틸,2710,2014,0.02,1.0
94,(주)TCC스틸,2710,2015,2.17,
95,(주)TCC스틸,2710,2016,2.53,
96,(주)TCC스틸,2710,2017,1.55,
97,(주)TCC스틸,2710,2018,3.3,
98,(주)TCC스틸,2710,2019,2.27,
99,(주)가비아,79940,2011,22.28,
100,(주)가비아,79940,2012,15.43,
101,(주)가비아,79940,2013,15.81,
102,(주)가비아,79940,2014,24.59,
103,(주)가비아,79940,2015,64.83,
104,(주)가비아,79940,2016,83.64,
105,(주)가비아,79940,2017,53.72,
106,(주)가비아,79940,2018,62.3,
107,(주)가비아,79940,2019,34.25,
108,(주)강스템바이오텍,217730,2015,-5.41,
109,(주)강스템바이오텍,217730,2016,-18.89,1.0
110,(주)강스템바이오텍,217730,2017,-8.15,1.0
111,(주)강스템바이오텍,217730,2018,-12.31,1.0
112,(주)강스템바이오텍,217730,2019,-21.5,1.0
113,(주)강원랜드,35250,2011,1142.61,
114,(주)강원랜드,35250,2012,565.68,
115,(주)강원랜드,35250,2013,1421.81,
116,(주)강원랜드,35250,2014,2073.72,
117,(주)강원랜드,35250,2015,2623.81,
118,(주)강원랜드,35250,2016,836.02,
119,(주)강원랜드,35250,2017,2241.82,
120,(주)강원랜드,35250,2018,1834.66,
121,(주)강원랜드,35250,2019,255.56,
122,(주)강원에너지,114190,2011,393.9,
123,(주)강원에너지,114190,2012,58.37,
124,(주)강원에너지,114190,2013,18.11,
