,회사명,거래소코드,회계년도,이자보상배율,부실기업
0,CMG제약,58820,Dec-11,3.53,
1,CMG제약,58820,Dec-12,-7.75,
2,CMG제약,58820,Dec-13,0.7,1.0
3,CMG제약,58820,Dec-14,3.6,1.0
4,CMG제약,58820,Dec-15,-32.22,1.0
5,CMG제약,58820,Dec-16,7777.0,1.0
6,CMG제약,58820,Dec-17,7777.0,1.0
7,CMG제약,58820,Dec-18,7777.0,1.0
8,CMG제약,58820,Dec-19,303.0,1.0
9,DB하이텍,990,Dec-11,-0.75,0.0
10,DB하이텍,990,Dec-12,-0.31,1.0
11,DB하이텍,990,Dec-13,-0.16,1.0
12,DB하이텍,990,Dec-14,0.67,1.0
13,DB하이텍,990,Dec-15,2.5,1.0
14,DB하이텍,990,Dec-16,4.41,1.0
15,DB하이텍,990,Dec-17,6.05,1.0
16,DB하이텍,990,Dec-18,6.77,1.0
17,DB하이텍,990,Dec-19,13.44,1.0
18,ES큐브,50120,Dec-11,-245.99,0.0
19,ES큐브,50120,Dec-12,1.72,
20,ES큐브,50120,Dec-13,-37.44,
21,ES큐브,50120,Dec-14,22.2,
22,ES큐브,50120,Dec-15,-11.86,
23,ES큐브,50120,Dec-16,8.98,
24,ES큐브,50120,Dec-17,2.86,
25,ES큐브,50120,Dec-18,-0.82,
26,ES큐브,50120,Dec-19,-0.68,1.0
27,HJ중공업,97230,Dec-11,0.55,0.0
28,HJ중공업,97230,Dec-12,0.27,1.0
29,HJ중공업,97230,Dec-13,-0.4,1.0
30,HJ중공업,97230,Dec-14,-0.88,1.0
31,HJ중공업,97230,Dec-15,-0.5,1.0
32,HJ중공업,97230,Dec-16,-0.58,1.0
33,HJ중공업,97230,Dec-17,-1.08,1.0
34,HJ중공업,97230,Dec-18,0.62,1.0
35,HJ중공업,97230,Dec-19,0.69,1.0
36,MH에탄올,23150,Dec-11,0.12,0.0
37,MH에탄올,23150,Dec-12,1.08,
38,MH에탄올,23150,Dec-13,0.87,
39,MH에탄올,23150,Dec-14,5.62,
40,MH에탄올,23150,Dec-15,12.69,
41,MH에탄올,23150,Dec-16,29.41,
42,MH에탄올,23150,Dec-17,3.46,
43,MH에탄올,23150,Dec-18,0.1,
44,MH에탄올,23150,Dec-19,0.73,1.0
45,SH에너지화학,2360,Dec-11,2.82,0.0
46,SH에너지화학,2360,Dec-12,1.72,
47,SH에너지화학,2360,Dec-13,5.3,
48,SH에너지화학,2360,Dec-14,26.68,
49,SH에너지화학,2360,Dec-15,84.87,
50,SH에너지화학,2360,Dec-16,210.93,
51,SH에너지화학,2360,Dec-17,162.17,
52,SH에너지화학,2360,Dec-18,22.72,
53,SH에너지화학,2360,Dec-19,-24.12,
