                      OLS Regression Results                     
Dep. Variable:   ,회생기업1           ,  R-squared:         ,   0.035
Model:           ,OLS             ,  Adj. R-squared:    ,   0.031
Method:          ,Least Squares   ,  F-statistic:       ,   8.963
Date:            ,Mon, 03 Oct 2022,  Prob (F-statistic):,1.57e-45
Time:            ,17:32:29        ,  Log-Likelihood:    ,  1730.7
No. Observations:,  8592          ,  AIC:               ,  -3389.
Df Residuals:    ,  8556          ,  BIC:               ,  -3135.
Df Model:        ,    35          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const           ,    0.0300,    0.003,   10.980, 0.000,    0.025,    0.035
총자산증가율          ,   -0.0058,    0.004,   -1.427, 0.154,   -0.014,    0.002
유형자산증가율         ,   -0.0054,    0.002,   -2.183, 0.029,   -0.010,   -0.001
유동자산증가율         ,   -0.0015,    0.004,   -0.422, 0.673,   -0.009,    0.006
자기자본증가율         ,    0.0011,    0.003,    0.370, 0.711,   -0.005,    0.007
매출액증가율          ,    0.0159,    0.003,    6.194, 0.000,    0.011,    0.021
매출액총이익율         ,    0.0031,    0.003,    1.193, 0.233,   -0.002,    0.008
매출액순이익율         ,    0.0014,    0.004,    0.378, 0.705,   -0.006,    0.008
자기자본순이익율        ,    0.0054,    0.004,    1.320, 0.187,   -0.003,    0.013
총자본영업이익율        ,    0.0127,    0.003,    3.770, 0.000,    0.006,    0.019
재고자산회전율         ,    0.0013,    0.002,    0.521, 0.602,   -0.004,    0.006
매출채권회전율         ,   -0.0031,    0.003,   -1.169, 0.242,   -0.008,    0.002
유형자산회전율         ,   -0.0016,    0.002,   -0.651, 0.515,   -0.007,    0.003
자기자본회전율         ,    0.0033,    0.005,    0.649, 0.517,   -0.007,    0.013
타인자본회전율         ,    0.0063,    0.004,    1.620, 0.105,   -0.001,    0.014
유동자산회전율         ,   -0.0012,    0.005,   -0.259, 0.796,   -0.010,    0.008
순운전자본회전율        ,   -0.0029,    0.002,   -1.306, 0.191,   -0.007,    0.001
유동비율            ,   -0.0027,    0.004,   -0.714, 0.475,   -0.010,    0.005
부채비율            ,    0.0013,    0.005,    0.269, 0.788,   -0.008,    0.010
차입금의존도          ,    0.0014,    0.003,    0.454, 0.650,   -0.005,    0.007
CASH_FLOW_대_부채비율,   -0.0078,    0.003,   -2.817, 0.005,   -0.013,   -0.002
당좌자산구성비율        ,    0.0007,    0.006,    0.127, 0.899,   -0.010,    0.011
매출채권_대_매입채무비율   ,   -0.0008,    0.002,   -0.358, 0.720,   -0.005,    0.004
재고자산_대_유동자산비율   ,    0.0013,    0.004,    0.359, 0.719,   -0.006,    0.009
순운전자본비율         ,    0.0024,    0.006,    0.392, 0.695,   -0.010,    0.014
노동장비율           ,   -0.0025,    0.004,   -0.595, 0.552,   -0.011,    0.006
기계장비율           ,    0.0023,    0.003,    0.694, 0.488,   -0.004,    0.009
설비투자효율          ,   -0.0058,    0.003,   -2.168, 0.030,   -0.011,   -0.001
총자본투자효율         ,   -0.0014,    0.004,   -0.388, 0.698,   -0.008,    0.006
종업원1인당부가가치      ,    0.0040,    0.004,    1.023, 0.306,   -0.004,    0.012
매출원가감소율여부       ,    0.0210,    0.030,    0.706, 0.480,   -0.037,    0.079
배당금감소율여부        ,    0.0838,    0.006,   12.942, 0.000,    0.071,    0.096
변화율여부           ,    0.0174,    0.018,    0.952, 0.341,   -0.018,    0.053
직원감소율여부         ,    0.0080,    0.008,    0.985, 0.325,   -0.008,    0.024
자본증가율여부         ,   -0.0448,    0.039,   -1.142, 0.253,   -0.122,    0.032
투자활동감소율여부       ,    0.0030,    0.005,    0.584, 0.559,   -0.007,    0.013
Omnibus:      ,7344.384,  Durbin-Watson:     ,   2.068  
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,135517.397
Skew:         , 4.311  ,  Prob(JB):          ,    0.00  
Kurtosis:     ,20.442  ,  Cond. No.          ,    39.9  

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
