,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
0,CMG제약,58820,2011-12,3.53,-7.75,0.0,,
1,CMG제약,58820,2012-12,-7.75,0.7,1.0,,
4,CMG제약,58820,2015-12,-32.22,303.0,1.0,,
5,CMG제약,58820,2016-12,303.0,303.0,0.0,,
6,CMG제약,58820,2017-12,303.0,303.0,0.0,,
7,CMG제약,58820,2018-12,303.0,303.0,0.0,,
8,CMG제약,58820,2019-12,303.0,,0.0,,
10,DB하이텍,990,2012-12,-0.31,-0.16,1.0,,
11,DB하이텍,990,2013-12,-0.16,0.67,1.0,,
12,DB하이텍,990,2014-12,0.67,2.5,1.0,,
13,DB하이텍,990,2015-12,2.5,4.41,0.0,,
14,DB하이텍,990,2016-12,4.41,6.05,0.0,,
15,DB하이텍,990,2017-12,6.05,6.77,0.0,,
16,DB하이텍,990,2018-12,6.77,13.44,0.0,,
17,DB하이텍,990,2019-12,13.44,,0.0,,
19,ES큐브,50120,2012-12,1.72,-37.44,0.0,,
20,ES큐브,50120,2013-12,-37.44,22.2,1.0,,
21,ES큐브,50120,2014-12,22.2,-11.86,0.0,,
22,ES큐브,50120,2015-12,-11.86,8.98,1.0,,
23,ES큐브,50120,2016-12,8.98,2.86,0.0,,
24,ES큐브,50120,2017-12,2.86,-0.82,0.0,,
25,ES큐브,50120,2018-12,-0.82,-0.68,1.0,,
26,ES큐브,50120,2019-12,-0.68,,1.0,,
28,HJ중공업,97230,2012-12,0.27,-0.4,1.0,,
29,HJ중공업,97230,2013-12,-0.4,-0.88,1.0,,
30,HJ중공업,97230,2014-12,-0.88,-0.5,1.0,,
31,HJ중공업,97230,2015-12,-0.5,-0.58,1.0,,
32,HJ중공업,97230,2016-12,-0.58,-1.08,1.0,,
33,HJ중공업,97230,2017-12,-1.08,0.62,1.0,,
34,HJ중공업,97230,2018-12,0.62,0.69,1.0,,
35,HJ중공업,97230,2019-12,0.69,,1.0,,
37,MH에탄올,23150,2012-12,1.08,0.87,0.0,,
38,MH에탄올,23150,2013-12,0.87,5.62,1.0,,
39,MH에탄올,23150,2014-12,5.62,12.69,0.0,,
40,MH에탄올,23150,2015-12,12.69,29.41,0.0,,
41,MH에탄올,23150,2016-12,29.41,3.46,0.0,,
42,MH에탄올,23150,2017-12,3.46,0.1,0.0,,
43,MH에탄올,23150,2018-12,0.1,0.73,1.0,,
44,MH에탄올,23150,2019-12,0.73,,1.0,,
46,SH에너지화학,2360,2012-12,1.72,5.3,0.0,,
47,SH에너지화학,2360,2013-12,5.3,26.68,0.0,,
48,SH에너지화학,2360,2014-12,26.68,84.87,0.0,,
49,SH에너지화학,2360,2015-12,84.87,210.93,0.0,,
50,SH에너지화학,2360,2016-12,210.93,162.17,0.0,,
51,SH에너지화학,2360,2017-12,162.17,22.72,0.0,,
52,SH에너지화학,2360,2018-12,22.72,-24.12,0.0,,
53,SH에너지화학,2360,2019-12,-24.12,,1.0,,
55,SNT에너지,100840,2012-12,77.44,50.81,0.0,,
56,SNT에너지,100840,2013-12,50.81,41.09,0.0,,
57,SNT에너지,100840,2014-12,41.09,359.1,0.0,,
58,SNT에너지,100840,2015-12,359.1,1771.27,0.0,,
59,SNT에너지,100840,2016-12,1771.27,1771.27,0.0,,
60,SNT에너지,100840,2017-12,1771.27,-9.21,0.0,,
61,SNT에너지,100840,2018-12,-9.21,1771.27,1.0,,
62,SNT에너지,100840,2019-12,1771.27,,0.0,,
64,STX,11810,2012-12,-3.12,-10.71,1.0,,
65,STX,11810,2013-12,-10.71,0.76,1.0,,
66,STX,11810,2014-12,0.76,-0.84,1.0,,
67,STX,11810,2015-12,-0.84,-0.91,1.0,,
68,STX,11810,2016-12,-0.91,2.02,1.0,,
69,STX,11810,2017-12,2.02,-1.12,0.0,,
70,STX,11810,2018-12,-1.12,0.11,1.0,,
71,STX,11810,2019-12,0.11,,1.0,,
73,TCC스틸,2710,2012-12,0.57,-0.59,1.0,,
74,TCC스틸,2710,2013-12,-0.59,0.02,1.0,,
75,TCC스틸,2710,2014-12,0.02,2.17,1.0,,
76,TCC스틸,2710,2015-12,2.17,2.53,0.0,,
77,TCC스틸,2710,2016-12,2.53,1.55,0.0,,
78,TCC스틸,2710,2017-12,1.55,3.3,0.0,,
79,TCC스틸,2710,2018-12,3.3,2.27,0.0,,
80,TCC스틸,2710,2019-12,2.27,,0.0,,
82,강스템바이오텍,217730,2016-12,-18.89,-8.15,1.0,,
83,강스템바이오텍,217730,2017-12,-8.15,-12.31,1.0,,
84,강스템바이오텍,217730,2018-12,-12.31,-21.5,1.0,,
85,강스템바이오텍,217730,2019-12,-21.5,,1.0,,
87,강원에너지,114190,2013-12,18.11,39.01,0.0,,
88,강원에너지,114190,2014-12,39.01,187.51,0.0,,
89,강원에너지,114190,2015-12,187.51,-241.54,0.0,,
90,강원에너지,114190,2016-12,-241.54,-26.56,1.0,,
91,강원에너지,114190,2017-12,-26.56,0.2,1.0,,
92,강원에너지,114190,2018-12,0.2,-8.38,1.0,,
