,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생여부
0,CMG제약,58820,Dec-11,3.53,0.0,-7.75,
1,CMG제약,58820,Dec-12,-7.75,0.0,0.7,
2,CMG제약,58820,Dec-13,0.7,1.0,3.6,
3,CMG제약,58820,Dec-14,3.6,0.0,-32.22,1.0
4,CMG제약,58820,Dec-15,-32.22,0.0,7777.0,
5,CMG제약,58820,Dec-16,7777.0,0.0,7777.0,
6,CMG제약,58820,Dec-17,7777.0,0.0,7777.0,
7,CMG제약,58820,Dec-18,7777.0,0.0,303.0,
8,CMG제약,58820,Dec-19,303.0,0.0,,
9,DB하이텍,990,Dec-11,-0.75,0.0,-0.31,
10,DB하이텍,990,Dec-12,-0.31,1.0,-0.16,
11,DB하이텍,990,Dec-13,-0.16,1.0,0.67,
12,DB하이텍,990,Dec-14,0.67,1.0,2.5,
13,DB하이텍,990,Dec-15,2.5,0.0,4.41,1.0
14,DB하이텍,990,Dec-16,4.41,0.0,6.05,
15,DB하이텍,990,Dec-17,6.05,0.0,6.77,
16,DB하이텍,990,Dec-18,6.77,0.0,13.44,
17,DB하이텍,990,Dec-19,13.44,0.0,,
18,ES큐브,50120,Dec-11,-245.99,0.0,1.72,
19,ES큐브,50120,Dec-12,1.72,0.0,-37.44,
20,ES큐브,50120,Dec-13,-37.44,0.0,22.2,
21,ES큐브,50120,Dec-14,22.2,0.0,-11.86,
22,ES큐브,50120,Dec-15,-11.86,0.0,8.98,
23,ES큐브,50120,Dec-16,8.98,0.0,2.86,
24,ES큐브,50120,Dec-17,2.86,0.0,-0.82,
25,ES큐브,50120,Dec-18,-0.82,0.0,-0.68,
26,ES큐브,50120,Dec-19,-0.68,1.0,,
27,HJ중공업,97230,Dec-11,0.55,0.0,0.27,
28,HJ중공업,97230,Dec-12,0.27,1.0,-0.4,
29,HJ중공업,97230,Dec-13,-0.4,1.0,-0.88,
30,HJ중공업,97230,Dec-14,-0.88,1.0,-0.5,
31,HJ중공업,97230,Dec-15,-0.5,1.0,-0.58,
32,HJ중공업,97230,Dec-16,-0.58,1.0,-1.08,
33,HJ중공업,97230,Dec-17,-1.08,1.0,0.62,
34,HJ중공업,97230,Dec-18,0.62,1.0,0.69,
35,HJ중공업,97230,Dec-19,0.69,1.0,,
36,MH에탄올,23150,Dec-11,0.12,0.0,1.08,
37,MH에탄올,23150,Dec-12,1.08,0.0,0.87,
38,MH에탄올,23150,Dec-13,0.87,0.0,5.62,
39,MH에탄올,23150,Dec-14,5.62,0.0,12.69,
40,MH에탄올,23150,Dec-15,12.69,0.0,29.41,
41,MH에탄올,23150,Dec-16,29.41,0.0,3.46,
42,MH에탄올,23150,Dec-17,3.46,0.0,0.1,
43,MH에탄올,23150,Dec-18,0.1,0.0,0.73,
44,MH에탄올,23150,Dec-19,0.73,1.0,,
45,SH에너지화학,2360,Dec-11,2.82,0.0,1.72,
46,SH에너지화학,2360,Dec-12,1.72,0.0,5.3,
47,SH에너지화학,2360,Dec-13,5.3,0.0,26.68,
48,SH에너지화학,2360,Dec-14,26.68,0.0,84.87,
49,SH에너지화학,2360,Dec-15,84.87,0.0,210.93,
50,SH에너지화학,2360,Dec-16,210.93,0.0,162.17,
51,SH에너지화학,2360,Dec-17,162.17,0.0,22.72,
52,SH에너지화학,2360,Dec-18,22.72,0.0,-24.12,
53,SH에너지화학,2360,Dec-19,-24.12,0.0,,
54,SNT에너지,100840,Dec-11,-9.21,0.0,77.44,
55,SNT에너지,100840,Dec-12,77.44,0.0,50.81,
56,SNT에너지,100840,Dec-13,50.81,0.0,41.09,
57,SNT에너지,100840,Dec-14,41.09,0.0,359.1,
58,SNT에너지,100840,Dec-15,359.1,0.0,7777.0,
59,SNT에너지,100840,Dec-16,7777.0,0.0,7777.0,
60,SNT에너지,100840,Dec-17,7777.0,0.0,-7777.0,
61,SNT에너지,100840,Dec-18,-7777.0,0.0,1771.27,
62,SNT에너지,100840,Dec-19,1771.27,0.0,,
63,ST,11810,Dec-11,1.66,0.0,-3.12,
64,ST,11810,Dec-12,-3.12,0.0,-10.71,
65,ST,11810,Dec-13,-10.71,1.0,0.76,
66,ST,11810,Dec-14,0.76,1.0,-0.84,
67,ST,11810,Dec-15,-0.84,1.0,-0.91,
68,ST,11810,Dec-16,-0.91,1.0,2.02,
69,ST,11810,Dec-17,2.02,0.0,-1.12,1.0
70,ST,11810,Dec-18,-1.12,0.0,0.11,
71,ST,11810,Dec-19,0.11,1.0,,
72,TCC스틸,2710,Dec-11,1.41,0.0,0.57,
73,TCC스틸,2710,Dec-12,0.57,0.0,-0.59,
74,TCC스틸,2710,Dec-13,-0.59,1.0,0.02,
75,TCC스틸,2710,Dec-14,0.02,1.0,2.17,
76,TCC스틸,2710,Dec-15,2.17,0.0,2.53,1.0
77,TCC스틸,2710,Dec-16,2.53,0.0,1.55,
78,TCC스틸,2710,Dec-17,1.55,0.0,3.3,
79,TCC스틸,2710,Dec-18,3.3,0.0,2.27,
80,TCC스틸,2710,Dec-19,2.27,0.0,,
81,강스템바이오텍,217730,Dec-15,-5.41,0.0,-18.89,
82,강스템바이오텍,217730,Dec-16,-18.89,1.0,-8.15,
83,강스템바이오텍,217730,Dec-17,-8.15,1.0,-12.31,
