,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생기업2
0,CMG제약,58820,11-Dec,3.53,0,-7.75,
1,CMG제약,58820,12-Dec,-7.75,0,0.7,
2,CMG제약,58820,13-Dec,0.7,1,3.6,
3,CMG제약,58820,14-Dec,3.6,0,-32.22,
4,CMG제약,58820,15-Dec,-32.22,0,7777,
5,CMG제약,58820,16-Dec,7777,0,7777,
6,CMG제약,58820,17-Dec,7777,0,7777,
7,CMG제약,58820,18-Dec,7777,0,303,
8,CMG제약,58820,19-Dec,303,0,,
9,DB하이텍,990,11-Dec,-0.75,0,-0.31,
10,DB하이텍,990,12-Dec,-0.31,1,-0.16,
11,DB하이텍,990,13-Dec,-0.16,1,0.67,
12,DB하이텍,990,14-Dec,0.67,1,2.5,
13,DB하이텍,990,15-Dec,2.5,0,4.41,
14,DB하이텍,990,16-Dec,4.41,0,6.05,
15,DB하이텍,990,17-Dec,6.05,0,6.77,
16,DB하이텍,990,18-Dec,6.77,0,13.44,
17,DB하이텍,990,19-Dec,13.44,0,,
18,ES큐브,50120,11-Dec,-245.99,0,1.72,
19,ES큐브,50120,12-Dec,1.72,0,-37.44,
20,ES큐브,50120,13-Dec,-37.44,0,22.2,
21,ES큐브,50120,14-Dec,22.2,0,-11.86,
22,ES큐브,50120,15-Dec,-11.86,0,8.98,
23,ES큐브,50120,16-Dec,8.98,0,2.86,
24,ES큐브,50120,17-Dec,2.86,0,-0.82,
25,ES큐브,50120,18-Dec,-0.82,0,-0.68,
26,ES큐브,50120,19-Dec,-0.68,1,,
27,HJ중공업,97230,11-Dec,0.55,0,0.27,
28,HJ중공업,97230,12-Dec,0.27,1,-0.4,
29,HJ중공업,97230,13-Dec,-0.4,1,-0.88,
30,HJ중공업,97230,14-Dec,-0.88,1,-0.5,
31,HJ중공업,97230,15-Dec,-0.5,1,-0.58,
32,HJ중공업,97230,16-Dec,-0.58,1,-1.08,
33,HJ중공업,97230,17-Dec,-1.08,1,0.62,
34,HJ중공업,97230,18-Dec,0.62,1,0.69,
35,HJ중공업,97230,19-Dec,0.69,1,,
36,MH에탄올,23150,11-Dec,0.12,0,1.08,
37,MH에탄올,23150,12-Dec,1.08,0,0.87,
38,MH에탄올,23150,13-Dec,0.87,0,5.62,
39,MH에탄올,23150,14-Dec,5.62,0,12.69,
40,MH에탄올,23150,15-Dec,12.69,0,29.41,
41,MH에탄올,23150,16-Dec,29.41,0,3.46,
42,MH에탄올,23150,17-Dec,3.46,0,0.1,
43,MH에탄올,23150,18-Dec,0.1,0,0.73,
44,MH에탄올,23150,19-Dec,0.73,1,,
45,SH에너지화학,2360,11-Dec,2.82,0,1.72,
46,SH에너지화학,2360,12-Dec,1.72,0,5.3,
47,SH에너지화학,2360,13-Dec,5.3,0,26.68,
48,SH에너지화학,2360,14-Dec,26.68,0,84.87,
49,SH에너지화학,2360,15-Dec,84.87,0,210.93,
50,SH에너지화학,2360,16-Dec,210.93,0,162.17,
51,SH에너지화학,2360,17-Dec,162.17,0,22.72,
52,SH에너지화학,2360,18-Dec,22.72,0,-24.12,
53,SH에너지화학,2360,19-Dec,-24.12,0,,
54,SNT에너지,100840,11-Dec,-9.21,0,77.44,
55,SNT에너지,100840,12-Dec,77.44,0,50.81,
56,SNT에너지,100840,13-Dec,50.81,0,41.09,
57,SNT에너지,100840,14-Dec,41.09,0,359.1,
58,SNT에너지,100840,15-Dec,359.1,0,7777,
59,SNT에너지,100840,16-Dec,7777,0,7777,
60,SNT에너지,100840,17-Dec,7777,0,-7777,
61,SNT에너지,100840,18-Dec,-7777,0,1771.27,
62,SNT에너지,100840,19-Dec,1771.27,0,,
63,ST,11810,11-Dec,1.66,0,-3.12,
