,회사명
(주)아이디스,18
(주)벽산,18
한국항공우주산업(주),18
(주)휴맥스,18
(주)홈캐스트,18
(주)에스에이티,18
(주)에스엠벡셀,18
(주)오리엔트정공,18
(주)코다코,18
SNT중공업(주),18
씨비아이(주),18
(주)넥스트아이,18
영화금속(주),18
우수AMS(주),18
인지컨트롤스(주),18
태양금속공업(주),18
한국프랜지공업(주),18
(주)우진,18
(주)아이티엑스에이아이,18
에이치엘비(주),18
한화에어로스페이스(주),18
(주)엠씨넥스,16
에스엘(주),16
(주)더 미동,14
(주)텔콘알에프제약,12
(주)아스트,12
하이즈항공(주),10
(주)인포마크,10
아이크래프트(주),9
에스넷시스템(주),9
쌍용정보통신(주),9
오상자이엘(주),9
비케이탑스(주),9
(주)휴맥스홀딩스,9
(주)큐로컴,9
(주)콤텍시스템,9
(주)주연테크,9
(주)씨유메디칼시스템,9
한솔인티큐브(주),9
(주)인성정보,9
한일네트웍스(주),9
(주)레드로버,9
(주)초록뱀미디어,9
(주)팬엔터테인먼트,9
(주)드림어스컴퍼니,9
(주)와이지플러스,9
(주)지니뮤직,9
(주)정원엔시스,9
(주)리노스,9
(주)율호,9
(주)오픈베이스,9
(주)다산네트웍스,9
(주)광무,9
에이치엘비생명과학(주),9
삼성엔지니어링(주),9
인선이엔티(주),9
한국조선해양(주),9
(주)에쎈테크,9
(주)비엠티,9
흥구석유(주),9
삼강엠앤티(주),9
동양철관(주),9
금강공업(주),9
(주)휴스틸,9
(주)하이스틸,9
(주)루멘스,9
(주)케이티,9
(주)엘지유플러스,9
(주)대유플러스,9
(주)우리넷,9
(주)텔레필드,9
대한전선(주),9
(주)시티랩스,9
(주)미래아이앤지,9
유엔젤(주),9
(주)디비아이엔씨,9
휴림로봇(주),9
(주)로보스타,9
우림피티에스(주),9
대원전선(주),9
코위버(주),9
상신이디피(주),9
삼성SDI(주),9
(주)엘앤에프,9
제룡전기(주),9
(주)파루,9
(주)원익피앤이,9
현대에이치티(주),9
(주)키다리스튜디오,9
(주)케이이씨,9
(주)셀루메드,9
대우전자부품(주),9
케이알모터스(주),9
삼성중공업(주),9
대우조선해양(주),9
(주)현대미포조선,9
평화홀딩스(주),9
에스맥(주),9
인터지스(주),9
한라아이엠에스(주),9
(주)국보,9
코오롱플라스틱(주),9
(주)엔피케이,9
백광산업(주),9
태경산업(주),9
OCI(주),9
(주)DB하이텍,9
(주)아나패스,9
