,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
0,(주)CMG제약,58820,201112,3.53,-7.75,0.0,,
1,(주)CMG제약,58820,201212,-7.75,0.7,1.0,0.0,0.0
2,(주)CMG제약,58820,201312,0.7,3.6,1.0,0.0,0.0
3,(주)CMG제약,58820,201412,3.6,-32.22,0.0,0.0,0.0
4,(주)CMG제약,58820,201512,-32.22,303.0,1.0,0.0,0.0
5,(주)CMG제약,58820,201612,303.0,303.0,0.0,0.0,0.0
6,(주)CMG제약,58820,201712,303.0,303.0,0.0,0.0,0.0
7,(주)CMG제약,58820,201812,303.0,303.0,0.0,0.0,0.0
8,(주)CMG제약,58820,201912,303.0,,0.0,0.0,0.0
9,(주)DB하이텍,990,201112,-0.75,-0.31,1.0,,
10,(주)DB하이텍,990,201212,-0.31,-0.16,1.0,0.0,0.0
11,(주)DB하이텍,990,201312,-0.16,0.67,1.0,0.0,0.0
12,(주)DB하이텍,990,201412,0.67,2.5,1.0,0.0,0.0
13,(주)DB하이텍,990,201512,2.5,4.41,0.0,0.0,0.0
14,(주)DB하이텍,990,201612,4.41,6.05,0.0,0.0,0.0
15,(주)DB하이텍,990,201712,6.05,6.77,0.0,0.0,0.0
16,(주)DB하이텍,990,201812,6.77,13.44,0.0,0.0,0.0
17,(주)DB하이텍,990,201912,13.44,,0.0,0.0,0.0
18,(주)ES큐브,50120,201112,-245.99,1.72,1.0,,
19,(주)ES큐브,50120,201212,1.72,-37.44,0.0,1.0,0.0
20,(주)ES큐브,50120,201312,-37.44,22.2,1.0,0.0,0.0
21,(주)ES큐브,50120,201412,22.2,-11.86,0.0,0.0,0.0
22,(주)ES큐브,50120,201512,-11.86,8.98,1.0,0.0,0.0
23,(주)ES큐브,50120,201612,8.98,2.86,0.0,0.0,0.0
24,(주)ES큐브,50120,201712,2.86,-0.82,0.0,0.0,1.0
25,(주)ES큐브,50120,201812,-0.82,-0.68,1.0,0.0,0.0
26,(주)ES큐브,50120,201912,-0.68,,1.0,0.0,0.0
27,(주)HJ중공업,97230,201112,0.55,0.27,1.0,,
28,(주)HJ중공업,97230,201212,0.27,-0.4,1.0,0.0,0.0
29,(주)HJ중공업,97230,201312,-0.4,-0.88,1.0,0.0,0.0
30,(주)HJ중공업,97230,201412,-0.88,-0.5,1.0,0.0,0.0
31,(주)HJ중공업,97230,201512,-0.5,-0.58,1.0,0.0,0.0
32,(주)HJ중공업,97230,201612,-0.58,-1.08,1.0,0.0,0.0
33,(주)HJ중공업,97230,201712,-1.08,0.62,1.0,0.0,0.0
34,(주)HJ중공업,97230,201812,0.62,0.69,1.0,0.0,0.0
35,(주)HJ중공업,97230,201912,0.69,,1.0,0.0,0.0
36,(주)MH에탄올,23150,201112,0.12,1.08,1.0,,
37,(주)MH에탄올,23150,201212,1.08,0.87,0.0,1.0,0.0
38,(주)MH에탄올,23150,201312,0.87,5.62,1.0,0.0,0.0
39,(주)MH에탄올,23150,201412,5.62,12.69,0.0,0.0,0.0
40,(주)MH에탄올,23150,201512,12.69,29.41,0.0,0.0,1.0
41,(주)MH에탄올,23150,201612,29.41,3.46,0.0,0.0,1.0
42,(주)MH에탄올,23150,201712,3.46,0.1,0.0,0.0,1.0
43,(주)MH에탄올,23150,201812,0.1,0.73,1.0,0.0,0.0
44,(주)MH에탄올,23150,201912,0.73,,1.0,0.0,0.0
45,(주)SH에너지화학,2360,201112,2.82,1.72,0.0,,
46,(주)SH에너지화학,2360,201212,1.72,5.3,0.0,0.0,0.0
47,(주)SH에너지화학,2360,201312,5.3,26.68,0.0,0.0,0.0
48,(주)SH에너지화학,2360,201412,26.68,84.87,0.0,0.0,0.0
49,(주)SH에너지화학,2360,201512,84.87,210.93,0.0,0.0,0.0
50,(주)SH에너지화학,2360,201612,210.93,162.17,0.0,0.0,0.0
51,(주)SH에너지화학,2360,201712,162.17,22.72,0.0,0.0,0.0
52,(주)SH에너지화학,2360,201812,22.72,-24.12,0.0,0.0,0.0
53,(주)SH에너지화학,2360,201912,-24.12,,1.0,0.0,0.0
54,(주)SNT에너지,100840,201112,-9.21,77.44,1.0,,
55,(주)SNT에너지,100840,201212,77.44,50.81,0.0,1.0,0.0
56,(주)SNT에너지,100840,201312,50.81,41.09,0.0,0.0,1.0
57,(주)SNT에너지,100840,201412,41.09,359.1,0.0,0.0,1.0
58,(주)SNT에너지,100840,201512,359.1,1771.27,0.0,0.0,1.0
59,(주)SNT에너지,100840,201612,1771.27,1771.27,0.0,0.0,1.0
60,(주)SNT에너지,100840,201712,1771.27,-9.21,0.0,0.0,1.0
61,(주)SNT에너지,100840,201812,-9.21,1771.27,1.0,0.0,0.0
62,(주)SNT에너지,100840,201912,1771.27,,0.0,0.0,0.0
63,(주)STX,11810,201112,1.66,-3.12,0.0,,
64,(주)STX,11810,201212,-3.12,-10.71,1.0,0.0,0.0
65,(주)STX,11810,201312,-10.71,0.76,1.0,0.0,0.0
66,(주)STX,11810,201412,0.76,-0.84,1.0,0.0,0.0
67,(주)STX,11810,201512,-0.84,-0.91,1.0,0.0,0.0
68,(주)STX,11810,201612,-0.91,2.02,1.0,0.0,0.0
