,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류),매출액(수익)감소,매출원가감소,매출액(수익)감소(연결),매출원가감소(연결)
0,(주)CMG제약,58820,2011,3.53,17751704.0,10325799.0,17751704.0,10325799.0,의료용 물질 및 의약품 제조업,,,,
1,(주)CMG제약,58820,2012,-7.75,16255389.0,11648690.0,16255389.0,11648690.0,의료용 물질 및 의약품 제조업,0.0920503963331791,-0.11356564557903077,0.0920503963331791,-0.11356564557903077
2,(주)CMG제약,58820,2013,0.7,20322140.0,12506817.0,20402140.0,12506817.0,의료용 물질 및 의약품 제조업,-0.20011430882771203,-0.06861274135537443,-0.20325078643710906,-0.06861274135537443
3,(주)CMG제약,58820,2014,3.6,22752584.0,14318048.0,22752584.0,14318048.0,의료용 물질 및 의약품 제조업,-0.10682057035807449,-0.1264998552875364,-0.1033044862069293,-0.1264998552875364
4,(주)CMG제약,58820,2015,-32.22,27041894.0,17237814.0,27041894.0,17237814.0,의료용 물질 및 의약품 제조업,-0.15861721815787017,-0.16938145405212052,-0.15861721815787017,-0.16938145405212052
5,(주)CMG제약,58820,2016,11111111.11,32969825.0,19663389.0,32969825.0,19663389.0,의료용 물질 및 의약품 제조업,-0.17979867955016443,-0.12335488048372537,-0.17979867955016443,-0.12335488048372537
6,(주)CMG제약,58820,2017,11111111.11,41535588.0,23497552.0,41535588.0,23497552.0,의료용 물질 및 의약품 제조업,-0.20622707929402612,-0.16317287009302076,-0.20622707929402612,-0.16317287009302076
7,(주)CMG제약,58820,2018,11111111.11,49864782.0,27124841.0,49864782.0,27124841.0,의료용 물질 및 의약품 제조업,-0.16703560440713447,-0.1337257239590824,-0.16703560440713447,-0.1337257239590824
8,(주)CMG제약,58820,2019,303.0,58622681.0,29700050.0,58622681.0,29700050.0,의료용 물질 및 의약품 제조업,-0.14939437860237065,-0.08670722776560982,-0.14939437860237065,-0.08670722776560982
9,(주)DB하이텍,990,2011,-0.75,534317238.0,443140034.0,552216245.0,460440945.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,
10,(주)DB하이텍,990,2012,-0.31,583901597.0,486953432.0,590786488.0,494003057.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-0.0849190330267242,-0.08997451320971489,-0.06528626463779245,-0.06793907755109296
11,(주)DB하이텍,990,2013,-0.16,493752028.0,404500718.0,493752028.0,404500718.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.1825806556484665,0.2038382389224832,0.19652468141356172,0.22126620551511605
12,(주)DB하이텍,990,2014,0.67,567718224.0,430813375.0,567718224.0,430813375.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-0.1302868093239156,-0.06107669475210699,-0.1302868093239156,-0.06107669475210699
