,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
0,(주)CMG제약,58820,2011,3.53,17751704.0,10325799.0,17751704.0,10325799.0,의료용 물질 및 의약품 제조업
1,(주)CMG제약,58820,2012,-7.75,16255389.0,11648690.0,16255389.0,11648690.0,의료용 물질 및 의약품 제조업
2,(주)CMG제약,58820,2013,0.7,20322140.0,12506817.0,20402140.0,12506817.0,의료용 물질 및 의약품 제조업
3,(주)CMG제약,58820,2014,3.6,22752584.0,14318048.0,22752584.0,14318048.0,의료용 물질 및 의약품 제조업
4,(주)CMG제약,58820,2015,-32.22,27041894.0,17237814.0,27041894.0,17237814.0,의료용 물질 및 의약품 제조업
5,(주)CMG제약,58820,2016,11111111.11,32969825.0,19663389.0,32969825.0,19663389.0,의료용 물질 및 의약품 제조업
6,(주)CMG제약,58820,2017,11111111.11,41535588.0,23497552.0,41535588.0,23497552.0,의료용 물질 및 의약품 제조업
7,(주)CMG제약,58820,2018,11111111.11,49864782.0,27124841.0,49864782.0,27124841.0,의료용 물질 및 의약품 제조업
8,(주)CMG제약,58820,2019,303.0,58622681.0,29700050.0,58622681.0,29700050.0,의료용 물질 및 의약품 제조업
9,(주)DB하이텍,990,2011,-0.75,534317238.0,443140034.0,552216245.0,460440945.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
10,(주)DB하이텍,990,2012,-0.31,583901597.0,486953432.0,590786488.0,494003057.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
11,(주)DB하이텍,990,2013,-0.16,493752028.0,404500718.0,493752028.0,404500718.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
12,(주)DB하이텍,990,2014,0.67,567718224.0,430813375.0,567718224.0,430813375.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
13,(주)DB하이텍,990,2015,2.5,666594987.0,436915515.0,666594987.0,436915515.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
14,(주)DB하이텍,990,2016,4.41,773140180.0,483129939.0,773140180.0,483129939.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
15,(주)DB하이텍,990,2017,6.05,679737744.0,426170592.0,679737744.0,426170592.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
16,(주)DB하이텍,990,2018,6.77,669279136.0,453942755.0,669279136.0,453942755.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
17,(주)DB하이텍,990,2019,13.44,807416423.0,513292637.0,807416423.0,513292637.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
18,(주)ES큐브,50120,2011,-245.99,41700477.0,29104839.0,53379952.0,38476771.0,도매 및 상품 중개업
19,(주)ES큐브,50120,2012,1.72,44178050.0,31651298.0,55971147.0,40290541.0,도매 및 상품 중개업
20,(주)ES큐브,50120,2013,-37.44,45823196.0,34023346.0,58597361.0,44088670.0,도매 및 상품 중개업
21,(주)ES큐브,50120,2014,22.2,37188072.0,30573957.0,44459581.0,34936541.0,도매 및 상품 중개업
22,(주)ES큐브,50120,2015,-11.86,36887119.0,30735643.0,42152967.0,30433006.0,도매 및 상품 중개업
23,(주)ES큐브,50120,2016,8.98,34818205.0,28468888.0,34289385.0,24454448.0,도매 및 상품 중개업
24,(주)ES큐브,50120,2017,2.86,37104908.0,30497256.0,35745794.0,26057940.0,도매 및 상품 중개업
25,(주)ES큐브,50120,2018,-0.82,31308873.0,25693835.0,33763508.0,26036057.0,도매 및 상품 중개업
26,(주)ES큐브,50120,2019,-0.68,28527284.0,22708418.0,43708239.0,35510791.0,도매 및 상품 중개업
27,(주)HJ중공업,97230,2011,0.55,2316017000.0,2156842000.0,2891499000.0,2664558000.0,종합 건설업
28,(주)HJ중공업,97230,2012,0.27,1980761000.0,1833445000.0,2549319000.0,2358260000.0,종합 건설업
29,(주)HJ중공업,97230,2013,-0.4,1927307000.0,1900927000.0,2529341000.0,2464368000.0,종합 건설업
30,(주)HJ중공업,97230,2014,-0.88,1799016000.0,1798250000.0,2520325000.0,2537259000.0,종합 건설업
31,(주)HJ중공업,97230,2015,-0.5,2041347000.0,1972358000.0,3115473000.0,3004437000.0,종합 건설업
32,(주)HJ중공업,97230,2016,-0.58,1928591000.0,1776465000.0,2813271000.0,2753545000.0,종합 건설업
33,(주)HJ중공업,97230,2017,-1.08,1737428000.0,1545012000.0,2452314000.0,2431066000.0,종합 건설업
34,(주)HJ중공업,97230,2018,0.62,1750954000.0,1551132000.0,1697869000.0,1557089000.0,종합 건설업
35,(주)HJ중공업,97230,2019,0.69,1609530000.0,1439132000.0,1628751000.0,1451267000.0,종합 건설업
36,(주)MH에탄올,23150,2011,0.12,43206995.0,32715976.0,44785159.0,37258514.0,음료 제조업
37,(주)MH에탄올,23150,2012,1.08,45488675.0,35478357.0,59768175.0,49030452.0,음료 제조업
38,(주)MH에탄올,23150,2013,0.87,46298516.0,33247791.0,62199887.0,54316861.0,음료 제조업
39,(주)MH에탄올,23150,2014,5.62,48983781.0,37109977.0,48983781.0,37109977.0,음료 제조업
40,(주)MH에탄올,23150,2015,12.69,50386203.0,36425005.0,50386203.0,36425005.0,음료 제조업
41,(주)MH에탄올,23150,2016,29.41,48897025.0,33962392.0,48897025.0,33962392.0,음료 제조업
42,(주)MH에탄올,23150,2017,3.46,48270464.0,34577247.0,51977132.0,37225576.0,음료 제조업
43,(주)MH에탄올,23150,2018,0.1,46943080.0,34331318.0,72795863.0,53524709.0,음료 제조업
44,(주)MH에탄올,23150,2019,0.73,46992295.0,35415661.0,80879342.0,54219181.0,음료 제조업
45,(주)SH에너지화학,2360,2011,2.82,172752632.0,160574493.0,173209351.0,160789710.0,화학물질 및 화학제품 제조업; 의약품 제외
46,(주)SH에너지화학,2360,2012,1.72,191907628.0,178516652.0,193950102.0,178829327.0,화학물질 및 화학제품 제조업; 의약품 제외
47,(주)SH에너지화학,2360,2013,5.3,229783541.0,213397080.0,231912218.0,213952261.0,화학물질 및 화학제품 제조업; 의약품 제외
48,(주)SH에너지화학,2360,2014,26.68,226971465.0,196829927.0,230912587.0,197661842.0,화학물질 및 화학제품 제조업; 의약품 제외
49,(주)SH에너지화학,2360,2015,84.87,213882181.0,179081363.0,216441364.0,179135051.0,화학물질 및 화학제품 제조업; 의약품 제외
50,(주)SH에너지화학,2360,2016,210.93,214380015.0,179726464.0,218397677.0,179759098.0,화학물질 및 화학제품 제조업; 의약품 제외
51,(주)SH에너지화학,2360,2017,162.17,184672638.0,161711689.0,188114822.0,161824273.0,화학물질 및 화학제품 제조업; 의약품 제외
52,(주)SH에너지화학,2360,2018,22.72,180753289.0,169058462.0,183598766.0,171330094.0,화학물질 및 화학제품 제조업; 의약품 제외
53,(주)SH에너지화학,2360,2019,-24.12,138161816.0,131861388.0,140852575.0,134184400.0,화학물질 및 화학제품 제조업; 의약품 제외
54,(주)SIMPAC,9160,2011,20.93,213867522.0,169699426.0,215365697.0,170409718.0,1차 금속 제조업
55,(주)SIMPAC,9160,2012,15.51,223854758.0,182101881.0,225353321.0,182861979.0,1차 금속 제조업
56,(주)SIMPAC,9160,2013,16.58,204527751.0,163875499.0,205751154.0,164405183.0,1차 금속 제조업
