,회사명,거래소코드,회계년도,이자보상배율,회사명_1,거래소코드_1,회계연도_1,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
0,(주)CMG제약,58820,2011,3.53,(주)CMG제약,58820,2011,17751704,10325799,17751704,10325799,의료용 물질 및 의약품 제조업
1,(주)CMG제약,58820,2012,-7.75,(주)CMG제약,58820,2012,16255389,11648690,16255389,11648690,의료용 물질 및 의약품 제조업
2,(주)CMG제약,58820,2013,0.7,(주)CMG제약,58820,2013,20322140,12506817,20402140,12506817,의료용 물질 및 의약품 제조업
3,(주)CMG제약,58820,2014,3.6,(주)CMG제약,58820,2014,22752584,14318048,22752584,14318048,의료용 물질 및 의약품 제조업
4,(주)CMG제약,58820,2015,-32.22,(주)CMG제약,58820,2015,27041894,17237814,27041894,17237814,의료용 물질 및 의약품 제조업
5,(주)CMG제약,58820,2016,11111111.11,(주)CMG제약,58820,2016,32969825,19663389,32969825,19663389,의료용 물질 및 의약품 제조업
6,(주)CMG제약,58820,2017,11111111.11,(주)CMG제약,58820,2017,41535588,23497552,41535588,23497552,의료용 물질 및 의약품 제조업
7,(주)CMG제약,58820,2018,11111111.11,(주)CMG제약,58820,2018,49864782,27124841,49864782,27124841,의료용 물질 및 의약품 제조업
8,(주)CMG제약,58820,2019,303,(주)CMG제약,58820,2019,58622681,29700050,58622681,29700050,의료용 물질 및 의약품 제조업
9,(주)DB하이텍,990,2011,-0.75,(주)DB하이텍,990,2011,534317238,443140034,552216245,460440945,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
10,(주)DB하이텍,990,2012,-0.31,(주)DB하이텍,990,2012,583901597,486953432,590786488,494003057,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
11,(주)DB하이텍,990,2013,-0.16,(주)DB하이텍,990,2013,493752028,404500718,493752028,404500718,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
12,(주)DB하이텍,990,2014,0.67,(주)DB하이텍,990,2014,567718224,430813375,567718224,430813375,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
13,(주)DB하이텍,990,2015,2.5,(주)DB하이텍,990,2015,666594987,436915515,666594987,436915515,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
14,(주)DB하이텍,990,2016,4.41,(주)DB하이텍,990,2016,773140180,483129939,773140180,483129939,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
15,(주)DB하이텍,990,2017,6.05,(주)DB하이텍,990,2017,679737744,426170592,679737744,426170592,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
16,(주)DB하이텍,990,2018,6.77,(주)DB하이텍,990,2018,669279136,453942755,669279136,453942755,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
17,(주)DB하이텍,990,2019,13.44,(주)DB하이텍,990,2019,807416423,513292637,807416423,513292637,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
18,(주)ES큐브,50120,2011,-245.99,(주)ES큐브,50120,2011,41700477,29104839,53379952,38476771,도매 및 상품 중개업
19,(주)ES큐브,50120,2012,1.72,(주)ES큐브,50120,2012,44178050,31651298,55971147,40290541,도매 및 상품 중개업
20,(주)ES큐브,50120,2013,-37.44,(주)ES큐브,50120,2013,45823196,34023346,58597361,44088670,도매 및 상품 중개업
21,(주)ES큐브,50120,2014,22.2,(주)ES큐브,50120,2014,37188072,30573957,44459581,34936541,도매 및 상품 중개업
22,(주)ES큐브,50120,2015,-11.86,(주)ES큐브,50120,2015,36887119,30735643,42152967,30433006,도매 및 상품 중개업
23,(주)ES큐브,50120,2016,8.98,(주)ES큐브,50120,2016,34818205,28468888,34289385,24454448,도매 및 상품 중개업
24,(주)ES큐브,50120,2017,2.86,(주)ES큐브,50120,2017,37104908,30497256,35745794,26057940,도매 및 상품 중개업
25,(주)ES큐브,50120,2018,-0.82,(주)ES큐브,50120,2018,31308873,25693835,33763508,26036057,도매 및 상품 중개업
26,(주)ES큐브,50120,2019,-0.68,(주)ES큐브,50120,2019,28527284,22708418,43708239,35510791,도매 및 상품 중개업
27,(주)HJ중공업,97230,2011,0.55,(주)HJ중공업,97230,2011,2316017000,2156842000,2891499000,2664558000,종합 건설업
28,(주)HJ중공업,97230,2012,0.27,(주)HJ중공업,97230,2012,1980761000,1833445000,2549319000,2358260000,종합 건설업
29,(주)HJ중공업,97230,2013,-0.4,(주)HJ중공업,97230,2013,1927307000,1900927000,2529341000,2464368000,종합 건설업
30,(주)HJ중공업,97230,2014,-0.88,(주)HJ중공업,97230,2014,1799016000,1798250000,2520325000,2537259000,종합 건설업
31,(주)HJ중공업,97230,2015,-0.5,(주)HJ중공업,97230,2015,2041347000,1972358000,3115473000,3004437000,종합 건설업
32,(주)HJ중공업,97230,2016,-0.58,(주)HJ중공업,97230,2016,1928591000,1776465000,2813271000,2753545000,종합 건설업
33,(주)HJ중공업,97230,2017,-1.08,(주)HJ중공업,97230,2017,1737428000,1545012000,2452314000,2431066000,종합 건설업
34,(주)HJ중공업,97230,2018,0.62,(주)HJ중공업,97230,2018,1750954000,1551132000,1697869000,1557089000,종합 건설업
35,(주)HJ중공업,97230,2019,0.69,(주)HJ중공업,97230,2019,1609530000,1439132000,1628751000,1451267000,종합 건설업
36,(주)MH에탄올,23150,2011,0.12,(주)MH에탄올,23150,2011,43206995,32715976,44785159,37258514,음료 제조업
37,(주)MH에탄올,23150,2012,1.08,(주)MH에탄올,23150,2012,45488675,35478357,59768175,49030452,음료 제조업
38,(주)MH에탄올,23150,2013,0.87,(주)MH에탄올,23150,2013,46298516,33247791,62199887,54316861,음료 제조업
39,(주)MH에탄올,23150,2014,5.62,(주)MH에탄올,23150,2014,48983781,37109977,48983781,37109977,음료 제조업
40,(주)MH에탄올,23150,2015,12.69,(주)MH에탄올,23150,2015,50386203,36425005,50386203,36425005,음료 제조업
41,(주)MH에탄올,23150,2016,29.41,(주)MH에탄올,23150,2016,48897025,33962392,48897025,33962392,음료 제조업
42,(주)MH에탄올,23150,2017,3.46,(주)MH에탄올,23150,2017,48270464,34577247,51977132,37225576,음료 제조업
43,(주)MH에탄올,23150,2018,0.1,(주)MH에탄올,23150,2018,46943080,34331318,72795863,53524709,음료 제조업
44,(주)MH에탄올,23150,2019,0.73,(주)MH에탄올,23150,2019,46992295,35415661,80879342,54219181,음료 제조업
45,(주)SH에너지화학,2360,2011,2.82,(주)SH에너지화학,2360,2011,172752632,160574493,173209351,160789710,화학물질 및 화학제품 제조업; 의약품 제외
46,(주)SH에너지화학,2360,2012,1.72,(주)SH에너지화학,2360,2012,191907628,178516652,193950102,178829327,화학물질 및 화학제품 제조업; 의약품 제외
47,(주)SH에너지화학,2360,2013,5.3,(주)SH에너지화학,2360,2013,229783541,213397080,231912218,213952261,화학물질 및 화학제품 제조업; 의약품 제외
48,(주)SH에너지화학,2360,2014,26.68,(주)SH에너지화학,2360,2014,226971465,196829927,230912587,197661842,화학물질 및 화학제품 제조업; 의약품 제외
49,(주)SH에너지화학,2360,2015,84.87,(주)SH에너지화학,2360,2015,213882181,179081363,216441364,179135051,화학물질 및 화학제품 제조업; 의약품 제외
50,(주)SH에너지화학,2360,2016,210.93,(주)SH에너지화학,2360,2016,214380015,179726464,218397677,179759098,화학물질 및 화학제품 제조업; 의약품 제외
51,(주)SH에너지화학,2360,2017,162.17,(주)SH에너지화학,2360,2017,184672638,161711689,188114822,161824273,화학물질 및 화학제품 제조업; 의약품 제외
52,(주)SH에너지화학,2360,2018,22.72,(주)SH에너지화학,2360,2018,180753289,169058462,183598766,171330094,화학물질 및 화학제품 제조업; 의약품 제외
53,(주)SH에너지화학,2360,2019,-24.12,(주)SH에너지화학,2360,2019,138161816,131861388,140852575,134184400,화학물질 및 화학제품 제조업; 의약품 제외
54,(주)SIMPAC,9160,2011,20.93,(주)SIMPAC,9160,2011,213867522,169699426,215365697,170409718,1차 금속 제조업
55,(주)SIMPAC,9160,2012,15.51,(주)SIMPAC,9160,2012,223854758,182101881,225353321,182861979,1차 금속 제조업
56,(주)SIMPAC,9160,2013,16.58,(주)SIMPAC,9160,2013,204527751,163875499,205751154,164405183,1차 금속 제조업
57,(주)SIMPAC,9160,2014,8.48,(주)SIMPAC,9160,2014,227491803,188349315,263152264,220084616,1차 금속 제조업
58,(주)SIMPAC,9160,2015,14.66,(주)SIMPAC,9160,2015,213152303,171341851,269528038,221412942,1차 금속 제조업
59,(주)SIMPAC,9160,2016,16.75,(주)SIMPAC,9160,2016,215839356,175971604,267074156,217713888,1차 금속 제조업
60,(주)SIMPAC,9160,2017,10.1,(주)SIMPAC,9160,2017,203150228,168484356,230634812,193009825,1차 금속 제조업
61,(주)SIMPAC,9160,2018,4.07,(주)SIMPAC,9160,2018,268863854,243575353,306150809,271995017,1차 금속 제조업
62,(주)SIMPAC,9160,2019,3.47,(주)SIMPAC,9160,2019,391970769,357126998,430085162,385305111,1차 금속 제조업
63,(주)SNT에너지,100840,2011,-9.21,(주)SNT에너지,100840,2011,195318747,181219511,,,기타 기계 및 장비 제조업
64,(주)SNT에너지,100840,2012,77.44,(주)SNT에너지,100840,2012,230707564,191839172,,,기타 기계 및 장비 제조업
65,(주)SNT에너지,100840,2013,50.81,(주)SNT에너지,100840,2013,200750984,161808099,,,기타 기계 및 장비 제조업
66,(주)SNT에너지,100840,2014,41.09,(주)SNT에너지,100840,2014,242746888,203611420,,,기타 기계 및 장비 제조업
67,(주)SNT에너지,100840,2015,359.1,(주)SNT에너지,100840,2015,260094045,202305297,,,기타 기계 및 장비 제조업
68,(주)SNT에너지,100840,2016,11111111.11,(주)SNT에너지,100840,2016,254089906,204980319,,,기타 기계 및 장비 제조업
69,(주)SNT에너지,100840,2017,11111111.11,(주)SNT에너지,100840,2017,184091945,146050315,,,기타 기계 및 장비 제조업
