,회사명,거래소코드,회계년도,이자보상배율
0,(주)CMG제약,58820,11-Dec,3.53
1,(주)CMG제약,58820,12-Dec,-7.75
2,(주)CMG제약,58820,13-Dec,0.7
3,(주)CMG제약,58820,14-Dec,3.6
4,(주)CMG제약,58820,15-Dec,-32.22
5,(주)CMG제약,58820,16-Dec,11111111.11
6,(주)CMG제약,58820,17-Dec,11111111.11
7,(주)CMG제약,58820,18-Dec,11111111.11
8,(주)CMG제약,58820,19-Dec,303.0
9,(주)DB하이텍,990,11-Dec,-0.75
10,(주)DB하이텍,990,12-Dec,-0.31
11,(주)DB하이텍,990,13-Dec,-0.16
12,(주)DB하이텍,990,14-Dec,0.67
13,(주)DB하이텍,990,15-Dec,2.5
14,(주)DB하이텍,990,16-Dec,4.41
15,(주)DB하이텍,990,17-Dec,6.05
16,(주)DB하이텍,990,18-Dec,6.77
17,(주)DB하이텍,990,19-Dec,13.44
18,(주)ES큐브,50120,11-Dec,-245.99
19,(주)ES큐브,50120,12-Dec,1.72
20,(주)ES큐브,50120,13-Dec,-37.44
21,(주)ES큐브,50120,14-Dec,22.2
22,(주)ES큐브,50120,15-Dec,-11.86
23,(주)ES큐브,50120,16-Dec,8.98
24,(주)ES큐브,50120,17-Dec,2.86
25,(주)ES큐브,50120,18-Dec,-0.82
26,(주)ES큐브,50120,19-Dec,-0.68
27,(주)HJ중공업,97230,11-Dec,0.55
28,(주)HJ중공업,97230,12-Dec,0.27
29,(주)HJ중공업,97230,13-Dec,-0.4
30,(주)HJ중공업,97230,14-Dec,-0.88
31,(주)HJ중공업,97230,15-Dec,-0.5
32,(주)HJ중공업,97230,16-Dec,-0.58
33,(주)HJ중공업,97230,17-Dec,-1.08
34,(주)HJ중공업,97230,18-Dec,0.62
35,(주)HJ중공업,97230,19-Dec,0.69
36,(주)MH에탄올,23150,11-Dec,0.12
37,(주)MH에탄올,23150,12-Dec,1.08
38,(주)MH에탄올,23150,13-Dec,0.87
39,(주)MH에탄올,23150,14-Dec,5.62
40,(주)MH에탄올,23150,15-Dec,12.69
41,(주)MH에탄올,23150,16-Dec,29.41
42,(주)MH에탄올,23150,17-Dec,3.46
43,(주)MH에탄올,23150,18-Dec,0.1
44,(주)MH에탄올,23150,19-Dec,0.73
45,(주)SH에너지화학,2360,11-Dec,2.82
46,(주)SH에너지화학,2360,12-Dec,1.72
47,(주)SH에너지화학,2360,13-Dec,5.3
48,(주)SH에너지화학,2360,14-Dec,26.68
49,(주)SH에너지화학,2360,15-Dec,84.87
50,(주)SH에너지화학,2360,16-Dec,210.93
51,(주)SH에너지화학,2360,17-Dec,162.17
52,(주)SH에너지화학,2360,18-Dec,22.72
53,(주)SH에너지화학,2360,19-Dec,-24.12
54,(주)SIMPAC,9160,11-Dec,20.93
55,(주)SIMPAC,9160,12-Dec,15.51
56,(주)SIMPAC,9160,13-Dec,16.58
57,(주)SIMPAC,9160,14-Dec,8.48
