,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가 대 매출액비율,금융비용부담률,금융비용 대 총비용비율,이자부담률,지급이자율,차입금평균이자율,매출액정상영업이익률,유동자산구성비율,재고자산 대 유동자산비율,당좌자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,순운전자본비율,차입금비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,운전자본회전률,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,이자보상배율
0,(주)DB하이텍,990,2011,-13.19,-7.89,-10.08,-3.28,-22.6,-10.94,0.0,0.0,16.62,-17.74,-7.59,-27.74,83.38,9.4,5.54,8.13,7.71,23.33,27.57,16.9,25.69,74.31,143.54,35.2,25.5,5.04,0.0,336.28,289.22,257.97,0.0,-42.95,229.64,5.87,7.39,9.47,0.43,1.56,0.59,20.51,17.79,1.87,2.54,7.04,6.12,59.6,0.7,0.72,0.0,284.94,107.56,461.22,18.17,29.75,78.9,39.45,-0.75
1,(주)DB하이텍,990,2012,-3.44,-9.69,10.52,2.79,-5.57,6.98,0.0,0.0,16.38,-5.31,-2.66,-10.47,83.62,7.81,5.25,7.36,7.23,26.7,25.64,19.86,25.13,74.87,130.71,55.66,41.39,7.19,0.0,384.99,298.0,190.94,68.49,-21.27,234.33,7.77,9.87,11.39,0.5,1.97,0.67,28.86,12.65,2.01,2.73,7.56,8.08,45.19,0.82,0.61,0.0,287.76,95.01,498.73,21.22,37.03,112.22,41.58,-0.31
2,(주)DB하이텍,990,2013,-8.58,-7.2,-27.88,-8.69,-29.61,-16.42,0.0,0.0,18.08,-16.82,-7.49,-33.51,81.92,11.47,6.58,8.97,8.85,21.07,32.46,14.23,19.35,80.65,92.0,46.76,31.58,7.39,0.0,199.26,416.9,232.89,58.3,-23.99,324.25,5.99,7.7,10.36,0.45,1.99,0.57,20.81,17.54,1.86,2.6,6.51,7.74,47.13,0.75,0.63,0.0,280.56,79.53,489.96,18.1,31.86,112.45,38.8,-0.16
3,(주)DB하이텍,990,2014,-6.95,-6.96,11.04,-4.42,-41.05,14.98,0.0,0.0,24.11,-13.56,-7.54,-47.32,75.89,11.58,7.65,10.27,10.23,25.14,27.94,18.11,12.26,87.74,54.23,65.77,47.39,10.72,0.0,225.55,715.95,311.87,40.52,-13.08,545.5,4.42,5.81,6.73,0.56,3.49,0.66,17.22,21.2,2.41,3.45,8.02,8.06,45.31,0.92,0.86,0.0,275.62,68.42,501.23,19.02,33.99,136.97,33.0,0.67
4,(주)DB하이텍,990,2015,-0.02,-9.91,36.42,20.64,110.48,17.42,0.0,174.29,34.46,19.01,12.87,67.63,65.54,7.31,6.11,9.52,8.45,34.3,24.71,25.83,25.8,74.2,114.15,138.4,104.2,44.31,89.06,207.92,287.57,96.06,23.96,9.52,206.91,13.74,19.1,15.06,0.68,3.56,0.84,16.56,22.04,2.28,3.08,8.73,7.67,47.58,1.19,1.11,0.0,244.25,83.69,501.83,39.21,78.88,230.24,57.93,2.5
5,(주)DB하이텍,990,2016,0.22,2.73,9.23,-8.52,34.58,15.98,-30.29,37.98,37.51,11.43,8.96,29.65,62.49,4.85,5.45,9.26,8.25,37.39,20.69,29.65,34.65,65.35,153.63,134.53,106.69,42.15,80.62,249.46,188.6,80.2,33.11,9.6,123.51,31.09,47.48,25.94,0.78,2.59,1.12,17.48,20.88,2.19,2.83,9.68,7.64,47.75,1.43,1.26,0.0,0.0,0.0,0.0,34.56,67.56,173.22,44.11,4.41
6,(주)DB하이텍,990,2017,0.73,1.44,-4.14,-1.74,33.31,-12.08,24.71,-16.95,37.3,16.21,11.12,27.62,62.7,3.19,3.67,6.66,6.09,35.58,21.21,28.03,45.86,54.14,204.8,243.53,191.87,74.02,35.99,252.94,118.07,31.86,11.24,20.97,78.01,40.08,60.67,31.74,0.69,1.7,1.15,17.41,20.96,1.88,2.38,8.98,6.94,52.61,1.23,1.19,0.0,0.0,0.0,0.0,33.14,63.21,148.35,48.46,6.05
7,(주)DB하이텍,990,2018,7.3,7.56,8.4,-42.83,22.51,-1.54,-21.19,-21.09,32.17,12.97,8.43,17.12,67.83,1.93,2.47,5.48,5.06,35.95,11.19,31.92,52.36,47.64,250.9,244.51,217.15,75.96,18.93,271.06,91.0,28.08,9.05,21.24,54.62,35.76,59.59,27.15,0.65,1.32,1.28,19.03,19.18,1.82,2.16,11.35,7.25,50.33,1.16,1.29,0.0,0.0,0.0,0.0,28.98,61.13,140.95,46.18,6.77
8,(주)DB하이텍,990,2019,2.1,3.18,11.19,20.86,15.45,20.64,20.51,60.45,36.43,12.96,9.71,17.4,63.57,1.25,2.11,5.34,4.84,39.15,12.16,34.39,59.2,40.8,289.66,194.01,170.41,38.58,25.1,332.91,68.91,34.08,25.48,18.97,39.2,38.43,67.56,21.14,0.75,1.34,1.7,24.06,15.17,1.99,2.26,17.05,8.04,45.4,1.33,1.36,0.98,0.0,0.0,0.0,34.83,67.3,135.21,46.97,13.44
9,(주)HJ중공업,97230,2011,-6.49,-1.53,-13.26,23.47,-4.59,-8.72,0.0,-9.82,7.85,-3.35,-1.33,-5.07,92.15,5.92,3.19,5.8,6.6,33.99,15.08,28.86,26.53,73.47,772.2,96.33,81.81,34.4,0.0,132.35,276.93,132.98,32.69,-1.29,182.52,-0.99,-1.51,-1.77,0.4,1.51,0.54,10.41,35.07,1.12,1.29,8.86,10.97,33.26,0.91,0.52,0.11,510.77,33.44,2103.09,7.02,15.81,125.15,17.09,0.55
