,회사명,거래소코드,회계년도,매출원가감소율,중간값
0,CMG제약,58820,11-Dec,-24.14,
1,CMG제약,58820,12-Dec,19.44,
2,CMG제약,58820,13-Dec,-18.03,
3,CMG제약,58820,14-Dec,3.17,
4,CMG제약,58820,15-Dec,1.56,
5,CMG제약,58820,16-Dec,-6.67,
6,CMG제약,58820,17-Dec,-5.26,
7,CMG제약,58820,18-Dec,-5.56,
8,CMG제약,58820,19-Dec,-5.88,
9,DB하이텍,990,11-Dec,-46.99,
10,DB하이텍,990,12-Dec,1.19,
11,DB하이텍,990,13-Dec,-2.44,
12,DB하이텍,990,14-Dec,-7.89,
13,DB하이텍,990,15-Dec,-15.15,
14,DB하이텍,990,16-Dec,-6.45,
15,DB하이텍,990,17-Dec,1.59,
16,DB하이텍,990,18-Dec,7.35,
17,DB하이텍,990,19-Dec,-6.25,
18,ES큐브,50120,11-Dec,-4.17,
19,ES큐브,50120,12-Dec,0,
20,ES큐브,50120,13-Dec,4,
21,ES큐브,50120,14-Dec,5.06,
22,ES큐브,50120,15-Dec,-9.72,
23,ES큐브,50120,16-Dec,-1.41,
24,ES큐브,50120,17-Dec,2.74,
25,ES큐브,50120,18-Dec,5.19,
26,ES큐브,50120,19-Dec,4.94,
27,HJ중공업,97230,11-Dec,2.17,
28,HJ중공업,97230,12-Dec,1.08,
29,HJ중공업,97230,13-Dec,4.12,
30,HJ중공업,97230,14-Dec,3.96,
31,HJ중공업,97230,15-Dec,-5.21,
32,HJ중공업,97230,16-Dec,2.04,
33,HJ중공업,97230,17-Dec,1.01,
34,HJ중공업,97230,18-Dec,-7.61,
35,HJ중공업,97230,19-Dec,-3.37,
36,MH에탄올,23150,11-Dec,-2.41,
37,MH에탄올,23150,12-Dec,-1.22,
38,MH에탄올,23150,13-Dec,5.75,
39,MH에탄올,23150,14-Dec,-14.47,
40,MH에탄올,23150,15-Dec,-5.56,
41,MH에탄올,23150,16-Dec,-4.35,
42,MH에탄올,23150,17-Dec,4.17,
43,MH에탄올,23150,18-Dec,2.7,
44,MH에탄올,23150,19-Dec,-10.45,
45,SH에너지화학,2360,11-Dec,2.15,
46,SH에너지화학,2360,12-Dec,-1.09,
47,SH에너지화학,2360,13-Dec,0,
48,SH에너지화학,2360,14-Dec,-6.98,
49,SH에너지화학,2360,15-Dec,-3.61,
50,SH에너지화학,2360,16-Dec,-1.22,
51,SH에너지화학,2360,17-Dec,4.65,
52,SH에너지화학,2360,18-Dec,7.53,
53,SH에너지화학,2360,19-Dec,2.11,
54,SIMPAC,9160,11-Dec,0,
55,SIMPAC,9160,12-Dec,2.47,
56,SIMPAC,9160,13-Dec,-1.25,
57,SIMPAC,9160,14-Dec,4.76,
58,SIMPAC,9160,15-Dec,-2.44,
59,SIMPAC,9160,16-Dec,0,
60,SIMPAC,9160,17-Dec,2.38,
61,SIMPAC,9160,18-Dec,5.62,
62,SIMPAC,9160,19-Dec,1.11,
63,SNT에너지,100840,11-Dec,0,
64,SNT에너지,100840,12-Dec,0,
65,SNT에너지,100840,13-Dec,0,
66,SNT에너지,100840,14-Dec,0,
67,SNT에너지,100840,15-Dec,0,
68,SNT에너지,100840,16-Dec,0,
69,SNT에너지,100840,17-Dec,0,
70,SNT에너지,100840,18-Dec,0,
71,SNT에너지,100840,19-Dec,0,
72,SNT홀딩스,36530,11-Dec,3.448275862,
73,SNT홀딩스,36530,12-Dec,1.136363636,
74,SNT홀딩스,36530,13-Dec,-1.149425287,
75,SNT홀딩스,36530,14-Dec,2.247191011,
76,SNT홀딩스,36530,15-Dec,-7.228915663,
77,SNT홀딩스,36530,16-Dec,4.597701149,
78,SNT홀딩스,36530,17-Dec,-1.162790698,
79,SNT홀딩스,36530,18-Dec,1.149425287,
80,SNT홀딩스,36530,19-Dec,-2.352941176,
81,STX,11810,11-Dec,-1.086956522,
82,STX,11810,12-Dec,10.67961165,
83,STX,11810,13-Dec,19.53125,
84,STX,11810,14-Dec,-37.6344086,
85,STX,11810,15-Dec,4.12371134,
86,STX,11810,16-Dec,-2.105263158,
87,STX,11810,17-Dec,0,
88,STX,11810,18-Dec,4.04040404,
