,회사명,거래소코드,회계년도,배당금감소율여부
0,(주)CMG제약,58820,Dec-10,0
1,(주)CMG제약,58820,Dec-11,0
2,(주)CMG제약,58820,Dec-12,0
3,(주)CMG제약,58820,Dec-13,0
4,(주)CMG제약,58820,Dec-14,0
5,(주)CMG제약,58820,Dec-15,0
6,(주)CMG제약,58820,Dec-16,0
7,(주)CMG제약,58820,Dec-17,0
8,(주)CMG제약,58820,Dec-18,0
9,(주)CMG제약,58820,Dec-19,0
10,(주)DB하이텍,990,Dec-10,0
11,(주)DB하이텍,990,Dec-11,0
12,(주)DB하이텍,990,Dec-12,0
13,(주)DB하이텍,990,Dec-13,0
14,(주)DB하이텍,990,Dec-14,0
15,(주)DB하이텍,990,Dec-15,0
16,(주)DB하이텍,990,Dec-16,0
17,(주)DB하이텍,990,Dec-17,0
18,(주)DB하이텍,990,Dec-18,0
19,(주)DB하이텍,990,Dec-19,0
20,(주)ES큐브,50120,Dec-10,0
21,(주)ES큐브,50120,Dec-11,0
22,(주)ES큐브,50120,Dec-12,0
23,(주)ES큐브,50120,Dec-13,0
24,(주)ES큐브,50120,Dec-14,0
25,(주)ES큐브,50120,Dec-15,0
26,(주)ES큐브,50120,Dec-16,0
27,(주)ES큐브,50120,Dec-17,0
28,(주)ES큐브,50120,Dec-18,0
29,(주)ES큐브,50120,Dec-19,0
30,(주)HJ중공업,97230,Dec-10,0
31,(주)HJ중공업,97230,Dec-11,0
32,(주)HJ중공업,97230,Dec-12,1
33,(주)HJ중공업,97230,Dec-13,0
34,(주)HJ중공업,97230,Dec-14,0
35,(주)HJ중공업,97230,Dec-15,0
36,(주)HJ중공업,97230,Dec-16,0
37,(주)HJ중공업,97230,Dec-17,0
38,(주)HJ중공업,97230,Dec-18,0
39,(주)HJ중공업,97230,Dec-19,0
40,(주)MH에탄올,23150,Dec-10,0
41,(주)MH에탄올,23150,Dec-11,0
42,(주)MH에탄올,23150,Dec-12,0
43,(주)MH에탄올,23150,Dec-13,0
44,(주)MH에탄올,23150,Dec-14,0
45,(주)MH에탄올,23150,Dec-15,0
46,(주)MH에탄올,23150,Dec-16,0
47,(주)MH에탄올,23150,Dec-17,0
48,(주)MH에탄올,23150,Dec-18,0
49,(주)MH에탄올,23150,Dec-19,0
50,(주)SH에너지화학,2360,Dec-10,0
51,(주)SH에너지화학,2360,Dec-11,0
52,(주)SH에너지화학,2360,Dec-12,0
53,(주)SH에너지화학,2360,Dec-13,0
54,(주)SH에너지화학,2360,Dec-14,0
55,(주)SH에너지화학,2360,Dec-15,0
56,(주)SH에너지화학,2360,Dec-16,0
57,(주)SH에너지화학,2360,Dec-17,0
58,(주)SH에너지화학,2360,Dec-18,1
59,(주)SH에너지화학,2360,Dec-19,1
60,(주)SIMPAC,9160,Dec-10,0
61,(주)SIMPAC,9160,Dec-11,0
62,(주)SIMPAC,9160,Dec-12,0
63,(주)SIMPAC,9160,Dec-13,0
64,(주)SIMPAC,9160,Dec-14,1
65,(주)SIMPAC,9160,Dec-15,0
66,(주)SIMPAC,9160,Dec-16,0
67,(주)SIMPAC,9160,Dec-17,1
68,(주)SIMPAC,9160,Dec-18,1
69,(주)SIMPAC,9160,Dec-19,0
70,(주)SNT에너지,100840,Dec-10,0
71,(주)SNT에너지,100840,Dec-11,0
72,(주)SNT에너지,100840,Dec-12,1
73,(주)SNT에너지,100840,Dec-13,0
74,(주)SNT에너지,100840,Dec-14,0
75,(주)SNT에너지,100840,Dec-15,0
76,(주)SNT에너지,100840,Dec-16,0
77,(주)SNT에너지,100840,Dec-17,1
78,(주)SNT에너지,100840,Dec-18,0
79,(주)SNT에너지,100840,Dec-19,0
80,(주)SNT홀딩스,36530,Dec-10,0
81,(주)SNT홀딩스,36530,Dec-11,0
82,(주)SNT홀딩스,36530,Dec-12,0
83,(주)SNT홀딩스,36530,Dec-13,0
84,(주)SNT홀딩스,36530,Dec-14,1
85,(주)SNT홀딩스,36530,Dec-15,1
86,(주)SNT홀딩스,36530,Dec-16,0
87,(주)SNT홀딩스,36530,Dec-17,0
88,(주)SNT홀딩스,36530,Dec-18,1
89,(주)SNT홀딩스,36530,Dec-19,0
90,(주)STX,11810,Dec-10,0
91,(주)STX,11810,Dec-11,0
92,(주)STX,11810,Dec-12,0
93,(주)STX,11810,Dec-13,1
94,(주)STX,11810,Dec-14,1
95,(주)STX,11810,Dec-15,0
96,(주)STX,11810,Dec-16,0
97,(주)STX,11810,Dec-17,0
98,(주)STX,11810,Dec-18,0
99,(주)STX,11810,Dec-19,0
100,(주)TCC스틸,2710,Dec-10,0
101,(주)TCC스틸,2710,Dec-11,0
102,(주)TCC스틸,2710,Dec-12,0
103,(주)TCC스틸,2710,Dec-13,0
104,(주)TCC스틸,2710,Dec-14,1
105,(주)TCC스틸,2710,Dec-15,0
106,(주)TCC스틸,2710,Dec-16,1
107,(주)TCC스틸,2710,Dec-17,0
108,(주)TCC스틸,2710,Dec-18,0
109,(주)TCC스틸,2710,Dec-19,0
110,(주)가비아,79940,Dec-10,0
111,(주)가비아,79940,Dec-11,0
112,(주)가비아,79940,Dec-12,0
113,(주)가비아,79940,Dec-13,1
114,(주)가비아,79940,Dec-14,0
115,(주)가비아,79940,Dec-15,0
116,(주)가비아,79940,Dec-16,0
117,(주)가비아,79940,Dec-17,0
118,(주)가비아,79940,Dec-18,0
119,(주)가비아,79940,Dec-19,0
120,(주)가온칩스,399720,Dec-18,0
121,(주)가온칩스,399720,Dec-19,0
122,(주)강스템바이오텍,217730,Dec-13,0
123,(주)강스템바이오텍,217730,Dec-14,0
124,(주)강스템바이오텍,217730,Dec-15,0
125,(주)강스템바이오텍,217730,Dec-16,0
126,(주)강스템바이오텍,217730,Dec-17,0
127,(주)강스템바이오텍,217730,Dec-18,0
128,(주)강스템바이오텍,217730,Dec-19,0
129,(주)강원랜드,35250,Dec-10,0
130,(주)강원랜드,35250,Dec-11,0
131,(주)강원랜드,35250,Dec-12,0
132,(주)강원랜드,35250,Dec-13,1
133,(주)강원랜드,35250,Dec-14,0
134,(주)강원랜드,35250,Dec-15,0
135,(주)강원랜드,35250,Dec-16,0
136,(주)강원랜드,35250,Dec-17,0
137,(주)강원랜드,35250,Dec-18,0
138,(주)강원랜드,35250,Dec-19,0
139,(주)강원에너지,114190,Nov-10,0
140,(주)강원에너지,114190,Nov-11,0
141,(주)강원에너지,114190,Dec-12,0
142,(주)강원에너지,114190,Dec-13,1
143,(주)강원에너지,114190,Dec-14,1
144,(주)강원에너지,114190,Dec-15,1
145,(주)강원에너지,114190,Dec-16,0
146,(주)강원에너지,114190,Dec-17,0
147,(주)강원에너지,114190,Dec-18,0
148,(주)강원에너지,114190,Dec-19,0
149,(주)갤럭시아에스엠,11420,Dec-10,0
150,(주)갤럭시아에스엠,11420,Dec-11,0
151,(주)갤럭시아에스엠,11420,Dec-12,0
152,(주)갤럭시아에스엠,11420,Dec-13,0
153,(주)갤럭시아에스엠,11420,Dec-14,0
154,(주)갤럭시아에스엠,11420,Dec-15,0
155,(주)갤럭시아에스엠,11420,Dec-16,0
156,(주)갤럭시아에스엠,11420,Dec-17,0
157,(주)갤럭시아에스엠,11420,Dec-18,0
158,(주)갤럭시아에스엠,11420,Dec-19,0
159,(주)경농,2100,Dec-10,0
160,(주)경농,2100,Dec-11,0
161,(주)경농,2100,Dec-12,0
162,(주)경농,2100,Dec-13,0
163,(주)경농,2100,Dec-14,0
164,(주)경농,2100,Dec-15,0
165,(주)경농,2100,Dec-16,0
166,(주)경농,2100,Dec-17,0
167,(주)경농,2100,Dec-18,0
168,(주)경농,2100,Dec-19,0
169,(주)경동나비엔,9450,Dec-10,0
170,(주)경동나비엔,9450,Dec-11,0
171,(주)경동나비엔,9450,Dec-12,0
172,(주)경동나비엔,9450,Dec-13,0
173,(주)경동나비엔,9450,Dec-14,0
174,(주)경동나비엔,9450,Dec-15,0
175,(주)경동나비엔,9450,Dec-16,0
176,(주)경동나비엔,9450,Dec-17,0
177,(주)경동나비엔,9450,Dec-18,0
178,(주)경동나비엔,9450,Dec-19,0
179,(주)경동도시가스,267290,Dec-17,0
180,(주)경동도시가스,267290,Dec-18,0
181,(주)경동도시가스,267290,Dec-19,0
182,(주)경동인베스트,12320,Dec-10,0
183,(주)경동인베스트,12320,Dec-11,0
184,(주)경동인베스트,12320,Dec-12,0
185,(주)경동인베스트,12320,Dec-13,0
186,(주)경동인베스트,12320,Dec-14,0
187,(주)경동인베스트,12320,Dec-15,0
188,(주)경동인베스트,12320,Dec-16,0
189,(주)경동인베스트,12320,Dec-17,0
190,(주)경동인베스트,12320,Dec-18,1
191,(주)경동인베스트,12320,Dec-19,0
192,(주)경방,50,Dec-10,0
193,(주)경방,50,Dec-11,0
194,(주)경방,50,Dec-12,1
195,(주)경방,50,Dec-13,0
196,(주)경방,50,Dec-14,0
197,(주)경방,50,Dec-15,0
198,(주)경방,50,Dec-16,0
199,(주)경방,50,Dec-17,0
200,(주)경방,50,Dec-18,0
201,(주)경방,50,Dec-19,1
202,(주)경보제약,214390,Dec-10,0
203,(주)경보제약,214390,Dec-11,0
204,(주)경보제약,214390,Dec-12,0
205,(주)경보제약,214390,Dec-13,0
206,(주)경보제약,214390,Dec-14,0
207,(주)경보제약,214390,Dec-15,0
208,(주)경보제약,214390,Dec-16,0
209,(주)경보제약,214390,Dec-17,1
210,(주)경보제약,214390,Dec-18,0
211,(주)경보제약,214390,Dec-19,1
212,(주)경인양행,12610,Dec-10,0
213,(주)경인양행,12610,Dec-11,0
214,(주)경인양행,12610,Dec-12,0
215,(주)경인양행,12610,Dec-13,0
216,(주)경인양행,12610,Dec-14,0
217,(주)경인양행,12610,Dec-15,0
218,(주)경인양행,12610,Dec-16,0
219,(주)경인양행,12610,Dec-17,0
220,(주)경인양행,12610,Dec-18,0
221,(주)경인양행,12610,Dec-19,0
222,(주)고려시멘트,198440,Dec-14,0
223,(주)고려시멘트,198440,Dec-15,0
224,(주)고려시멘트,198440,Dec-16,0
225,(주)고려시멘트,198440,Dec-17,0
226,(주)고려시멘트,198440,Dec-18,0
227,(주)고려시멘트,198440,Dec-19,1
228,(주)고바이오랩,348150,Dec-19,0
229,(주)고영테크놀러지,98460,Dec-10,0
230,(주)고영테크놀러지,98460,Dec-11,0
231,(주)고영테크놀러지,98460,Dec-12,0
232,(주)고영테크놀러지,98460,Dec-13,0
233,(주)고영테크놀러지,98460,Dec-14,0
234,(주)고영테크놀러지,98460,Dec-15,0
235,(주)고영테크놀러지,98460,Dec-16,0
236,(주)고영테크놀러지,98460,Dec-17,0
237,(주)고영테크놀러지,98460,Dec-18,0
238,(주)고영테크놀러지,98460,Dec-19,0
239,(주)골드앤에스,35290,Dec-10,0
240,(주)골드앤에스,35290,Dec-11,0
241,(주)골드앤에스,35290,Dec-12,0
242,(주)골드앤에스,35290,Dec-13,0
243,(주)골드앤에스,35290,Dec-14,0
244,(주)골드앤에스,35290,Dec-15,0
245,(주)골드앤에스,35290,Dec-16,0
246,(주)골드앤에스,35290,Dec-17,0
247,(주)골드앤에스,35290,Dec-18,0
248,(주)골드앤에스,35290,Dec-19,0
249,(주)골드퍼시픽,38530,Dec-10,0
250,(주)골드퍼시픽,38530,Dec-11,0
251,(주)골드퍼시픽,38530,Dec-12,0
252,(주)골드퍼시픽,38530,Dec-13,0
253,(주)골드퍼시픽,38530,Dec-14,0
254,(주)골드퍼시픽,38530,Dec-15,0
255,(주)골드퍼시픽,38530,Dec-16,0
256,(주)골드퍼시픽,38530,Dec-17,0
257,(주)골드퍼시픽,38530,Dec-18,0
258,(주)골드퍼시픽,38530,Dec-19,0
259,(주)골프존,215000,Dec-15,0
260,(주)골프존,215000,Dec-16,0
261,(주)골프존,215000,Dec-17,1
262,(주)골프존,215000,Dec-18,0
263,(주)골프존,215000,Dec-19,1
264,(주)골프존뉴딘홀딩스,121440,Dec-10,0
265,(주)골프존뉴딘홀딩스,121440,Dec-11,0
266,(주)골프존뉴딘홀딩스,121440,Dec-12,0
267,(주)골프존뉴딘홀딩스,121440,Dec-13,0
268,(주)골프존뉴딘홀딩스,121440,Dec-14,0
269,(주)골프존뉴딘홀딩스,121440,Dec-15,0
270,(주)골프존뉴딘홀딩스,121440,Dec-16,0
