회사명,거래소코드,회계년도,자본증가율여부(개별),자본증가율여부(연결),차입전략
(주)CMG제약,58820,11-Dec,1,0,0
(주)CMG제약,58820,12-Dec,0,1,0
(주)CMG제약,58820,13-Dec,0,0,0
(주)CMG제약,58820,14-Dec,0,0,0
(주)CMG제약,58820,15-Dec,0,1,0
(주)CMG제약,58820,16-Dec,0,0,0
(주)CMG제약,58820,17-Dec,0,0,0
(주)CMG제약,58820,18-Dec,0,0,0
(주)CMG제약,58820,19-Dec,1,0,1
(주)DB하이텍,990,11-Dec,0,0,0
(주)DB하이텍,990,12-Dec,1,0,0
(주)DB하이텍,990,13-Dec,1,0,0
(주)DB하이텍,990,14-Dec,0,1,0
(주)DB하이텍,990,15-Dec,0,1,0
(주)DB하이텍,990,16-Dec,0,1,0
(주)DB하이텍,990,17-Dec,0,1,0
(주)DB하이텍,990,18-Dec,0,1,1
(주)DB하이텍,990,19-Dec,0,1,1
(주)ES큐브,50120,11-Dec,0,0,0
(주)ES큐브,50120,12-Dec,0,0,0
(주)ES큐브,50120,13-Dec,0,0,0
(주)ES큐브,50120,14-Dec,0,0,0
(주)ES큐브,50120,15-Dec,1,0,0
(주)ES큐브,50120,16-Dec,0,0,0
(주)ES큐브,50120,17-Dec,1,0,0
(주)ES큐브,50120,18-Dec,1,0,0
(주)ES큐브,50120,19-Dec,0,0,0
(주)HJ중공업,97230,11-Dec,0,0,0
(주)HJ중공업,97230,12-Dec,1,0,0
(주)HJ중공업,97230,13-Dec,0,0,0
(주)HJ중공업,97230,14-Dec,0,0,1
(주)HJ중공업,97230,15-Dec,1,0,1
(주)HJ중공업,97230,16-Dec,1,0,0
(주)HJ중공업,97230,17-Dec,1,0,1
(주)HJ중공업,97230,18-Dec,1,0,0
(주)HJ중공업,97230,19-Dec,0,1,1
(주)MH에탄올,23150,11-Dec,1,0,0
(주)MH에탄올,23150,12-Dec,0,0,1
(주)MH에탄올,23150,13-Dec,0,1,1
(주)MH에탄올,23150,14-Dec,0,1,1
(주)MH에탄올,23150,15-Dec,0,1,0
(주)MH에탄올,23150,16-Dec,1,0,0
(주)MH에탄올,23150,17-Dec,0,0,0
(주)MH에탄올,23150,18-Dec,1,0,0
(주)MH에탄올,23150,19-Dec,0,1,0
(주)SH에너지화학,2360,11-Dec,0,0,0
(주)SH에너지화학,2360,12-Dec,0,0,0
(주)SH에너지화학,2360,13-Dec,0,1,0
(주)SH에너지화학,2360,14-Dec,0,0,0
(주)SH에너지화학,2360,15-Dec,0,1,0
(주)SH에너지화학,2360,16-Dec,0,0,0
(주)SH에너지화학,2360,17-Dec,0,0,0
(주)SH에너지화학,2360,18-Dec,1,0,0
(주)SH에너지화학,2360,19-Dec,1,0,1
(주)SNT에너지,100840,11-Dec,#DIV/0!,1,0
(주)SNT에너지,100840,12-Dec,#DIV/0!,0,0
(주)SNT에너지,100840,13-Dec,#DIV/0!,1,0
(주)SNT에너지,100840,14-Dec,#DIV/0!,1,0
(주)SNT에너지,100840,15-Dec,#DIV/0!,0,0
(주)SNT에너지,100840,16-Dec,#DIV/0!,1,0
(주)SNT에너지,100840,17-Dec,#DIV/0!,1,0
(주)SNT에너지,100840,18-Dec,#DIV/0!,0,0
(주)SNT에너지,100840,19-Dec,1,1,0
(주)STX,11810,11-Dec,1,0,0
(주)STX,11810,12-Dec,1,0,0
(주)STX,11810,13-Dec,1,0,0
(주)STX,11810,14-Dec,1,1,0
(주)STX,11810,15-Dec,1,0,1
(주)STX,11810,16-Dec,1,0,0
(주)STX,11810,17-Dec,0,1,0
(주)STX,11810,18-Dec,1,0,0
(주)STX,11810,19-Dec,0,1,0
(주)TCC스틸,2710,11-Dec,1,0,0
(주)TCC스틸,2710,12-Dec,1,0,0
(주)TCC스틸,2710,13-Dec,1,0,1
(주)TCC스틸,2710,14-Dec,1,0,0
(주)TCC스틸,2710,15-Dec,0,1,0
(주)TCC스틸,2710,16-Dec,0,0,0
(주)TCC스틸,2710,17-Dec,0,0,0
(주)TCC스틸,2710,18-Dec,0,0,0
(주)TCC스틸,2710,19-Dec,0,1,1
(주)강스템바이오텍,217730,15-Dec,#DIV/0!,#DIV/0!,0
(주)강스템바이오텍,217730,16-Dec,#DIV/0!,#DIV/0!,1
(주)강스템바이오텍,217730,17-Dec,#DIV/0!,#DIV/0!,0
(주)강스템바이오텍,217730,18-Dec,#DIV/0!,#DIV/0!,0
(주)강스템바이오텍,217730,19-Dec,#DIV/0!,#DIV/0!,1
(주)강원에너지,114190,12-Dec,#DIV/0!,#DIV/0!,0
(주)강원에너지,114190,13-Dec,#DIV/0!,#DIV/0!,0
(주)강원에너지,114190,14-Dec,#DIV/0!,#DIV/0!,0
(주)강원에너지,114190,15-Dec,#DIV/0!,#DIV/0!,0
(주)강원에너지,114190,16-Dec,#DIV/0!,#DIV/0!,0
(주)강원에너지,114190,17-Dec,#DIV/0!,#DIV/0!,0
(주)강원에너지,114190,18-Dec,#DIV/0!,#DIV/0!,0
(주)강원에너지,114190,19-Dec,#DIV/0!,#DIV/0!,1
(주)갤럭시아에스엠,11420,11-Dec,#DIV/0!,#DIV/0!,0
(주)갤럭시아에스엠,11420,12-Dec,#DIV/0!,#DIV/0!,0
(주)갤럭시아에스엠,11420,13-Dec,#DIV/0!,#DIV/0!,0
(주)갤럭시아에스엠,11420,14-Dec,#DIV/0!,#DIV/0!,0
(주)갤럭시아에스엠,11420,15-Dec,#DIV/0!,#DIV/0!,0
