회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,,,
(주)CMG제약,58820,11-Dec,3.94,3.53,3.53,,,
(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75,,,
(주)CMG제약,58820,13-Dec,0.73,0.7,0.7,,,
(주)CMG제약,58820,14-Dec,3.63,3.6,3.6,,,
(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,,,
(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11,,,
(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11,,,
(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11,,,
(주)CMG제약,58820,19-Dec,303,303,303,,,
(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,,,
(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,,,
(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,,,
(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,,,
(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,,,
(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,,,
(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,,,
(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,,,
(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,,,
(주)ES큐브,50120,11-Dec,-142.77,-245.99,-245.99,,,
(주)ES큐브,50120,12-Dec,20.03,1.72,1.72,,,
(주)ES큐브,50120,13-Dec,9.51,-37.44,-37.44,,,
(주)ES큐브,50120,14-Dec,4,22.2,22.2,,,
(주)ES큐브,50120,15-Dec,-160.57,-11.86,-11.86,,,
(주)ES큐브,50120,16-Dec,11.58,8.98,8.98,,,
(주)ES큐브,50120,17-Dec,2.76,2.86,2.86,,,
(주)ES큐브,50120,18-Dec,0.47,-0.82,-0.82,,,
(주)ES큐브,50120,19-Dec,0.17,-0.68,-0.68,,,
(주)MH에탄올,23150,11-Dec,1.5,0.12,0.12,,,
(주)MH에탄올,23150,12-Dec,1.64,1.08,1.08,,,
(주)MH에탄올,23150,13-Dec,3.44,0.87,0.87,,,
(주)MH에탄올,23150,14-Dec,5.62,5.62,5.62,,,
(주)MH에탄올,23150,15-Dec,12.7,12.69,12.69,,,
(주)MH에탄올,23150,16-Dec,29.42,29.41,29.41,,,
(주)MH에탄올,23150,17-Dec,33.29,3.46,3.46,,,
(주)MH에탄올,23150,18-Dec,8.73,0.1,0.1,,,
(주)MH에탄올,23150,19-Dec,7.59,0.73,0.73,,,
(주)STX,11810,11-Dec,0.67,1.66,1.66,,,
(주)STX,11810,12-Dec,0.19,-3.12,-3.12,,,
(주)STX,11810,13-Dec,-0.8,-10.71,-10.71,,,
(주)STX,11810,14-Dec,0.53,0.76,0.76,,,
(주)STX,11810,15-Dec,-0.42,-0.84,-0.84,,,
(주)STX,11810,16-Dec,-2.95,-0.91,-0.91,,,
(주)STX,11810,17-Dec,1.56,2.02,2.02,,,
(주)STX,11810,18-Dec,-0.58,-1.12,-1.12,,,
(주)STX,11810,19-Dec,-1.05,0.11,0.11,,,
(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41,,,
(주)TCC스틸,2710,12-Dec,1.44,0.57,0.57,,,
(주)TCC스틸,2710,13-Dec,1.01,-0.59,-0.59,,,
(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02,,,
(주)TCC스틸,2710,15-Dec,2.11,2.17,2.17,,,
(주)TCC스틸,2710,16-Dec,2.36,2.53,2.53,,,
(주)TCC스틸,2710,17-Dec,1.41,1.55,1.55,,,
(주)TCC스틸,2710,18-Dec,3.46,3.3,3.3,,,
(주)TCC스틸,2710,19-Dec,2.34,2.27,2.27,,,
(주)강스템바이오텍,217730,15-Dec,-5.41,77777777.77,-5.41,,,
(주)강스템바이오텍,217730,16-Dec,-18.89,77777777.77,-18.89,,,
(주)강스템바이오텍,217730,17-Dec,-7.93,-8.15,-8.15,,,
(주)강스템바이오텍,217730,18-Dec,-11.95,-12.31,-12.31,,,
(주)강스템바이오텍,217730,19-Dec,-23.34,-21.5,-21.5,,,
(주)강원에너지,114190,11-Nov,393.9,77777777.77,393.9,,,
(주)강원에너지,114190,12-Dec,58.37,77777777.77,58.37,,,
(주)강원에너지,114190,13-Dec,18.11,77777777.77,18.11,,,
(주)강원에너지,114190,14-Dec,39.01,77777777.77,39.01,,,
(주)강원에너지,114190,15-Dec,762.19,187.51,187.51,,,
(주)강원에너지,114190,16-Dec,-166.16,-241.54,-241.54,,,
(주)강원에너지,114190,17-Dec,-89.84,-26.56,-26.56,,,
(주)강원에너지,114190,18-Dec,0.35,0.2,0.2,,,
(주)강원에너지,114190,19-Dec,-9.33,-8.38,-8.38,,,
(주)갤럭시아에스엠,11420,11-Dec,6.14,6.31,6.31,,,
(주)갤럭시아에스엠,11420,12-Dec,3.15,3.79,3.79,,,
(주)갤럭시아에스엠,11420,13-Dec,2.26,1.9,1.9,,,
(주)갤럭시아에스엠,11420,14-Dec,-1.41,-0.88,-0.88,,,
(주)갤럭시아에스엠,11420,15-Dec,9.86,5.69,5.69,,,
(주)갤럭시아에스엠,11420,16-Dec,-18.56,-18.76,-18.76,,,
(주)갤럭시아에스엠,11420,17-Dec,-33.36,-35.52,-35.52,,,
(주)갤럭시아에스엠,11420,18-Dec,-102.12,-157.86,-157.86,,,
(주)갤럭시아에스엠,11420,19-Dec,-15.22,-8.95,-8.95,,,
(주)골드앤에스,35290,11-Dec,1.25,1.13,1.13,,,
(주)골드앤에스,35290,12-Dec,-1.95,-1.91,-1.91,,,
(주)골드앤에스,35290,13-Dec,-4.6,-3.83,-3.83,,,
(주)골드앤에스,35290,14-Dec,-1.73,-1.41,-1.41,,,
(주)골드앤에스,35290,15-Dec,1.89,1.99,1.99,,,
(주)골드앤에스,35290,16-Dec,2.5,2.42,2.42,,,
(주)골드앤에스,35290,17-Dec,-27.46,-26.15,-26.15,,,
(주)골드앤에스,35290,18-Dec,-4.46,-4.56,-4.56,,,
(주)골드앤에스,35290,19-Dec,-1.46,-1.46,-1.46,,,
(주)골드퍼시픽,38530,11-Dec,14.16,77777777.77,14.16,,,
(주)골드퍼시픽,38530,12-Dec,2.66,77777777.77,2.66,,,
(주)골드퍼시픽,38530,13-Dec,-10.81,-11.34,-11.34,,,
(주)골드퍼시픽,38530,14-Dec,-6.82,-4.33,-4.33,,,
(주)골드퍼시픽,38530,15-Dec,-13.68,-9.59,-9.59,,,
(주)골드퍼시픽,38530,16-Dec,-17.43,77777777.77,-17.43,,,
(주)골드퍼시픽,38530,17-Dec,0.62,77777777.77,0.62,,,
(주)골드퍼시픽,38530,18-Dec,-0.38,-0.68,-0.68,,,
(주)골드퍼시픽,38530,19-Dec,-0.89,77777777.77,-0.89,,,
(주)골프존뉴딘홀딩스,121440,11-Dec,1759.62,1101.46,1101.46,,,
(주)골프존뉴딘홀딩스,121440,12-Dec,48.56,31.08,31.08,,,
(주)골프존뉴딘홀딩스,121440,13-Dec,39.77,25.98,25.98,,,
(주)골프존뉴딘홀딩스,121440,14-Dec,65.05,22.05,22.05,,,
(주)골프존뉴딘홀딩스,121440,15-Dec,-21.02,-1.54,-1.54,,,
(주)골프존뉴딘홀딩스,121440,16-Dec,-4.43,5.22,5.22,,,
(주)골프존뉴딘홀딩스,121440,17-Dec,-4.92,2.81,2.81,,,
(주)골프존뉴딘홀딩스,121440,18-Dec,-7.1,0.15,0.15,,,
(주)골프존뉴딘홀딩스,121440,19-Dec,-9.01,-0.36,-0.36,,,
(주)광림,14200,11-Dec,4.55,77777777.77,4.55,,,
(주)광림,14200,12-Dec,1.71,77777777.77,1.71,,,
(주)광림,14200,13-Dec,6.18,77777777.77,6.18,,,
(주)광림,14200,14-Dec,1.79,0.7,0.7,,,
(주)광림,14200,15-Dec,0.43,77777777.77,0.43,,,
(주)광림,14200,16-Dec,0.16,0.16,0.16,,,
(주)광림,14200,17-Dec,1.64,-3.19,-3.19,,,
(주)광림,14200,18-Dec,1.45,-0.23,-0.23,,,
(주)광림,14200,19-Dec,1.37,-2.3,-2.3,,,
(주)광무,29480,11-Dec,-2.59,-3.01,-3.01,,,
(주)광무,29480,12-Dec,-2.61,-2.69,-2.69,,,
(주)광무,29480,13-Dec,-4.26,-8.2,-8.2,,,
(주)광무,29480,14-Dec,1.12,77777777.77,1.12,,,
(주)광무,29480,15-Dec,-0.8,77777777.77,-0.8,,,
(주)광무,29480,16-Dec,1.93,77777777.77,1.93,,,
(주)광무,29480,17-Dec,0.32,77777777.77,0.32,,,
(주)광무,29480,18-Dec,-1.6,-3.19,-3.19,,,
(주)광무,29480,19-Dec,-2.36,-2.9,-2.9,,,
(주)국보,1140,11-Dec,0.81,0.75,0.75,,,
(주)국보,1140,12-Dec,0.51,0.64,0.64,,,
(주)국보,1140,13-Dec,0.32,0.36,0.36,,,
(주)국보,1140,14-Dec,-1.1,-1.31,-1.31,,,
(주)국보,1140,15-Dec,-1.41,-1.55,-1.55,,,
(주)국보,1140,16-Dec,-0.35,0.14,0.14,,,
(주)국보,1140,17-Dec,-2.36,-2.66,-2.66,,,
(주)국보,1140,18-Dec,-3.67,-4.03,-4.03,,,
(주)국보,1140,19-Dec,-0.74,-0.35,-0.35,,,
(주)국순당,43650,11-Dec,77777777.77,167.22,167.22,,,
(주)국순당,43650,12-Dec,77777777.77,172.69,172.69,,,
(주)국순당,43650,13-Dec,77777777.77,9.21,9.21,,,
(주)국순당,43650,14-Dec,77777777.77,9.17,9.17,,,"140,924"
(주)국순당,43650,15-Dec,77777777.77,-334.84,-334.84,,,170387.5105
(주)국순당,43650,16-Dec,77777777.77,-327.25,-327.25,,,
(주)국순당,43650,17-Dec,77777777.77,-12.28,-12.28,,,
(주)국순당,43650,18-Dec,77777777.77,-7.85,-7.85,,,
(주)국순당,43650,19-Dec,77777777.77,-4.32,-4.32,,,
(주)국영지앤엠,6050,11-Dec,-170.81,77777777.77,-170.81,,,
(주)국영지앤엠,6050,12-Dec,-4.57,77777777.77,-4.57,,,
(주)국영지앤엠,6050,13-Dec,2.35,77777777.77,2.35,,,
(주)국영지앤엠,6050,14-Dec,5.13,77777777.77,5.13,,,
(주)국영지앤엠,6050,15-Dec,-15.79,77777777.77,-15.79,,,
(주)국영지앤엠,6050,16-Dec,3.4,77777777.77,3.4,,,
(주)국영지앤엠,6050,17-Dec,17.57,77777777.77,17.57,,,
(주)국영지앤엠,6050,18-Dec,-18.31,77777777.77,-18.31,,,
(주)국영지앤엠,6050,19-Dec,15.75,77777777.77,15.75,,,
(주)기가레인,49080,13-Dec,5.66,5.72,5.72,,,
(주)기가레인,49080,14-Dec,8.77,7.6,7.6,,,
(주)기가레인,49080,15-Dec,-13.77,-13.79,-13.79,,,
(주)기가레인,49080,16-Dec,-4.42,-4.14,-4.14,,,
(주)기가레인,49080,17-Dec,1.84,1.96,1.96,,,
(주)기가레인,49080,18-Dec,-0.54,-0.71,-0.71,,,
(주)기가레인,49080,19-Dec,-7.54,-8.09,-8.09,,,
(주)기산텔레콤,35460,11-Dec,-5.27,-3.73,-3.73,,,
(주)기산텔레콤,35460,12-Dec,3.47,0.71,0.71,,,
(주)기산텔레콤,35460,13-Dec,6.13,4.99,4.99,,,
(주)기산텔레콤,35460,14-Dec,1.06,2.53,2.53,,,
(주)기산텔레콤,35460,15-Dec,0.86,2.72,2.72,,,
(주)기산텔레콤,35460,16-Dec,-21.26,-5.83,-5.83,,,
(주)기산텔레콤,35460,17-Dec,-15.43,-6.37,-6.37,,,
(주)기산텔레콤,35460,18-Dec,-55.15,-5.52,-5.52,,,
(주)기산텔레콤,35460,19-Dec,18.65,6.63,6.63,,,
(주)까뮤이앤씨,13700,11-Dec,-14.28,77777777.77,-14.28,,,
(주)까뮤이앤씨,13700,12-Dec,0.46,77777777.77,0.46,,,
(주)까뮤이앤씨,13700,13-Dec,-0.14,77777777.77,-0.14,,,
(주)까뮤이앤씨,13700,14-Dec,0.4,77777777.77,0.4,,,
(주)까뮤이앤씨,13700,15-Dec,1.65,77777777.77,1.65,,,
(주)까뮤이앤씨,13700,16-Dec,1.92,77777777.77,1.92,,,
(주)까뮤이앤씨,13700,17-Dec,4.85,77777777.77,4.85,,,
(주)까뮤이앤씨,13700,18-Dec,2.29,77777777.77,2.29,,,
(주)까뮤이앤씨,13700,19-Dec,5.87,77777777.77,5.87,,,
(주)나노,187790,14-Dec,77777777.77,77777777.77,11111111.11,,,
(주)나노,187790,15-Dec,-3.85,-4.06,-4.06,,,
(주)나노,187790,16-Dec,-4.37,-5.47,-5.47,,,
(주)나노,187790,17-Dec,1.5,0.96,0.96,,,
(주)나노,187790,18-Dec,0.7,1.22,1.22,,,
(주)나노,187790,19-Dec,1.2,-0.54,-0.54,,,
(주)나노엔텍,39860,11-Dec,-8.71,-12.31,-12.31,,,
(주)나노엔텍,39860,12-Dec,-4.32,-5.04,-5.04,,,
(주)나노엔텍,39860,13-Dec,1.02,-0.44,-0.44,,,
(주)나노엔텍,39860,14-Dec,0.84,-8.4,-8.4,,,
(주)나노엔텍,39860,15-Dec,-32.34,-32.63,-32.63,,,
(주)나노엔텍,39860,16-Dec,-37.54,-42.07,-42.07,,,
(주)나노엔텍,39860,17-Dec,5.95,3.38,3.38,,,
(주)나노엔텍,39860,18-Dec,20.62,18,18,,,
(주)나노엔텍,39860,19-Dec,208.63,133.96,133.96,,,
(주)나무가,190510,15-Dec,14.3,8.35,8.35,,,
(주)나무가,190510,16-Dec,-3.08,-0.37,-0.37,,,
(주)나무가,190510,17-Dec,-114.1,-18.62,-18.62,,,
(주)나무가,190510,18-Dec,66.61,1.01,1.01,,,
(주)나무가,190510,19-Dec,2.48,1.15,1.15,,,
(주)나이벡,138610,11-Dec,-3.91,77777777.77,-3.91,,,
(주)나이벡,138610,12-Dec,-2.68,77777777.77,-2.68,,,
(주)나이벡,138610,13-Dec,-5.06,77777777.77,-5.06,,,
(주)나이벡,138610,14-Dec,-5.51,77777777.77,-5.51,,,
(주)나이벡,138610,15-Dec,-3.41,77777777.77,-3.41,,,
(주)나이벡,138610,16-Dec,-3.51,77777777.77,-3.51,,,
(주)나이벡,138610,17-Dec,-1.81,77777777.77,-1.81,,,
(주)나이벡,138610,18-Dec,-4.64,77777777.77,-4.64,,,
(주)나이벡,138610,19-Dec,-2.23,77777777.77,-2.23,,,
(주)남선알미늄,8350,11-Dec,0.85,0.85,0.85,,,
(주)남선알미늄,8350,12-Dec,-0.73,77777777.77,-0.73,,,
(주)남선알미늄,8350,13-Dec,3.16,77777777.77,3.16,,,
(주)남선알미늄,8350,14-Dec,4.69,77777777.77,4.69,,,
(주)남선알미늄,8350,15-Dec,7.95,77777777.77,7.95,,,
(주)남선알미늄,8350,16-Dec,12.45,77777777.77,12.45,,,
(주)남선알미늄,8350,17-Dec,8.89,77777777.77,8.89,,,
(주)남선알미늄,8350,18-Dec,5.28,5.19,5.19,,,
(주)남선알미늄,8350,19-Dec,8.58,7.9,7.9,,,
(주)남성,4270,11-Dec,1.37,-0.06,-0.06,,,
(주)남성,4270,12-Dec,0.96,-0.01,-0.01,,,
(주)남성,4270,13-Dec,0.96,0.39,0.39,,,
(주)남성,4270,14-Dec,1.35,0.41,0.41,,,
(주)남성,4270,15-Dec,1.29,0.65,0.65,,,
(주)남성,4270,16-Dec,1.25,1.01,1.01,,,
