,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2012년 감소율,2013년,2013년.mid,2013년 감소율,2014년,2014년.mid,2014년 감소율,2015년,2015년.mid,2015년 감소율,2016년,2016년.mid,2016년 감소율,2017년,2017년.mid,2017년 감소율,2018년,2018년.mid,2018년 감소율,2019년,2019년.mid,2019년 감소율
0,(주)CMG제약,58820,  의료용 물질 및 의약품 제조업,58.17,41.73,71.66,41.84,-23.19,61.54,43.25,14.12,62.93,44.93,-2.26,63.74,48.21,-1.29,59.64,52.51,6.43,56.57,52.32,5.15,54.4,54.69,3.84,50.66,57.6,6.88
1,(주)경보제약,214390,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,72.73,48.21,#NAME?,76.38,52.51,-5.02,71.5,52.32,6.39,75.53,54.69,-5.64,78.76,57.6,-4.28
2,(주)나이벡,138610,  의료용 물질 및 의약품 제조업,87.6,41.73,73.71,41.84,15.86,113.09,43.25,-53.43,80.86,44.93,28.5,77.66,48.21,3.96,83.35,52.51,-7.33,68.97,52.32,17.25,91.13,54.69,-32.13,57.17,57.6,37.27
3,(주)녹십자,6280,  의료용 물질 및 의약품 제조업,65.37,41.73,67.22,41.84,-2.83,68.11,43.25,-1.32,66.74,44.93,2.01,66.09,48.21,0.97,70.43,52.51,-6.57,71.39,52.32,-1.36,74.37,54.69,-4.17,72.98,57.6,1.87
4,(주)녹십자엠에스,142280,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,81.59,44.93,#NAME?,85.42,48.21,-4.69,85.41,52.51,0.01,84.69,52.32,0.84,90.37,54.69,-6.71,90.49,57.6,-0.13
5,(주)녹십자웰빙,234690,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,46.11,57.6,#NAME?
6,(주)대성미생물연구소,36480,  의료용 물질 및 의약품 제조업,79.14,41.73,74.52,41.84,5.84,70.75,43.25,5.06,71.94,44.93,-1.68,66.97,48.21,6.91,66.82,52.51,0.22,69.94,52.32,-4.67,67.2,54.69,3.92,66.41,57.6,1.18
7,(주)대웅제약,69620,  의료용 물질 및 의약품 제조업,57.92,41.73,58.93,41.84,-1.74,57.56,43.25,2.32,63.59,44.93,-10.48,64.51,48.21,-1.45,58.53,52.51,9.27,58.68,52.32,-0.26,62.09,54.69,-5.81,58.85,57.6,5.22
8,(주)동구바이오제약,6620,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,41.44,54.69,#NAME?,43.56,57.6,-5.12
9,(주)레고켐바이오사이언스,141080,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,38.63,48.21,#NAME?,72.39,52.51,-87.39,60.93,52.32,15.83,67.07,54.69,-10.08,31.13,57.6,53.59
10,(주)메디톡스,86900,  의료용 물질 및 의약품 제조업,12.54,41.73,9.36,41.84,25.36,14.28,43.25,-52.56,10.23,44.93,28.36,18.38,48.21,-79.67,19.44,52.51,-5.77,20.4,52.32,-4.94,28.62,54.69,-40.29,36.25,57.6,-26.66
11,(주)메타바이오메드,59210,  의료용 물질 및 의약품 제조업,53.92,41.73,59.24,41.84,-9.87,61.89,43.25,-4.47,68.41,44.93,-10.53,57.03,48.21,16.63,62.02,52.51,-8.75,60.99,52.32,1.66,65.22,54.69,-6.94,67.23,57.6,-3.08
12,(주)바이넥스,53030,  의료용 물질 및 의약품 제조업,46.07,41.73,53.51,41.84,-16.15,66.71,43.25,-24.67,57.25,44.93,14.18,54.68,48.21,4.49,64.05,52.51,-17.14,63.6,52.32,0.7,53.63,54.69,15.68,54.69,57.6,-1.98
13,(주)바이오니아,64550,  의료용 물질 및 의약품 제조업,45.33,41.73,40.38,41.84,10.92,42.16,43.25,-4.41,43.88,44.93,-4.08,40.52,48.21,7.66,48.01,52.51,-18.48,42.49,52.32,11.5,48.7,54.69,-14.62,52.32,57.6,-7.43
14,(주)바이오솔루션,86820,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,33.37,54.69,#NAME?,33.56,57.6,-0.57
15,(주)보령,3850,  의료용 물질 및 의약품 제조업,58.97,41.73,59.52,41.84,-0.93,56.94,43.25,4.33,55.45,44.93,2.62,57.9,48.21,-4.42,56.83,52.51,1.85,60.3,52.32,-6.11,59.03,54.69,2.11,57.47,57.6,2.64
16,(주)비씨월드제약,200780,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,49.82,44.93,#NAME?,48.97,48.21,1.71,49.93,52.51,-1.96,51.73,52.32,-3.61,60.16,54.69,-16.3,65.92,57.6,-9.57
17,(주)서울제약,18680,  의료용 물질 및 의약품 제조업,43.4,41.73,43.35,41.84,0.12,48.26,43.25,-11.33,48.55,44.93,-0.6,51.03,48.21,-5.11,46.74,52.51,8.41,49.42,52.32,-5.73,48,54.69,2.87,43.27,57.6,9.85
18,(주)세운메디칼,100700,  의료용 물질 및 의약품 제조업,74.63,41.73,74.78,41.84,-0.2,68.88,43.25,7.89,70.17,44.93,-1.87,69.49,48.21,0.97,67.4,52.51,3.01,65.44,52.32,2.91,64.53,54.69,1.39,69.29,57.6,-7.38
19,(주)셀루메드,49180,  의료용 물질 및 의약품 제조업,59.49,41.73,47.86,41.84,19.55,58.09,43.25,-21.37,69.12,44.93,-18.99,68.78,48.21,0.49,77.25,52.51,-12.31,58.76,52.32,23.94,98.29,54.69,-67.27,82.78,57.6,15.78
20,(주)셀리드,299660,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,0,57.6,
21,(주)셀트리온,68270,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,40.3,54.69,#NAME?,41.8,57.6,-3.72
22,(주)셀트리온제약,68760,  의료용 물질 및 의약품 제조업,28.65,41.73,30.16,41.84,-5.27,30.72,43.25,-1.86,33.88,44.93,-10.29,34.12,48.21,-0.71,59.76,52.51,-75.15,55.64,52.32,6.89,71.58,54.69,-28.65,63.65,57.6,11.08
23,(주)수젠텍,253840,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,99.82,57.6,#NAME?
24,(주)쎌바이오텍,49960,  의료용 물질 및 의약품 제조업,37.89,41.73,35.11,41.84,7.34,30.38,43.25,13.47,27.33,44.93,10.04,23.28,48.21,14.82,22.72,52.51,2.41,21.46,52.32,5.55,22.81,54.69,-6.29,25.07,57.6,-9.91
25,(주)아스타,246720,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,71.81,52.32,#NAME?,39.18,54.69,45.44,48.83,57.6,-24.63
26,(주)안트로젠,65660,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,28.46,52.51,#NAME?,39.31,52.32,-38.12,53.23,54.69,-35.41,59.96,57.6,-12.64
27,(주)애드바이오텍,179530,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,0,57.6,
28,(주)에스텍파마,41910,  의료용 물질 및 의약품 제조업,69.08,41.73,65.71,41.84,4.88,69.12,43.25,-5.19,80.36,44.93,-16.26,81.35,48.21,-1.23,73.12,52.51,10.12,71.03,52.32,2.86,75.6,54.69,-6.43,72.04,57.6,4.71
29,(주)엑세스바이오인코퍼레이션,950130,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,47.93,43.25,#NAME?,52.18,44.93,-8.87,69.19,48.21,-32.6,58.42,52.51,15.57,68.05,52.32,-16.48,61.29,54.69,9.93,78.34,57.6,-27.82
30,(주)엔지켐생명과학,183490,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,86.26,54.69,#NAME?,91.53,57.6,-6.11
31,(주)엔케이맥스,182400,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,32.03,48.21,#NAME?,20.68,52.51,35.44,28.06,52.32,-35.69,24.78,54.69,11.69,25.82,57.6,-4.2
32,(주)엘앤씨바이오,290650,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,35.35,54.69,#NAME?,36.2,57.6,-2.4
33,(주)오리엔트바이오,2630,  의료용 물질 및 의약품 제조업,86.21,41.73,69.27,41.84,19.65,70.64,43.25,-1.98,92.32,44.93,-30.69,78.05,48.21,15.46,86.07,52.51,-10.28,94.07,52.32,-9.29,94.44,54.69,-0.39,98.17,57.6,-3.95
34,(주)오스코텍,39200,  의료용 물질 및 의약품 제조업,71.87,41.73,75.05,41.84,-4.42,79.78,43.25,-6.3,73.88,44.93,7.4,56.06,48.21,24.12,65.27,52.51,-16.43,45.4,52.32,30.44,20.85,54.69,54.07,47.88,57.6,-129.64
35,(주)옵티팜,153710,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,60.45,54.69,#NAME?,67.03,57.6,-10.89
