회사명,거래소코드,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)CMG제약,58820,0,0,0,1,0,0,1,0,0
(주)DB하이텍,990,0,0,0,0,0,0,0,0,0
(주)ES큐브,50120,0,0,0,0,1,0,0,0,0
(주)HJ중공업,97230,0,0,0,0,0,0,0,0,0
(주)MH에탄올,23150,0,0,0,0,0,0,0,0,0
(주)SH에너지화학,2360,0,0,0,1,0,0,0,0,0
(주)SIMPAC,9160,0,0,0,0,0,0,0,1,0
(주)SNT에너지,100840,0,0,0,0,0,0,0,0,0
(주)SNT홀딩스,36530,0,0,0,0,0,0,0,1,0
(주)STX,11810,0,0,0,0,0,0,0,0,0
(주)TCC스틸,2710,0,0,0,0,0,0,0,0,0
(주)가비아,79940,0,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,0,0,0,0,0,1,0,0,0
(주)강원랜드,35250,0,0,0,0,0,0,0,1,0
(주)강원에너지,114190,0,0,0,1,0,0,0,0,0
(주)갤럭시아에스엠,11420,0,0,1,1,1,0,0,0,0
(주)경농,2100,0,0,0,0,0,0,0,0,0
(주)경동나비엔,9450,0,0,0,0,0,0,0,0,0
(주)경동도시가스,267290,0,0,0,0,0,0,0,0,0
(주)경동인베스트,12320,0,0,0,0,0,0,0,0,0
(주)경방,50,0,0,0,0,0,0,0,0,0
(주)경보제약,214390,0,0,0,0,0,0,0,0,0
(주)경인양행,12610,0,0,0,0,0,0,0,0,0
(주)고려시멘트,198440,0,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,0,0,0,1,0,0,0,0,0
(주)골드앤에스,35290,0,0,0,0,0,0,0,1,0
(주)골드퍼시픽,38530,0,0,0,0,1,1,0,0,1
(주)골프존,215000,0,0,0,0,0,0,0,1,0
(주)골프존뉴딘홀딩스,121440,0,1,0,0,0,0,0,0,0
(주)광림,14200,0,0,0,0,0,0,0,0,0
(주)광명전기,17040,0,0,0,0,0,0,0,0,0
(주)광무,29480,0,0,0,1,0,0,0,0,0
(주)광주신세계,37710,0,0,1,0,0,0,0,0,0
(주)구영테크,53270,0,0,1,0,0,0,0,0,0
(주)국동,5320,0,0,0,0,0,0,0,0,0
(주)국보,1140,0,0,0,0,0,0,0,0,0
(주)국보디자인,66620,0,0,0,0,0,0,0,0,0
(주)국순당,43650,0,0,0,0,0,0,0,0,0
(주)국영지앤엠,6050,0,0,0,0,0,0,0,0,0
(주)국전약품,307750,0,0,0,0,0,0,0,0,0
(주)그래디언트,35080,0,0,1,1,0,0,0,0,1
(주)그리티,204020,0,0,0,0,0,0,0,0,0
(주)그린플러스,186230,0,0,0,0,0,0,0,0,0
(주)글로벌스탠다드테크놀로지,83450,0,0,0,0,0,0,1,0,0
(주)금비,8870,0,0,0,0,0,0,0,0,0
