,회사,코드,년도,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
0,(주)CMG제약,58820,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
1,(주)DB하이텍,990,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,1
2,(주)ES큐브,50120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
3,(주)HJ중공업,97230,      비유동금융부채(*)(IFRS)(천원),0,0,1,1,0,1,0,1
4,(주)MH에탄올,23150,      비유동금융부채(*)(IFRS)(천원),1,1,1,0,0,0,0,0
5,(주)SH에너지화학,2360,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
6,(주)SIMPAC,9160,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
7,(주)SNT에너지,100840,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
8,(주)SNT홀딩스,36530,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
9,(주)STX,11810,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,0
10,(주)TCC스틸,2710,      비유동금융부채(*)(IFRS)(천원),0,1,0,0,0,0,0,1
11,(주)가비아,79940,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
12,(주)가온칩스,399720,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
13,(주)강스템바이오텍,217730,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,0,0,1
14,(주)강원랜드,35250,      비유동금융부채(*)(IFRS)(천원),0,1,0,0,0,0,0,1
15,(주)강원에너지,114190,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
16,(주)갤럭시아에스엠,11420,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
17,(주)경농,2100,      비유동금융부채(*)(IFRS)(천원),1,0,0,0,0,0,1,1
18,(주)경동나비엔,9450,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
19,(주)경동도시가스,267290,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
20,(주)경동인베스트,12320,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
21,(주)경방,50,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
