,회사명,거래소코드,회계년도,투자활동감소율여부(개별),투자활동감소율여부(연결)
0,(주)CMG제약,58820,11-Dec,0,0
1,(주)CMG제약,58820,12-Dec,1,1
2,(주)CMG제약,58820,13-Dec,0,0
3,(주)CMG제약,58820,14-Dec,0,0
4,(주)CMG제약,58820,15-Dec,0,0
5,(주)CMG제약,58820,16-Dec,1,1
6,(주)CMG제약,58820,17-Dec,0,0
7,(주)CMG제약,58820,18-Dec,0,0
8,(주)CMG제약,58820,19-Dec,0,0
9,(주)DB하이텍,990,11-Dec,0,0
10,(주)DB하이텍,990,12-Dec,1,1
11,(주)DB하이텍,990,13-Dec,0,0
12,(주)DB하이텍,990,14-Dec,1,1
13,(주)DB하이텍,990,15-Dec,0,0
14,(주)DB하이텍,990,16-Dec,1,1
15,(주)DB하이텍,990,17-Dec,0,0
16,(주)DB하이텍,990,18-Dec,0,1
17,(주)DB하이텍,990,19-Dec,0,0
18,(주)ES큐브,50120,11-Dec,0,0
19,(주)ES큐브,50120,12-Dec,1,1
20,(주)ES큐브,50120,13-Dec,1,1
21,(주)ES큐브,50120,14-Dec,0,0
22,(주)ES큐브,50120,15-Dec,0,0
23,(주)ES큐브,50120,16-Dec,0,0
24,(주)ES큐브,50120,17-Dec,0,0
25,(주)ES큐브,50120,18-Dec,0,0
26,(주)ES큐브,50120,19-Dec,1,1
27,(주)HJ중공업,97230,11-Dec,0,0
28,(주)HJ중공업,97230,12-Dec,1,0
29,(주)HJ중공업,97230,13-Dec,0,0
30,(주)HJ중공업,97230,14-Dec,0,0
31,(주)HJ중공업,97230,15-Dec,0,0
32,(주)HJ중공업,97230,16-Dec,0,1
33,(주)HJ중공업,97230,17-Dec,0,0
34,(주)HJ중공업,97230,18-Dec,0,0
35,(주)HJ중공업,97230,19-Dec,1,0
36,(주)MH에탄올,23150,11-Dec,0,0
37,(주)MH에탄올,23150,12-Dec,0,0
38,(주)MH에탄올,23150,13-Dec,0,0
39,(주)MH에탄올,23150,14-Dec,0,0
40,(주)MH에탄올,23150,15-Dec,0,0
41,(주)MH에탄올,23150,16-Dec,0,0
42,(주)MH에탄올,23150,17-Dec,0,0
43,(주)MH에탄올,23150,18-Dec,0,0
44,(주)MH에탄올,23150,19-Dec,0,0
45,(주)SH에너지화학,2360,11-Dec,0,0
46,(주)SH에너지화학,2360,12-Dec,0,0
47,(주)SH에너지화학,2360,13-Dec,0,1
48,(주)SH에너지화학,2360,14-Dec,0,0
49,(주)SH에너지화학,2360,15-Dec,1,1
50,(주)SH에너지화학,2360,16-Dec,0,0
51,(주)SH에너지화학,2360,17-Dec,0,0
52,(주)SH에너지화학,2360,18-Dec,0,1
53,(주)SH에너지화학,2360,19-Dec,1,1
54,(주)SIMPAC,9160,11-Dec,1,1
55,(주)SIMPAC,9160,12-Dec,1,1
56,(주)SIMPAC,9160,13-Dec,0,0
57,(주)SIMPAC,9160,14-Dec,0,0
58,(주)SIMPAC,9160,15-Dec,0,0
59,(주)SIMPAC,9160,16-Dec,0,0
60,(주)SIMPAC,9160,17-Dec,0,0
61,(주)SIMPAC,9160,18-Dec,0,0
62,(주)SIMPAC,9160,19-Dec,0,0
63,(주)SNT에너지,100840,11-Dec,0,0
64,(주)SNT에너지,100840,12-Dec,0,0
65,(주)SNT에너지,100840,13-Dec,0,0
66,(주)SNT에너지,100840,14-Dec,0,0
67,(주)SNT에너지,100840,15-Dec,1,0
68,(주)SNT에너지,100840,16-Dec,1,0
69,(주)SNT에너지,100840,17-Dec,0,0
70,(주)SNT에너지,100840,18-Dec,0,0
71,(주)SNT에너지,100840,19-Dec,0,0
72,(주)SNT홀딩스,36530,11-Dec,0,0
73,(주)SNT홀딩스,36530,12-Dec,0,1
74,(주)SNT홀딩스,36530,13-Dec,0,0
75,(주)SNT홀딩스,36530,14-Dec,1,1
76,(주)SNT홀딩스,36530,15-Dec,0,0
77,(주)SNT홀딩스,36530,16-Dec,0,0
78,(주)SNT홀딩스,36530,17-Dec,1,1
79,(주)SNT홀딩스,36530,18-Dec,0,1
80,(주)SNT홀딩스,36530,19-Dec,0,0
81,(주)STX,11810,11-Dec,0,1
82,(주)STX,11810,12-Dec,0,0
83,(주)STX,11810,13-Dec,0,0
84,(주)STX,11810,14-Dec,0,0
85,(주)STX,11810,15-Dec,1,0
86,(주)STX,11810,16-Dec,1,1
87,(주)STX,11810,17-Dec,0,0
88,(주)STX,11810,18-Dec,0,0
89,(주)STX,11810,19-Dec,0,0
90,(주)TCC스틸,2710,11-Dec,1,1
91,(주)TCC스틸,2710,12-Dec,0,1
92,(주)TCC스틸,2710,13-Dec,0,0
93,(주)TCC스틸,2710,14-Dec,0,0
94,(주)TCC스틸,2710,15-Dec,0,1
95,(주)TCC스틸,2710,16-Dec,0,1
96,(주)TCC스틸,2710,17-Dec,0,0
97,(주)TCC스틸,2710,18-Dec,0,0
98,(주)TCC스틸,2710,19-Dec,1,1
99,(주)가비아,79940,11-Dec,1,1
100,(주)가비아,79940,12-Dec,1,1
101,(주)가비아,79940,13-Dec,0,0
102,(주)가비아,79940,14-Dec,1,0
103,(주)가비아,79940,15-Dec,0,0
104,(주)가비아,79940,16-Dec,1,1
105,(주)가비아,79940,17-Dec,0,0
106,(주)가비아,79940,18-Dec,1,1
107,(주)가비아,79940,19-Dec,1,1
108,(주)가온칩스,399720,18-Dec,0,0
109,(주)가온칩스,399720,19-Dec,0,0
110,(주)강스템바이오텍,217730,13-Dec,0,0
111,(주)강스템바이오텍,217730,14-Dec,0,0
112,(주)강스템바이오텍,217730,15-Dec,0,0
113,(주)강스템바이오텍,217730,16-Dec,1,0
114,(주)강스템바이오텍,217730,17-Dec,0,0
115,(주)강스템바이오텍,217730,18-Dec,0,0
116,(주)강스템바이오텍,217730,19-Dec,1,1
117,(주)강원랜드,35250,11-Dec,0,0
118,(주)강원랜드,35250,12-Dec,1,1
119,(주)강원랜드,35250,13-Dec,0,0
120,(주)강원랜드,35250,14-Dec,1,1
121,(주)강원랜드,35250,15-Dec,0,0
122,(주)강원랜드,35250,16-Dec,0,0
123,(주)강원랜드,35250,17-Dec,0,0
124,(주)강원랜드,35250,18-Dec,0,0
125,(주)강원랜드,35250,19-Dec,0,0
126,(주)강원에너지,114190,11-Nov,0,0
127,(주)강원에너지,114190,12-Dec,1,0
128,(주)강원에너지,114190,13-Dec,0,0
129,(주)강원에너지,114190,14-Dec,0,0
130,(주)강원에너지,114190,15-Dec,1,0
131,(주)강원에너지,114190,16-Dec,0,0
132,(주)강원에너지,114190,17-Dec,0,1
133,(주)강원에너지,114190,18-Dec,0,0
134,(주)강원에너지,114190,19-Dec,1,1
135,(주)갤럭시아에스엠,11420,11-Dec,0,0
136,(주)갤럭시아에스엠,11420,12-Dec,0,0
137,(주)갤럭시아에스엠,11420,13-Dec,1,1
138,(주)갤럭시아에스엠,11420,14-Dec,0,0
139,(주)갤럭시아에스엠,11420,15-Dec,0,1
140,(주)갤럭시아에스엠,11420,16-Dec,0,0
141,(주)갤럭시아에스엠,11420,17-Dec,0,1
142,(주)갤럭시아에스엠,11420,18-Dec,0,0
143,(주)갤럭시아에스엠,11420,19-Dec,0,0
144,(주)경농,2100,11-Dec,1,0
145,(주)경농,2100,12-Dec,1,0
146,(주)경농,2100,13-Dec,0,0
147,(주)경농,2100,14-Dec,1,1
148,(주)경농,2100,15-Dec,0,0
149,(주)경농,2100,16-Dec,0,0
150,(주)경농,2100,17-Dec,1,0
151,(주)경농,2100,18-Dec,1,0
152,(주)경농,2100,19-Dec,0,0
153,(주)경동나비엔,9450,11-Dec,0,0
154,(주)경동나비엔,9450,12-Dec,1,1
155,(주)경동나비엔,9450,13-Dec,1,1
156,(주)경동나비엔,9450,14-Dec,0,0
157,(주)경동나비엔,9450,15-Dec,0,0
158,(주)경동나비엔,9450,16-Dec,0,1
159,(주)경동나비엔,9450,17-Dec,1,1
160,(주)경동나비엔,9450,18-Dec,1,0
161,(주)경동나비엔,9450,19-Dec,0,1
162,(주)경동도시가스,267290,17-Dec,1,0
163,(주)경동도시가스,267290,18-Dec,0,0
164,(주)경동도시가스,267290,19-Dec,0,0
165,(주)경동인베스트,12320,11-Dec,1,1
166,(주)경동인베스트,12320,12-Dec,0,0
167,(주)경동인베스트,12320,13-Dec,0,0
168,(주)경동인베스트,12320,14-Dec,1,0
169,(주)경동인베스트,12320,15-Dec,1,1
170,(주)경동인베스트,12320,16-Dec,0,0
171,(주)경동인베스트,12320,17-Dec,0,0
172,(주)경동인베스트,12320,18-Dec,0,0
173,(주)경동인베스트,12320,19-Dec,0,0
174,(주)경방,50,11-Dec,1,1
175,(주)경방,50,12-Dec,0,0
176,(주)경방,50,13-Dec,0,0
177,(주)경방,50,14-Dec,0,1
178,(주)경방,50,15-Dec,0,0
179,(주)경방,50,16-Dec,0,0
180,(주)경방,50,17-Dec,0,1
181,(주)경방,50,18-Dec,0,1
182,(주)경방,50,19-Dec,1,1
183,(주)경보제약,214390,11-Dec,0,0
184,(주)경보제약,214390,12-Dec,0,0
185,(주)경보제약,214390,13-Dec,0,0
186,(주)경보제약,214390,14-Dec,1,0
187,(주)경보제약,214390,15-Dec,1,0
188,(주)경보제약,214390,16-Dec,0,0
189,(주)경보제약,214390,17-Dec,0,0
190,(주)경보제약,214390,18-Dec,1,0
191,(주)경보제약,214390,19-Dec,1,0
192,(주)경인양행,12610,11-Dec,0,0
193,(주)경인양행,12610,12-Dec,0,0
194,(주)경인양행,12610,13-Dec,0,0
195,(주)경인양행,12610,14-Dec,1,1
196,(주)경인양행,12610,15-Dec,0,0
197,(주)경인양행,12610,16-Dec,0,0
198,(주)경인양행,12610,17-Dec,1,1
199,(주)경인양행,12610,18-Dec,1,1
200,(주)경인양행,12610,19-Dec,1,1
201,(주)고려시멘트,198440,14-Dec,0,0
202,(주)고려시멘트,198440,15-Dec,0,0
203,(주)고려시멘트,198440,16-Dec,0,0
204,(주)고려시멘트,198440,17-Dec,0,0
205,(주)고려시멘트,198440,18-Dec,0,0
206,(주)고려시멘트,198440,19-Dec,0,0
207,(주)고바이오랩,348150,19-Dec,0,0
208,(주)고영테크놀러지,98460,11-Dec,1,1
209,(주)고영테크놀러지,98460,12-Dec,0,0
210,(주)고영테크놀러지,98460,13-Dec,0,0
211,(주)고영테크놀러지,98460,14-Dec,1,1
212,(주)고영테크놀러지,98460,15-Dec,0,0
213,(주)고영테크놀러지,98460,16-Dec,1,1
214,(주)고영테크놀러지,98460,17-Dec,0,0
215,(주)고영테크놀러지,98460,18-Dec,0,0
216,(주)고영테크놀러지,98460,19-Dec,0,0
217,(주)골드앤에스,35290,11-Dec,0,0
218,(주)골드앤에스,35290,12-Dec,0,0
219,(주)골드앤에스,35290,13-Dec,0,0
220,(주)골드앤에스,35290,14-Dec,0,1
221,(주)골드앤에스,35290,15-Dec,1,1
222,(주)골드앤에스,35290,16-Dec,0,0
223,(주)골드앤에스,35290,17-Dec,0,0
224,(주)골드앤에스,35290,18-Dec,1,1
225,(주)골드앤에스,35290,19-Dec,0,0
226,(주)골드퍼시픽,38530,11-Dec,1,0
227,(주)골드퍼시픽,38530,12-Dec,0,0
228,(주)골드퍼시픽,38530,13-Dec,0,0
229,(주)골드퍼시픽,38530,14-Dec,1,0
230,(주)골드퍼시픽,38530,15-Dec,0,0
231,(주)골드퍼시픽,38530,16-Dec,0,0
232,(주)골드퍼시픽,38530,17-Dec,1,0
233,(주)골드퍼시픽,38530,18-Dec,0,0
234,(주)골드퍼시픽,38530,19-Dec,1,0
235,(주)골프존,215000,15-Dec,0,0
236,(주)골프존,215000,16-Dec,1,1
237,(주)골프존,215000,17-Dec,0,0
238,(주)골프존,215000,18-Dec,0,0
239,(주)골프존,215000,19-Dec,0,0
240,(주)골프존뉴딘홀딩스,121440,11-Dec,1,1
241,(주)골프존뉴딘홀딩스,121440,12-Dec,0,0
242,(주)골프존뉴딘홀딩스,121440,13-Dec,0,0
243,(주)골프존뉴딘홀딩스,121440,14-Dec,0,0
244,(주)골프존뉴딘홀딩스,121440,15-Dec,0,0
245,(주)골프존뉴딘홀딩스,121440,16-Dec,0,0
246,(주)골프존뉴딘홀딩스,121440,17-Dec,0,0
247,(주)골프존뉴딘홀딩스,121440,18-Dec,0,1
248,(주)골프존뉴딘홀딩스,121440,19-Dec,0,0
249,(주)공구우먼,366030,17-Dec,0,0
250,(주)공구우먼,366030,18-Dec,0,0
251,(주)공구우먼,366030,19-Dec,0,0
252,(주)광림,14200,11-Dec,0,0
253,(주)광림,14200,12-Dec,0,0
254,(주)광림,14200,13-Dec,1,0
255,(주)광림,14200,14-Dec,1,0
256,(주)광림,14200,15-Dec,1,0
257,(주)광림,14200,16-Dec,0,0
258,(주)광림,14200,17-Dec,0,0
259,(주)광림,14200,18-Dec,0,0
260,(주)광림,14200,19-Dec,1,1
261,(주)광명전기,17040,11-Dec,0,0
262,(주)광명전기,17040,12-Dec,0,0
263,(주)광명전기,17040,13-Dec,0,0
264,(주)광명전기,17040,14-Dec,0,0
265,(주)광명전기,17040,15-Dec,0,0
266,(주)광명전기,17040,16-Dec,0,0
267,(주)광명전기,17040,17-Dec,0,0
268,(주)광명전기,17040,18-Dec,0,0
269,(주)광명전기,17040,19-Dec,1,1
270,(주)광무,29480,11-Dec,0,0
271,(주)광무,29480,12-Dec,0,0
272,(주)광무,29480,13-Dec,0,0
273,(주)광무,29480,14-Dec,0,0
274,(주)광무,29480,15-Dec,0,0
275,(주)광무,29480,16-Dec,0,0
276,(주)광무,29480,17-Dec,1,0
277,(주)광무,29480,18-Dec,0,0
278,(주)광무,29480,19-Dec,1,1
279,(주)광주신세계,37710,11-Dec,0,0
280,(주)광주신세계,37710,12-Dec,0,0
281,(주)광주신세계,37710,13-Dec,1,0
282,(주)광주신세계,37710,14-Dec,0,0
283,(주)광주신세계,37710,15-Dec,0,0
284,(주)광주신세계,37710,16-Dec,1,0
285,(주)광주신세계,37710,17-Dec,0,0
286,(주)광주신세계,37710,18-Dec,0,0
287,(주)광주신세계,37710,19-Dec,1,0
288,(주)구영테크,53270,11-Dec,1,0
289,(주)구영테크,53270,12-Dec,1,1
290,(주)구영테크,53270,13-Dec,0,0
291,(주)구영테크,53270,14-Dec,0,0
292,(주)구영테크,53270,15-Dec,1,1
293,(주)구영테크,53270,16-Dec,1,1
294,(주)구영테크,53270,17-Dec,1,1
295,(주)구영테크,53270,18-Dec,0,0
296,(주)구영테크,53270,19-Dec,0,0
297,(주)국동,5320,11-Dec,0,0
298,(주)국동,5320,12-Dec,1,1
299,(주)국동,5320,13-Dec,0,1
300,(주)국동,5320,14-Dec,0,1
301,(주)국동,5320,15-Dec,1,0
302,(주)국동,5320,16-Dec,0,1
303,(주)국동,5320,17-Dec,0,0
304,(주)국동,5320,18-Dec,0,0
305,(주)국동,5320,19-Dec,0,0
306,(주)국보,1140,11-Dec,0,0
307,(주)국보,1140,12-Dec,0,0
308,(주)국보,1140,13-Dec,1,1
309,(주)국보,1140,14-Dec,0,0
310,(주)국보,1140,15-Dec,1,1
311,(주)국보,1140,16-Dec,0,0
312,(주)국보,1140,17-Dec,0,0
313,(주)국보,1140,18-Dec,0,0
314,(주)국보,1140,19-Dec,0,0
315,(주)국보디자인,66620,11-Dec,1,0
316,(주)국보디자인,66620,12-Dec,0,0
317,(주)국보디자인,66620,13-Dec,1,1
318,(주)국보디자인,66620,14-Dec,0,0
319,(주)국보디자인,66620,15-Dec,0,0
320,(주)국보디자인,66620,16-Dec,0,0
321,(주)국보디자인,66620,17-Dec,0,0
322,(주)국보디자인,66620,18-Dec,1,1
323,(주)국보디자인,66620,19-Dec,1,0
324,(주)국순당,43650,11-Dec,0,0
325,(주)국순당,43650,12-Dec,0,0
326,(주)국순당,43650,13-Dec,0,0
327,(주)국순당,43650,14-Dec,0,0
328,(주)국순당,43650,15-Dec,0,0
329,(주)국순당,43650,16-Dec,1,0
330,(주)국순당,43650,17-Dec,0,0
331,(주)국순당,43650,18-Dec,1,0
332,(주)국순당,43650,19-Dec,0,0
333,(주)국영지앤엠,6050,11-Dec,0,0
334,(주)국영지앤엠,6050,12-Dec,0,0
335,(주)국영지앤엠,6050,13-Dec,0,0
336,(주)국영지앤엠,6050,14-Dec,0,0
337,(주)국영지앤엠,6050,15-Dec,0,0
338,(주)국영지앤엠,6050,16-Dec,0,0
339,(주)국영지앤엠,6050,17-Dec,1,0
340,(주)국영지앤엠,6050,18-Dec,0,0
341,(주)국영지앤엠,6050,19-Dec,1,0
342,(주)국전약품,307750,18-Dec,0,0
343,(주)국전약품,307750,19-Dec,0,0
344,(주)그래디언트,35080,11-Dec,0,0
345,(주)그래디언트,35080,12-Dec,0,0
346,(주)그래디언트,35080,13-Dec,0,0
347,(주)그래디언트,35080,14-Dec,1,1
348,(주)그래디언트,35080,15-Dec,0,0
349,(주)그래디언트,35080,16-Dec,0,1
350,(주)그래디언트,35080,17-Dec,0,1
351,(주)그래디언트,35080,18-Dec,0,0
352,(주)그래디언트,35080,19-Dec,0,1
353,(주)그리티,204020,11-Dec,0,0
354,(주)그리티,204020,12-Dec,0,0
355,(주)그리티,204020,13-Dec,0,0
356,(주)그리티,204020,14-Dec,0,0
357,(주)그리티,204020,15-Dec,0,0
358,(주)그리티,204020,16-Dec,0,0
359,(주)그리티,204020,17-Dec,0,0
360,(주)그리티,204020,18-Dec,0,0
361,(주)그리티,204020,19-Dec,0,0
362,(주)그린플러스,186230,11-Dec,0,0
363,(주)그린플러스,186230,12-Dec,0,0
364,(주)그린플러스,186230,13-Dec,0,0
365,(주)그린플러스,186230,14-Dec,0,0
366,(주)그린플러스,186230,15-Dec,0,0
