회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치,R & D 투자효율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부,기업수명주기,통계청 한국표준산업분류 10차(세세분류),회생기업1,회생기업2
(주)에스엘바이오닉스,214310,201712,-0.02,-20.32,-15.94,-31.36,-46.62,-19.06,21.99,-30.23,-61.19,-0.14,-0.19,-22.82,0.75,11.36,3.73,2.83,16.39,2.02,1.2,1.68,-5.96,59.1,51.55,14.25,241.71,6.73,9.23,7.67,96.99,29.26,36,41.27,549.42,238.61,70.74,12.78,-18.47,-28.56,50727.23,107696.19,189.34,33.14860405,8.88,10.44,16815.37,4.85,0,0,1,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
(주)에스엘바이오닉스,214310,201812,-1.5,14.27,15.26,34.94,89.63,-33.1,14.79,-53.76,-72.23,-8.94,-16.82,-28.57,0.53,11.15,3.8,1.92,35.18,1.34,0.88,1.17,-56.87,96.53,90.59,39.86,105.91,0.23,15.59,16.09,3446.95,48.56,45.74,48.74,1043.72,103.97,51.44,6.16,-171.26,-1.75,69543.93,116986.04,261.03,21.03525742,5.6,11.25,14628.74,6.19,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
(주)에스엘바이오닉스,214310,201912,-1.32,-34.98,-70.54,-68.36,-16.36,-24.83,13.98,-97.1,-81.56,-7.76,-17.1,-44.08,0.45,11.97,4.09,2.09,25.54,0.84,0.99,1.17,-9.68,66.58,56.29,14.99,60.07,10.73,5.27,3.43,18.42,62.47,20.06,23.72,310.22,57.03,37.53,15.45,-30.78,-11.91,30225.54,20983.82,263.65,-183.1773745,-21,-36.45,-55366.35,10.2,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
서울반도체(주),46890,201212,2.42,-1.51,-7.41,6.39,-0.49,14.52,16.9,0.81,1.15,2.06,2.09,0.8,0.99,9.58,4.18,4.22,16.18,1.42,3.25,1.76,6.2,222.83,191.64,22.38,42.89,16.58,9.59,2.89,17.36,69.98,50.08,58.23,266.05,37.34,30.02,14,25.39,32.1,145522.14,127175.51,649.54,60.2137285,13.49,13.55,87624.31,5.15,0,1,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
서울반도체(주),46890,201312,7.65,28.53,137.48,5.09,2.57,20.2,27.66,4.12,6.96,9.79,9.35,4.32,1.05,8.97,4.16,3.13,10.98,1.69,2.76,2,12.68,144.61,118.28,4.22,79.05,20.77,19.25,9.13,40.92,55.85,38.94,47.61,189.51,58.95,44.15,18.21,59.03,14.69,384504.34,480336.55,967.43,62.90200352,25,26.86,241860.93,5.07,0,1,0,0,0,1,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
서울반도체(주),46890,201412,0.28,6.46,20.63,-4.53,-1.53,-8.99,20.19,0.07,0.11,0.22,0.27,0.06,0.82,6.7,3.56,1.83,8.85,1.53,1.77,1.82,45.92,108.84,81.24,5.46,93.59,29.49,13.84,8.4,22.68,51.66,31.87,42.69,220.43,75.94,48.34,25.36,312.32,3.47,496984.22,675463.08,1195.84,44.09440145,18.33,23.03,219142.22,6.63,0,0,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
서울반도체(주),46890,201512,7.81,-3.75,-2.16,-0.71,2.51,7.66,23.56,2.65,4.34,3.94,4.51,2.31,0.87,6.59,3.74,1.83,7.69,1.64,1.87,2.01,21.39,123.3,96.93,10.17,81.77,20.51,30.2,15.26,66.23,55.02,34.62,44.04,140.2,64.92,44.98,21.39,113.19,8.32,518660.7,788084.74,1145.21,55.17199296,24.99,28.07,286155.44,5.81,0,1,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",1,0
서울반도체(주),46890,201612,11.83,-4,-12.36,0.68,4.31,-5.67,24.5,3.94,5.88,5.17,6.03,3.37,0.86,6.68,3.16,1.86,5.7,1.49,2.01,1.9,17.75,127.13,99.75,8.18,67.28,16.08,41.38,19.03,103.52,59.78,36.24,46.18,159.31,60.77,40.22,21.54,100.93,9.86,572833.77,978927.54,1353.08,63.51557244,26.89,30.74,363838.65,5.81,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
서울반도체(주),46890,201712,22.6,12.54,12.58,14.25,3.68,16.41,25.61,4.18,6.99,8.48,8.85,4,0.96,6.72,3.29,2.18,6,1.67,2.24,2.06,15.86,132.15,100.58,10.83,81.58,14.23,23.75,11.8,75.02,55.07,35.69,46.89,149.44,64.42,44.93,23.89,98.19,11.41,420782.9,734509.53,1119.84,68.56701292,25.76,28.48,288518.27,5.13,0,0,0,1,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
서울반도체(주),46890,201812,15.62,5.41,6.7,4.54,7.3,7.54,27.07,5.24,8.94,7.53,7.95,4.97,0.95,5.95,3.15,2.14,6.19,1.7,2.13,2.03,12.65,145.76,108.16,5.25,78.39,18.12,23.82,11.34,57.76,56.06,34.5,46.5,185.55,56.91,43.94,25.8,82.17,14.6,498588.32,864749.41,1229.81,57.93225222,23.49,25.45,288843.44,5.21,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
