,회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]매출액(수익)(*)(IFRS),[제조]부채(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]부채(*)(IFRS연결),[제조]전기영업흐름(IFRS개별),[제조]전기영업흐름(IFRS연결),cashflow_매출액비율(개별),cashflow_매출액비율(연결)
0,(주)CMG제약,58820,2010/12,-5983864.0,11350419.0,8370511.0,-5983864.0,11350419.0,8370511.0,,,,
1,(주)CMG제약,58820,2011/12,-2488268.0,17751704.0,9257624.0,-2560438.0,17751704.0,9270949.0,-5983864.0,-5983864.0,-23.862869727886405,-24.06614598801332
2,(주)CMG제약,58820,2012/12,-1453276.0,16255389.0,25386064.0,-1572581.0,16255389.0,25517350.0,-2488268.0,-2560438.0,-12.123807064844772,-12.712765594228474
3,(주)CMG제약,58820,2013/12,-3891420.0,20322140.0,6913407.0,-3939013.0,20402140.0,6915281.0,-1453276.0,-1572581.0,-13.149934012854944,-13.507391871636996
4,(주)CMG제약,58820,2014/12,730447.0,22752584.0,9060059.0,724893.0,22752584.0,9065682.0,-3891420.0,-3939013.0,-6.946404417186197,-7.063197744924269
5,(주)CMG제약,58820,2015/12,2411254.0,27041894.0,9719267.0,2410205.0,27041894.0,9725933.0,730447.0,724893.0,5.80895147359131,5.796742639402403
6,(주)CMG제약,58820,2016/12,3321352.0,32969825.0,9872232.0,3321352.0,32969825.0,9872232.0,2411254.0,2410205.0,8.69371614802323,8.692125299421516
7,(주)CMG제약,58820,2017/12,1948086.0,41535588.0,11624134.0,1948086.0,41535588.0,11624134.0,3321352.0,3321352.0,6.343280851110138,6.343280851110138
8,(주)CMG제약,58820,2018/12,886779.0,49864782.0,10398033.0,886779.0,49864782.0,10398033.0,1948086.0,1948086.0,2.8425522846966422,2.8425522846966422
9,(주)CMG제약,58820,2019/12,2823387.0,58622681.0,12084883.0,2823387.0,58622681.0,12084883.0,886779.0,886779.0,3.164445856715424,3.164445856715424
10,(주)DB하이텍,990,2010/12,60396202.0,593441908.0,986770710.0,43845614.0,620043034.0,983234957.0,,,,
11,(주)DB하이텍,990,2011/12,61642286.0,534317238.0,892247931.0,60749180.0,552216245.0,890982181.0,60396202.0,43845614.0,11.42004031694744,9.470456089172096
12,(주)DB하이텍,990,2012/12,68047966.0,583901597.0,874516025.0,73876619.0,590786488.0,866861695.0,61642286.0,60749180.0,11.105488721586765,11.393777763583516
13,(주)DB하이텍,990,2013/12,28528798.0,493752028.0,852207175.0,28380938.0,493752028.0,853635085.0,68047966.0,73876619.0,9.779885299023015,10.35515311341668
14,(주)DB하이텍,990,2014/12,47362460.0,567718224.0,865855755.0,48078139.0,567718224.0,864173902.0,28528798.0,28380938.0,6.683884257342425,6.733893132872197
15,(주)DB하이텍,990,2015/12,150510354.0,666594987.0,728010902.0,152722221.0,666594987.0,730586221.0,47362460.0,48078139.0,14.842056860532615,15.061646420692329
16,(주)DB하이텍,990,2016/12,247018873.0,773140180.0,641920423.0,248312191.0,773140180.0,644871257.0,150510354.0,152722221.0,25.70874191275378,25.93542687174789
17,(주)DB하이텍,990,2017/12,182244045.0,679737744.0,536028245.0,183124083.0,679737744.0,538152775.0,247018873.0,248312191.0,31.57562764382847,31.735494888157923
18,(주)DB하이텍,990,2018/12,182780278.0,669279136.0,508139265.0,180343534.0,669279136.0,508142309.0,182244045.0,183124083.0,27.269961318501345,27.153664102865445
19,(주)DB하이텍,990,2019/12,160796839.0,807416423.0,444095557.0,161078351.0,807416423.0,444239080.0,182780278.0,180343534.0,21.276327011247826,21.1428622996934
20,(주)ES큐브,50120,2010/12,4435227.0,34640205.0,5741526.0,2873895.0,43887335.0,6567960.0,,,,
21,(주)ES큐브,50120,2011/12,1625293.0,41700477.0,6089019.0,1107724.0,53379952.0,16231202.0,4435227.0,2873895.0,7.266727428561548,3.7295078496885874
22,(주)ES큐브,50120,2012/12,4618957.0,44178050.0,4794705.0,5224759.0,55971147.0,6421979.0,1625293.0,1107724.0,7.067140808614232,5.6569173041960354
23,(주)ES큐브,50120,2013/12,4508559.0,45823196.0,3796835.0,2590980.0,58597361.0,4765132.0,4618957.0,5224759.0,9.95949300437272,6.669019616770797
24,(주)ES큐브,50120,2014/12,2934159.0,37188072.0,3687837.0,2889415.0,44459581.0,6983745.0,4508559.0,2590980.0,10.00686187764722,6.163345309079723
25,(주)ES큐브,50120,2015/12,3265832.0,36887119.0,2251042.0,-2778236.0,42152967.0,5965820.0,2934159.0,2889415.0,8.404005474106015,0.13187565183727162
26,(주)ES큐브,50120,2016/12,3735385.0,34818205.0,34627619.0,1240854.0,34289385.0,33468504.0,3265832.0,-2778236.0,10.053960277389372,-2.241775406587199
27,(주)ES큐브,50120,2017/12,3989913.0,37104908.0,33451725.0,2310978.0,35745794.0,33075251.0,3735385.0,1240854.0,10.410075669773928,4.968181711112642
28,(주)ES큐브,50120,2018/12,116879.0,31308873.0,41963133.0,-1347532.0,33763508.0,41682289.0,3989913.0,2310978.0,6.558511384296714,1.4267563666666392
29,(주)ES큐브,50120,2019/12,1886276.0,28527284.0,82079157.0,75624795.0,43708239.0,389920168.0,116879.0,-1347532.0,3.5109458720290374,84.96940702644186
30,(주)HJ중공업,97230,2010/12,239378000.0,2734440000.0,4321759000.0,299183000.0,3167774000.0,5569572000.0,,,,
31,(주)HJ중공업,97230,2011/12,-297988000.0,2316017000.0,3982242000.0,-401788000.0,2891499000.0,5169832000.0,239378000.0,299183000.0,-1.2653188642397701,-1.7742527318875088
32,(주)HJ중공업,97230,2012/12,-227250000.0,1980761000.0,4074579000.0,-84391000.0,2549319000.0,4869577000.0,-297988000.0,-401788000.0,-13.25849004498776,-9.535468099519912
33,(주)HJ중공업,97230,2013/12,-186309000.0,1927307000.0,4035024000.0,-321347000.0,2529341000.0,5044381000.0,-227250000.0,-84391000.0,-10.728934207160561,-8.020626716603257
34,(주)HJ중공업,97230,2014/12,-101009000.0,1799016000.0,3707924000.0,-238336000.0,2520325000.0,4897208000.0,-186309000.0,-321347000.0,-7.98542091899127,-11.10338944382173
