회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치,R & D 투자효율,경상개발비율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부,기업수명주기,통계청 한국표준산업분류 10차(세세분류),회생기업1,회생기업2
(주)케이이씨,92220,201112,-1.92,-3.97,-9.01,3.09,-14.14,-11.92,4.86,-13.34,-22.34,-5.42,-8.79,-8.23,0.62,3.56,3.46,1.07,8.31,1.67,0.98,1.5,-10.06,77.25,44.95,9.65,187.71,45.91,0.31,0.32,0.43,34.76,24.74,42.52,251.16,158.37,65.24,41.81,-141.95,-12.52,327117.43,129560.18,619.7,27.17202303,14.34,22.76,88884.42,2.67,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)케이이씨,92220,201212,-1.64,-14.54,-10.89,-23.08,-7.13,-13.1,3.97,-20.08,-32.8,-5.15,-8.73,-11.86,0.59,3.51,3.33,1.03,9.23,1.63,0.92,1.46,-12.32,78.63,49.31,10.1,164.76,35.76,0.34,0.33,0.6,37.77,24,38.27,286.89,128.87,62.23,37.28,-137.17,-10.4,331720.4,127439.93,570.15,15.7505285,9.16,14.3,52247.72,2.7,0,0,0,0,0,0,0,4,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)케이이씨,92220,201312,-0.66,-8.11,-16.56,4.56,0.81,-0.94,12.26,-10.79,-18.06,-1.9,-2.88,-7.14,0.66,4.16,3.38,1.18,10.13,1.67,1.09,1.62,646.03,100.49,69.11,8.73,141.33,37.64,5.04,4.28,7.85,41.44,29.95,43.55,297.4,104.58,58.56,31.23,6361.68,0.21,295230.56,102206.88,555.67,36.08741569,19.17,27.76,106541.08,2.52,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)케이이씨,92220,201412,0.42,-7.86,-9.94,-6.28,-2.89,-15.34,15.56,1.47,2.11,0.86,1.41,0.9,0.61,3.46,2.65,1.16,8.31,1.43,1.06,1.39,-18.21,86.41,54.76,4.5,128.99,35.46,0.98,0.87,1.55,43.67,28.07,44.3,278.59,117.39,56.33,36.62,-232.85,-6.97,270973.77,78679.85,521.24,44.14064208,22.95,36.17,119609.56,1.99,0,0,0,0,0,0,0,5,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)케이이씨,92220,201512,0.9,-1.78,-7.11,3.79,-0.25,-4.93,16.41,0.25,0.35,1.41,2.32,0.15,0.61,3.1,2.31,1.2,9.2,1.38,1.09,1.34,13.28,124.64,80.47,5.07,125.49,28.32,0.56,0.51,1.1,44.35,30.22,46.81,462.41,84.68,55.65,35.43,179.26,9.25,261076.22,58966.18,543,43.80720364,21.06,34.29,114370.19,2.01,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)케이이씨,92220,201612,0.76,12.53,20.97,2.54,33.92,8.89,14.83,0.03,0.04,1.11,1.76,0.02,0.63,3.52,2.63,1.23,14.98,1.29,1.23,1.41,13.73,125.46,84.19,11.93,89.47,23.7,10.41,8.27,20.74,52.78,28.62,42.65,660.93,64.41,47.22,32.89,162.1,8.65,322620.83,64715.9,611.99,35.35963705,18.64,31.36,114077.56,2.01,0,0,0,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)케이이씨,92220,201712,1.67,-6.07,-4.84,-5.55,10.11,4.18,14.88,0.58,0.64,1.77,2.77,0.37,0.64,3.69,3.01,1.2,17.11,1.12,1.49,1.49,11.34,137.2,87.77,7.6,61.63,18.7,15.81,9.14,32.24,61.87,27.44,42.89,451.01,50.53,38.13,36.03,132.88,11.63,317615.29,55221.16,593.79,36.23757259,19.38,29.4,115096.07,1.82,0,0,0,0,0,0,0,4,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)케이이씨,92220,201812,1.22,-2.41,-4.25,-0.1,1.24,-8.36,14.76,0.81,0.78,0.94,1.54,0.49,0.61,3.4,2.98,1.15,14.51,0.97,1.65,1.41,6.33,180.42,117.88,20.18,55.8,16.85,16.06,9.29,34.13,64.19,28.69,43.9,471.8,37.91,35.81,34.66,77.77,19.57,304291.18,43621.44,580.45,37.41805791,19.62,31.69,113859.85,2.17,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
(주)케이이씨,92220,201912,-2.73,-4.83,-43.47,-5.62,-5.08,-7.2,11.27,-9.78,-8.98,-2.03,-3.45,-5.76,0.59,3.57,3.17,1.4,15.8,0.92,1.64,1.35,7.97,153.36,104.06,16.42,56.2,20.19,18.93,11.29,33.74,64.02,29.54,43.54,498.88,44.35,35.98,32.15,92.39,15.15,162055.34,32864.28,533.03,45.52890648,13.84,22.93,73782.03,2.94,0,0,1,0,0,0,1,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201112,5.56,11.7,8.03,15.11,22.41,38.45,16.23,6.35,19.01,10.69,7.65,8.87,1.4,6.46,7.57,4.59,8.27,2.99,2.62,2.56,28.26,120.34,86.74,39.76,105.45,17.87,27.31,10.59,78.41,48.67,39.94,55.41,80.57,94.61,51.33,27.92,165.2,9.37,351714.03,261766.96,1235.02,73.61878174,20.97,15.84,258927.58,2.66,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201212,6.43,16.72,3.22,24.5,18.54,43.54,19.57,3.95,14.1,11.18,6.38,6.92,1.75,7.59,8.7,6.24,10.3,3.57,3.44,3.05,26.19,126.63,81.09,24.12,102.28,20.21,20.52,6.38,51.34,49.44,37.86,59.11,122.75,94.43,50.56,35.96,171,12.43,351370.1663,474446.0263,0,92.17477299,21.86,13.43,203094.305,2.22,0,0,0,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201312,26.31,9.91,-8.26,18.46,37.88,24.07,21.15,5.28,18.13,16.45,8.55,10.16,1.92,8.6,9.18,7.95,11.42,3.43,4.38,3.13,12.78,182.26,141.26,67.53,61.24,7.61,46.52,9.62,232.24,62.02,49.38,63.71,99.98,56.37,37.98,22.5,49.85,28.76,265360.93,304046.78,1266.22,141.7351168,29.7,16.17,376109.62,2.65,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201412,21.56,5.44,-7.99,9.01,10.61,-14.6,17.18,2.24,5.38,5.85,3.83,3.42,1.53,7.46,7.43,7.39,8.83,2.4,4.19,2.36,8.61,210.29,148.16,56.95,53.7,9.24,48.79,11.46,184.53,65.06,46.41,65.87,91.13,48.15,34.94,29.55,56.34,34.55,230419.01,320018.01,1263.3,99.12353376,18.08,12.15,228399.46,2.65,0,0,0,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201512,6.33,-3.54,13.08,-9.91,-4.37,-18.85,14.55,-1.86,-3.53,1.77,1.44,-2.29,1.23,5.38,7.31,5.88,7.35,1.9,3.49,1.93,7.94,205.09,139.88,65.77,55.04,12.86,18.2,5.16,50.25,64.5,41.96,61.52,59.72,46.51,35.5,31.8,62.05,31.52,278242.36,446309.5,1297.69,52.41432599,11.24,8.98,145838.86,2.87,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201612,3.9,2.91,13.55,-4.89,-2.48,-5.35,16.81,-1.55,-2.88,1.52,1.3,-1.81,1.17,4.76,10.68,4.91,6.99,1.86,3.14,1.97,9.17,179.09,112.13,61.29,63.61,16.51,19.29,6.51,45.44,61.12,35.6,56.86,46.47,51.94,38.88,37.39,84.66,25.11,334416.63,499511.25,1361.46,58.62281298,14.4,12.51,196044.44,3.61,0,0,1,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201712,-4.5,-1.25,14.92,-10.29,3.84,-10.25,13.86,0.32,0.53,-2.65,-2.55,0.34,1.04,4.1,11.08,3.85,7.63,1.66,2.79,1.92,9.54,173.87,98.23,54.09,55.58,20.76,11.65,3.98,20.04,64.27,29.18,51.65,42.81,46.22,35.73,43.5,102.39,21.95,407859.23,551505.97,1508.77,49.97390625,13.51,12.91,203823.19,3.95,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201812,-6.92,-3.66,-5.25,0.13,-13.8,-9.88,8.76,-9.66,-15.23,-6.01,-6.26,-9.28,0.96,3.98,7.98,3.34,8.04,1.58,2.46,1.82,11.34,147.43,88.13,21.16,73.89,21.83,-0.38,-0.17,-0.74,57.51,32.09,53.68,100.83,63.32,42.49,40.22,125.03,17.27,471739.47,622109.82,1689.71,34.95299113,9.76,9.97,164887.06,7.38,0,0,0,0,0,0,1,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)루멘스,38060,201912,-9.58,-16.35,-21.66,-15.52,-31.8,-0.69,3.54,-18.89,-37.96,-12.83,-12.12,-19.99,1.06,4.75,6.39,3.82,6.25,2.01,2.24,1.96,45.2,110.48,66.93,15.18,113.28,23.84,1.43,0.65,3.19,46.89,32.85,54.22,74.81,104.66,53.11,39.41,415.55,5.14,471209.67,790299.92,1784.95,10.76468368,2.84,2.45,50724.23,6.41,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)바른전자,64520,201112,-7.08,-7.64,21.74,-11.94,-43.45,9.78,8.96,-15.71,-90.31,-22.2,-12.66,-27.56,1.75,7.09,7.84,6.45,8.55,5.75,2.52,3.2,-53.03,88.59,50.9,13.56,335.52,36.99,6.73,2.84,14.03,22.96,30.73,53.48,84.95,262.94,77.04,42.54,-330.31,-6.89,151489.74,43591.34,488.69,-42.54140057,-13.19,-7.22,-64445.86,1.66,0,0,0,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)바른전자,64520,201212,2.38,-18.44,2.06,-15.83,-25.42,3.19,11.99,-3.48,-32.69,10.02,4.83,-7.22,2.08,7.72,10.97,6,11.7,9.4,2.66,3.83,81.28,111.49,61.4,14.95,376.27,41.17,12.34,4.22,23.68,21,30.4,55.19,145.41,235.79,79,44.92,436.02,5.69,134341.26,39284.9,345.34,0,13.33,5.77,46029.77,1.47,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",1,
(주)바른전자,64520,201312,1.55,11.11,4.66,13.36,16.05,10.93,9.03,1.29,14.61,7.85,3.23,3.14,2.43,8.46,12.9,6.44,16.44,11.3,3.09,4.35,-33.18,80.19,41.34,10.97,355.99,38.04,5.23,1.77,10.72,21.93,29.03,56.31,110.79,320.2,78.07,48.45,-196.14,-13.91,141146.46,44088.14,385.16,0,25.12,10.89,96771.3,1.2,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
(주)바른전자,64520,201412,1.69,5.52,8.29,6.05,43.98,-6.7,9.25,0.53,4.26,0,0,1.11,2.1,7.33,10.55,5.64,13.08,8.03,2.83,3.71,-213.43,96.73,54.6,5.64,233.47,0,11.16,3.83,0,29.99,31.94,56.58,131.96,195.06,70.01,43.55,-1288.87,-1.91,169753.5,46289.02,451.32,0,0,0,0,1.06,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
(주)바른전자,64520,201512,2.02,13.95,-4.69,23.79,79.15,4.19,8.62,1.91,9.66,4.98,2.49,3.78,1.99,7.64,10.62,5.79,13.81,5.08,3.26,3.36,17.12,153.74,97.08,29.6,114.69,27.8,13.75,3.9,25.81,46.58,38.86,61.55,123.78,85.94,53.42,36.86,105.44,21.51,94529.41,20726.51,306.78,68.38277165,21.07,11.44,64641.83,1.42,0,0,0,0,1,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
(주)바른전자,64520,201612,1.28,1.96,-3.17,4.73,13.29,7.15,7.33,0.69,2.73,1.95,1,1.35,1.95,6.93,11.4,6.2,18.2,3.97,3.85,3.13,20.11,143.77,76.61,17.51,93.23,31.89,-1.03,-0.26,-1.56,51.75,33.69,63.22,211.24,84.97,48.25,46.71,153.44,19.25,100122.72,17573.34,344.76,73.0020114,21.2,10.95,73091.6,1.58,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
(주)바른전자,64520,201712,-13.54,-23.68,-5.78,-33.89,-35.51,-30.26,-4.29,-14.1,-44.73,-17.77,-11.6,-21.59,1.53,5.9,8.66,4.52,19.64,3.17,2.96,2.57,232.63,102.86,58.13,6.67,128.68,43.34,-11.24,-3.58,-14.59,43.73,30.95,54.76,246.29,121.74,56.27,43.49,1565.96,1.52,97550.46,14207.48,272.16,-9.670043283,-3.47,-1.96,-9433.17,1.83,0,0,0,0,0,0,1,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)바른전자,64520,201812,-11.34,-18.09,-5.95,-22.42,-63.49,-44.81,-9.8,-31.01,-101.41,-26.39,-24.59,-33.28,1.07,5.55,6.87,2.65,12.63,3.27,1.6,2.01,-8.92,66,42.98,9.38,413.02,60.43,-1.47,-0.99,-1.96,19.49,33.78,51.87,125.85,403.2,80.51,34.88,-67.69,-26.72,97374.23,8239.39,223.55,0,-10.61,-8.9,-23714.76,3.15,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)바른전자,64520,201912,-9.47,-1.52,-5.4,9.32,150,-57.54,-13.74,-32.75,-48.58,-19.07,-37.39,-16.7,0.51,4.91,6.93,1.19,9.05,1.48,0.78,0.93,7.79,129.72,117.45,111.3,102.08,35.36,-0.49,-0.48,-0.7,49.48,52.13,57.58,115.19,89.7,50.52,9.46,41.27,13.19,211511.5,12013.3,505.48,0,-0.36,-0.7,-1822.83,2.78,0,0,0,0,0,0,0,4,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)비보존헬스케어,82800,201112,-2.93,-10.73,-15.07,6.56,-26.55,18.88,6.1,-19.87,-29.74,0,0,-16.02,0.81,3.11,4.43,2.54,10.6,1.5,1.75,1.71,10.14,148.48,64.33,7.14,106.74,0,-3.83,-2.31,0,48.37,22.38,51.66,184.89,71.93,51.63,56.67,173.57,16.87,74379.6,150360.67,270.4,0,0,0,0,0.01,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)비보존헬스케어,82800,201212,5.92,22.24,-18.74,71.38,3.87,148.4,11.67,0.92,3.97,0,0,1.76,1.91,4.84,11.14,7.59,16.55,4.31,3.44,3.03,9.51,201.76,91.69,31.56,143.29,0,6.97,2.36,0,41.1,32.92,72.43,124.41,87.34,58.9,54.55,108.17,36.53,54690.28,155845.8,338.79,0,0,0,0,0.03,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",1,
