,회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),자산(IFRS개별),당좌자산구성비율(개별),당좌자산구성비율(연결)
0,(주)CMG제약,58820,Dec-11,15341167.0,2743103.0,27305198.0,15264885.0,2743103.0,27548539.0,45.45352477675858,46.13796977410674
1,(주)CMG제약,58820,Dec-12,47109213.0,2955172.0,57108035.0,47073443.0,2955172.0,56988604.0,77.41595319653733,77.31668757294837
2,(주)CMG제약,58820,Dec-13,38209699.0,4618718.0,55912563.0,38258866.0,4618718.0,55961620.0,60.11289165681766,60.07769845928902
3,(주)CMG제약,58820,Dec-14,28300941.0,4913103.0,58068326.0,28359823.0,4913103.0,58127098.0,40.33698706238526,40.276411618960736
4,(주)CMG제약,58820,Dec-15,26271614.0,5455617.0,56532821.0,26330765.0,5455617.0,56591972.0,36.887118900892865,36.821083101442966
5,(주)CMG제약,58820,Dec-16,78772201.0,6393756.0,110979867.0,78772201.0,6393756.0,110979867.0,65.21763537525234,65.21763537525234
6,(주)CMG제약,58820,Dec-17,81227330.0,7904518.0,109568153.0,81227330.0,7904518.0,109568153.0,66.91982112722116,66.91982112722116
7,(주)CMG제약,58820,Dec-18,81370415.0,8572582.0,114379880.0,81370415.0,8572582.0,114379880.0,63.645663030945656,63.645663030945656
8,(주)CMG제약,58820,Dec-19,150584066.0,9048933.0,192243166.0,150584066.0,9048933.0,192243166.0,73.62297237655771,73.62297237655771
9,(주)DB하이텍,990,Dec-11,279725559.0,77112663.0,1199043869.0,265976810.0,77112663.0,1183957429.0,15.951937322570743,16.897871815897673
10,(주)DB하이텍,990,Dec-12,309144147.0,79262392.0,1157755031.0,303296307.0,79262392.0,1149069244.0,19.496989948153203,19.85582000031922
11,(주)DB하이텍,990,Dec-13,222960700.0,72377687.0,1058391832.0,222316934.0,72377687.0,1049494642.0,14.286804429440814,14.227529771790604
12,(주)DB하이텍,990,Dec-14,247582371.0,69179569.0,984876636.0,246306720.0,69179569.0,1001959816.0,17.678069336864503,18.114228267671077
13,(주)DB하이텍,990,Dec-15,337757266.0,83459568.0,984643712.0,334045125.0,83459568.0,1005673854.0,24.917179262771207,25.826366928548467
14,(주)DB하이텍,990,Dec-16,368924211.0,76344778.0,986788572.0,364126852.0,76344778.0,1006370876.0,28.59602566638663,29.649657616829394
15,(주)DB하이텍,990,Dec-17,353662841.0,75018890.0,993950720.0,348507961.0,75018890.0,977575054.0,27.976273523035296,28.033980497544185
16,(주)DB하이텍,990,Dec-18,383378937.0,42891649.0,1066533840.0,380098326.0,42891649.0,1050696487.0,32.09363323968171,31.92465866812065
17,(주)DB하이텍,990,Dec-19,426263421.0,51837841.0,1088889810.0,422531166.0,51837841.0,1089400761.0,34.02726877661875,34.38599356531769
18,(주)ES큐브,50120,Dec-11,34078195.0,5312339.0,55477032.0,18786276.0,383848.0,45233434.0,40.68324328416012,51.851829420146345
19,(주)ES큐브,50120,Dec-12,22707006.0,4844206.0,46281660.0,15631243.0,410944.0,44676182.0,34.068038759444576,38.59584984635382
20,(주)ES큐브,50120,Dec-13,38357211.0,6264936.0,47137573.0,32518902.0,426328.0,47509654.0,67.54958476439336,68.08215391148798
21,(주)ES큐브,50120,Dec-14,46214758.0,6084161.0,56611836.0,21477612.0,264950.0,44914173.0,47.22932781151286,70.88729113113378
22,(주)ES큐브,50120,Dec-15,41180599.0,6783417.0,55620280.0,22590313.0,397788.0,47123684.0,47.09420638675024,61.84287817321308
23,(주)ES큐브,50120,Dec-16,50885945.0,7447857.0,105164626.0,43388800.0,420745.0,104459992.0,41.133504011756,41.304847126066896
24,(주)ES큐브,50120,Dec-17,51038158.0,8346570.0,105892131.0,44761949.0,408271.0,104850192.0,42.3019521032446,40.31610998554746
25,(주)ES큐브,50120,Dec-18,45061626.0,9236879.0,112430896.0,29054833.0,560371.0,108481764.0,26.266591682635248,31.863792137705637
26,(주)ES큐브,50120,Dec-19,359030693.0,7648032.0,463958680.0,24298462.0,468610.0,136065488.0,17.513516726592712,75.73576616779752
27,(주)HJ중공업,97230,Dec-11,2391530000.0,360584000.0,7036680000.0,2183437000.0,183693000.0,5857119000.0,34.142109798349665,28.862275959685533
28,(주)HJ중공업,97230,Dec-12,2274211000.0,223809000.0,6585093000.0,2419666000.0,163272000.0,5938108000.0,37.99853421325446,31.13702418477613
29,(주)HJ중공업,97230,Dec-13,2788908000.0,601781000.0,6683379000.0,1949615000.0,489464000.0,5839633000.0,25.00415693931451,32.72486866299218
