,회사명,거래소코드,회계년도,당기순이익(IFRS연결),매출액(IFRS연결),당기순이익(IFRS개별),매출액(IFRS개별),매출액순이익률(개별),매출액순이익률(연결)
0,(주)CMG제약,58820,Dec-11,-1508282.0,17751704.0,-1264488.0,17751704.0,-7.123192229883959,-8.496547711701368
1,(주)CMG제약,58820,Dec-12,-6660149.0,16255389.0,-6892739.0,16255389.0,-42.402793313651244,-40.971944750137936
2,(주)CMG제약,58820,Dec-13,296181.0,20402140.0,335258.0,20322140.0,1.6497179922980554,1.4517153592711354
3,(주)CMG제약,58820,Dec-14,158039.0,22752584.0,171502.0,22752584.0,0.7537693301121314,0.6945980289535465
4,(주)CMG제약,58820,Dec-15,-3650091.0,27041894.0,-3648668.0,27041894.0,-13.492649590298667,-13.497911795675257
5,(주)CMG제약,58820,Dec-16,1727895.0,32969825.0,1693463.0,32969825.0,5.136402756156577,5.240837644725139
6,(주)CMG제약,58820,Dec-17,2834901.0,41535588.0,2834901.0,41535588.0,6.825233821175229,6.825233821175229
7,(주)CMG제약,58820,Dec-18,6065026.0,49864782.0,6065026.0,49864782.0,12.162944981891227,12.162944981891227
8,(주)CMG제약,58820,Dec-19,3051177.0,58622681.0,3051177.0,58622681.0,5.204772193888574,5.204772193888574
9,(주)DB하이텍,990,Dec-11,-97946584.0,552216245.0,-93084414.0,534317238.0,-17.421188645985627,-17.736997940000844
10,(주)DB하이텍,990,Dec-12,-31341318.0,590786488.0,-32121504.0,583901597.0,-5.501184474410677,-5.305016048369746
11,(주)DB하이텍,990,Dec-13,-83046768.0,493752028.0,-73243309.0,493752028.0,-14.834026970315554,-16.819529498722382
12,(주)DB하이텍,990,Dec-14,-77008844.0,567718224.0,-58319918.0,567718224.0,-10.27268731820735,-13.564624270366913
13,(주)DB하이텍,990,Dec-15,126733352.0,666594987.0,127469869.0,666594987.0,19.122536395551982,19.01204696578374
14,(주)DB하이텍,990,Dec-16,88344018.0,773140180.0,88002359.0,773140180.0,11.382458353154016,11.426649433741757
15,(주)DB하이텍,990,Dec-17,110175089.0,679737744.0,74401732.0,679737744.0,10.94565259274465,16.2084701007864
16,(주)DB하이텍,990,Dec-18,86828768.0,669279136.0,95087399.0,669279136.0,14.207435117176578,12.973475987752888
17,(주)DB하이텍,990,Dec-19,104637012.0,807416423.0,121159865.0,807416423.0,15.005870768620715,12.959485219685703
18,(주)ES큐브,50120,Dec-11,-4796438.0,53379952.0,-2933429.0,41700477.0,-7.0345214516371115,-8.985467053248755
19,(주)ES큐브,50120,Dec-12,-359216.0,55971147.0,516857.0,44178050.0,1.1699407284839416,-0.6417878125670714
