,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별),매출액영업이익률(개별),매출액영업이익률(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,10325799.0,6802089.0,17751704.0,10325799.0,6727421.0,3.9347433913949894,3.514118982605839
1,(주)CMG제약,58820,Dec-12,16255389.0,11648690.0,8812202.0,16255389.0,11648690.0,8651838.0,-24.88491047492004,-25.871438696422462
2,(주)CMG제약,58820,Dec-13,20402140.0,12506817.0,7104073.0,20322140.0,12506817.0,6992776.0,4.047541253037328,3.8782696324993355
3,(주)CMG제약,58820,Dec-14,22752584.0,14318048.0,7992213.0,22752584.0,14318048.0,7988518.0,1.9602960261568534,1.9440561124837514
4,(주)CMG제약,58820,Dec-15,27041894.0,17237814.0,12376249.0,27041894.0,17237814.0,12374958.0,-9.507018998003616,-9.511793071890601
5,(주)CMG제약,58820,Dec-16,32969825.0,19663389.0,11575683.0,32969825.0,19663389.0,11575683.0,5.24950617723934,5.24950617723934
6,(주)CMG제약,58820,Dec-17,41535588.0,23497552.0,16479429.0,41535588.0,23497552.0,16479429.0,3.7524616239933812,3.7524616239933812
7,(주)CMG제약,58820,Dec-18,49864782.0,27124841.0,20172121.0,49864782.0,27124841.0,20172121.0,5.149566281067869,5.149566281067869
8,(주)CMG제약,58820,Dec-19,58622681.0,29700050.0,26318857.0,58622681.0,29700050.0,26318857.0,4.441581237132433,4.441581237132433
9,(주)DB하이텍,990,Dec-11,552216245.0,460440945.0,127163621.0,534317238.0,443140034.0,126664477.0,-6.6416111022044175,-6.408417231550296
10,(주)DB하이텍,990,Dec-12,590786488.0,494003057.0,112405062.0,583901597.0,486953432.0,111377822.0,-2.47124807915194,-2.6442092561873216
11,(주)DB하이텍,990,Dec-13,493752028.0,404500718.0,98861923.0,493752028.0,404500718.0,98644291.0,-1.9023680850582754,-1.9464452711068156
12,(주)DB하이텍,990,Dec-14,567718224.0,430813375.0,91344601.0,567718224.0,430813375.0,91594343.0,7.981161090928798,8.02515157589868
13,(주)DB하이텍,990,Dec-15,666594987.0,436915515.0,104710656.0,666594987.0,436915515.0,105306648.0,18.65792969127144,18.747338104419317
14,(주)DB하이텍,990,Dec-16,773140180.0,483129939.0,117582311.0,773140180.0,483129939.0,118222593.0,22.219469695650794,22.302285466524324
15,(주)DB하이텍,990,Dec-17,679737744.0,426170592.0,110371984.0,679737744.0,426170592.0,111213462.0,20.942443060804933,21.06623756941177
