,회사명,거래소코드,회계년도,매출채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),매입채무(IFRS)(천원),매출채권대매입채무비율(개별),매출채권대매입채무비율(연결)
0,(주)CMG제약,58820,2011/12,11050219.0,1481481.0,11050219.0,1481481.0,745.8900249142581,745.8900249142581
1,(주)CMG제약,58820,2012/12,11362566.0,2670886.0,11362566.0,2670886.0,425.4230993011308,425.4230993011308
2,(주)CMG제약,58820,2013/12,13999415.0,3911851.0,13999415.0,3911851.0,357.8718872472392,357.8718872472392
3,(주)CMG제약,58820,2014/12,16787073.0,4719504.0,16787073.0,4719504.0,355.6957044638589,355.6957044638589
4,(주)CMG제약,58820,2015/12,15838057.0,4844096.0,15838056.0,4844096.0,326.95586544940477,326.95588609309146
5,(주)CMG제약,58820,2016/12,14435808.0,5688806.0,14435808.0,5688806.0,253.758134835324,253.758134835324
6,(주)CMG제약,58820,2017/12,16768648.0,7002289.0,16768648.0,7002289.0,239.4738063510375,239.4738063510375
7,(주)CMG제약,58820,2018/12,19030822.0,4162722.0,19030822.0,4162722.0,457.1725423893309,457.1725423893309
8,(주)CMG제약,58820,2019/12,21676515.0,4328437.0,21676515.0,4328437.0,500.7931269416651,500.7931269416651
9,(주)DB하이텍,990,2011/12,79301000.0,23196334.0,71061975.0,22998829.0,308.9808398505854,341.8686763175595
10,(주)DB하이텍,990,2012/12,69176000.0,17740927.0,74994000.0,23484407.0,319.3352934140513,389.92325485584826
11,(주)DB하이텍,990,2013/12,59941499.0,29717748.0,59836026.0,29426433.0,203.34107773103182,201.70269631467366
12,(주)DB하이텍,990,2014/12,83353090.0,36235325.0,83154227.0,35936430.0,231.39256459253187,230.03268219617183
13,(주)DB하이텍,990,2015/12,92342122.0,44271640.0,91970866.0,42409042.0,216.86617207717168,208.58075734262385
14,(주)DB하이텍,990,2016/12,110311838.0,44199479.0,110311839.0,41718640.0,264.4185884295365,249.57723596696692
15,(주)DB하이텍,990,2017/12,85709910.0,33883223.0,85713072.0,31644708.0,270.86068229796905,252.9567804101753
16,(주)DB하이텍,990,2018/12,98855166.0,36469258.0,98855130.0,36347680.0,271.97094835213693,271.0643742738062
