,회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별),순이익증가율(개별),순이익증가율(연결)
0,(주)CMG제약,58820,Dec-11,-1508282.0,-1508282.0,-1264488.0,-1264488.0,0.0,0.0
1,(주)CMG제약,58820,Dec-12,-6660149.0,-6660149.0,-6892739.0,-6892739.0,0.0,0.0
2,(주)CMG제약,58820,Dec-13,296181.0,296181.0,335258.0,335258.0,0.0,13.193621467953704
3,(주)CMG제약,58820,Dec-14,158039.0,158039.0,171502.0,171502.0,0.0,8.518783338289921
4,(주)CMG제약,58820,Dec-15,-3650091.0,-3650091.0,-3648668.0,-3648668.0,0.0,0.0
5,(주)CMG제약,58820,Dec-16,1727895.0,823197.0,1693463.0,788765.0,114.6980406077856,105.71782938956287
6,(주)CMG제약,58820,Dec-17,2834901.0,2834901.0,2834901.0,2834901.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,6065026.0,6065026.0,6065026.0,6065026.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,3051177.0,,3051177.0,3051177.0,0.0,
9,(주)DB하이텍,990,Dec-11,-97946584.0,-97946584.0,-93084414.0,-93084414.0,0.0,0.0
10,(주)DB하이텍,990,Dec-12,-31341318.0,-31324452.0,-32121504.0,-32104639.0,0.0,0.0
11,(주)DB하이텍,990,Dec-13,-83046768.0,-83046768.0,-73243309.0,-73243309.0,0.0,0.0
12,(주)DB하이텍,990,Dec-14,-77008844.0,-77008844.0,-58319918.0,-58319918.0,0.0,0.0
13,(주)DB하이텍,990,Dec-15,126733352.0,126733352.0,127469869.0,127469869.0,0.0,0.5811548328651384
14,(주)DB하이텍,990,Dec-16,88344018.0,88344018.0,88002359.0,88002359.0,0.0,-0.3867369944618133
15,(주)DB하이텍,990,Dec-17,110175089.0,110175089.0,74401732.0,74401732.0,0.0,-32.46955126126561
16,(주)DB하이텍,990,Dec-18,86828768.0,86828768.0,95087399.0,95087399.0,0.0,9.511399493771464
17,(주)DB하이텍,990,Dec-19,104637012.0,104637012.0,121159865.0,121159865.0,0.0,15.790639166951735
18,(주)ES큐브,50120,Dec-11,-4796438.0,-4796438.0,-2933429.0,-2933429.0,0.0,0.0
19,(주)ES큐브,50120,Dec-12,-359216.0,-359216.0,516857.0,516857.0,0.0,-243.88473787359138
20,(주)ES큐브,50120,Dec-13,-16455910.0,-16455910.0,-14749080.0,-14749080.0,0.0,0.0
21,(주)ES큐브,50120,Dec-14,-615409.0,-615409.0,-2412385.0,-2412385.0,0.0,0.0
22,(주)ES큐브,50120,Dec-15,-2307159.0,-2307159.0,3610344.0,3610344.0,0.0,-256.4844035456594
23,(주)ES큐브,50120,Dec-16,21541047.0,21541047.0,17469014.0,17469014.0,0.0,-18.90359832555957
24,(주)ES큐브,50120,Dec-17,1737925.0,1737925.0,1218923.0,1218923.0,0.0,-29.86331400952284
25,(주)ES큐브,50120,Dec-18,-6121462.0,-6121462.0,-3836071.0,-3836071.0,0.0,0.0
26,(주)ES큐브,50120,Dec-19,-13767748.0,-13767748.0,-12738710.0,-12738710.0,0.0,0.0
27,(주)HJ중공업,97230,Dec-11,-96920000.0,-96920000.0,-116272000.0,-116272000.0,0.0,0.0
28,(주)HJ중공업,97230,Dec-12,-53214000.0,-53214000.0,13082000.0,13082000.0,0.0,-124.58375615439546
29,(주)HJ중공업,97230,Dec-13,-190193000.0,-190193000.0,-212716000.0,-212716000.0,0.0,0.0
30,(주)HJ중공업,97230,Dec-14,-299811000.0,-299811000.0,-225739000.0,-302120000.0,0.0,0.0
31,(주)HJ중공업,97230,Dec-15,-260925000.0,-392257000.0,-260118000.0,-391450000.0,0.0,0.0
32,(주)HJ중공업,97230,Dec-16,-334446000.0,-313395000.0,-334429000.0,-313377000.0,0.0,0.0
33,(주)HJ중공업,97230,Dec-17,-277978000.0,-277978000.0,-299028000.0,-299028000.0,0.0,0.0
