,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별),운전자본회전비율(개별),운전자본회전비율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,11050219.0,2743103.0,17751704.0,11050219.0,2743103.0,128.69781478312476,128.69781478312476
1,(주)CMG제약,58820,Dec-12,16255389.0,11362566.0,2955172.0,16255389.0,11362566.0,2955172.0,113.5332201217818,113.5332201217818
2,(주)CMG제약,58820,Dec-13,20402140.0,13999415.0,4618718.0,20322140.0,13999415.0,4618718.0,109.1524053459066,109.58209397258038
3,(주)CMG제약,58820,Dec-14,22752584.0,16787073.0,4913103.0,22752584.0,16787073.0,4913103.0,104.84976711709619,104.84976711709619
4,(주)CMG제약,58820,Dec-15,27041894.0,15838057.0,5455617.0,27041894.0,15838056.0,5455617.0,126.99497169887037,126.99496573489384
5,(주)CMG제약,58820,Dec-16,32969825.0,14435808.0,6393756.0,32969825.0,14435808.0,6393756.0,158.2837979709993,158.2837979709993
6,(주)CMG제약,58820,Dec-17,41535588.0,16768648.0,7904518.0,41535588.0,16768648.0,7904518.0,168.3431627704365,168.3431627704365
7,(주)CMG제약,58820,Dec-18,49864782.0,19030822.0,8572582.0,49864782.0,19030822.0,8572582.0,180.64722017617828,180.64722017617828
8,(주)CMG제약,58820,Dec-19,58622681.0,21676515.0,9048933.0,58622681.0,21676515.0,9048933.0,190.79520337669283,190.79520337669283
9,(주)DB하이텍,990,Dec-11,552216245.0,79301000.0,77112663.0,534317238.0,71061975.0,77112663.0,360.59965808723626,353.0485984462879
10,(주)DB하이텍,990,Dec-12,590786488.0,69176000.0,79262392.0,583901597.0,74994000.0,79262392.0,378.5266784925191,398.00113706432495
11,(주)DB하이텍,990,Dec-13,493752028.0,59941499.0,72377687.0,493752028.0,59836026.0,72377687.0,373.449937072715,373.15225624196324
12,(주)DB하이텍,990,Dec-14,567718224.0,83353090.0,69179569.0,567718224.0,83154227.0,69179569.0,372.6804155789566,372.1945370400971
13,(주)DB하이텍,990,Dec-15,666594987.0,92342122.0,83459568.0,666594987.0,91970866.0,83459568.0,379.976821467591,379.17439075813206
14,(주)DB하이텍,990,Dec-16,773140180.0,110311838.0,76344778.0,773140180.0,110311839.0,76344778.0,414.20453902258384,414.2045412416563
15,(주)DB하이텍,990,Dec-17,679737744.0,85709910.0,75018890.0,679737744.0,85713072.0,75018890.0,422.9014164587874,422.9097361518284
16,(주)DB하이텍,990,Dec-18,669279136.0,98855166.0,42891649.0,669279136.0,98855130.0,42891649.0,472.16532235981174,472.16520244211483
17,(주)DB하이텍,990,Dec-19,807416423.0,102020672.0,51837841.0,807416423.0,102020672.0,51837841.0,524.7785171302156,524.7785171302156
18,(주)ES큐브,50120,Dec-11,53379952.0,12624603.0,5312339.0,41700477.0,2102205.0,383848.0,1677.376829858414,297.5978402561596
19,(주)ES큐브,50120,Dec-12,55971147.0,4718926.0,4844206.0,44178050.0,3047374.0,410944.0,1277.4432542062355,585.2805022454986
20,(주)ES큐브,50120,Dec-13,58597361.0,4935099.0,6264936.0,45823196.0,2846445.0,426328.0,1400.1336481326384,523.1890882483849
21,(주)ES큐브,50120,Dec-14,44459581.0,10542241.0,6084161.0,37188072.0,3093857.0,264950.0,1107.18097229165,267.40350076943884
22,(주)ES큐브,50120,Dec-15,42152967.0,7805190.0,6783417.0,36887119.0,2055434.0,397788.0,1503.6192810923756,288.944427661942
23,(주)ES큐브,50120,Dec-16,34289385.0,4142905.0,7447857.0,34818205.0,2820018.0,420745.0,1074.382946238278,295.8337424234921
24,(주)ES큐브,50120,Dec-17,35745794.0,3886201.0,8346570.0,37104908.0,2573314.0,408271.0,1244.4692336458627,292.2133832146453
25,(주)ES큐브,50120,Dec-18,33763508.0,4655667.0,9236879.0,31308873.0,3016721.0,560371.0,875.2604909239125,243.03326402518303
26,(주)ES큐브,50120,Dec-19,43708239.0,212246240.0,7648032.0,28527284.0,2610301.0,468610.0,926.5381168861328,19.87693385664907
27,(주)HJ중공업,97230,Dec-11,2891499000.0,283789000.0,360584000.0,2316017000.0,831799000.0,183693000.0,228.06846336554102,448.7306265160086
28,(주)HJ중공업,97230,Dec-12,2549319000.0,268734000.0,223809000.0,1980761000.0,955409000.0,163272000.0,177.0621830530777,517.5830333595239
29,(주)HJ중공업,97230,Dec-13,2529341000.0,245971000.0,601781000.0,1927307000.0,285995000.0,489464000.0,248.53757580993965,298.3586001566496
30,(주)HJ중공업,97230,Dec-14,2520325000.0,294422000.0,655829000.0,1799016000.0,384263000.0,459613000.0,213.18487550303598,265.22729257848715
31,(주)HJ중공업,97230,Dec-15,3115473000.0,203499000.0,873978000.0,2041347000.0,234552000.0,721779000.0,213.45611508985905,289.14519753089854
32,(주)HJ중공업,97230,Dec-16,2813271000.0,134921000.0,675011000.0,1928591000.0,242278000.0,518530000.0,253.49247116223802,347.34656736614926
33,(주)HJ중공업,97230,Dec-17,2452314000.0,130629000.0,709533000.0,1737428000.0,148699000.0,655299000.0,216.09854750882468,291.8858505859584
