,회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별),유동자산증가율(개별),유동자산증가율(연결)
0,(주)CMG제약,58820,Dec-11,15341167.0,15341167.0,15264885.0,15264885.0,0.0,-0.4972372701503076
1,(주)CMG제약,58820,Dec-12,47109213.0,47109213.0,47073443.0,47073443.0,0.0,-0.07592994601714054
2,(주)CMG제약,58820,Dec-13,38209699.0,38209699.0,38258866.0,38258866.0,0.0,0.12867675298882375
3,(주)CMG제약,58820,Dec-14,28300941.0,28300941.0,28359823.0,28359823.0,0.0,0.20805668617167328
4,(주)CMG제약,58820,Dec-15,26271614.0,26271614.0,26330765.0,26330765.0,0.0,0.22515175504634044
5,(주)CMG제약,58820,Dec-16,78772201.0,78772201.0,78772201.0,78772201.0,0.0,0.0
6,(주)CMG제약,58820,Dec-17,81227330.0,81227330.0,81227330.0,81227330.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,81370415.0,81370415.0,81370415.0,81370415.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,150584066.0,,150584066.0,150584066.0,0.0,
9,(주)DB하이텍,990,Dec-11,279725559.0,279725558.0,265976810.0,265976810.0,0.0,-4.915084663089672
10,(주)DB하이텍,990,Dec-12,309144147.0,309144147.0,303296307.0,303296307.0,0.0,-1.8916224216918351
11,(주)DB하이텍,990,Dec-13,222960700.0,222960700.0,222316934.0,222316934.0,0.0,-0.28873518965450273
12,(주)DB하이텍,990,Dec-14,247582371.0,247582371.0,246306720.0,246306720.0,0.0,-0.5152430663166996
13,(주)DB하이텍,990,Dec-15,337757266.0,337757266.0,334045125.0,334045125.0,0.0,-1.0990558527318228
14,(주)DB하이텍,990,Dec-16,368924211.0,368924211.0,364126852.0,364126852.0,0.0,-1.300364372128442
15,(주)DB하이텍,990,Dec-17,353662841.0,353662841.0,348507961.0,348507961.0,0.0,-1.4575690183973933
16,(주)DB하이텍,990,Dec-18,383378937.0,383378937.0,380098326.0,380098326.0,0.0,-0.8557097647750993
17,(주)DB하이텍,990,Dec-19,426263421.0,426263421.0,422531166.0,422531166.0,0.0,-0.8755747775036014
18,(주)ES큐브,50120,Dec-11,34078195.0,34078195.0,18786276.0,18786276.0,0.0,-44.8730309806608
19,(주)ES큐브,50120,Dec-12,22707006.0,22707006.0,15631243.0,15631243.0,0.0,-31.16114471454317
20,(주)ES큐브,50120,Dec-13,38357211.0,38357211.0,32518902.0,32518902.0,0.0,-15.220890277971463
21,(주)ES큐브,50120,Dec-14,46214758.0,46214758.0,21477612.0,21477612.0,0.0,-53.52650770128451
22,(주)ES큐브,50120,Dec-15,41180599.0,41180599.0,22590313.0,22590313.0,0.0,-45.14331129569048
23,(주)ES큐브,50120,Dec-16,50885945.0,50885945.0,43388800.0,43388800.0,0.0,-14.733233312263337
24,(주)ES큐브,50120,Dec-17,51038158.0,51038158.0,44761949.0,44761949.0,0.0,-12.297091521210461
25,(주)ES큐브,50120,Dec-18,45061626.0,45061626.0,29054833.0,29054833.0,0.0,-35.52200490945444
26,(주)ES큐브,50120,Dec-19,359030693.0,359030693.0,24298462.0,24298462.0,0.0,-93.23220480205573
27,(주)HJ중공업,97230,Dec-11,2391530000.0,2391530000.0,2183437000.0,2183437000.0,0.0,-8.701249827516278
28,(주)HJ중공업,97230,Dec-12,2274211000.0,2274211000.0,2419666000.0,2419666000.0,0.0,6.3958445368525645
29,(주)HJ중공업,97230,Dec-13,2788908000.0,2788908000.0,1949615000.0,1949615000.0,0.0,-30.093965093147574
30,(주)HJ중공업,97230,Dec-14,2647534000.0,2647534000.0,1858441000.0,1858441000.0,0.0,-29.804829701903728
31,(주)HJ중공업,97230,Dec-15,2429499000.0,2357300000.0,1622994000.0,1604735000.0,1.1378202631587158,-31.150299070971016
32,(주)HJ중공업,97230,Dec-16,2372221000.0,2264280000.0,1709538000.0,1601597000.0,6.739585551171729,-24.499708516614547
33,(주)HJ중공업,97230,Dec-17,1894161000.0,1894161000.0,1390569000.0,1390569000.0,0.0,-26.58654676133655
34,(주)HJ중공업,97230,Dec-18,1720906000.0,1720906000.0,1382999000.0,1382999000.0,0.0,-19.63541297432863
35,(주)HJ중공업,97230,Dec-19,1300538000.0,1300538000.0,1299550000.0,1299550000.0,0.0,-0.07596856070334468
36,(주)MH에탄올,23150,Dec-11,45677724.0,45677724.0,26253473.0,26253473.0,0.0,-42.52455967377009
37,(주)MH에탄올,23150,Dec-12,50009828.0,50009828.0,23099890.0,23099890.0,0.0,-53.809299244140576
38,(주)MH에탄올,23150,Dec-13,43178092.0,43178092.0,25868582.0,25868582.0,0.0,-40.08864032250429
39,(주)MH에탄올,23150,Dec-14,28731429.0,28731429.0,28019052.0,28019052.0,0.0,-2.4794346288867075
40,(주)MH에탄올,23150,Dec-15,22500870.0,22500870.0,21758814.0,21758814.0,0.0,-3.2978991478996136
41,(주)MH에탄올,23150,Dec-16,19709368.0,19709368.0,18955978.0,18955978.0,0.0,-3.8224969973669403
42,(주)MH에탄올,23150,Dec-17,84767703.0,84767703.0,18235352.0,18235352.0,0.0,-78.4878540356343
43,(주)MH에탄올,23150,Dec-18,29576016.0,29576016.0,18385099.0,18385099.0,0.0,-37.83781088027543
44,(주)MH에탄올,23150,Dec-19,32814839.0,32814839.0,18130225.0,18130225.0,0.0,-44.74991938860343
45,(주)SH에너지화학,2360,Dec-11,50355479.0,50355479.0,47641848.0,47641848.0,0.0,-5.388948837126534
46,(주)SH에너지화학,2360,Dec-12,50509179.0,50509179.0,48762275.0,48762275.0,0.0,-3.458587200556167
47,(주)SH에너지화학,2360,Dec-13,59051785.0,59051785.0,57773554.0,57773554.0,0.0,-2.1645933310906713
48,(주)SH에너지화학,2360,Dec-14,60325646.0,60325646.0,55486941.0,55486941.0,0.0,-8.02097502611079
49,(주)SH에너지화학,2360,Dec-15,68213722.0,68213722.0,63737267.0,63737267.0,0.0,-6.562396639198198
50,(주)SH에너지화학,2360,Dec-16,84222915.0,84222915.0,79584275.0,79584275.0,0.0,-5.507574749698463
51,(주)SH에너지화학,2360,Dec-17,87597479.0,87597479.0,79139030.0,79139030.0,0.0,-9.656041585397674
52,(주)SH에너지화학,2360,Dec-18,85758694.0,85758694.0,77591484.0,77591484.0,0.0,-9.523477584674964
53,(주)SH에너지화학,2360,Dec-19,83558867.0,83558867.0,74793897.0,74793897.0,0.0,-10.48957497233657
54,(주)SIMPAC,9160,Dec-11,152885455.0,152885455.0,151220422.0,151220422.0,0.0,-1.0890722076864705
55,(주)SIMPAC,9160,Dec-12,152757766.0,,150643335.0,150643335.0,0.0,
56,(주)SIMPAC,9160,Dec-13,108635043.0,108635043.0,106534703.0,106534703.0,0.0,-1.9333908672545022
57,(주)SIMPAC,9160,Dec-14,144850453.0,144850453.0,118044851.0,118044851.0,0.0,-18.505708090536658
58,(주)SIMPAC,9160,Dec-15,174086524.0,174086524.0,138074968.0,138074968.0,0.0,-20.68601013597123
59,(주)SIMPAC,9160,Dec-16,176778523.0,176778523.0,138253630.0,138253630.0,0.0,-21.792745151513685
60,(주)SIMPAC,9160,Dec-17,150671614.0,150671614.0,124800057.0,124800057.0,0.0,-17.17082356335547
61,(주)SIMPAC,9160,Dec-18,310736335.0,310736335.0,273219151.0,273219151.0,0.0,-12.073639215703565
62,(주)SIMPAC,9160,Dec-19,289195402.0,289195402.0,224313300.0,224313300.0,0.0,-22.435385054980927
63,(주)SNT에너지,100840,Dec-11,,,145463387.0,145463387.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,161463967.0,161463967.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,181309369.0,181309369.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,170494610.0,170494610.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,184059424.0,184059424.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,211766053.0,211766053.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,172919603.0,172919603.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,155524318.0,155524318.0,155524318.0,0.0,0.0
71,(주)SNT에너지,100840,Dec-19,204986584.0,204986584.0,202225767.0,202225767.0,0.0,-1.3468281416894996
72,(주)SNT홀딩스,36530,Dec-11,1041841182.0,1041841182.0,64671576.0,64671576.0,0.0,-93.79256866427075
73,(주)SNT홀딩스,36530,Dec-12,998857779.0,998857779.0,40740917.0,40740917.0,0.0,-95.92124946548572
74,(주)SNT홀딩스,36530,Dec-13,1070812404.0,1070812404.0,49212139.0,49212139.0,0.0,-95.40422404371027
75,(주)SNT홀딩스,36530,Dec-14,994978341.0,994978341.0,47079948.0,47079948.0,0.0,-95.26824393456822
76,(주)SNT홀딩스,36530,Dec-15,1140793639.0,1140793639.0,100040105.0,100040105.0,0.0,-91.23065718636953
77,(주)SNT홀딩스,36530,Dec-16,1205349271.0,1205349271.0,97449826.0,97449826.0,0.0,-91.91522089533831
