,회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동자산회전율(개별),유동자산회전율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,15341167.0,17751704.0,15264885.0,1.162911086457579,1.157128659117002
1,(주)CMG제약,58820,Dec-12,16255389.0,47109213.0,16255389.0,47073443.0,0.3453197379252671,0.34505753683467394
2,(주)CMG제약,58820,Dec-13,20402140.0,38209699.0,20322140.0,38258866.0,0.5311746563528569,0.5339518638971744
3,(주)CMG제약,58820,Dec-14,22752584.0,28300941.0,22752584.0,28359823.0,0.8022822991525723,0.803951501117931
4,(주)CMG제약,58820,Dec-15,27041894.0,26271614.0,27041894.0,26330765.0,1.0270075328232962,1.029319858307906
5,(주)CMG제약,58820,Dec-16,32969825.0,78772201.0,32969825.0,78772201.0,0.4185464488925478,0.4185464488925478
6,(주)CMG제약,58820,Dec-17,41535588.0,81227330.0,41535588.0,81227330.0,0.5113499114152835,0.5113499114152835
7,(주)CMG제약,58820,Dec-18,49864782.0,81370415.0,49864782.0,81370415.0,0.612812187328773,0.612812187328773
8,(주)CMG제약,58820,Dec-19,58622681.0,150584066.0,58622681.0,150584066.0,0.389302019511148,0.389302019511148
9,(주)DB하이텍,990,Dec-11,552216245.0,279725559.0,534317238.0,265976810.0,2.0088865566889083,1.9741358171707148
10,(주)DB하이텍,990,Dec-12,590786488.0,309144147.0,583901597.0,303296307.0,1.9251853172086266,1.9110388915110206
11,(주)DB하이텍,990,Dec-13,493752028.0,222960700.0,493752028.0,222316934.0,2.2209375557509263,2.2145249274872207
12,(주)DB하이텍,990,Dec-14,567718224.0,247582371.0,567718224.0,246306720.0,2.3049238120665163,2.2930478519409605
13,(주)DB하이텍,990,Dec-15,666594987.0,337757266.0,666594987.0,334045125.0,1.9955237694308516,1.973591848650267
14,(주)DB하이텍,990,Dec-16,773140180.0,368924211.0,773140180.0,364126852.0,2.1232715350528446,2.0956612684874725
15,(주)DB하이텍,990,Dec-17,679737744.0,353662841.0,679737744.0,348507961.0,1.9504224295180448,1.9219936764575163
16,(주)DB하이텍,990,Dec-18,669279136.0,383378937.0,669279136.0,380098326.0,1.7608052712129019,1.7457378885684582
17,(주)DB하이텍,990,Dec-19,807416423.0,426263421.0,807416423.0,422531166.0,1.9109038290444118,1.8941724370949484
18,(주)ES큐브,50120,Dec-11,53379952.0,34078195.0,41700477.0,18786276.0,2.2197308822674593,1.56639610754032
19,(주)ES큐브,50120,Dec-12,55971147.0,22707006.0,44178050.0,15631243.0,2.8262659597832367,2.4649285335107587
20,(주)ES큐브,50120,Dec-13,58597361.0,38357211.0,45823196.0,32518902.0,1.409124945239541,1.5276752264391693
21,(주)ES큐브,50120,Dec-14,44459581.0,46214758.0,37188072.0,21477612.0,1.731480762386433,0.9620212876588037
22,(주)ES큐브,50120,Dec-15,42152967.0,41180599.0,36887119.0,22590313.0,1.6328733028178937,1.023612284027243
23,(주)ES큐브,50120,Dec-16,34289385.0,50885945.0,34818205.0,43388800.0,0.8024698770189542,0.6738478572030057
24,(주)ES큐브,50120,Dec-17,35745794.0,51038158.0,37104908.0,44761949.0,0.8289386148042839,0.7003739045598001
25,(주)ES큐브,50120,Dec-18,33763508.0,45061626.0,31308873.0,29054833.0,1.077578831721387,0.7492740719120966
26,(주)ES큐브,50120,Dec-19,43708239.0,359030693.0,28527284.0,24298462.0,1.1740366118645698,0.12173956113551551
27,(주)HJ중공업,97230,Dec-11,2891499000.0,2391530000.0,2316017000.0,2183437000.0,1.0607207810438313,1.2090582179608869
28,(주)HJ중공업,97230,Dec-12,2549319000.0,2274211000.0,1980761000.0,2419666000.0,0.8186092626007061,1.1209685468938457
29,(주)HJ중공업,97230,Dec-13,2529341000.0,2788908000.0,1927307000.0,1949615000.0,0.9885577408873034,0.9069288051093833
30,(주)HJ중공업,97230,Dec-14,2520325000.0,2647534000.0,1799016000.0,1858441000.0,0.9680242741093207,0.95195189183595
31,(주)HJ중공업,97230,Dec-15,3115473000.0,2429499000.0,2041347000.0,1622994000.0,1.2577662024628558,1.2823520404824205
32,(주)HJ중공업,97230,Dec-16,2813271000.0,2372221000.0,1928591000.0,1709538000.0,1.1281357887335643,1.1859228124192476
33,(주)HJ중공업,97230,Dec-17,2452314000.0,1894161000.0,1737428000.0,1390569000.0,1.2494367413627083,1.2946703052169273
34,(주)HJ중공업,97230,Dec-18,1697869000.0,1720906000.0,1750954000.0,1382999000.0,1.2660558684424212,0.9866134466379919
35,(주)HJ중공업,97230,Dec-19,1628751000.0,1300538000.0,1609530000.0,1299550000.0,1.2385287214805125,1.2523670973089598
