,회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별),유형자산증가율(개별),유형자산증가율(연결)
0,(주)CMG제약,58820,Dec-11,9707759.0,9707759.0,9652599.0,9652599.0,0.0,-0.5682052881617778
1,(주)CMG제약,58820,Dec-12,9307482.0,9307482.0,9264142.0,9264142.0,0.0,-0.46564688494696327
2,(주)CMG제약,58820,Dec-13,10805092.0,10805092.0,10805092.0,10805092.0,0.0,0.0
3,(주)CMG제약,58820,Dec-14,18833775.0,18833775.0,18833775.0,18833775.0,0.0,0.0
4,(주)CMG제약,58820,Dec-15,17822468.0,17822468.0,17822468.0,17822468.0,0.0,0.0
5,(주)CMG제약,58820,Dec-16,16905814.0,16905814.0,16905814.0,16905814.0,0.0,0.0
6,(주)CMG제약,58820,Dec-17,16182518.0,16182518.0,16182518.0,16182518.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,17268535.0,17268535.0,17268535.0,17268535.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,24119403.0,,24119403.0,24119403.0,0.0,
9,(주)DB하이텍,990,Dec-11,758902417.0,758902417.0,758179817.0,758179817.0,0.0,-0.09521645784927557
10,(주)DB하이텍,990,Dec-12,685389046.0,685389046.0,684941380.0,684941380.0,0.0,-0.06531560470838826
11,(주)DB하이텍,990,Dec-13,636040366.0,636040366.0,635765049.0,635765049.0,0.0,-0.04328608917252552
12,(주)DB하이텍,990,Dec-14,591787281.0,591787281.0,591653498.0,591653498.0,0.0,-0.022606602793814545
13,(주)DB하이텍,990,Dec-15,533140340.0,533140340.0,533113708.0,533113708.0,0.0,-0.004995307614493072
14,(주)DB하이텍,990,Dec-16,547700934.0,547700934.0,547687840.0,547687840.0,0.0,-0.002390720772439181
15,(주)DB하이텍,990,Dec-17,555566835.0,555566835.0,555556192.0,555556192.0,0.0,-0.0019157011055312978
