,회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별),자기자본구성비율(개별),자기자본구성비율(연결)
0,(주)CMG제약,58820,Dec-11,18034249.0,27305198.0,18290915.0,27548539.0,66.39522698463247,66.04694461472135
1,(주)CMG제약,58820,Dec-12,31590685.0,57108035.0,31602540.0,56988604.0,55.45413956797398,55.31740848726453
2,(주)CMG제약,58820,Dec-13,48997281.0,55912563.0,49048213.0,55961620.0,87.6461635671019,87.63197101159538
3,(주)CMG제약,58820,Dec-14,49002644.0,58068326.0,49067039.0,58127098.0,84.41336431417925,84.38790537891518
4,(주)CMG제약,58820,Dec-15,46806888.0,56532821.0,46872705.0,56591972.0,82.82571421967766,82.79595316851427
5,(주)CMG제약,58820,Dec-16,101107635.0,110979867.0,101107635.0,110979867.0,91.1044838430019,91.1044838430019
6,(주)CMG제약,58820,Dec-17,97944019.0,109568153.0,97944019.0,109568153.0,89.39095560002733,89.39095560002733
7,(주)CMG제약,58820,Dec-18,103981846.0,114379880.0,103981846.0,114379880.0,90.90921060592126,90.90921060592126
8,(주)CMG제약,58820,Dec-19,180158283.0,192243166.0,180158283.0,192243166.0,93.71375157231857,93.71375157231857
9,(주)DB하이텍,990,Dec-11,308061688.0,1199043869.0,291709498.0,1183957429.0,24.638512403810424,25.692278319801826
10,(주)DB하이텍,990,Dec-12,290893335.0,1157755031.0,274553219.0,1149069244.0,23.893531258765464,25.12563773950899
11,(주)DB하이텍,990,Dec-13,204756748.0,1058391832.0,197287466.0,1049494642.0,18.798329987091066,19.346024960631027
12,(주)DB하이텍,990,Dec-14,120702734.0,984876636.0,136104062.0,1001959816.0,13.583784481831954,12.255619596198848
13,(주)DB하이텍,990,Dec-15,254057491.0,984643712.0,277662952.0,1005673854.0,27.609642121609735,25.80197160696437
14,(주)DB하이텍,990,Dec-16,341917315.0,986788572.0,364450453.0,1006370876.0,36.214328304945894,34.649500886193884
15,(주)DB하이텍,990,Dec-17,455797946.0,993950720.0,441546809.0,977575054.0,45.16756101675238,45.857197628469955
16,(주)DB하이텍,990,Dec-18,558391531.0,1066533840.0,542557222.0,1050696487.0,51.637863903888736,52.35572562798383
17,(주)DB하이텍,990,Dec-19,644650730.0,1088889810.0,645305205.0,1089400761.0,59.23487738411814,59.20256798068484
18,(주)ES큐브,50120,Dec-11,39245830.0,55477032.0,39144414.0,45233434.0,86.53867402594284,70.7424831234663
19,(주)ES큐브,50120,Dec-12,39859681.0,46281660.0,39881477.0,44676182.0,89.26787208450355,86.1241385896703
20,(주)ES큐브,50120,Dec-13,42372440.0,47137573.0,43712820.0,47509654.0,92.00828951522148,89.89100902585714
21,(주)ES큐브,50120,Dec-14,49628091.0,56611836.0,41226335.0,44914173.0,91.78914415278224,87.66380761789814
22,(주)ES큐브,50120,Dec-15,49654460.0,55620280.0,44872641.0,47123684.0,95.22311753045454,89.27402019551141
23,(주)ES큐브,50120,Dec-16,71696122.0,105164626.0,69832373.0,104459992.0,66.85083127327829,68.17513143630634
24,(주)ES큐브,50120,Dec-17,72816880.0,105892131.0,71398467.0,104850192.0,68.09569504650979,68.7651474310211
25,(주)ES큐브,50120,Dec-18,70748607.0,112430896.0,66518631.0,108481764.0,61.317799920731375,62.92630363810318
26,(주)ES큐브,50120,Dec-19,74038512.0,463958680.0,53986331.0,136065488.0,39.67672610706398,15.957996949211081
27,(주)HJ중공업,97230,Dec-11,1866848000.0,7036680000.0,1874877000.0,5857119000.0,32.01022550506486,26.530238692110487
28,(주)HJ중공업,97230,Dec-12,1715516000.0,6585093000.0,1863529000.0,5938108000.0,31.382538007055444,26.051507548944258
29,(주)HJ중공업,97230,Dec-13,1638998000.0,6683379000.0,1804609000.0,5839633000.0,30.902781048055587,24.523493280868855
30,(주)HJ중공업,97230,Dec-14,1573076000.0,6470284000.0,1761886000.0,5469810000.0,32.21110056839269,24.312317666427006
31,(주)HJ중공업,97230,Dec-15,1368589000.0,5914637000.0,1377529000.0,4638381000.0,29.698487467933315,23.139019351483448
32,(주)HJ중공업,97230,Dec-16,895183000.0,5256464000.0,904150000.0,3921561000.0,23.055869843666844,17.03013660894472
33,(주)HJ중공업,97230,Dec-17,577198000.0,4206655000.0,563410000.0,3312303000.0,17.009615364294874,13.7210681646106
34,(주)HJ중공업,97230,Dec-18,-708186000.0,2733620000.0,-398930000.0,2388369000.0,-16.703030394382107,-25.906526876449544
35,(주)HJ중공업,97230,Dec-19,244994000.0,2470222000.0,247272000.0,2465650000.0,10.02867398049196,9.917894019241995
36,(주)MH에탄올,23150,Dec-11,42667338.0,134206851.0,56161251.0,135927085.0,41.31718928571153,31.79222050296076
37,(주)MH에탄올,23150,Dec-12,39678259.0,134385813.0,58712944.0,139200817.0,42.17859152364027,29.525630804495712
38,(주)MH에탄올,23150,Dec-13,45885523.0,129697936.0,47119925.0,122520742.0,38.458732971107864,35.37876115468792
39,(주)MH에탄올,23150,Dec-14,52788681.0,85534839.0,52507884.0,85253876.0,61.59002553737264,61.71599972263934
40,(주)MH에탄올,23150,Dec-15,57884347.0,78996052.0,57569789.0,78691328.0,73.15900044284422,73.27498721075327
41,(주)MH에탄올,23150,Dec-16,63581883.0,72339673.0,63257513.0,72025138.0,87.8269931256501,87.89351729582742
42,(주)MH에탄올,23150,Dec-17,106837344.0,500180086.0,64698932.0,107437079.0,60.22030066547137,21.35977560690011
43,(주)MH에탄올,23150,Dec-18,91585473.0,440177523.0,68471529.0,109656889.0,62.44161185349696,20.80648561421434
44,(주)MH에탄올,23150,Dec-19,79389077.0,451474451.0,59477642.0,101058662.0,58.854571021334124,17.584400805883032
45,(주)SH에너지화학,2360,Dec-11,65242326.0,104710740.0,64498684.0,102383199.0,62.99733220877383,62.30719599536781
46,(주)SH에너지화학,2360,Dec-12,64881202.0,103690070.0,64888612.0,102492810.0,63.31040392004083,62.57224245291763
47,(주)SH에너지화학,2360,Dec-13,69599141.0,110488951.0,69781889.0,109984767.0,63.44686714661131,62.99194658839687
48,(주)SH에너지화학,2360,Dec-14,84237197.0,110741407.0,83404299.0,109098264.0,76.44878657280925,76.06657643423294
49,(주)SH에너지화학,2360,Dec-15,91646221.0,115520726.0,90740136.0,114048206.0,79.56296655819382,79.33314148320017
50,(주)SH에너지화학,2360,Dec-16,104088887.0,124488724.0,103083032.0,122956894.0,83.8367241124357,83.61310458929597
51,(주)SH에너지화학,2360,Dec-17,107693472.0,125312154.0,105717970.0,123261552.0,85.76719040500154,85.94016506970266
52,(주)SH에너지화학,2360,Dec-18,105390892.0,122434685.0,104065473.0,120895795.0,86.07865393498592,86.07927728976475
53,(주)SH에너지화학,2360,Dec-19,98999976.0,123415832.0,97386214.0,121126250.0,80.40058533967658,80.21659328116023
54,(주)SIMPAC,9160,Dec-11,168941269.0,310879328.0,155833324.0,296953131.0,52.477414019924915,54.343037244341964
55,(주)SIMPAC,9160,Dec-12,187860952.0,318665505.0,177830482.0,307366684.0,57.85613446641471,58.952396494876346
56,(주)SIMPAC,9160,Dec-13,208831047.0,361985890.0,197900866.0,349836891.0,56.569467397879436,57.69038318040518
57,(주)SIMPAC,9160,Dec-14,219125252.0,381939281.0,203904919.0,329325876.0,61.91585109455535,57.37175066840009
58,(주)SIMPAC,9160,Dec-15,232007841.0,422833445.0,220087525.0,369348917.0,59.587970850879735,54.86979418101612
59,(주)SIMPAC,9160,Dec-16,240416530.0,417865468.0,228959172.0,366245273.0,62.51525654503123,57.53443354644466
60,(주)SIMPAC,9160,Dec-17,240826100.0,381158251.0,223781988.0,343005145.0,65.24158347537323,63.18270675452333
61,(주)SIMPAC,9160,Dec-18,435032869.0,681750819.0,411119510.0,628334175.0,65.43007309764745,63.81112524926794
62,(주)SIMPAC,9160,Dec-19,441195485.0,679145850.0,419215968.0,608693104.0,68.87148305856279,64.96328954966006
63,(주)SNT에너지,100840,Dec-11,,,160595865.0,276511841.0,58.07919994283355,
64,(주)SNT에너지,100840,Dec-12,,,183306309.0,292802033.0,62.60417904953549,
65,(주)SNT에너지,100840,Dec-13,,,198164671.0,311675279.0,63.58049045012646,
66,(주)SNT에너지,100840,Dec-14,,,207712504.0,304511816.0,68.2116401026619,
67,(주)SNT에너지,100840,Dec-15,,,231399939.0,316196096.0,73.18241494037927,
68,(주)SNT에너지,100840,Dec-16,,,229799567.0,348042346.0,66.02632399219605,
69,(주)SNT에너지,100840,Dec-17,,,233817326.0,300266693.0,77.8698841566154,
70,(주)SNT에너지,100840,Dec-18,,,231276490.0,280991534.0,82.30728047486299,
71,(주)SNT에너지,100840,Dec-19,244954910.0,333897235.0,245545053.0,331391237.0,74.09521604217917,73.36236551943894
72,(주)SNT홀딩스,36530,Dec-11,1311007481.0,2124828265.0,387839074.0,388123974.0,99.92659561916163,61.699456026390905
73,(주)SNT홀딩스,36530,Dec-12,1318022867.0,2074903906.0,388611726.0,388964716.0,99.90924883788173,63.522116045406875
74,(주)SNT홀딩스,36530,Dec-13,1374365240.0,2149176237.0,396851717.0,397336142.0,99.8780818181901,63.94846622343331
75,(주)SNT홀딩스,36530,Dec-14,1356040938.0,2039388864.0,398863036.0,399244416.0,99.9044745562578,66.49251459284226
76,(주)SNT홀딩스,36530,Dec-15,1529249091.0,2169311305.0,421925486.0,430584006.0,97.98912177894503,70.49468130624065
77,(주)SNT홀딩스,36530,Dec-16,1530892611.0,2210178425.0,426682947.0,427001710.0,99.9253485425152,69.2655666928791
78,(주)SNT홀딩스,36530,Dec-17,1519293154.0,2146174938.0,425136143.0,425435423.0,99.92965324845552,70.79074157001455
79,(주)SNT홀딩스,36530,Dec-18,1503275496.0,2113834573.0,422573122.0,422804813.0,99.94520142796955,71.11604262704998
80,(주)SNT홀딩스,36530,Dec-19,1625933047.0,2236679025.0,416939604.0,417172874.0,99.94408313326718,72.69407138111826
81,(주)STX,11810,Dec-11,1915942000.0,5234175000.0,1164648000.0,3302248000.0,35.26833841673914,36.604469663318476
82,(주)STX,11810,Dec-12,1506639000.0,5067029000.0,1123534000.0,3226878000.0,34.81798816069278,29.734169668261224
83,(주)STX,11810,Dec-13,-509663000.0,1342520000.0,-522090000.0,1086567000.0,-48.049499018468254,-37.963158835622565
84,(주)STX,11810,Dec-14,93662000.0,1255002000.0,54894000.0,1070433000.0,5.128205128205128,7.463095676341551
85,(주)STX,11810,Dec-15,72342000.0,1267224000.0,72316000.0,1057543000.0,6.838114384001407,5.708698698888279
86,(주)STX,11810,Dec-16,-330596000.0,707709000.0,-328883000.0,627686000.0,-52.39610250985365,-46.71355034343211
87,(주)STX,11810,Dec-17,42560000.0,627542000.0,44710000.0,520393000.0,8.591583668496694,6.782016183777341
88,(주)STX,11810,Dec-18,64028000.0,554061000.0,62213000.0,446758000.0,13.925436142161976,11.556128296342822
89,(주)STX,11810,Dec-19,56291000.0,560107000.0,50616000.0,462734000.0,10.938465727610247,10.050044009448195
90,(주)TCC스틸,2710,Dec-11,225441968.0,454329510.0,205616971.0,407743559.0,50.42801203390683,49.620806713611884
91,(주)TCC스틸,2710,Dec-12,225998781.0,547013976.0,209755733.0,438642951.0,47.819241713974336,41.31499210543023
92,(주)TCC스틸,2710,Dec-13,205738102.0,543708595.0,210086242.0,444204925.0,47.29489255437679,37.83977371187226
93,(주)TCC스틸,2710,Dec-14,189038004.0,551000563.0,210093654.0,461297588.0,45.54406081134766,34.30813263978462
94,(주)TCC스틸,2710,Dec-15,86012476.0,376394571.0,76555951.0,330651742.0,23.153046325096934,22.851678166208195
95,(주)TCC스틸,2710,Dec-16,103337634.0,282914735.0,92623510.0,250878191.0,36.91971375861842,36.52606994824784
96,(주)TCC스틸,2710,Dec-17,100915803.0,278692540.0,89627045.0,248896237.0,36.009803153432166,36.210442877301276
97,(주)TCC스틸,2710,Dec-18,112246210.0,304781579.0,98351707.0,268135677.0,36.679828697320275,36.82841015795118
98,(주)TCC스틸,2710,Dec-19,116843135.0,314210087.0,97501452.0,270265082.0,36.07622978095261,37.18630936249988
99,(주)가비아,79940,Dec-11,48665742.0,64954440.0,24298687.0,37295822.0,65.15123061237261,74.92288748852273
