,회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),재고자산_유동자산비율(개별),재고자산_유동자산비율(연결)
0,(주)CMG제약,58820,Dec-11,2743103.0,15341167.0,2743103.0,15264885.0,17.970020737136245,17.970020737136245
1,(주)CMG제약,58820,Dec-12,2955172.0,47109213.0,2955172.0,47073443.0,6.277790218149117,6.277790218149117
2,(주)CMG제약,58820,Dec-13,4618718.0,38209699.0,4618718.0,38258866.0,12.072281494177062,12.072281494177062
3,(주)CMG제약,58820,Dec-14,4913103.0,28300941.0,4913103.0,28359823.0,17.324166656470315,17.324166656470315
4,(주)CMG제약,58820,Dec-15,5455617.0,26271614.0,5455617.0,26330765.0,20.71955372356253,20.71955372356253
5,(주)CMG제약,58820,Dec-16,6393756.0,78772201.0,6393756.0,78772201.0,8.116766979762314,8.116766979762314
6,(주)CMG제약,58820,Dec-17,7904518.0,81227330.0,7904518.0,81227330.0,9.731352735587887,9.731352735587887
7,(주)CMG제약,58820,Dec-18,8572582.0,81370415.0,8572582.0,81370415.0,10.535256579433693,10.535256579433693
8,(주)CMG제약,58820,Dec-19,9048933.0,150584066.0,9048933.0,150584066.0,6.009223445991955,6.009223445991955
9,(주)DB하이텍,990,Dec-11,77112663.0,279725559.0,77112663.0,265976810.0,28.99225048980774,28.99225048980774
10,(주)DB하이텍,990,Dec-12,79262392.0,309144147.0,79262392.0,303296307.0,26.133648900644214,26.133648900644214
11,(주)DB하이텍,990,Dec-13,72377687.0,222960700.0,72377687.0,222316934.0,32.556083649480335,32.556083649480335
12,(주)DB하이텍,990,Dec-14,69179569.0,247582371.0,69179569.0,246306720.0,28.086756626047393,28.086756626047393
13,(주)DB하이텍,990,Dec-15,83459568.0,337757266.0,83459568.0,334045125.0,24.98451908256407,24.98451908256407
14,(주)DB하이텍,990,Dec-16,76344778.0,368924211.0,76344778.0,364126852.0,20.966533388205054,20.966533388205054
15,(주)DB하이텍,990,Dec-17,75018890.0,353662841.0,75018890.0,348507961.0,21.52573209080868,21.52573209080868
16,(주)DB하이텍,990,Dec-18,42891649.0,383378937.0,42891649.0,380098326.0,11.284356195770249,11.284356195770249
17,(주)DB하이텍,990,Dec-19,51837841.0,426263421.0,51837841.0,422531166.0,12.268406491936739,12.268406491936739
18,(주)ES큐브,50120,Dec-11,5312339.0,34078195.0,383848.0,18786276.0,2.0432362433086793,28.277765108955066
19,(주)ES큐브,50120,Dec-12,4844206.0,22707006.0,410944.0,15631243.0,2.628991181315523,30.990536069332425
20,(주)ES큐브,50120,Dec-13,6264936.0,38357211.0,426328.0,32518902.0,1.3110159746476064,19.265521326642578
21,(주)ES큐브,50120,Dec-14,6084161.0,46214758.0,264950.0,21477612.0,1.2336101425056007,28.327921186023847
22,(주)ES큐브,50120,Dec-15,6783417.0,41180599.0,397788.0,22590313.0,1.7608786562629744,30.027990316026166
23,(주)ES큐브,50120,Dec-16,7447857.0,50885945.0,420745.0,43388800.0,0.9697087727708532,17.165390607714436
24,(주)ES큐브,50120,Dec-17,8346570.0,51038158.0,408271.0,44761949.0,0.9120938858135959,18.646574124821953
25,(주)ES큐브,50120,Dec-18,9236879.0,45061626.0,560371.0,29054833.0,1.9286670826846604,31.7911963217961
26,(주)ES큐브,50120,Dec-19,7648032.0,359030693.0,468610.0,24298462.0,1.9285582766514195,31.475374861174345
27,(주)HJ중공업,97230,Dec-11,360584000.0,2391530000.0,183693000.0,2183437000.0,8.413020389413571,16.514513585690818
28,(주)HJ중공업,97230,Dec-12,223809000.0,2274211000.0,163272000.0,2419666000.0,6.747708154761856,9.249582380378119
29,(주)HJ중공업,97230,Dec-13,601781000.0,2788908000.0,489464000.0,1949615000.0,25.10567471013508,30.866658288944226
30,(주)HJ중공업,97230,Dec-14,655829000.0,2647534000.0,459613000.0,1858441000.0,24.731105265111992,35.28920207851635
31,(주)HJ중공업,97230,Dec-15,873978000.0,2429499000.0,721779000.0,1622994000.0,44.47206828860735,53.849736967604315
32,(주)HJ중공업,97230,Dec-16,675011000.0,2372221000.0,518530000.0,1709538000.0,30.331586662595388,39.48499536131984
33,(주)HJ중공업,97230,Dec-17,709533000.0,1894161000.0,655299000.0,1390569000.0,47.12452240773381,51.024652498365775
34,(주)HJ중공업,97230,Dec-18,519198000.0,1720906000.0,519388000.0,1382999000.0,37.55519707534134,37.54145881522691
35,(주)HJ중공업,97230,Dec-19,363759000.0,1300538000.0,363759000.0,1299550000.0,27.99115078296333,27.99115078296333
36,(주)MH에탄올,23150,Dec-11,9734817.0,45677724.0,4542443.0,26253473.0,17.302255591098366,37.08011126756448
37,(주)MH에탄올,23150,Dec-12,20566965.0,50009828.0,5306016.0,23099890.0,22.969875614126302,89.03490449521621
38,(주)MH에탄올,23150,Dec-13,12486229.0,43178092.0,6094594.0,25868582.0,23.559830221849808,48.267929799940326
39,(주)MH에탄올,23150,Dec-14,6986598.0,28731429.0,6986598.0,28019052.0,24.935169112787968,24.935169112787968
40,(주)MH에탄올,23150,Dec-15,3603074.0,22500870.0,3603074.0,21758814.0,16.55914701968591,16.55914701968591
41,(주)MH에탄올,23150,Dec-16,5538540.0,19709368.0,5538540.0,18955978.0,29.217906878769323,29.217906878769323
42,(주)MH에탄올,23150,Dec-17,5608722.0,84767703.0,5502545.0,18235352.0,30.175150992423948,30.75741011196274
43,(주)MH에탄올,23150,Dec-18,6538026.0,29576016.0,6430326.0,18385099.0,34.97574856681489,35.56154905665724
44,(주)MH에탄올,23150,Dec-19,8173323.0,32814839.0,8081383.0,18130225.0,44.57409105513032,45.08120004026425
45,(주)SH에너지화학,2360,Dec-11,11114123.0,50355479.0,11114123.0,47641848.0,23.32848843311032,23.32848843311032
46,(주)SH에너지화학,2360,Dec-12,14210523.0,50509179.0,14210523.0,48762275.0,29.142452849051853,29.142452849051853
47,(주)SH에너지화학,2360,Dec-13,11944305.0,59051785.0,11944305.0,57773554.0,20.67434695120193,20.67434695120193
48,(주)SH에너지화학,2360,Dec-14,13898172.0,60325646.0,13898172.0,55486941.0,25.047644994522223,25.047644994522223
49,(주)SH에너지화학,2360,Dec-15,11899473.0,68213722.0,11416122.0,63737267.0,17.91121982058001,18.669568935235333
50,(주)SH에너지화학,2360,Dec-16,11572141.0,84222915.0,10801243.0,79584275.0,13.572081921962598,14.540738104355414
51,(주)SH에너지화학,2360,Dec-17,19985599.0,87597479.0,18561488.0,79139030.0,23.454277870224086,25.25378312066751
52,(주)SH에너지화학,2360,Dec-18,22253999.0,85758694.0,20857092.0,77591484.0,26.880645819327288,28.680981278821783
53,(주)SH에너지화학,2360,Dec-19,16753438.0,83558867.0,15888341.0,74793897.0,21.242830815460785,22.399471978308604
54,(주)SIMPAC,9160,Dec-11,26468261.0,152885455.0,26353233.0,151220422.0,17.427033102711484,17.503099548287203
55,(주)SIMPAC,9160,Dec-12,25350698.0,152757766.0,25281451.0,150643335.0,16.78232296171616,16.828290478300946
56,(주)SIMPAC,9160,Dec-13,25646140.0,108635043.0,25606746.0,106534703.0,24.03606081297284,24.073038435184824
57,(주)SIMPAC,9160,Dec-14,40715808.0,144850453.0,31897827.0,118044851.0,27.021785982007806,34.49181193002649
58,(주)SIMPAC,9160,Dec-15,56208760.0,174086524.0,48860928.0,138074968.0,35.387245572274914,40.70887056081013
