,회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별),재고자산증가율(개별),재고자산증가율(연결)
0,(주)CMG제약,58820,Dec-11,2743103.0,2743103.0,2743103.0,2743103.0,0.0,0.0
1,(주)CMG제약,58820,Dec-12,2955172.0,2955172.0,2955172.0,2955172.0,0.0,0.0
2,(주)CMG제약,58820,Dec-13,4618718.0,4618718.0,4618718.0,4618718.0,0.0,0.0
3,(주)CMG제약,58820,Dec-14,4913103.0,4913103.0,4913103.0,4913103.0,0.0,0.0
4,(주)CMG제약,58820,Dec-15,5455617.0,5455617.0,5455617.0,5455617.0,0.0,0.0
5,(주)CMG제약,58820,Dec-16,6393756.0,6393756.0,6393756.0,6393756.0,0.0,0.0
6,(주)CMG제약,58820,Dec-17,7904518.0,7904518.0,7904518.0,7904518.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,8572582.0,8572582.0,8572582.0,8572582.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,9048933.0,,9048933.0,9048933.0,0.0,
9,(주)DB하이텍,990,Dec-11,77112663.0,77112663.0,77112663.0,77112663.0,0.0,0.0
10,(주)DB하이텍,990,Dec-12,79262392.0,79262392.0,79262392.0,79262392.0,0.0,0.0
11,(주)DB하이텍,990,Dec-13,72377687.0,72377687.0,72377687.0,72377687.0,0.0,0.0
12,(주)DB하이텍,990,Dec-14,69179569.0,69179569.0,69179569.0,69179569.0,0.0,0.0
13,(주)DB하이텍,990,Dec-15,83459568.0,83459568.0,83459568.0,83459568.0,0.0,0.0
14,(주)DB하이텍,990,Dec-16,76344778.0,76344778.0,76344778.0,76344778.0,0.0,0.0
15,(주)DB하이텍,990,Dec-17,75018890.0,75018890.0,75018890.0,75018890.0,0.0,0.0
16,(주)DB하이텍,990,Dec-18,42891649.0,42891649.0,42891649.0,42891649.0,0.0,0.0
17,(주)DB하이텍,990,Dec-19,51837841.0,51837841.0,51837841.0,51837841.0,0.0,0.0
18,(주)ES큐브,50120,Dec-11,5312339.0,5312339.0,383848.0,383848.0,0.0,-92.77440690437865
19,(주)ES큐브,50120,Dec-12,4844206.0,4844206.0,410944.0,410944.0,0.0,-91.51679346419206
20,(주)ES큐브,50120,Dec-13,6264936.0,6264936.0,426328.0,426328.0,0.0,-93.19501428266786
21,(주)ES큐브,50120,Dec-14,6084161.0,6084161.0,264950.0,264950.0,0.0,-95.64525001886045
22,(주)ES큐브,50120,Dec-15,6783417.0,6783417.0,397788.0,397788.0,0.0,-94.13587576880501
23,(주)ES큐브,50120,Dec-16,7447857.0,7447857.0,420745.0,420745.0,0.0,-94.35079110675728
24,(주)ES큐브,50120,Dec-17,8346570.0,8346570.0,408271.0,408271.0,0.0,-95.10851763059556
25,(주)ES큐브,50120,Dec-18,9236879.0,9236879.0,560371.0,560371.0,0.0,-93.9333296452189
26,(주)ES큐브,50120,Dec-19,7648032.0,7648032.0,468610.0,468610.0,0.0,-93.87280283346095
27,(주)HJ중공업,97230,Dec-11,360584000.0,360584000.0,183693000.0,183693000.0,0.0,-49.05680784505137
28,(주)HJ중공업,97230,Dec-12,223809000.0,223809000.0,163272000.0,163272000.0,0.0,-27.048510113534306
29,(주)HJ중공업,97230,Dec-13,601781000.0,601781000.0,489464000.0,489464000.0,0.0,-18.664098733592454
30,(주)HJ중공업,97230,Dec-14,655829000.0,655829000.0,459613000.0,459613000.0,0.0,-29.918774558612085
31,(주)HJ중공업,97230,Dec-15,873978000.0,873978000.0,721779000.0,721779000.0,0.0,-17.414511578094633
32,(주)HJ중공업,97230,Dec-16,675011000.0,675011000.0,518530000.0,518530000.0,0.0,-23.181992589750394
33,(주)HJ중공업,97230,Dec-17,709533000.0,709533000.0,655299000.0,655299000.0,0.0,-7.643619112853102
34,(주)HJ중공업,97230,Dec-18,519198000.0,519198000.0,519388000.0,519388000.0,0.0,0.03659490213752292
35,(주)HJ중공업,97230,Dec-19,363759000.0,363759000.0,363759000.0,363759000.0,0.0,0.0
36,(주)MH에탄올,23150,Dec-11,9734817.0,9734817.0,4542443.0,4542443.0,0.0,-53.338177800363376
37,(주)MH에탄올,23150,Dec-12,20566965.0,20566965.0,5306016.0,5306016.0,0.0,-74.20126887948709
38,(주)MH에탄올,23150,Dec-13,12486229.0,12486229.0,6094594.0,6094594.0,0.0,-51.189474420179224
39,(주)MH에탄올,23150,Dec-14,6986598.0,6986598.0,6986598.0,6986598.0,0.0,0.0
40,(주)MH에탄올,23150,Dec-15,3603074.0,3603074.0,3603074.0,3603074.0,0.0,0.0
41,(주)MH에탄올,23150,Dec-16,5538540.0,5538540.0,5538540.0,5538540.0,0.0,0.0
