,회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별),재고자산회전율(개별),재고자산회전율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,2743103.0,17751704.0,2743103.0,6.471395350448015,6.471395350448015
1,(주)CMG제약,58820,Dec-12,16255389.0,2955172.0,16255389.0,2955172.0,5.500657491340606,5.500657491340606
2,(주)CMG제약,58820,Dec-13,20402140.0,4618718.0,20322140.0,4618718.0,4.39995254094318,4.417273364600307
3,(주)CMG제약,58820,Dec-14,22752584.0,4913103.0,22752584.0,4913103.0,4.63100081557419,4.63100081557419
4,(주)CMG제약,58820,Dec-15,27041894.0,5455617.0,27041894.0,5455617.0,4.9567068216115615,4.9567068216115615
5,(주)CMG제약,58820,Dec-16,32969825.0,6393756.0,32969825.0,6393756.0,5.156566030983979,5.156566030983979
6,(주)CMG제약,58820,Dec-17,41535588.0,7904518.0,41535588.0,7904518.0,5.25466423126622,5.25466423126622
7,(주)CMG제약,58820,Dec-18,49864782.0,8572582.0,49864782.0,8572582.0,5.816775155956513,5.816775155956513
8,(주)CMG제약,58820,Dec-19,58622681.0,9048933.0,58622681.0,9048933.0,6.478408117288525,6.478408117288525
9,(주)DB하이텍,990,Dec-11,552216245.0,77112663.0,534317238.0,77112663.0,6.929046634013924,7.161161649935497
10,(주)DB하이텍,990,Dec-12,590786488.0,79262392.0,583901597.0,79262392.0,7.366691595681342,7.453553609636207
11,(주)DB하이텍,990,Dec-13,493752028.0,72377687.0,493752028.0,72377687.0,6.821881832172946,6.821881832172946
12,(주)DB하이텍,990,Dec-14,567718224.0,69179569.0,567718224.0,69179569.0,8.206443494899483,8.206443494899483
13,(주)DB하이텍,990,Dec-15,666594987.0,83459568.0,666594987.0,83459568.0,7.987040946581463,7.987040946581463
14,(주)DB하이텍,990,Dec-16,773140180.0,76344778.0,773140180.0,76344778.0,10.126955638013644,10.126955638013644
15,(주)DB하이텍,990,Dec-17,679737744.0,75018890.0,679737744.0,75018890.0,9.060887784396703,9.060887784396703
16,(주)DB하이텍,990,Dec-18,669279136.0,42891649.0,669279136.0,42891649.0,15.603949757212645,15.603949757212645
17,(주)DB하이텍,990,Dec-19,807416423.0,51837841.0,807416423.0,51837841.0,15.575811172382739,15.575811172382739
18,(주)ES큐브,50120,Dec-11,53379952.0,5312339.0,41700477.0,383848.0,108.63799472707947,10.048295487166763
19,(주)ES큐브,50120,Dec-12,55971147.0,4844206.0,44178050.0,410944.0,107.50382047188911,11.554245835127572
20,(주)ES큐브,50120,Dec-13,58597361.0,6264936.0,45823196.0,426328.0,107.48343059803719,9.353225795123844
21,(주)ES큐브,50120,Dec-14,44459581.0,6084161.0,37188072.0,264950.0,140.35882996791847,7.307430063076898
22,(주)ES큐브,50120,Dec-15,42152967.0,6783417.0,36887119.0,397788.0,92.73059770531037,6.214119963434357
23,(주)ES큐브,50120,Dec-16,34289385.0,7447857.0,34818205.0,420745.0,82.75369879618296,4.603926337468617
24,(주)ES큐브,50120,Dec-17,35745794.0,8346570.0,37104908.0,408271.0,90.88303602264182,4.282692650993162
25,(주)ES큐브,50120,Dec-18,33763508.0,9236879.0,31308873.0,560371.0,55.87168679321378,3.655293958056612
26,(주)ES큐브,50120,Dec-19,43708239.0,7648032.0,28527284.0,468610.0,60.87638761443418,5.714965497006289
27,(주)HJ중공업,97230,Dec-11,2891499000.0,360584000.0,2316017000.0,183693000.0,12.608085229159522,8.01893317507155
28,(주)HJ중공업,97230,Dec-12,2549319000.0,223809000.0,1980761000.0,163272000.0,12.131663726787203,11.390600914172353
29,(주)HJ중공업,97230,Dec-13,2529341000.0,601781000.0,1927307000.0,489464000.0,3.9375868296749097,4.203092154787207
30,(주)HJ중공업,97230,Dec-14,2520325000.0,655829000.0,1799016000.0,459613000.0,3.914197379099373,3.842960588812023
31,(주)HJ중공업,97230,Dec-15,3115473000.0,873978000.0,2041347000.0,721779000.0,2.8282161160133503,3.5647041458709485
32,(주)HJ중공업,97230,Dec-16,2813271000.0,675011000.0,1928591000.0,518530000.0,3.7193431431161166,4.167740970147153
33,(주)HJ중공업,97230,Dec-17,2452314000.0,709533000.0,1737428000.0,655299000.0,2.65135152045097,3.456236707806402
34,(주)HJ중공업,97230,Dec-18,1697869000.0,519198000.0,1750954000.0,519388000.0,3.3711868583794775,3.2701763103864034
35,(주)HJ중공업,97230,Dec-19,1628751000.0,363759000.0,1609530000.0,363759000.0,4.424715264776954,4.477555194510651
36,(주)MH에탄올,23150,Dec-11,44785159.0,9734817.0,43206995.0,4542443.0,9.511840875053357,4.600513702517469
37,(주)MH에탄올,23150,Dec-12,59768175.0,20566965.0,45488675.0,5306016.0,8.573037661401699,2.9060279433547924
38,(주)MH에탄올,23150,Dec-13,62199887.0,12486229.0,46298516.0,6094594.0,7.596653033819808,4.981478955735955
39,(주)MH에탄올,23150,Dec-14,48983781.0,6986598.0,48983781.0,6986598.0,7.0111062637352255,7.0111062637352255
40,(주)MH에탄올,23150,Dec-15,50386203.0,3603074.0,50386203.0,3603074.0,13.98422652435115,13.98422652435115
41,(주)MH에탄올,23150,Dec-16,48897025.0,5538540.0,48897025.0,5538540.0,8.828504443409274,8.828504443409274
42,(주)MH에탄올,23150,Dec-17,51977132.0,5608722.0,48270464.0,5502545.0,8.772388776466162,9.26719705487275
43,(주)MH에탄올,23150,Dec-18,72795863.0,6538026.0,46943080.0,6430326.0,7.300264403391057,11.13422659989422
44,(주)MH에탄올,23150,Dec-19,80879342.0,8173323.0,46992295.0,8081383.0,5.814882799144652,9.895527437249207
45,(주)SH에너지화학,2360,Dec-11,173209351.0,11114123.0,172752632.0,11114123.0,15.543523497085644,15.584617067851417
46,(주)SH에너지화학,2360,Dec-12,193950102.0,14210523.0,191907628.0,14210523.0,13.504614010335862,13.64834369572464
47,(주)SH에너지화학,2360,Dec-13,231912218.0,11944305.0,229783541.0,11944305.0,19.237916396140253,19.416133295323586
48,(주)SH에너지화학,2360,Dec-14,230912587.0,13898172.0,226971465.0,13898172.0,16.33103008079048,16.614601330304446
49,(주)SH에너지화학,2360,Dec-15,216441364.0,11899473.0,213882181.0,11416122.0,18.735099449708052,18.18915543570711
50,(주)SH에너지화학,2360,Dec-16,218397677.0,11572141.0,214380015.0,10801243.0,19.847717063674985,18.872711367758136
51,(주)SH에너지화학,2360,Dec-17,188114822.0,19985599.0,184672638.0,18561488.0,9.949236720676705,9.412518584006413
52,(주)SH에너지화학,2360,Dec-18,183598766.0,22253999.0,180753289.0,20857092.0,8.66627471365615,8.250147130859492
53,(주)SH에너지화학,2360,Dec-19,140852575.0,16753438.0,138161816.0,15888341.0,8.695798762123749,8.407383308428992
54,(주)SIMPAC,9160,Dec-11,215365697.0,26468261.0,213867522.0,26353233.0,8.115418779927305,8.13675280744738
55,(주)SIMPAC,9160,Dec-12,225353321.0,25350698.0,223854758.0,25281451.0,8.854505937970096,8.889432590771268
56,(주)SIMPAC,9160,Dec-13,205751154.0,25646140.0,204527751.0,25606746.0,7.987260505493357,8.022694799295332
57,(주)SIMPAC,9160,Dec-14,263152264.0,40715808.0,227491803.0,31897827.0,7.131890300865949,6.463147286675484
58,(주)SIMPAC,9160,Dec-15,269528038.0,56208760.0,213152303.0,48860928.0,4.362428462267438,4.795125137078277
59,(주)SIMPAC,9160,Dec-16,267074156.0,45959349.0,215839356.0,41542910.0,5.195576236715242,5.811095279004061
60,(주)SIMPAC,9160,Dec-17,230634812.0,39255148.0,203150228.0,34297232.0,5.923225174556361,5.875275568952128
61,(주)SIMPAC,9160,Dec-18,306150809.0,110042965.0,268863854.0,103871365.0,2.5884309308922626,2.7821025087791846
62,(주)SIMPAC,9160,Dec-19,430085162.0,88166502.0,391970769.0,69944925.0,5.603991554783996,4.878101685377061
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,15421719.0,12.665173512758209,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,17407006.0,13.253718876181233,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,17793150.0,11.282487024501002,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,17747389.0,13.677893012882064,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,10693980.0,24.3215383795369,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,6779276.0,37.480389646328014,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,2324389.0,79.20014464016135,
70,(주)SNT에너지,100840,Dec-18,,,139516396.0,5692284.0,24.509739148644023,
71,(주)SNT에너지,100840,Dec-19,213326726.0,10208805.0,202822913.0,10124894.0,20.032102360775333,20.896346438197224
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,274834022.0,2257851.0,0.0,inf,6.054003259465453
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,280540811.0,8718270.0,0.0,inf,5.948332073510688
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,311174402.0,8826810.0,0.0,inf,5.065868059417046
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,283952471.0,7701882.0,0.0,inf,5.467023408998614
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,268780766.0,8475099.0,0.0,inf,6.000231910195538
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,236908975.0,9818190.0,0.0,inf,6.490679700927329
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,215870141.0,7417869.0,0.0,inf,6.986386005093682
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,220256725.0,7292112.0,0.0,inf,6.362155262228656
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,229809615.0,11015928.0,0.0,inf,6.579857700906031
81,(주)STX,11810,Dec-11,5967701000.0,315306000.0,4173397000.0,240418000.0,17.358920713091365,18.92669660583687
82,(주)STX,11810,Dec-12,6159850000.0,182590000.0,4116767000.0,108537000.0,37.92961847112045,33.73596582507257
83,(주)STX,11810,Dec-13,2449401000.0,94076000.0,1895063000.0,47749000.0,39.68801440867872,26.03640673498023
84,(주)STX,11810,Dec-14,1634606000.0,207648000.0,1291351000.0,148535000.0,8.693917258558589,7.872004546155032
85,(주)STX,11810,Dec-15,1630827000.0,316312000.0,1362127000.0,143454000.0,9.495217979282558,5.155754444978376
86,(주)STX,11810,Dec-16,1720153000.0,226131000.0,1465561000.0,139765000.0,10.485894179515615,7.606887158328579
87,(주)STX,11810,Dec-17,1803878000.0,181620000.0,1595494000.0,103343000.0,15.438820239396959,9.932155049003415
88,(주)STX,11810,Dec-18,1502985000.0,129417000.0,1329890000.0,89120000.0,14.922464093357272,11.613505180926772
89,(주)STX,11810,Dec-19,1471164000.0,118778000.0,1237876000.0,89664000.0,13.805719129193433,12.385829025577127
90,(주)TCC스틸,2710,Dec-11,514424043.0,79633257.0,456928069.0,76580688.0,5.966622668628937,6.4599146434510395
91,(주)TCC스틸,2710,Dec-12,501337475.0,100648536.0,440568155.0,75866000.0,5.807188397964833,4.981070713239187
92,(주)TCC스틸,2710,Dec-13,500832754.0,117184576.0,419483813.0,62722660.0,6.687914909858733,4.273879473694558
93,(주)TCC스틸,2710,Dec-14,518995240.0,124343812.0,401323585.0,59114758.0,6.788889924915196,4.173872681336165
94,(주)TCC스틸,2710,Dec-15,495795871.0,48965898.0,350074629.0,45683627.0,7.663021786777131,10.125329897962864
95,(주)TCC스틸,2710,Dec-16,444453635.0,51850499.0,317235565.0,44890754.0,7.066835299759055,8.571829463010568
96,(주)TCC스틸,2710,Dec-17,391370092.0,52771855.0,333762378.0,48077587.0,6.942161593925253,7.416265583235609
97,(주)TCC스틸,2710,Dec-18,413176279.0,69197191.0,351301866.0,62280830.0,5.640609895532863,5.970997854522737
98,(주)TCC스틸,2710,Dec-19,437173902.0,72619098.0,339334364.0,67392895.0,5.035165264825023,6.020095457533774
99,(주)가비아,79940,Dec-11,52838864.0,14450.0,33792831.0,14450.0,2338.604221453287,3656.6687889273358
100,(주)가비아,79940,Dec-12,69058144.0,248459.0,38482449.0,92459.0,416.2109583707373,277.9458341215251
101,(주)가비아,79940,Dec-13,70675565.0,93612.0,40507693.0,81039.0,499.8543047174817,754.9840298252361
102,(주)가비아,79940,Dec-14,80432047.0,0.0,43906243.0,0.0,inf,inf
103,(주)가비아,79940,Dec-15,91648622.0,0.0,48446932.0,0.0,inf,inf
104,(주)가비아,79940,Dec-16,102178978.0,1363738.0,49430564.0,0.0,inf,74.92566607368865
105,(주)가비아,79940,Dec-17,116217941.0,1675464.0,52365659.0,0.0,inf,69.36463033523847
106,(주)가비아,79940,Dec-18,128728438.0,1982294.0,55197652.0,0.0,inf,64.93912507428263
107,(주)가비아,79940,Dec-19,148306878.0,2643604.0,58254105.0,0.0,inf,56.100262369099156
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,334913.0,4.432772093051031,
109,(주)강스템바이오텍,217730,Dec-16,,,842805.0,582808.0,1.4461108975854826,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,1725225.0,5394323.0,1725225.0,3.1267359329942472,5.293766899969569
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,1918575.0,1001039.0,501972.0,1.9942128246197,4.777219550968818
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,266393.0,282069.0,34319.0,8.219033188612721,22.5403220054581
