,회사명,거래소코드,회계년도,장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),자산(IFRS연결),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),자산(IFRS개별),차입금의존도(개별),차입금의존도(연결)
0,(주)CMG제약,58820,Dec-11,0.0,0.0,0.0,27305198.0,0.0,2134049.0,0.0,27548539.0,7.746505177642995,0.0
1,(주)CMG제약,58820,Dec-12,0.0,100000.0,0.0,57108035.0,0.0,2132612.0,0.0,56988604.0,3.7421727333415644,0.1751067078389232
2,(주)CMG제약,58820,Dec-13,0.0,0.0,0.0,55912563.0,0.0,0.0,0.0,55961620.0,0.0,0.0
3,(주)CMG제약,58820,Dec-14,0.0,5451.0,0.0,58068326.0,0.0,0.0,0.0,58127098.0,0.0,0.009387217396278997
4,(주)CMG제약,58820,Dec-15,0.0,6273.0,0.0,56532821.0,0.0,0.0,0.0,56591972.0,0.0,0.011096209049960552
5,(주)CMG제약,58820,Dec-16,0.0,0.0,0.0,110979867.0,0.0,0.0,0.0,110979867.0,0.0,0.0
6,(주)CMG제약,58820,Dec-17,0.0,0.0,0.0,109568153.0,0.0,0.0,0.0,109568153.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,0.0,0.0,0.0,114379880.0,0.0,0.0,0.0,114379880.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,0.0,0.0,0.0,192243166.0,0.0,0.0,0.0,192243166.0,0.0,0.0
9,(주)DB하이텍,990,Dec-11,0.0,5398046.0,0.0,1199043869.0,0.0,5398045.0,0.0,1183957429.0,0.45593235599351944,0.45019587185762927
10,(주)DB하이텍,990,Dec-12,214817416.0,5141640.0,0.0,1157755031.0,214817416.0,5141640.0,0.0,1149069244.0,19.142367368071337,18.9987562230684
11,(주)DB하이텍,990,Dec-13,276846544.0,6452198.0,0.0,1058391832.0,276846544.0,6452198.0,0.0,1049494642.0,26.993824519210836,26.76690554807683
12,(주)DB하이텍,990,Dec-14,391619824.0,7547468.0,0.0,984876636.0,391619824.0,7547468.0,0.0,1001959816.0,39.83865277088118,40.52967421596952
13,(주)DB하이텍,990,Dec-15,399748737.0,5218930.0,0.0,984643712.0,399748737.0,5218929.0,0.0,1005673854.0,40.268290200572324,41.12834541718985
14,(주)DB하이텍,990,Dec-16,282487037.0,15253525.0,0.0,986788572.0,282487037.0,15253525.0,0.0,1006370876.0,29.585570200861017,30.17268039460027
15,(주)DB하이텍,990,Dec-17,315595985.0,11286143.0,0.0,993950720.0,315595985.0,11286143.0,0.0,977575054.0,33.43805947814212,32.8871564175737
16,(주)DB하이텍,990,Dec-18,277380073.0,15890934.0,0.0,1066533840.0,277380073.0,15890934.0,0.0,1050696487.0,27.912057442712285,27.497581042529323
17,(주)DB하이텍,990,Dec-19,179746294.0,30550406.0,0.0,1088889810.0,179746294.0,30550406.0,0.0,1089400761.0,19.303887745310654,19.312945907722288
18,(주)ES큐브,50120,Dec-11,0.0,100000.0,0.0,55477032.0,0.0,0.0,0.0,45233434.0,0.0,0.18025477642711674
19,(주)ES큐브,50120,Dec-12,0.0,153555.0,0.0,46281660.0,0.0,0.0,0.0,44676182.0,0.0,0.33178369142334135
20,(주)ES큐브,50120,Dec-13,0.0,152765.0,0.0,47137573.0,0.0,0.0,0.0,47509654.0,0.0,0.32408329550611353
21,(주)ES큐브,50120,Dec-14,0.0,568302.0,0.0,56611836.0,0.0,0.0,0.0,44914173.0,0.0,1.003857214593782
22,(주)ES큐브,50120,Dec-15,0.0,0.0,0.0,55620280.0,0.0,0.0,0.0,47123684.0,0.0,0.0
23,(주)ES큐브,50120,Dec-16,28600000.0,0.0,0.0,105164626.0,28600000.0,0.0,0.0,104459992.0,27.378903111537667,27.195456388538865
24,(주)ES큐브,50120,Dec-17,27400000.0,0.0,0.0,105892131.0,27400000.0,0.0,0.0,104850192.0,26.132522485032737,25.875388228800496
25,(주)ES큐브,50120,Dec-18,2100000.0,0.0,0.0,112430896.0,2100000.0,0.0,0.0,108481764.0,1.935809229650801,1.8678139859349692
26,(주)ES큐브,50120,Dec-19,24900000.0,2726000.0,0.0,463958680.0,24900000.0,0.0,0.0,136065488.0,18.300011535621728,5.954409560782438
27,(주)HJ중공업,97230,Dec-11,677057000.0,410598000.0,0.0,7036680000.0,178967000.0,364466000.0,0.0,5857119000.0,9.278162181782545,15.456934236031767
28,(주)HJ중공업,97230,Dec-12,777978000.0,354648000.0,0.0,6585093000.0,315044000.0,311804000.0,0.0,5938108000.0,10.556359028835448,17.199848202599416
29,(주)HJ중공업,97230,Dec-13,793546000.0,534025000.0,0.0,6683379000.0,588662000.0,291859000.0,0.0,5839633000.0,15.078361945005792,19.863769509405348
30,(주)HJ중공업,97230,Dec-14,1458914000.0,489339000.0,0.0,6470284000.0,904138000.0,318982000.0,0.0,5469810000.0,22.36128860051812,30.110780299597362
31,(주)HJ중공업,97230,Dec-15,628609000.0,660354000.0,0.0,5914637000.0,224253000.0,529090000.0,0.0,4638381000.0,16.24150754325701,21.792765980397444
32,(주)HJ중공업,97230,Dec-16,1269833000.0,514563000.0,0.0,5256464000.0,970466000.0,167724000.0,0.0,3921561000.0,29.02390145148832,33.946698769362825
33,(주)HJ중공업,97230,Dec-17,82638000.0,243789000.0,0.0,4206655000.0,5497000.0,105621000.0,0.0,3312303000.0,3.354705170390511,7.759775878934688
34,(주)HJ중공업,97230,Dec-18,1140191000.0,104816000.0,0.0,2733620000.0,1140192000.0,104816000.0,0.0,2388369000.0,52.12795845198125,45.54425999224472
35,(주)HJ중공업,97230,Dec-19,3927000.0,0.0,0.0,2470222000.0,3927000.0,0.0,0.0,2465650000.0,0.1592683470890029,0.15897356593860795
36,(주)MH에탄올,23150,Dec-11,8088960.0,0.0,0.0,134206851.0,8088960.0,63015867.0,0.0,135927085.0,52.311007037339174,6.0272332893050296
37,(주)MH에탄올,23150,Dec-12,7613360.0,68371514.0,0.0,134385813.0,7613360.0,64484158.0,0.0,139200817.0,51.793889974079676,56.54233308094806
38,(주)MH에탄올,23150,Dec-13,8166707.0,64376121.0,0.0,129697936.0,7181760.0,62912838.0,0.0,122520742.0,57.2103929961508,55.93213757850395
39,(주)MH에탄올,23150,Dec-14,732160.0,28450064.0,0.0,85534839.0,732160.0,28450064.0,0.0,85253876.0,34.22979149945042,34.117354216332835
40,(주)MH에탄올,23150,Dec-15,484060.0,18000000.0,0.0,78996052.0,484060.0,18000000.0,0.0,78691328.0,23.489322737061954,23.39871364710733
41,(주)MH에탄올,23150,Dec-16,348460.0,5000000.0,0.0,72339673.0,348460.0,5000000.0,0.0,72025138.0,7.42582402271829,7.393536324113602
42,(주)MH에탄올,23150,Dec-17,169747422.0,41603421.0,0.0,500180086.0,25212860.0,11203421.0,0.0,107437079.0,33.89544963336168,42.25494955031056
43,(주)MH에탄올,23150,Dec-18,163785632.0,45739383.0,0.0,440177523.0,25077260.0,10482447.0,0.0,109656889.0,32.42815597294576,47.600116782882615
44,(주)MH에탄올,23150,Dec-19,31219687.0,46242628.0,0.0,451474451.0,25000000.0,10692858.0,0.0,101058662.0,35.31894970071937,17.157629812367833
45,(주)SH에너지화학,2360,Dec-11,181920.0,28921046.0,0.0,104710740.0,181920.0,28921046.0,0.0,102383199.0,28.42552907533198,27.793678088799677
46,(주)SH에너지화학,2360,Dec-12,4000000.0,24066914.0,0.0,103690070.0,4000000.0,24066914.0,0.0,102492810.0,27.38427602872826,27.068082797128017
