,회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),차입금평균이자율(개별),차입금평균이자율(연결)
0,(주)CMG제약,58820,Dec-11,0.0,0.0,0.0,0.0,0.0,0.0,2134049.0,0.0,0.0,0.0
1,(주)CMG제약,58820,Dec-12,0.0,0.0,100000.0,0.0,0.0,0.0,2132612.0,0.0,0.0,0.0
2,(주)CMG제약,58820,Dec-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,(주)CMG제약,58820,Dec-14,0.0,0.0,5451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,(주)CMG제약,58820,Dec-15,0.0,0.0,6273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,(주)CMG제약,58820,Dec-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,(주)CMG제약,58820,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,(주)DB하이텍,990,Dec-11,0.0,0.0,5398046.0,0.0,0.0,0.0,5398045.0,0.0,0.0,0.0
10,(주)DB하이텍,990,Dec-12,0.0,214817416.0,5141640.0,0.0,0.0,214817416.0,5141640.0,0.0,0.0,0.0
11,(주)DB하이텍,990,Dec-13,0.0,276846544.0,6452198.0,0.0,0.0,276846544.0,6452198.0,0.0,0.0,0.0
12,(주)DB하이텍,990,Dec-14,0.0,391619824.0,7547468.0,0.0,0.0,391619824.0,7547468.0,0.0,0.0,0.0
13,(주)DB하이텍,990,Dec-15,0.0,399748737.0,5218930.0,0.0,0.0,399748737.0,5218929.0,0.0,0.0,0.0
14,(주)DB하이텍,990,Dec-16,0.0,282487037.0,15253525.0,0.0,0.0,282487037.0,15253525.0,0.0,0.0,0.0
15,(주)DB하이텍,990,Dec-17,0.0,315595985.0,11286143.0,0.0,0.0,315595985.0,11286143.0,0.0,0.0,0.0
16,(주)DB하이텍,990,Dec-18,0.0,277380073.0,15890934.0,0.0,0.0,277380073.0,15890934.0,0.0,0.0,0.0
17,(주)DB하이텍,990,Dec-19,0.0,179746294.0,30550406.0,0.0,0.0,179746294.0,30550406.0,0.0,0.0,0.0
18,(주)ES큐브,50120,Dec-11,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,(주)ES큐브,50120,Dec-12,0.0,0.0,153555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,(주)ES큐브,50120,Dec-13,0.0,0.0,152765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,(주)ES큐브,50120,Dec-14,0.0,0.0,568302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,(주)ES큐브,50120,Dec-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,(주)ES큐브,50120,Dec-16,0.0,28600000.0,0.0,0.0,0.0,28600000.0,0.0,0.0,0.0,0.0
24,(주)ES큐브,50120,Dec-17,0.0,27400000.0,0.0,0.0,0.0,27400000.0,0.0,0.0,0.0,0.0
25,(주)ES큐브,50120,Dec-18,0.0,2100000.0,0.0,0.0,0.0,2100000.0,0.0,0.0,0.0,0.0
26,(주)ES큐브,50120,Dec-19,0.0,24900000.0,2726000.0,0.0,0.0,24900000.0,0.0,0.0,0.0,0.0
27,(주)HJ중공업,97230,Dec-11,0.0,677057000.0,410598000.0,0.0,0.0,178967000.0,364466000.0,0.0,0.0,0.0
28,(주)HJ중공업,97230,Dec-12,0.0,777978000.0,354648000.0,0.0,0.0,315044000.0,311804000.0,0.0,0.0,0.0
29,(주)HJ중공업,97230,Dec-13,0.0,793546000.0,534025000.0,0.0,0.0,588662000.0,291859000.0,0.0,0.0,0.0
30,(주)HJ중공업,97230,Dec-14,0.0,1458914000.0,489339000.0,0.0,0.0,904138000.0,318982000.0,0.0,0.0,0.0
31,(주)HJ중공업,97230,Dec-15,0.0,628609000.0,660354000.0,0.0,0.0,224253000.0,529090000.0,0.0,0.0,0.0
32,(주)HJ중공업,97230,Dec-16,0.0,1269833000.0,514563000.0,0.0,0.0,970466000.0,167724000.0,0.0,0.0,0.0
33,(주)HJ중공업,97230,Dec-17,0.0,82638000.0,243789000.0,0.0,0.0,5497000.0,105621000.0,0.0,0.0,0.0
34,(주)HJ중공업,97230,Dec-18,0.0,1140191000.0,104816000.0,0.0,0.0,1140192000.0,104816000.0,0.0,0.0,0.0
35,(주)HJ중공업,97230,Dec-19,0.0,3927000.0,0.0,0.0,0.0,3927000.0,0.0,0.0,0.0,0.0
36,(주)MH에탄올,23150,Dec-11,0.0,8088960.0,0.0,0.0,0.0,8088960.0,63015867.0,0.0,0.0,0.0
37,(주)MH에탄올,23150,Dec-12,0.0,7613360.0,68371514.0,0.0,0.0,7613360.0,64484158.0,0.0,0.0,0.0
38,(주)MH에탄올,23150,Dec-13,0.0,8166707.0,64376121.0,0.0,0.0,7181760.0,62912838.0,0.0,0.0,0.0
39,(주)MH에탄올,23150,Dec-14,0.0,732160.0,28450064.0,0.0,0.0,732160.0,28450064.0,0.0,0.0,0.0
40,(주)MH에탄올,23150,Dec-15,0.0,484060.0,18000000.0,0.0,0.0,484060.0,18000000.0,0.0,0.0,0.0
41,(주)MH에탄올,23150,Dec-16,0.0,348460.0,5000000.0,0.0,0.0,348460.0,5000000.0,0.0,0.0,0.0
