,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),매출액(IFRS개별),매출원가(IFRS연결).1,판관비(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별),총자본영업이익률(개별),총자본영업이익률(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,10325799.0,6802089.0,18034249.0,18034249.0,17751704.0,10325799.0,6727421.0,18290915.0,18290915.0,1.909374134645533,1.7295314043850676
1,(주)CMG제약,58820,Dec-12,16255389.0,11648690.0,8812202.0,31590685.0,31590685.0,16255389.0,11648690.0,8651838.0,31602540.0,31602540.0,-6.4000219602601565,-6.656239014760206
2,(주)CMG제약,58820,Dec-13,20402140.0,12506817.0,7104073.0,48997281.0,48997281.0,20322140.0,12506817.0,6992776.0,49048213.0,49048213.0,0.8385086323124555,0.8074427640178646
3,(주)CMG제약,58820,Dec-14,22752584.0,14318048.0,7992213.0,49002644.0,49002644.0,22752584.0,14318048.0,7988518.0,49067039.0,49067039.0,0.45449858916491775,0.4513256468365258
4,(주)CMG제약,58820,Dec-15,27041894.0,17237814.0,12376249.0,46806888.0,46806888.0,27041894.0,17237814.0,12374958.0,46872705.0,46872705.0,-2.742404134773105,-2.7476394072598884
5,(주)CMG제약,58820,Dec-16,32969825.0,19663389.0,11575683.0,101107635.0,94895419.0,32969825.0,19663389.0,11575683.0,101107635.0,94895419.0,0.8830234859503772,0.8830234859503772
6,(주)CMG제약,58820,Dec-17,41535588.0,23497552.0,16479429.0,97944019.0,97944019.0,41535588.0,23497552.0,16479429.0,97944019.0,97944019.0,0.7956621628932748,0.7956621628932748
7,(주)CMG제약,58820,Dec-18,49864782.0,27124841.0,20172121.0,103981846.0,103981846.0,49864782.0,27124841.0,20172121.0,103981846.0,103981846.0,1.2347443802834583,1.2347443802834583
8,(주)CMG제약,58820,Dec-19,58622681.0,29700050.0,26318857.0,180158283.0,,58622681.0,29700050.0,26318857.0,180158283.0,180158283.0,0.7226351063747649,
9,(주)DB하이텍,990,Dec-11,552216245.0,460440945.0,127163621.0,308061688.0,308061688.0,534317238.0,443140034.0,126664477.0,291709498.0,291709498.0,-6.082639276969994,-5.743706922751135
10,(주)DB하이텍,990,Dec-12,590786488.0,494003057.0,112405062.0,290893335.0,290893335.0,583901597.0,486953432.0,111377822.0,274553219.0,274553219.0,-2.627843347194556,-2.6851132563762588
11,(주)DB하이텍,990,Dec-13,493752028.0,404500718.0,98861923.0,204756748.0,204756748.0,493752028.0,404500718.0,98644291.0,197287466.0,197287466.0,-2.380531614714946,-2.3468366961952336
12,(주)DB하이텍,990,Dec-14,567718224.0,430813375.0,91344601.0,120702734.0,120702734.0,567718224.0,430813375.0,91594343.0,136104062.0,136104062.0,16.645537735677575,18.872914676481148
13,(주)DB하이텍,990,Dec-15,666594987.0,436915515.0,104710656.0,254057491.0,254057491.0,666594987.0,436915515.0,105306648.0,277662952.0,277662952.0,22.396366368675647,24.594593827583694
14,(주)DB하이텍,990,Dec-16,773140180.0,483129939.0,117582311.0,341917315.0,341917315.0,773140180.0,483129939.0,118222593.0,364450453.0,364450453.0,23.56803875340498,25.214857867025543
15,(주)DB하이텍,990,Dec-17,679737744.0,426170592.0,110371984.0,455797946.0,455797946.0,679737744.0,426170592.0,111213462.0,441546809.0,441546809.0,16.119886623390816,15.708184871899356
16,(주)DB하이텍,990,Dec-18,669279136.0,453942755.0,102343239.0,558391531.0,558391531.0,669279136.0,453942755.0,102452079.0,542557222.0,542557222.0,10.402985843952143,10.117734217570002
17,(주)DB하이텍,990,Dec-19,807416423.0,513292637.0,112831598.0,644650730.0,644650730.0,807416423.0,513292637.0,112967914.0,645305205.0,645305205.0,14.036449000903378,14.061272217903173
18,(주)ES큐브,50120,Dec-11,53379952.0,38476771.0,18553426.0,39245830.0,39245830.0,41700477.0,29104839.0,14675781.0,39144414.0,39144414.0,-2.65701129157279,-4.6504877078660325
19,(주)ES큐브,50120,Dec-12,55971147.0,40290541.0,15591269.0,39859681.0,39859681.0,44178050.0,31651298.0,11880913.0,39881477.0,39881477.0,0.8096979457405753,0.11206436900485983
20,(주)ES큐브,50120,Dec-13,58597361.0,44088670.0,15673302.0,42372440.0,42372440.0,45823196.0,34023346.0,11582714.0,43712820.0,43712820.0,0.24836649751720433,-1.374255294243145
21,(주)ES큐브,50120,Dec-14,44459581.0,34936541.0,9351950.0,49628091.0,49628091.0,37188072.0,30573957.0,6288207.0,41226335.0,41226335.0,0.39526676334435257,0.17237213496686787
22,(주)ES큐브,50120,Dec-15,42152967.0,30433006.0,15780388.0,49654460.0,49654460.0,36887119.0,30735643.0,3780907.0,44872641.0,44872641.0,2.6414413629008373,-4.088683070966838
23,(주)ES큐브,50120,Dec-16,34289385.0,24454448.0,7673895.0,71696122.0,71696122.0,34818205.0,28468888.0,3989789.0,69832373.0,69832373.0,1.6894227552599421,1.5070843022723042
24,(주)ES큐브,50120,Dec-17,35745794.0,26057940.0,7439335.0,72816880.0,72816880.0,37104908.0,30497256.0,4437550.0,71398467.0,71398467.0,1.5197119008171422,1.543954506152969
25,(주)ES큐브,50120,Dec-18,33763508.0,26036057.0,8938580.0,70748607.0,70748607.0,31308873.0,25693835.0,4923569.0,66518631.0,66518631.0,0.5197558861366224,-0.8559384073809396
26,(주)ES큐브,50120,Dec-19,43708239.0,35510791.0,10814519.0,74038512.0,74038512.0,28527284.0,22708418.0,5231167.0,53986331.0,53986331.0,0.544303520089187,-1.7673714188097136
27,(주)HJ중공업,97230,Dec-11,2891499000.0,2664558000.0,139646000.0,1866848000.0,1866848000.0,2316017000.0,2156842000.0,120739000.0,1874877000.0,1874877000.0,1.0250272417870612,2.3380318054817533
28,(주)HJ중공업,97230,Dec-12,2549319000.0,2358260000.0,138145000.0,1715516000.0,1715516000.0,1980761000.0,1833445000.0,118725000.0,1863529000.0,1863529000.0,0.7671198033408657,1.5422182014041255
29,(주)HJ중공업,97230,Dec-13,2529341000.0,2464368000.0,134547000.0,1638998000.0,1638998000.0,1927307000.0,1900927000.0,135487000.0,1804609000.0,1804609000.0,-3.023009416444227,-2.122455305009524
30,(주)HJ중공업,97230,Dec-14,2520325000.0,2537259000.0,128054000.0,1573076000.0,1573076000.0,1799016000.0,1798250000.0,107015000.0,1761886000.0,1582996000.0,-3.176464819984681,-4.608423242106547
31,(주)HJ중공업,97230,Dec-15,3115473000.0,3004437000.0,190406000.0,1368589000.0,1178036000.0,2041347000.0,1972358000.0,166799000.0,1377529000.0,1186973000.0,-3.813995855725595,-3.1166740293525743
32,(주)HJ중공업,97230,Dec-16,2813271000.0,2753545000.0,139045000.0,895183000.0,917608000.0,1928591000.0,1776465000.0,102807000.0,904150000.0,926577000.0,2.6939571001028555,-4.375518192665343
33,(주)HJ중공업,97230,Dec-17,2452314000.0,2431066000.0,137941000.0,577198000.0,577198000.0,1737428000.0,1545012000.0,105733000.0,563410000.0,563410000.0,7.692710459523259,-10.108576259792999
34,(주)HJ중공업,97230,Dec-18,1697869000.0,1557089000.0,79104000.0,-708186000.0,-708186000.0,1750954000.0,1551132000.0,265827000.0,-398930000.0,-398930000.0,0.0,-4.354505737193336
35,(주)HJ중공업,97230,Dec-19,1628751000.0,1451267000.0,93645000.0,244994000.0,244994000.0,1609530000.0,1439132000.0,93343000.0,247272000.0,247272000.0,15.581020091235562,17.110419030670137
36,(주)MH에탄올,23150,Dec-11,44785159.0,37258514.0,7016081.0,42667338.0,42667338.0,43206995.0,32715976.0,3594900.0,56161251.0,56161251.0,6.139570324029997,0.5983077735011264
37,(주)MH에탄올,23150,Dec-12,59768175.0,49030452.0,5285990.0,39678259.0,39678259.0,45488675.0,35478357.0,3491561.0,58712944.0,58712944.0,5.5513797775155,6.869924660756915
38,(주)MH에탄올,23150,Dec-13,62199887.0,54316861.0,4873284.0,45885523.0,45885523.0,46298516.0,33247791.0,3400484.0,47119925.0,47119925.0,10.240085271782585,3.2796204589408298
39,(주)MH에탄올,23150,Dec-14,48983781.0,37109977.0,3128953.0,52788681.0,52788681.0,48983781.0,37109977.0,3126986.0,52507884.0,52507884.0,8.329052071494635,8.282884544889463
40,(주)MH에탄올,23150,Dec-15,50386203.0,36425005.0,2869185.0,57884347.0,57884347.0,50386203.0,36425005.0,2867026.0,57569789.0,57569789.0,9.635411378700729,9.581185220937192
41,(주)MH에탄올,23150,Dec-16,48897025.0,33962392.0,3060158.0,63581883.0,63581883.0,48897025.0,33962392.0,3057762.0,63257513.0,63257513.0,9.387715732675106,9.337939079281437
42,(주)MH에탄올,23150,Dec-17,51977132.0,37225576.0,6634846.0,106837344.0,106837344.0,48270464.0,34577247.0,3240303.0,64698932.0,64698932.0,8.078119434799943,3.798629625236659
43,(주)MH에탄올,23150,Dec-18,72795863.0,53524709.0,18042950.0,91585473.0,91585473.0,46943080.0,34331318.0,3583247.0,68471529.0,68471529.0,6.592897173363838,0.670523370010875
44,(주)MH에탄올,23150,Dec-19,80879342.0,54219181.0,18831058.0,79389077.0,79389077.0,46992295.0,35415661.0,3748048.0,59477642.0,59477642.0,6.58111664884092,4.930843949728752
45,(주)SH에너지화학,2360,Dec-11,173209351.0,160789710.0,8845210.0,65242326.0,65242326.0,172752632.0,160574493.0,7782885.0,64498684.0,64498684.0,3.407243161736447,2.7393497589279696
46,(주)SH에너지화학,2360,Dec-12,193950102.0,178829327.0,12937591.0,64881202.0,64881202.0,191907628.0,178516652.0,10516392.0,64888612.0,64888612.0,2.215014246259421,1.6824472518249585
47,(주)SH에너지화학,2360,Dec-13,231912218.0,213952261.0,11535730.0,69599141.0,69599141.0,229783541.0,213397080.0,9183287.0,69781889.0,69781889.0,5.161205939839204,4.615162563572444
48,(주)SH에너지화학,2360,Dec-14,230912587.0,197661842.0,11978837.0,84237197.0,84237197.0,226971465.0,196829927.0,9867035.0,83404299.0,83404299.0,12.154351300284894,12.626196477074137
49,(주)SH에너지화학,2360,Dec-15,216441364.0,179135051.0,14356137.0,91646221.0,91646221.0,213882181.0,179081363.0,11901196.0,90740136.0,90740136.0,12.61824315537724,12.52107056329142
50,(주)SH에너지화학,2360,Dec-16,218397677.0,179759098.0,14537419.0,104088887.0,104088887.0,214380015.0,179726464.0,11053345.0,103083032.0,103083032.0,11.447182694432193,11.577201320252373
51,(주)SH에너지화학,2360,Dec-17,188114822.0,161824273.0,12108613.0,107693472.0,107693472.0,184672638.0,161711689.0,9771675.0,105717970.0,105717970.0,6.237952734052687,6.5843990989537415
52,(주)SH에너지화학,2360,Dec-18,183598766.0,171330094.0,10168002.0,105390892.0,105390892.0,180753289.0,169058462.0,8883270.0,104065473.0,104065473.0,1.3508596650495213,0.9966088910225752
53,(주)SH에너지화학,2360,Dec-19,140852575.0,134184400.0,9799303.0,98999976.0,98999976.0,138161816.0,131861388.0,8663622.0,97386214.0,97386214.0,-1.2133103356908401,-1.5813781611421804
54,(주)SIMPAC,9160,Dec-11,215365697.0,170409718.0,16067582.0,168941269.0,168941269.0,213867522.0,169699426.0,15256714.0,155833324.0,155833324.0,9.276379806927562,8.549834262225176
55,(주)SIMPAC,9160,Dec-12,225353321.0,182861979.0,17300065.0,187860952.0,,223854758.0,182101881.0,16442981.0,177830482.0,177830482.0,7.116298543238499,
56,(주)SIMPAC,9160,Dec-13,205751154.0,164405183.0,17746622.0,208831047.0,208831047.0,204527751.0,163875499.0,16910891.0,197900866.0,197900866.0,5.998296389466027,5.650344941286437
57,(주)SIMPAC,9160,Dec-14,263152264.0,220084616.0,25725748.0,219125252.0,219125252.0,227491803.0,188349315.0,20405682.0,203904919.0,203904919.0,4.594495829695997,3.9570747418923675
58,(주)SIMPAC,9160,Dec-15,269528038.0,221412942.0,26874065.0,232007841.0,232007841.0,213152303.0,171341851.0,18179952.0,220087525.0,220087525.0,5.368432399791855,4.577653692316373
59,(주)SIMPAC,9160,Dec-16,267074156.0,217713888.0,25794076.0,240416530.0,240416530.0,215839356.0,175971604.0,18461676.0,228959172.0,228959172.0,4.674649155352466,4.901117240149834
60,(주)SIMPAC,9160,Dec-17,230634812.0,193009825.0,25927072.0,240826100.0,240826100.0,203150228.0,168484356.0,20694784.0,223781988.0,223781988.0,3.1215845664933495,2.4287058171850973
61,(주)SIMPAC,9160,Dec-18,306150809.0,271995017.0,23965220.0,435032869.0,435032869.0,268863854.0,243575353.0,18072612.0,411119510.0,411119510.0,0.8775901926911714,1.171241614849107
62,(주)SIMPAC,9160,Dec-19,430085162.0,385305111.0,33638732.0,441195485.0,441195485.0,391970769.0,357126998.0,26405466.0,419215968.0,419215968.0,1.0064388816410732,1.2626284015576452
63,(주)SNT에너지,100840,Dec-11,,,,,,195318747.0,181219511.0,20812087.0,160595865.0,160595865.0,-2.08998251605046,
64,(주)SNT에너지,100840,Dec-12,,,,,,230707564.0,191839172.0,23735608.0,183306309.0,183306309.0,4.127731359208155,
65,(주)SNT에너지,100840,Dec-13,,,,,,200750984.0,161808099.0,22138474.0,198164671.0,198164671.0,4.2400118333908265,
66,(주)SNT에너지,100840,Dec-14,,,,,,242746888.0,203611420.0,25357817.0,207712504.0,207712504.0,3.3165194041471864,
67,(주)SNT에너지,100840,Dec-15,,,,,,260094045.0,202305297.0,23870714.0,231399939.0,231399939.0,7.328877040023767,
68,(주)SNT에너지,100840,Dec-16,,,,,,254089906.0,204980319.0,47914443.0,229799567.0,229799567.0,0.26004052479350404,
69,(주)SNT에너지,100840,Dec-17,,,,,,184091945.0,146050315.0,18839719.0,233817326.0,233817326.0,4.1061779570603765,
70,(주)SNT에너지,100840,Dec-18,,,,,231276490.0,139516396.0,118750224.0,22658363.0,231276490.0,231193081.0,-0.4091492973058762,
71,(주)SNT에너지,100840,Dec-19,213326726.0,177635077.0,18218102.0,244954910.0,244954910.0,202822913.0,170291934.0,17851276.0,245545053.0,245545053.0,2.989207646549491,3.5666864158795595
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,1449348821.0,123824178.0,1311007481.0,1311007481.0,2257851.0,0.0,1611687.0,387839074.0,387839074.0,0.08330310730888348,3.4581444924645703
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,1465168699.0,117887632.0,1318022867.0,1318022867.0,8718270.0,0.0,2022710.0,388611726.0,388611726.0,0.8614716890966897,3.25083787032657
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,1379201925.0,112368449.0,1374365240.0,1374365240.0,8826810.0,0.0,1903453.0,396851717.0,396851717.0,0.8722851260840079,3.084991075589193
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,1380123821.0,106746009.0,1356040938.0,1356040938.0,7701882.0,0.0,1735761.0,398863036.0,398863036.0,0.7478909376801715,2.4153023026211913
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,1331347191.0,119866075.0,1529249091.0,1529249091.0,8475099.0,0.0,1755565.0,421925486.0,421925486.0,0.7962939219082869,5.281469969498906
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,1336617769.0,128799440.0,1530892611.0,1530892611.0,9818190.0,0.0,1818263.0,426682947.0,426682947.0,0.9374556747870216,2.3608143863462674
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,1303372403.0,144142589.0,1519293154.0,1519293154.0,7417869.0,0.0,2015960.0,425136143.0,425136143.0,0.6353151912562748,1.9955707639554072
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,1221120349.0,107537015.0,1503275496.0,1503275496.0,7292112.0,0.0,1900080.0,422573122.0,422573122.0,0.6379998773324727,2.4163940073962333
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,1284171398.0,101666105.0,1625933047.0,1625933047.0,11015928.0,0.0,2024424.0,416939604.0,416939604.0,1.0782741569448029,3.883218384452949
81,(주)STX,11810,Dec-11,5967701000.0,5516021000.0,217072000.0,1915942000.0,1915942000.0,4173397000.0,3988988000.0,122698000.0,1164648000.0,1164648000.0,2.6493412601919206,6.12252354194438
82,(주)STX,11810,Dec-12,6159850000.0,6353608000.0,217053000.0,1506639000.0,1506639000.0,4116767000.0,3997635000.0,101399000.0,1123534000.0,1123534000.0,0.7891616987113874,-13.633358754154115
83,(주)STX,11810,Dec-13,2449401000.0,3140865000.0,270312000.0,-509663000.0,-509663000.0,1895063000.0,1814171000.0,148125000.0,-522090000.0,-522090000.0,0.0,0.0
84,(주)STX,11810,Dec-14,1634606000.0,1513363000.0,85552000.0,93662000.0,93662000.0,1291351000.0,1233380000.0,34557000.0,54894000.0,98087000.0,15.305168615710448,19.053084495312934
85,(주)STX,11810,Dec-15,1630827000.0,1586081000.0,78916000.0,72342000.0,72342000.0,1362127000.0,1352181000.0,26282000.0,72316000.0,72316000.0,-11.294872504010177,-23.61698598324625
86,(주)STX,11810,Dec-16,1720153000.0,1635394000.0,118928000.0,-330596000.0,-330596000.0,1465561000.0,1494187000.0,77154000.0,-328883000.0,-328883000.0,0.0,0.0
87,(주)STX,11810,Dec-17,1803878000.0,1718572000.0,41253000.0,42560000.0,42560000.0,1595494000.0,1541890000.0,23434000.0,44710000.0,44710000.0,33.7396555580407,51.753994360902254
88,(주)STX,11810,Dec-18,1502985000.0,1483048000.0,34715000.0,64028000.0,64028000.0,1329890000.0,1319737000.0,17055000.0,62213000.0,62213000.0,-5.547072155337309,-11.540263634659837
89,(주)STX,11810,Dec-19,1471164000.0,1424697000.0,44719000.0,56291000.0,56291000.0,1237876000.0,1225459000.0,26114000.0,50616000.0,50616000.0,-13.530306622411887,1.5526460713080243
90,(주)TCC스틸,2710,Dec-11,514424043.0,472273637.0,30600718.0,225441968.0,225441968.0,456928069.0,419062918.0,25079936.0,205616971.0,205616971.0,3.1089882653703715,2.561565644245973
91,(주)TCC스틸,2710,Dec-12,501337475.0,457927934.0,37475597.0,225998781.0,225998781.0,440568155.0,399338479.0,29554032.0,209755733.0,209755733.0,2.7831525348582487,1.3128265501573655
92,(주)TCC스틸,2710,Dec-13,500832754.0,474104834.0,34473642.0,205738102.0,205738102.0,419483813.0,385343144.0,25792395.0,210086242.0,210086242.0,1.9868683261991045,-1.8824228290003373
93,(주)TCC스틸,2710,Dec-14,518995240.0,483588495.0,35062274.0,189038004.0,189038004.0,401323585.0,364984531.0,25470505.0,210093654.0,210093654.0,2.5865962138961134,0.09111157352253887
94,(주)TCC스틸,2710,Dec-15,495795871.0,451936886.0,28003827.0,86012476.0,86012476.0,350074629.0,311691285.0,23812910.0,76555951.0,76555951.0,9.516199465669233,9.216778040432182
95,(주)TCC스틸,2710,Dec-16,444453635.0,402898839.0,26203661.0,103337634.0,100863852.0,317235565.0,281559457.0,22384689.0,92623510.0,90149728.0,7.272081594352452,7.517641179163603
96,(주)TCC스틸,2710,Dec-17,391370092.0,356978389.0,26285247.0,100915803.0,100915803.0,333762378.0,304470552.0,22532022.0,89627045.0,89627045.0,3.771073786935629,4.016445273690187
97,(주)TCC스틸,2710,Dec-18,413176279.0,377890304.0,18205373.0,112246210.0,112246210.0,351301866.0,320798763.0,14196981.0,98351707.0,98351707.0,8.289699537192579,7.608542863050788
