,회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별),타인자본구성비율(개별),타인자본구성비율(연결)
0,(주)CMG제약,58820,Dec-11,9270949.0,27305198.0,9257624.0,27548539.0,33.60477301536753,33.95305538527866
1,(주)CMG제약,58820,Dec-12,25517350.0,57108035.0,25386064.0,56988604.0,44.545860432026025,44.68259151273546
2,(주)CMG제약,58820,Dec-13,6915281.0,55912563.0,6913407.0,55961620.0,12.353836432898119,12.368027199897812
3,(주)CMG제약,58820,Dec-14,9065682.0,58068326.0,9060059.0,58127098.0,15.586635685820752,15.612094621084823
4,(주)CMG제약,58820,Dec-15,9725933.0,56532821.0,9719267.0,56591972.0,17.17428578032234,17.20404683148573
5,(주)CMG제약,58820,Dec-16,9872232.0,110979867.0,9872232.0,110979867.0,8.895516156998097,8.895516156998097
6,(주)CMG제약,58820,Dec-17,11624134.0,109568153.0,11624134.0,109568153.0,10.609044399972682,10.609044399972682
7,(주)CMG제약,58820,Dec-18,10398033.0,114379880.0,10398033.0,114379880.0,9.090788519799112,9.090788519799112
8,(주)CMG제약,58820,Dec-19,12084883.0,192243166.0,12084883.0,192243166.0,6.2862484276814286,6.2862484276814286
9,(주)DB하이텍,990,Dec-11,890982181.0,1199043869.0,892247931.0,1183957429.0,75.36148759618958,74.30772168019818
10,(주)DB하이텍,990,Dec-12,866861695.0,1157755031.0,874516025.0,1149069244.0,76.10646874123454,74.87436217411695
11,(주)DB하이텍,990,Dec-13,853635085.0,1058391832.0,852207175.0,1049494642.0,81.20166991762498,80.65397513385194
12,(주)DB하이텍,990,Dec-14,864173902.0,984876636.0,865855755.0,1001959816.0,86.41621561797244,87.74438040380115
13,(주)DB하이텍,990,Dec-15,730586221.0,984643712.0,728010902.0,1005673854.0,72.39035787839026,74.19802839303563
14,(주)DB하이텍,990,Dec-16,644871257.0,986788572.0,641920423.0,1006370876.0,63.785671695054106,65.35049911380611
15,(주)DB하이텍,990,Dec-17,538152775.0,993950720.0,536028245.0,977575054.0,54.83243898324762,54.14280247213866
16,(주)DB하이텍,990,Dec-18,508142309.0,1066533840.0,508139265.0,1050696487.0,48.362136096111264,47.64427437201618
17,(주)DB하이텍,990,Dec-19,444239080.0,1088889810.0,444095557.0,1089400761.0,40.76512270767543,40.79743201931516
18,(주)ES큐브,50120,Dec-11,16231202.0,55477032.0,6089019.0,45233434.0,13.461323763303046,29.257516876533696
19,(주)ES큐브,50120,Dec-12,6421979.0,46281660.0,4794705.0,44676182.0,10.732127915496449,13.875861410329707
20,(주)ES큐브,50120,Dec-13,4765132.0,47137573.0,3796835.0,47509654.0,7.991712589613892,10.108988852692946
21,(주)ES큐브,50120,Dec-14,6983745.0,56611836.0,3687837.0,44914173.0,8.210853620749067,12.336192382101864
22,(주)ES큐브,50120,Dec-15,5965820.0,55620280.0,2251042.0,47123684.0,4.776880347470287,10.72597980448858
23,(주)ES큐브,50120,Dec-16,33468504.0,105164626.0,34627619.0,104459992.0,33.14916872672171,31.824868563693652
24,(주)ES큐브,50120,Dec-17,33075251.0,105892131.0,33451725.0,104850192.0,31.904304953490215,31.234852568978898
25,(주)ES큐브,50120,Dec-18,41682289.0,112430896.0,41963133.0,108481764.0,38.682200079268625,37.07369636189682
26,(주)ES큐브,50120,Dec-19,389920168.0,463958680.0,82079157.0,136065488.0,60.32327389293602,84.04200305078892
27,(주)HJ중공업,97230,Dec-11,5169832000.0,7036680000.0,3982242000.0,5857119000.0,67.98977449493513,73.46976130788951
