,회사명,거래소코드,회계년도,직원감소율여부
0,(주)CMG제약,58820,2011,0
1,(주)CMG제약,58820,2012,0
2,(주)CMG제약,58820,2013,0
3,(주)CMG제약,58820,2014,1
4,(주)CMG제약,58820,2015,0
5,(주)CMG제약,58820,2016,0
6,(주)CMG제약,58820,2017,1
7,(주)CMG제약,58820,2018,0
8,(주)CMG제약,58820,2019,0
9,(주)DB하이텍,990,2011,0
10,(주)DB하이텍,990,2012,0
11,(주)DB하이텍,990,2013,0
12,(주)DB하이텍,990,2014,0
13,(주)DB하이텍,990,2015,0
14,(주)DB하이텍,990,2016,0
15,(주)DB하이텍,990,2017,0
16,(주)DB하이텍,990,2018,0
17,(주)DB하이텍,990,2019,0
18,(주)ES큐브,50120,2011,0
19,(주)ES큐브,50120,2012,0
20,(주)ES큐브,50120,2013,0
21,(주)ES큐브,50120,2014,0
22,(주)ES큐브,50120,2015,0
23,(주)ES큐브,50120,2016,0
24,(주)ES큐브,50120,2017,0
25,(주)ES큐브,50120,2018,0
26,(주)ES큐브,50120,2019,0
27,(주)HJ중공업,97230,2011,0
28,(주)HJ중공업,97230,2012,0
29,(주)HJ중공업,97230,2013,0
30,(주)HJ중공업,97230,2014,0
31,(주)HJ중공업,97230,2015,0
32,(주)HJ중공업,97230,2016,0
33,(주)HJ중공업,97230,2017,0
34,(주)HJ중공업,97230,2018,0
35,(주)HJ중공업,97230,2019,0
36,(주)MH에탄올,23150,2011,0
37,(주)MH에탄올,23150,2012,0
38,(주)MH에탄올,23150,2013,0
39,(주)MH에탄올,23150,2014,0
40,(주)MH에탄올,23150,2015,0
41,(주)MH에탄올,23150,2016,0
42,(주)MH에탄올,23150,2017,0
43,(주)MH에탄올,23150,2018,0
44,(주)MH에탄올,23150,2019,0
45,(주)SH에너지화학,2360,2011,0
46,(주)SH에너지화학,2360,2012,0
47,(주)SH에너지화학,2360,2013,0
48,(주)SH에너지화학,2360,2014,1
49,(주)SH에너지화학,2360,2015,0
50,(주)SH에너지화학,2360,2016,0
51,(주)SH에너지화학,2360,2017,0
52,(주)SH에너지화학,2360,2018,0
53,(주)SH에너지화학,2360,2019,0
54,(주)SIMPAC,9160,2011,0
55,(주)SIMPAC,9160,2012,0
56,(주)SIMPAC,9160,2013,0
57,(주)SIMPAC,9160,2014,0
58,(주)SIMPAC,9160,2015,0
59,(주)SIMPAC,9160,2016,0
60,(주)SIMPAC,9160,2017,0
61,(주)SIMPAC,9160,2018,1
62,(주)SIMPAC,9160,2019,0
63,(주)SNT에너지,100840,2011,0
64,(주)SNT에너지,100840,2012,0
65,(주)SNT에너지,100840,2013,0
66,(주)SNT에너지,100840,2014,0
67,(주)SNT에너지,100840,2015,0
68,(주)SNT에너지,100840,2016,0
69,(주)SNT에너지,100840,2017,0
70,(주)SNT에너지,100840,2018,0
71,(주)SNT에너지,100840,2019,0
72,(주)SNT홀딩스,36530,2011,0
73,(주)SNT홀딩스,36530,2012,0
74,(주)SNT홀딩스,36530,2013,0
75,(주)SNT홀딩스,36530,2014,0
76,(주)SNT홀딩스,36530,2015,0
77,(주)SNT홀딩스,36530,2016,0
78,(주)SNT홀딩스,36530,2017,0
79,(주)SNT홀딩스,36530,2018,1
80,(주)SNT홀딩스,36530,2019,0
81,(주)STX,11810,2011,0
82,(주)STX,11810,2012,0
83,(주)STX,11810,2013,0
84,(주)STX,11810,2014,0
85,(주)STX,11810,2015,0
86,(주)STX,11810,2016,0
87,(주)STX,11810,2017,0
88,(주)STX,11810,2018,0
89,(주)STX,11810,2019,0
