,회사명,거래소코드,회계년도,[제조]   금융비용(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]   금융비용(IFRS),[제조]매출액(수익)(*)(IFRS),금융비용부담률(개별),금융비용부담률(연결)
0,(주)CMG제약,58820,2011/12,0.0,17751704.0,0.0,17751704.0,0.0,0.0
1,(주)CMG제약,58820,2012/12,0.0,16255389.0,0.0,16255389.0,0.0,0.0
2,(주)CMG제약,58820,2013/12,0.0,20402140.0,0.0,20322140.0,0.0,0.0
3,(주)CMG제약,58820,2014/12,0.0,22752584.0,0.0,22752584.0,0.0,0.0
4,(주)CMG제약,58820,2015/12,0.0,27041894.0,0.0,27041894.0,0.0,0.0
5,(주)CMG제약,58820,2016/12,0.0,32969825.0,0.0,32969825.0,0.0,0.0
6,(주)CMG제약,58820,2017/12,0.0,41535588.0,0.0,41535588.0,0.0,0.0
7,(주)CMG제약,58820,2018/12,0.0,49864782.0,0.0,49864782.0,0.0,0.0
8,(주)CMG제약,58820,2019/12,0.0,58622681.0,0.0,58622681.0,0.0,0.0
9,(주)DB하이텍,990,2011/12,0.0,552216245.0,0.0,534317238.0,0.0,0.0
10,(주)DB하이텍,990,2012/12,0.0,590786488.0,0.0,583901597.0,0.0,0.0
11,(주)DB하이텍,990,2013/12,0.0,493752028.0,0.0,493752028.0,0.0,0.0
12,(주)DB하이텍,990,2014/12,0.0,567718224.0,0.0,567718224.0,0.0,0.0
13,(주)DB하이텍,990,2015/12,0.0,666594987.0,0.0,666594987.0,0.0,0.0
14,(주)DB하이텍,990,2016/12,0.0,773140180.0,0.0,773140180.0,0.0,0.0
15,(주)DB하이텍,990,2017/12,0.0,679737744.0,0.0,679737744.0,0.0,0.0
16,(주)DB하이텍,990,2018/12,0.0,669279136.0,0.0,669279136.0,0.0,0.0
17,(주)DB하이텍,990,2019/12,0.0,807416423.0,0.0,807416423.0,0.0,0.0
18,(주)ES큐브,50120,2011/12,0.0,53379952.0,0.0,41700477.0,0.0,0.0
19,(주)ES큐브,50120,2012/12,0.0,55971147.0,0.0,44178050.0,0.0,0.0
20,(주)ES큐브,50120,2013/12,0.0,58597361.0,0.0,45823196.0,0.0,0.0
21,(주)ES큐브,50120,2014/12,0.0,44459581.0,0.0,37188072.0,0.0,0.0
22,(주)ES큐브,50120,2015/12,0.0,42152967.0,0.0,36887119.0,0.0,0.0
23,(주)ES큐브,50120,2016/12,0.0,34289385.0,0.0,34818205.0,0.0,0.0
24,(주)ES큐브,50120,2017/12,0.0,35745794.0,0.0,37104908.0,0.0,0.0
25,(주)ES큐브,50120,2018/12,0.0,33763508.0,0.0,31308873.0,0.0,0.0
26,(주)ES큐브,50120,2019/12,6734172.0,43708239.0,0.0,28527284.0,0.0,15.407099791872191
27,(주)HJ중공업,97230,2011/12,0.0,2891499000.0,0.0,2316017000.0,0.0,0.0
28,(주)HJ중공업,97230,2012/12,0.0,2549319000.0,0.0,1980761000.0,0.0,0.0
29,(주)HJ중공업,97230,2013/12,0.0,2529341000.0,0.0,1927307000.0,0.0,0.0
30,(주)HJ중공업,97230,2014/12,0.0,2520325000.0,0.0,1799016000.0,0.0,0.0
31,(주)HJ중공업,97230,2015/12,0.0,3115473000.0,0.0,2041347000.0,0.0,0.0
32,(주)HJ중공업,97230,2016/12,0.0,2813271000.0,0.0,1928591000.0,0.0,0.0
33,(주)HJ중공업,97230,2017/12,0.0,2452314000.0,0.0,1737428000.0,0.0,0.0
34,(주)HJ중공업,97230,2018/12,0.0,1697869000.0,0.0,1750954000.0,0.0,0.0
