,회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원,기계장비율(개별),기계장비율(연결)
0,(주)CMG제약,58820,Dec-11,3944218.0,3944218.0,135.0,29216.42962962963,29216.42962962963
1,(주)CMG제약,58820,Dec-12,4288368.0,4288368.0,134.0,32002.746268656716,32002.746268656716
2,(주)CMG제약,58820,Dec-13,4595388.0,4595388.0,136.0,33789.617647058825,33789.617647058825
3,(주)CMG제약,58820,Dec-14,7950710.0,7950710.0,164.0,48479.939024390245,48479.939024390245
4,(주)CMG제약,58820,Dec-15,8328336.0,8328336.0,156.0,53386.769230769234,53386.769230769234
5,(주)CMG제약,58820,Dec-16,8523793.0,8523793.0,160.0,53273.70625,53273.70625
6,(주)CMG제약,58820,Dec-17,9029339.0,9029339.0,200.0,45146.695,45146.695
7,(주)CMG제약,58820,Dec-18,9751312.0,9751312.0,222.0,43924.82882882883,43924.82882882883
8,(주)CMG제약,58820,Dec-19,10703886.0,10703886.0,241.0,44414.464730290456,44414.464730290456
9,(주)DB하이텍,990,Dec-11,1531279417.0,1531278817.0,2567.0,596524.6657576938,596524.8994935723
10,(주)DB하이텍,990,Dec-12,1456050000.0,1456050000.0,2304.0,631966.1458333334,631966.1458333334
11,(주)DB하이텍,990,Dec-13,1462150000.0,1462150000.0,2142.0,682609.710550887,682609.710550887
12,(주)DB하이텍,990,Dec-14,1475386000.0,1475386000.0,1999.0,738062.0310155078,738062.0310155078
13,(주)DB하이텍,990,Dec-15,1550672000.0,1550672000.0,2004.0,773788.4231536926,773788.4231536926
14,(주)DB하이텍,990,Dec-16,1630540000.0,1630540000.0,2047.0,796551.0503175379,796551.0503175379
15,(주)DB하이텍,990,Dec-17,1684434000.0,1684434000.0,1940.0,868264.9484536082,868264.9484536082
16,(주)DB하이텍,990,Dec-18,1713452491.0,1713452000.0,1955.0,876446.0358056267,876446.2869565217
17,(주)DB하이텍,990,Dec-19,1822085000.0,1822084743.0,1979.0,920709.8246589187,920709.9545224861
18,(주)ES큐브,50120,Dec-11,835643.0,720.0,237.0,3.037974683544304,3525.9198312236285
19,(주)ES큐브,50120,Dec-12,693268.0,492.0,236.0,2.0847457627118646,2937.576271186441
20,(주)ES큐브,50120,Dec-13,428855.0,186.0,100.0,1.86,4288.55
21,(주)ES큐브,50120,Dec-14,533831.0,0.0,27.0,0.0,19771.51851851852
22,(주)ES큐브,50120,Dec-15,305943.0,0.0,39.0,0.0,7844.692307692308
23,(주)ES큐브,50120,Dec-16,167403.0,0.0,30.0,0.0,5580.1
24,(주)ES큐브,50120,Dec-17,411066.0,0.0,35.0,0.0,11744.742857142857
25,(주)ES큐브,50120,Dec-18,362241.0,0.0,30.0,0.0,12074.7
26,(주)ES큐브,50120,Dec-19,337131.0,0.0,30.0,0.0,11237.7
27,(주)HJ중공업,97230,Dec-11,500193000.0,98801000.0,2785.0,35476.12208258528,179602.51346499103
28,(주)HJ중공업,97230,Dec-12,481476000.0,98606000.0,2634.0,37435.83902809415,182792.71070615033
29,(주)HJ중공업,97230,Dec-13,493709000.0,99298000.0,2758.0,36003.625815808555,179009.7897026831
30,(주)HJ중공업,97230,Dec-14,506693000.0,98168000.0,2544.0,38588.05031446541,199171.77672955976
31,(주)HJ중공업,97230,Dec-15,557825000.0,101523000.0,2632.0,38572.56838905775,211939.5896656535
32,(주)HJ중공업,97230,Dec-16,582148000.0,94949000.0,2473.0,38394.25798625152,235401.53659522848
33,(주)HJ중공업,97230,Dec-17,506543000.0,68795000.0,2493.0,27595.266746891295,203186.12113918972
34,(주)HJ중공업,97230,Dec-18,67790000.0,67790000.0,2271.0,29850.286217525318,29850.286217525318
