,회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별),기계투자효율(개별),기계투자효율(연결)
0,(주)CMG제약,58820,Dec-11,3472.17,3944218.0,3669.25,3944218.0,9.302858006327236,8.803189884534781
1,(주)CMG제약,58820,Dec-12,269.31,4288368.0,-88.04,4288368.0,-0.20529954518828608,0.6280011416930636
2,(주)CMG제약,58820,Dec-13,6994.9,4595388.0,6952.08,4595388.0,15.12838524189905,15.221565621880023
3,(주)CMG제약,58820,Dec-14,7061.34,7950710.0,7065.04,7950710.0,8.886049170451443,8.881395498012127
4,(주)CMG제약,58820,Dec-15,4315.37,8328336.0,4316.8,8328336.0,5.183268302335545,5.1815512726671935
5,(주)CMG제약,58820,Dec-16,10518.86,8523793.0,10518.86,8523793.0,12.340585933985022,12.340585933985022
6,(주)CMG제약,58820,Dec-17,13710.01,9029339.0,13710.01,9029339.0,15.183846790999873,15.183846790999873
7,(주)CMG제약,58820,Dec-18,16847.65,9751312.0,16847.65,9751312.0,17.277316119102746,17.277316119102746
8,(주)CMG제약,58820,Dec-19,19033.25,10703886.0,19033.25,10703886.0,17.781626224345064,17.781626224345064
9,(주)DB하이텍,990,Dec-11,217837.57,1531279417.0,216914.0,1531278817.0,1.4165545659735983,1.4225853726080615
10,(주)DB하이텍,990,Dec-12,245655.23,1456050000.0,241800.39,1456050000.0,1.6606599361285672,1.687134576422513
11,(주)DB하이텍,990,Dec-13,191554.48,1462150000.0,198528.8,1462150000.0,1.357786820777622,1.310087747495127
12,(주)DB하이텍,990,Dec-14,187341.51,1475386000.0,207672.46,1475386000.0,1.4075805246898099,1.2697796373288075
13,(주)DB하이텍,990,Dec-15,386127.3,1550672000.0,382610.36,1550672000.0,2.467384205041427,2.4900643076034132
14,(주)DB하이텍,990,Dec-16,341049.1,1630540000.0,336460.47,1630540000.0,2.063491052044108,2.0916328332944913
15,(주)DB하이텍,990,Dec-17,329388.04,1684434000.0,292737.25,1684434000.0,1.7378968246900741,1.9554820194795401
16,(주)DB하이텍,990,Dec-18,309084.25,1713452491.0,316543.96,1713452000.0,1.8474048879104872,1.8038682229211571
17,(주)DB하이텍,990,Dec-19,379212.5,1822085000.0,394709.63,1822084743.0,2.1662528678557735,2.0812009318994447
18,(주)ES큐브,50120,Dec-11,12044.17,835643.0,7961.63,720.0,110578.19444444444,144.13056771851137
19,(주)ES큐브,50120,Dec-12,17991.74,693268.0,11617.33,492.0,236124.59349593497,259.520704835648
20,(주)ES큐브,50120,Dec-13,1434.39,428855.0,-5722.54,186.0,-307663.44086021505,33.446969255342715
21,(주)ES큐브,50120,Dec-14,5773.0,533831.0,1481.4,0.0,inf,108.14283921315922
22,(주)ES큐브,50120,Dec-15,2670.29,305943.0,6263.14,0.0,inf,87.28063724288512
23,(주)ES큐브,50120,Dec-16,26875.03,167403.0,20160.01,0.0,inf,1605.4091025847804
24,(주)ES큐브,50120,Dec-17,7493.34,411066.0,4476.07,0.0,inf,182.29043511260966
25,(주)ES큐브,50120,Dec-18,1165.56,362241.0,177.01,0.0,inf,32.17636877106678
26,(주)ES큐브,50120,Dec-19,-557.97,337131.0,-6558.67,0.0,-inf,-16.550539701184405
27,(주)HJ중공업,97230,Dec-11,494018.0,500193000.0,364032.0,98801000.0,36.844971204744894,9.876547652606094
28,(주)HJ중공업,97230,Dec-12,543885.0,481476000.0,488043.0,98606000.0,49.49424984280875,11.296201679834509
29,(주)HJ중공업,97230,Dec-13,358044.0,493709000.0,213438.0,99298000.0,21.494692743056255,7.252126252509069
30,(주)HJ중공업,97230,Dec-14,291365.0,506693000.0,241189.0,98168000.0,24.569004156140494,5.750326134365385
31,(주)HJ중공업,97230,Dec-15,292787.0,557825000.0,171017.0,101523000.0,16.845148390019997,5.248724958544346
32,(주)HJ중공업,97230,Dec-16,221273.0,582148000.0,77014.0,94949000.0,8.111091217390388,3.800975009791325
33,(주)HJ중공업,97230,Dec-17,171765.0,506543000.0,62839.0,68795000.0,9.134239406933643,3.390926337941695
34,(주)HJ중공업,97230,Dec-18,390449.0,67790000.0,-664773.0,67790000.0,-98.06357869892315,57.596843192211246
35,(주)HJ중공업,97230,Dec-19,333185.0,68832000.0,291962.0,68832000.0,42.41660855416086,48.40553812180381
36,(주)MH에탄올,23150,Dec-11,8741.25,13957369.0,12156.15,9897298.0,12.282291591098904,6.26282073648694
37,(주)MH에탄올,23150,Dec-12,15364.39,13629527.0,11475.93,10017098.0,11.456341946539807,11.272871024797853
38,(주)MH에탄올,23150,Dec-13,13050.09,13778632.0,-10099.69,10102098.0,-9.997616336725303,9.471252298486526
39,(주)MH에탄올,23150,Dec-14,11295.12,11481026.0,11030.53,11481026.0,9.607616949913709,9.838075447264034
40,(주)MH에탄올,23150,Dec-15,16454.85,12377510.0,16452.87,12377510.0,13.29255237927499,13.294152054815548
41,(주)MH에탄올,23150,Dec-16,17091.29,12494639.0,16882.88,12494639.0,13.512099069048734,13.678898606034156
42,(주)MH에탄올,23150,Dec-17,14202.61,13336059.0,14882.33,13336060.0,11.159465389327883,10.64978041863792
43,(주)MH에탄올,23150,Dec-18,16853.56,13588329.0,16047.25,13588330.0,11.80958219295528,12.402967281701821
44,(주)MH에탄올,23150,Dec-19,22570.7,14155129.0,5096.55,14155129.0,3.6004970353855485,15.945245006244733
45,(주)SH에너지화학,2360,Dec-11,14210.0,25479087.0,14221.3,25479087.0,5.58155792631031,5.577122916531507
46,(주)SH에너지화학,2360,Dec-12,14518.25,27068753.0,13164.14,27068753.0,4.863223658659119,5.3634720446856194
47,(주)SH에너지화학,2360,Dec-13,20836.07,27909031.0,18725.38,27909031.0,6.7094339463093515,7.465708859616087
48,(주)SH에너지화학,2360,Dec-14,37108.64,28351425.0,33796.55,28351425.0,11.920582475131322,13.08880946901258
49,(주)SH에너지화학,2360,Dec-15,36388.74,30587094.0,34895.57,30587094.0,11.408592787533198,11.896762732674114
50,(주)SH에너지화학,2360,Dec-16,40893.43,30867878.0,39411.54,30867877.0,12.767816847268115,13.247891546027232
51,(주)SH에너지화학,2360,Dec-17,29127.7,31647086.0,27260.32,31647086.0,8.613848365059583,9.203912170618173
52,(주)SH에너지화학,2360,Dec-18,19920.85,31839773.0,19849.37,31839773.0,6.234143063771215,6.256592972569244
53,(주)SH에너지화학,2360,Dec-19,13705.14,33882924.0,12959.9,33882924.0,3.824906020507557,4.044851619063337
54,(주)SIMPAC,9160,Dec-11,53726.56,18666167.0,47745.41,18666167.0,25.578582898138645,28.782856169667824
55,(주)SIMPAC,9160,Dec-12,43772.07,22387797.0,45503.45,22387797.0,20.32511282820726,19.551754020281674
56,(주)SIMPAC,9160,Dec-13,46115.44,24742321.0,44116.55,24742321.0,17.8304007938463,18.63828377297344
57,(주)SIMPAC,9160,Dec-14,51704.11,45051844.0,35041.8,26089830.0,13.431210552157683,11.476580181712428
58,(주)SIMPAC,9160,Dec-15,59958.15,49564682.0,48511.4,29948323.0,16.19836943791477,12.096950405129201
59,(주)SIMPAC,9160,Dec-16,59093.1,55929435.0,45818.17,36313076.0,12.617540304214383,10.56565295179542
60,(주)SIMPAC,9160,Dec-17,43282.91,55792892.0,33411.91,36327651.0,9.197376951237505,7.757782120346082
61,(주)SIMPAC,9160,Dec-18,114254.96,128448700.0,94742.34,109088328.0,8.68491998520685,8.894987648765616
62,(주)SIMPAC,9160,Dec-19,65475.48,126428214.0,50726.3,107745959.0,4.707953826834471,5.178866166692823
63,(주)SNT에너지,100840,Dec-11,,,-5072.93,15414466.0,-3.2910189688050173,
64,(주)SNT에너지,100840,Dec-12,,,-3911.2,16128417.0,-2.4250365054425367,
65,(주)SNT에너지,100840,Dec-13,,,36145.24,14694527.0,24.5977567022062,
66,(주)SNT에너지,100840,Dec-14,,,31921.1,15671342.0,20.3690915557838,
67,(주)SNT에너지,100840,Dec-15,,,53697.45,14376480.0,37.3509023071016,
68,(주)SNT에너지,100840,Dec-16,,,21049.19,14801750.0,14.22074416876383,
69,(주)SNT에너지,100840,Dec-17,,,22693.15,15079150.0,15.049356230291494,
