,회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별),노동소득분배율(개별),노동소득분배율(연결)
0,(주)CMG제약,58820,Dec-11,3472.17,3118.67,3669.25,3110.72,0.008477808816515636,0.008981904687846506
1,(주)CMG제약,58820,Dec-12,269.31,4712.51,-88.04,4677.39,-0.5312800999545662,0.17498459024915525
2,(주)CMG제약,58820,Dec-13,6994.9,4986.26,6952.08,4971.13,0.00715056501075937,0.00712842213612775
3,(주)CMG제약,58820,Dec-14,7061.34,5599.85,7065.04,5599.85,0.007926140545559544,0.007930293683635119
4,(주)CMG제약,58820,Dec-15,4315.37,6218.5,4316.8,6218.5,0.014405346553002223,0.014410120105576116
5,(주)CMG제약,58820,Dec-16,10518.86,6682.92,10518.86,6682.92,0.006353274023991193,0.006353274023991193
6,(주)CMG제약,58820,Dec-17,13710.01,8786.99,13710.01,8786.99,0.0064091784032250885,0.0064091784032250885
7,(주)CMG제약,58820,Dec-18,16847.65,11342.93,16847.65,11342.93,0.006732648173484135,0.006732648173484135
8,(주)CMG제약,58820,Dec-19,19033.25,13817.61,19033.25,13817.61,0.007259721802634863,0.007259721802634863
9,(주)DB하이텍,990,Dec-11,217837.57,136223.0,216914.0,131619.0,0.00606779645389417,0.006253420840124134
10,(주)DB하이텍,990,Dec-12,245655.23,137384.0,241800.39,133918.0,0.005538369892620934,0.005592553433525514
11,(주)DB하이텍,990,Dec-13,191554.48,128629.0,198528.8,126871.0,0.006390558951648325,0.006715008701440968
12,(주)DB하이텍,990,Dec-14,187341.51,128497.0,207672.46,126669.0,0.006099460660310953,0.006858971084411565
13,(주)DB하이텍,990,Dec-15,386127.3,138722.0,382610.36,137214.0,0.003586259399771611,0.0035926493671905612
14,(주)DB하이텍,990,Dec-16,341049.1,138765.0,336460.47,137535.0,0.0040877015953761225,0.004068768983703519
15,(주)DB하이텍,990,Dec-17,329388.04,132417.0,292737.25,131160.0,0.004480468406395155,0.004020091318434027
16,(주)DB하이텍,990,Dec-18,309084.25,132673.0,316543.96,131877.0,0.004166151203769612,0.004292454241845063
17,(주)DB하이텍,990,Dec-19,379212.5,144912.0,394709.63,143826.0,0.0036438431968330745,0.003821393018426344
18,(주)ES큐브,50120,Dec-11,12044.17,14476.82,7961.63,9811.54,0.012323531739103676,0.012019773882301561
