,회사명,거래소코드,회계년도,유형자산(IFRS연결),건설중인자산(IFRS연결),유형자산(IFRS개별),건설중인자산(IFRS개별),합계_기말인원,노동장비율(개별),노동장비율(연결)
0,(주)CMG제약,58820,Dec-11,0.0,24700.0,9652599.0,24700.0,135.0,71317.77037037037,-182.96296296296296
1,(주)CMG제약,58820,Dec-12,0.0,0.0,9264142.0,0.0,134.0,69135.3880597015,0.0
2,(주)CMG제약,58820,Dec-13,0.0,1827454.0,10805092.0,1827454.0,136.0,66012.04411764706,-13437.161764705883
3,(주)CMG제약,58820,Dec-14,0.0,154233.0,18833775.0,154233.0,164.0,113899.64634146342,-940.4451219512196
4,(주)CMG제약,58820,Dec-15,0.0,0.0,17822468.0,0.0,156.0,114246.58974358975,0.0
5,(주)CMG제약,58820,Dec-16,0.0,24524.0,16905814.0,24524.0,160.0,105508.0625,-153.275
6,(주)CMG제약,58820,Dec-17,0.0,28136.0,16182518.0,28136.0,200.0,80771.91,-140.68
7,(주)CMG제약,58820,Dec-18,0.0,1412095.0,17268535.0,1412095.0,222.0,71425.4054054054,-6360.788288288289
8,(주)CMG제약,58820,Dec-19,0.0,7510879.0,24119403.0,7510880.0,241.0,68915.03319502075,-31165.473029045643
9,(주)DB하이텍,990,Dec-11,0.0,27453000.0,758179817.0,27453000.0,2567.0,284661.7908063888,-10694.585118815738
10,(주)DB하이텍,990,Dec-12,0.0,22706000.0,684941380.0,22706000.0,2304.0,287428.55034722225,-9855.034722222223
11,(주)DB하이텍,990,Dec-13,0.0,36099000.0,635765049.0,36099000.0,2142.0,279956.1386554622,-16852.941176470587
12,(주)DB하이텍,990,Dec-14,0.0,41972000.0,591653498.0,41973000.0,1999.0,274977.73786893446,-20996.49824912456
13,(주)DB하이텍,990,Dec-15,0.0,44837000.0,533113708.0,44837000.0,2004.0,243651.0518962076,-22373.75249500998
14,(주)DB하이텍,990,Dec-16,0.0,50562000.0,547687840.0,50562000.0,2047.0,242855.80850024425,-24700.537371763556
15,(주)DB하이텍,990,Dec-17,0.0,42348000.0,555556192.0,42348000.0,1940.0,264540.3051546392,-21828.865979381444
16,(주)DB하이텍,990,Dec-18,0.0,100033000.0,597563521.0,100033000.0,1955.0,254491.31508951407,-51167.77493606138
