,회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별),당좌비율(개별),당좌비율(연결)
0,(주)CMG제약,58820,Dec-11,15341167.0,2743103.0,7633673.0,15264885.0,2743103.0,7620349.0,164.3203218120325,165.03279613889669
1,(주)CMG제약,58820,Dec-12,47109213.0,2955172.0,6793095.0,47073443.0,2955172.0,6665126.0,661.9270363380977,649.9841530259771
2,(주)CMG제약,58820,Dec-13,38209699.0,4618718.0,5500075.0,38258866.0,4618718.0,5498201.0,611.8391815795749,610.7367808620792
3,(주)CMG제약,58820,Dec-14,28300941.0,4913103.0,8719202.0,28359823.0,4913103.0,8713579.0,269.0825434646315,268.2336984508445
4,(주)CMG제약,58820,Dec-15,26271614.0,5455617.0,8849994.0,26330765.0,5455617.0,8843328.0,236.05534025199563,235.20916511355824
5,(주)CMG제약,58820,Dec-16,78772201.0,6393756.0,9136755.0,78772201.0,6393756.0,9136755.0,792.1679524076108,792.1679524076108
6,(주)CMG제약,58820,Dec-17,81227330.0,7904518.0,10884321.0,81227330.0,7904518.0,10884321.0,673.6553616895349,673.6553616895349
7,(주)CMG제약,58820,Dec-18,81370415.0,8572582.0,8495060.0,81370415.0,8572582.0,8495060.0,856.9431293010291,856.9431293010291
8,(주)CMG제약,58820,Dec-19,150584066.0,9048933.0,9306387.0,150584066.0,9048933.0,9306387.0,1520.838677781184,1520.838677781184
9,(주)DB하이텍,990,Dec-11,279725559.0,77112663.0,794704783.0,265976810.0,77112663.0,796794129.0,23.703004342794298,25.495366371791423
10,(주)DB하이텍,990,Dec-12,309144147.0,79262392.0,555433290.0,303296307.0,79262392.0,563352691.0,39.76796748806158,41.38782444962922
11,(주)DB하이텍,990,Dec-13,222960700.0,72377687.0,476867874.0,222316934.0,72377687.0,476710357.0,31.452903172397406,31.577512600481867
12,(주)DB하이텍,990,Dec-14,247582371.0,69179569.0,376436760.0,246306720.0,69179569.0,376149526.0,47.08955847521126,47.392502793829166
13,(주)DB하이텍,990,Dec-15,337757266.0,83459568.0,244044785.0,334045125.0,83459568.0,242109386.0,103.50096753374115,104.20124240720816
14,(주)DB하이텍,990,Dec-16,368924211.0,76344778.0,274231115.0,364126852.0,76344778.0,271946015.0,105.82323627724422,106.690822811992
15,(주)DB하이텍,990,Dec-17,353662841.0,75018890.0,145225195.0,348507961.0,75018890.0,143100665.0,191.11656189717917,191.87025433155728
16,(주)DB하이텍,990,Dec-18,383378937.0,42891649.0,156796450.0,380098326.0,42891649.0,156793407.0,215.06432155020394,217.15242149933877
17,(주)DB하이텍,990,Dec-19,426263421.0,51837841.0,219715556.0,422531166.0,51837841.0,219572033.0,168.82538269343254,170.41377807586824
18,(주)ES큐브,50120,Dec-11,34078195.0,5312339.0,14801430.0,18786276.0,383848.0,4839823.0,380.22935962740786,194.34511395182764
19,(주)ES큐브,50120,Dec-12,22707006.0,4844206.0,4802996.0,15631243.0,410944.0,3228112.0,471.4922840347547,371.90953313306943
20,(주)ES큐브,50120,Dec-13,38357211.0,6264936.0,3630549.0,32518902.0,426328.0,2690545.0,1192.7908286239406,883.9510222834067
21,(주)ES큐브,50120,Dec-14,46214758.0,6084161.0,6002775.0,21477612.0,264950.0,3055060.0,694.3451847099566,668.5340863184111
22,(주)ES큐브,50120,Dec-15,41180599.0,6783417.0,5378364.0,22590313.0,397788.0,1792096.0,1238.3558135278467,639.5473047194276
23,(주)ES큐브,50120,Dec-16,50885945.0,7447857.0,3406254.0,43388800.0,420745.0,4569554.0,940.3117897282755,1275.2451226479293
24,(주)ES큐브,50120,Dec-17,51038158.0,8346570.0,3702478.0,44761949.0,408271.0,4085637.0,1085.6000667704939,1153.0544678455888
25,(주)ES큐브,50120,Dec-18,45061626.0,9236879.0,37613190.0,29054833.0,560371.0,37696219.0,75.58970834714219,95.24517064359603
26,(주)ES큐브,50120,Dec-19,359030693.0,7648032.0,230135454.0,24298462.0,468610.0,54789915.0,43.4931355524096,152.68514906877408
27,(주)HJ중공업,97230,Dec-11,2391530000.0,360584000.0,2482598000.0,2183437000.0,183693000.0,1800533000.0,111.0640016039695,81.80728414346584
28,(주)HJ중공업,97230,Dec-12,2274211000.0,223809000.0,2448324000.0,2419666000.0,163272000.0,2125376000.0,106.16446219398357,83.7471674500597
29,(주)HJ중공업,97230,Dec-13,2788908000.0,601781000.0,3284862000.0,1949615000.0,489464000.0,2490138000.0,58.637352628649495,66.58200557588113
30,(주)HJ중공업,97230,Dec-14,2647534000.0,655829000.0,2843001000.0,1858441000.0,459613000.0,2203465000.0,63.48310501868648,70.05642980779817
31,(주)HJ중공업,97230,Dec-15,2429499000.0,873978000.0,3430218000.0,1622994000.0,721779000.0,2558441000.0,35.22516251107608,45.34758432262906
32,(주)HJ중공업,97230,Dec-16,2372221000.0,675011000.0,2636927000.0,1709538000.0,518530000.0,1598996000.0,74.48473917383158,64.36317728932201
33,(주)HJ중공업,97230,Dec-17,1894161000.0,709533000.0,3329421000.0,1390569000.0,655299000.0,2532122000.0,29.037700395162634,35.580600951336585
34,(주)HJ중공업,97230,Dec-18,1720906000.0,519198000.0,2140149000.0,1382999000.0,519388000.0,1490510000.0,57.94063776828066,56.15066988326514
35,(주)HJ중공업,97230,Dec-19,1300538000.0,363759000.0,1845223000.0,1299550000.0,363759000.0,1840367000.0,50.848064543648086,50.76779337781937
36,(주)MH에탄올,23150,Dec-11,45677724.0,9734817.0,78266518.0,26253473.0,4542443.0,66482839.0,32.656592778777096,45.92373331339463
37,(주)MH에탄올,23150,Dec-12,50009828.0,20566965.0,81625166.0,23099890.0,5306016.0,67402817.0,26.399303162655652,36.070815463946495
38,(주)MH에탄올,23150,Dec-13,43178092.0,12486229.0,75260635.0,25868582.0,6094594.0,67842982.0,29.14669641142838,40.78076540278992
39,(주)MH에탄올,23150,Dec-14,28731429.0,6986598.0,31619269.0,28019052.0,6986598.0,31619104.0,66.51818470251402,68.77082136212573
40,(주)MH에탄올,23150,Dec-15,22500870.0,3603074.0,20538639.0,21758814.0,3603074.0,20538474.0,88.39868044724257,92.01094580804502
41,(주)MH에탄올,23150,Dec-16,19709368.0,5538540.0,7640748.0,18955978.0,5538540.0,7640583.0,175.60751581391105,185.46388390246608
42,(주)MH에탄올,23150,Dec-17,84767703.0,5608722.0,189894170.0,18235352.0,5502545.0,15540676.0,81.93213088027831,41.6858405921572
43,(주)MH에탄올,23150,Dec-18,29576016.0,6538026.0,141080352.0,18385099.0,6430326.0,13740951.0,87.00105982475304,16.329694158971193
44,(주)MH에탄올,23150,Dec-19,32814839.0,8173323.0,282350933.0,18130225.0,8081383.0,14251549.0,70.51052485592969,8.727265654192118
45,(주)SH에너지화학,2360,Dec-11,50355479.0,11114123.0,34076575.0,47641848.0,11114123.0,32842749.0,111.22005956322354,115.15639702640303
46,(주)SH에너지화학,2360,Dec-12,50509179.0,14210523.0,29499813.0,48762275.0,14210523.0,28724217.0,120.28788112831761,123.04707151872454
47,(주)SH에너지화학,2360,Dec-13,59051785.0,11944305.0,35131167.0,57773554.0,11944305.0,34930123.0,131.20265565626553,134.0902794376287
48,(주)SH에너지화학,2360,Dec-14,60325646.0,13898172.0,20681148.0,55486941.0,13898172.0,20421353.0,203.6533475524369,224.49176419026645
49,(주)SH에너지화학,2360,Dec-15,68213722.0,11899473.0,17080931.0,63737267.0,11416122.0,16794017.0,311.54633819889546,329.69074695050284
50,(주)SH에너지화학,2360,Dec-16,84222915.0,11572141.0,12512423.0,79584275.0,10801243.0,12205868.0,563.5242983129098,580.6291395359635
51,(주)SH에너지화학,2360,Dec-17,87597479.0,19985599.0,8284440.0,79139030.0,18561488.0,8386725.0,722.3027105336112,816.1309635895728
52,(주)SH에너지화학,2360,Dec-18,85758694.0,22253999.0,6658546.0,77591484.0,20857092.0,6653981.0,852.6383228326021,953.7321661515894
53,(주)SH에너지화학,2360,Dec-19,83558867.0,16753438.0,7524603.0,74793897.0,15888341.0,7038413.0,836.91531031214,887.8266268665603
54,(주)SIMPAC,9160,Dec-11,152885455.0,26468261.0,116979241.0,151220422.0,26353233.0,116922857.0,106.79450725361595,108.06805798987872
55,(주)SIMPAC,9160,Dec-12,152757766.0,25350698.0,108358727.0,150643335.0,25281451.0,108043478.0,116.02910820771615,117.57896343688128
56,(주)SIMPAC,9160,Dec-13,108635043.0,25646140.0,133795401.0,106534703.0,25606746.0,133732141.0,60.514964013026606,62.026723175634416
57,(주)SIMPAC,9160,Dec-14,144850453.0,40715808.0,136708331.0,118044851.0,31897827.0,116089000.0,74.2077406128057,76.17285957503205
58,(주)SIMPAC,9160,Dec-15,174086524.0,56208760.0,169308019.0,138074968.0,48860928.0,142954454.0,62.40731750827435,69.62326102226734
59,(주)SIMPAC,9160,Dec-16,176778523.0,45959349.0,155344858.0,138253630.0,41542910.0,130874395.0,73.89582966171496,84.21210440064904
60,(주)SIMPAC,9160,Dec-17,150671614.0,39255148.0,130651105.0,124800057.0,34297232.0,114191470.0,79.25532879119605,85.27785968591694
61,(주)SIMPAC,9160,Dec-18,310736335.0,110042965.0,228518804.0,273219151.0,103871365.0,207957388.0,81.43388779243563,87.82356921489927
62,(주)SIMPAC,9160,Dec-19,289195402.0,88166502.0,219489571.0,224313300.0,69944925.0,178141755.0,86.65479634463014,91.5892719112381
63,(주)SNT에너지,100840,Dec-11,,,,145463387.0,15421719.0,96002453.0,135.4566096347559,
64,(주)SNT에너지,100840,Dec-12,,,,161463967.0,17407006.0,88443397.0,162.8804024793394,
65,(주)SNT에너지,100840,Dec-13,,,,181309369.0,17793150.0,91989174.0,177.75593788895202,
66,(주)SNT에너지,100840,Dec-14,,,,170494610.0,17747389.0,76613085.0,199.3748469990472,
67,(주)SNT에너지,100840,Dec-15,,,,184059424.0,10693980.0,64293369.0,269.64747173227147,
68,(주)SNT에너지,100840,Dec-16,,,,211766053.0,6779276.0,102181702.0,200.61006323813243,
69,(주)SNT에너지,100840,Dec-17,,,,172919603.0,2324389.0,49128545.0,347.24255318369393,
70,(주)SNT에너지,100840,Dec-18,,,,155524318.0,5692284.0,31555307.0,474.8235661278783,
71,(주)SNT에너지,100840,Dec-19,204986584.0,10208805.0,67469967.0,202225767.0,10124894.0,65138557.0,294.9111583788999,288.6881195599221
72,(주)SNT홀딩스,36530,Dec-11,1041841182.0,274834022.0,597785981.0,64671576.0,0.0,199700.0,32384.364546820227,128.30798720253028
73,(주)SNT홀딩스,36530,Dec-12,998857779.0,280540811.0,540250663.0,40740917.0,0.0,165833.0,24567.436517460337,132.95994196679032
74,(주)SNT홀딩스,36530,Dec-13,1070812404.0,311174402.0,569273848.0,49212139.0,0.0,306090.0,16077.669639648468,133.4398206888998
75,(주)SNT홀딩스,36530,Dec-14,994978341.0,283952471.0,477795324.0,47079948.0,0.0,245998.0,19138.345840210084,148.813903000859
76,(주)SNT홀딩스,36530,Dec-15,1140793639.0,268780766.0,433769566.0,100040105.0,0.0,8658519.0,1155.3951085630233,201.03136350511045
