,회사명,거래소코드,회계년도,당기매출액(IFRS연결),전기매출액(IFRS연결),당기매출액(IFRS개별),전기매출액(IFRS개별),매출액증가율(개별),매출액증가율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,17751704.0,17751704.0,17751704.0,0.0,0.0
1,(주)CMG제약,58820,Dec-12,16255389.0,16008937.0,16255389.0,16008937.0,1.539465112518073,1.539465112518073
2,(주)CMG제약,58820,Dec-13,20402140.0,20402140.0,20322140.0,20322140.0,0.0,-0.3921157290362629
3,(주)CMG제약,58820,Dec-14,22752584.0,22752584.0,22752584.0,22752584.0,0.0,0.0
4,(주)CMG제약,58820,Dec-15,27041894.0,27041894.0,27041894.0,27041894.0,0.0,0.0
5,(주)CMG제약,58820,Dec-16,32969825.0,32969825.0,32969825.0,32969825.0,0.0,0.0
6,(주)CMG제약,58820,Dec-17,41535588.0,41535588.0,41535588.0,41535588.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,49864782.0,49864782.0,49864782.0,49864782.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,58622681.0,,58622681.0,58622681.0,0.0,
9,(주)DB하이텍,990,Dec-11,552216245.0,552216245.0,534317238.0,534317238.0,0.0,-3.2413039569308637
10,(주)DB하이텍,990,Dec-12,590786488.0,590786488.0,583901597.0,583901597.0,0.0,-1.165377194611807
11,(주)DB하이텍,990,Dec-13,493752028.0,493752028.0,493752028.0,493752028.0,0.0,0.0
12,(주)DB하이텍,990,Dec-14,567718224.0,567718224.0,567718224.0,567718224.0,0.0,0.0
13,(주)DB하이텍,990,Dec-15,666594987.0,666594987.0,666594987.0,666594987.0,0.0,0.0
14,(주)DB하이텍,990,Dec-16,773140180.0,773140180.0,773140180.0,773140180.0,0.0,0.0
15,(주)DB하이텍,990,Dec-17,679737744.0,679737744.0,679737744.0,679737744.0,0.0,0.0
16,(주)DB하이텍,990,Dec-18,669279136.0,669279136.0,669279136.0,669279136.0,0.0,0.0
17,(주)DB하이텍,990,Dec-19,807416423.0,807416423.0,807416423.0,807416423.0,0.0,0.0
18,(주)ES큐브,50120,Dec-11,53379952.0,53379952.0,41700477.0,41700477.0,0.0,-21.879890412790175
19,(주)ES큐브,50120,Dec-12,55971147.0,55971147.0,44178050.0,44178050.0,0.0,-21.069957705172627
20,(주)ES큐브,50120,Dec-13,58597361.0,58597361.0,45823196.0,45823196.0,0.0,-21.799898121691868
21,(주)ES큐브,50120,Dec-14,44459581.0,44459581.0,37188072.0,37188072.0,0.0,-16.355325076050548
22,(주)ES큐브,50120,Dec-15,42152967.0,42152967.0,36887119.0,36887119.0,0.0,-12.492235718543839
23,(주)ES큐브,50120,Dec-16,34289385.0,34289385.0,34818205.0,34818205.0,0.0,1.542226552036439
