,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),매출채권회전율(개별),매출채권회전율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,11050219.0,17751704.0,11050219.0,1.606457211391014,1.606457211391014
1,(주)CMG제약,58820,Dec-12,16255389.0,11362566.0,16255389.0,11362566.0,1.4306089839214136,1.4306089839214136
2,(주)CMG제약,58820,Dec-13,20402140.0,13999415.0,20322140.0,13999415.0,1.451642086472899,1.4573566109726728
3,(주)CMG제약,58820,Dec-14,22752584.0,16787073.0,22752584.0,16787073.0,1.3553633799054785,1.3553633799054785
4,(주)CMG제약,58820,Dec-15,27041894.0,15838057.0,27041894.0,15838056.0,1.707399822301424,1.7073997144978075
5,(주)CMG제약,58820,Dec-16,32969825.0,14435808.0,32969825.0,14435808.0,2.2838919026908644,2.2838919026908644
6,(주)CMG제약,58820,Dec-17,41535588.0,16768648.0,41535588.0,16768648.0,2.4769789430847378,2.4769789430847378
7,(주)CMG제약,58820,Dec-18,49864782.0,19030822.0,49864782.0,19030822.0,2.620211675565039,2.620211675565039
8,(주)CMG제약,58820,Dec-19,58622681.0,21676515.0,58622681.0,21676515.0,2.704432931216111,2.704432931216111
9,(주)DB하이텍,990,Dec-11,552216245.0,79301000.0,534317238.0,71061975.0,7.519031634006795,6.96354705489212
10,(주)DB하이텍,990,Dec-12,590786488.0,69176000.0,583901597.0,74994000.0,7.785977504867056,8.540338961489534
11,(주)DB하이텍,990,Dec-13,493752028.0,59941499.0,493752028.0,59836026.0,8.25175167882974,8.2372319050613
12,(주)DB하이텍,990,Dec-14,567718224.0,83353090.0,567718224.0,83154227.0,6.82729242375135,6.8110039351870455
13,(주)DB하이텍,990,Dec-15,666594987.0,92342122.0,666594987.0,91970866.0,7.247892903389645,7.218753181781983
14,(주)DB하이텍,990,Dec-16,773140180.0,110311838.0,773140180.0,110311839.0,7.008678189110781,7.008678252645922
15,(주)DB하이텍,990,Dec-17,679737744.0,85709910.0,679737744.0,85713072.0,7.930385974265396,7.9306785411395255
16,(주)DB하이텍,990,Dec-18,669279136.0,98855166.0,669279136.0,98855130.0,6.770302522489223,6.770300056954029
17,(주)DB하이텍,990,Dec-19,807416423.0,102020672.0,807416423.0,102020672.0,7.9142433309986435,7.9142433309986435
18,(주)ES큐브,50120,Dec-11,53379952.0,12624603.0,41700477.0,2102205.0,19.836541631287147,4.228247969460901
19,(주)ES큐브,50120,Dec-12,55971147.0,4718926.0,44178050.0,3047374.0,14.497088312757148,11.860992734363709
20,(주)ES큐브,50120,Dec-13,58597361.0,4935099.0,45823196.0,2846445.0,16.098395015536923,11.873593822535272
21,(주)ES큐브,50120,Dec-14,44459581.0,10542241.0,37188072.0,3093857.0,12.019971188067192,4.217279893335772
22,(주)ES큐브,50120,Dec-15,42152967.0,7805190.0,36887119.0,2055434.0,17.94614616669764,5.40063304032317
23,(주)ES큐브,50120,Dec-16,34289385.0,4142905.0,34818205.0,2820018.0,12.346802396296761,8.276652493841882
24,(주)ES큐브,50120,Dec-17,35745794.0,3886201.0,37104908.0,2573314.0,14.419114029613176,9.198133086785784
25,(주)ES큐브,50120,Dec-18,33763508.0,4655667.0,31308873.0,3016721.0,10.37844500701258,7.252131219866025
26,(주)ES큐브,50120,Dec-19,43708239.0,212246240.0,28527284.0,2610301.0,10.928733506212502,0.20593174701233813
27,(주)HJ중공업,97230,Dec-11,2891499000.0,283789000.0,2316017000.0,831799000.0,2.784346939585164,10.188904432518527
28,(주)HJ중공업,97230,Dec-12,2549319000.0,268734000.0,1980761000.0,955409000.0,2.0732073907614437,9.486402911429145
29,(주)HJ중공업,97230,Dec-13,2529341000.0,245971000.0,1927307000.0,285995000.0,6.7389534782076606,10.283086217480923
30,(주)HJ중공업,97230,Dec-14,2520325000.0,294422000.0,1799016000.0,384263000.0,4.681731001943981,8.560246856552839
31,(주)HJ중공업,97230,Dec-15,3115473000.0,203499000.0,2041347000.0,234552000.0,8.703174562570346,15.309524862530036
32,(주)HJ중공업,97230,Dec-16,2813271000.0,134921000.0,1928591000.0,242278000.0,7.96023988971347,20.851246284862995
33,(주)HJ중공업,97230,Dec-17,2452314000.0,130629000.0,1737428000.0,148699000.0,11.68419424474946,18.773120823094413
34,(주)HJ중공업,97230,Dec-18,1697869000.0,109666000.0,1750954000.0,102682000.0,17.052199996104477,15.482182262506155
35,(주)HJ중공업,97230,Dec-19,1628751000.0,186684000.0,1609530000.0,175735000.0,9.15884712777762,8.724641640419105
36,(주)MH에탄올,23150,Dec-11,44785159.0,8757548.0,43206995.0,8748707.0,4.938672080342844,5.113892495936077
37,(주)MH에탄올,23150,Dec-12,59768175.0,10118103.0,45488675.0,10109892.0,4.499422446847108,5.90705342691214
38,(주)MH에탄올,23150,Dec-13,62199887.0,10691393.0,46298516.0,10664555.0,4.341345325707449,5.8177533086661395
39,(주)MH에탄올,23150,Dec-14,48983781.0,10379733.0,48983781.0,10379733.0,4.719175435437501,4.719175435437501
40,(주)MH에탄올,23150,Dec-15,50386203.0,11080407.0,50386203.0,11080407.0,4.547324209300254,4.547324209300254
41,(주)MH에탄올,23150,Dec-16,48897025.0,9965259.0,48897025.0,9965259.0,4.906749036828847,4.906749036828847
42,(주)MH에탄올,23150,Dec-17,51977132.0,10887252.0,48270464.0,10589508.0,4.558329244380381,4.774127759695467
43,(주)MH에탄올,23150,Dec-18,72795863.0,10529867.0,46943080.0,10266287.0,4.572547017241969,6.913274688084854
44,(주)MH에탄올,23150,Dec-19,80879342.0,9499084.0,46992295.0,9124637.0,5.150045420984966,8.514435918242222
45,(주)SH에너지화학,2360,Dec-11,173209351.0,29083550.0,172752632.0,28469011.0,6.068093900416843,5.955578015751172
46,(주)SH에너지화학,2360,Dec-12,193950102.0,30307562.0,191907628.0,29170923.0,6.5787300593813915,6.399396361871667
