,회사명,거래소코드,회계년도,당기매출액(IFRS연결),당기매출원가(IFRS연결),당기판관비(IFRS연결),전기매출액(IFRS연결),전기매출원가(IFRS연결),전기판관비(IFRS연결),당기매출액(IFRS개별),당기매출원가(IFRS개별),당기판관비(IFRS개별),전기매출액(IFRS개별),전기매출원가(IFRS개별),전기판관비(IFRS개별),영업이익증가율(개별),영업이익증가율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,10325799.0,6802089.0,17751704.0,10325799.0,6802089.0,17751704.0,10325799.0,6727421.0,17751704.0,10325799.0,6727421.0,-97.99314602726902,-98.21151577690473
1,(주)CMG제약,58820,Dec-12,16255389.0,11648690.0,8812202.0,16008937.0,11387357.0,7770437.0,16255389.0,11648690.0,8651838.0,16008937.0,11387357.0,7610073.0,-111.55543790076817,-111.95875442616489
2,(주)CMG제약,58820,Dec-13,20402140.0,12506817.0,7104073.0,20402140.0,12506817.0,7104073.0,20322140.0,12506817.0,6992776.0,20322140.0,12506817.0,6992776.0,-97.9344269120583,-98.0225191643822
3,(주)CMG제약,58820,Dec-14,22752584.0,14318048.0,7992213.0,22752584.0,14318048.0,7992213.0,22752584.0,14318048.0,7988518.0,22752584.0,14318048.0,7988518.0,-99.01014999173309,-99.01843081589722
4,(주)CMG제약,58820,Dec-15,27041894.0,17237814.0,12376249.0,27041894.0,17237814.0,12374958.0,27041894.0,17237814.0,12374958.0,27041894.0,17237814.0,12374958.0,-104.53780452963927,-104.54008324751221
5,(주)CMG제약,58820,Dec-16,32969825.0,19663389.0,11575683.0,32969825.0,19663389.0,12572257.0,32969825.0,19663389.0,11575683.0,32969825.0,19663389.0,12572257.0,-97.34569358451532,-97.34569358451532
6,(주)CMG제약,58820,Dec-17,41535588.0,23497552.0,16479429.0,41535588.0,23497552.0,16479429.0,41535588.0,23497552.0,16479429.0,41535588.0,23497552.0,16479429.0,-98.08789365968823,-98.08789365968823
7,(주)CMG제약,58820,Dec-18,49864782.0,27124841.0,20172121.0,49864782.0,27124841.0,20172121.0,49864782.0,27124841.0,20172121.0,49864782.0,27124841.0,20172121.0,-97.35716971074541,-97.35716971074541
8,(주)CMG제약,58820,Dec-19,58622681.0,29700050.0,26318857.0,,,,58622681.0,29700050.0,26318857.0,58622681.0,29700050.0,26318857.0,-97.72877012136294,
9,(주)DB하이텍,990,Dec-11,552216245.0,460440945.0,127163621.0,552216245.0,460440945.0,127163621.0,534317238.0,443140034.0,126664477.0,534317238.0,443140034.0,126664477.0,-103.21407245461297,-103.10472669550161
10,(주)DB하이텍,990,Dec-12,590786488.0,494003057.0,112405062.0,590786488.0,494003057.0,112382812.0,583901597.0,486953432.0,111377822.0,583901597.0,486953432.0,111355572.0,-101.22056569174683,-101.30487735610153
11,(주)DB하이텍,990,Dec-13,493752028.0,404500718.0,98861923.0,493752028.0,404500718.0,98861923.0,493752028.0,404500718.0,98644291.0,493752028.0,404500718.0,98644291.0,-100.94222177931903,-100.96384230407907
12,(주)DB하이텍,990,Dec-14,567718224.0,430813375.0,91344601.0,567718224.0,430813375.0,91344601.0,567718224.0,430813375.0,91594343.0,567718224.0,430813375.0,91594343.0,-95.84355309287741,-95.81968594231161
13,(주)DB하이텍,990,Dec-15,666594987.0,436915515.0,104710656.0,666594987.0,436915515.0,104710656.0,666594987.0,436915515.0,105306648.0,666594987.0,436915515.0,105306648.0,-89.71119627149565,-89.6567929494908
