,회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별),유형자산회전율(개별),유형자산회전율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,9707759.0,17751704.0,9652599.0,1.8390595113295394,1.828609877933723
1,(주)CMG제약,58820,Dec-12,16255389.0,9307482.0,16255389.0,9264142.0,1.754656718344775,1.7464862139942898
2,(주)CMG제약,58820,Dec-13,20402140.0,10805092.0,20322140.0,10805092.0,1.8807928706206296,1.8881967872184706
3,(주)CMG제약,58820,Dec-14,22752584.0,18833775.0,22752584.0,18833775.0,1.208073474383123,1.208073474383123
4,(주)CMG제약,58820,Dec-15,27041894.0,17822468.0,27041894.0,17822468.0,1.5172923301082657,1.5172923301082657
5,(주)CMG제약,58820,Dec-16,32969825.0,16905814.0,32969825.0,16905814.0,1.9502063018083602,1.9502063018083602
6,(주)CMG제약,58820,Dec-17,41535588.0,16182518.0,41535588.0,16182518.0,2.566694997651169,2.566694997651169
7,(주)CMG제약,58820,Dec-18,49864782.0,17268535.0,49864782.0,17268535.0,2.887609284748243,2.887609284748243
8,(주)CMG제약,58820,Dec-19,58622681.0,24119403.0,58622681.0,24119403.0,2.430519569659332,2.430519569659332
9,(주)DB하이텍,990,Dec-11,552216245.0,758902417.0,534317238.0,758179817.0,0.704736826303568,0.7276511875966262
10,(주)DB하이텍,990,Dec-12,590786488.0,685389046.0,583901597.0,684941380.0,0.8524840432330136,0.8619724686991861
11,(주)DB하이텍,990,Dec-13,493752028.0,636040366.0,493752028.0,635765049.0,0.7766265679068495,0.7762903966381278
12,(주)DB하이텍,990,Dec-14,567718224.0,591787281.0,567718224.0,591653498.0,0.9595451153742692,0.9593281948214092
13,(주)DB하이텍,990,Dec-15,666594987.0,533140340.0,666594987.0,533113708.0,1.2503805041906744,1.2503180438381383
14,(주)DB하이텍,990,Dec-16,773140180.0,547700934.0,773140180.0,547687840.0,1.4116438663308646,1.4116101178677194
15,(주)DB하이텍,990,Dec-17,679737744.0,555566835.0,679737744.0,555556192.0,1.2235265375279987,1.2235030984165929
16,(주)DB하이텍,990,Dec-18,669279136.0,597570491.0,669279136.0,597563521.0,1.1200133751136392,1.1200003113942252
17,(주)DB하이텍,990,Dec-19,807416423.0,616573800.0,807416423.0,616562743.0,1.3095446200193124,1.3095211359937773
18,(주)ES큐브,50120,Dec-11,53379952.0,4313834.0,41700477.0,1407274.0,29.63209510017239,12.374132152512127
19,(주)ES큐브,50120,Dec-12,55971147.0,3181598.0,44178050.0,1395951.0,31.647278450318097,17.592149291016653
20,(주)ES큐브,50120,Dec-13,58597361.0,2177498.0,45823196.0,914811.0,50.09034215810698,26.910408643314483
21,(주)ES큐브,50120,Dec-14,44459581.0,2299195.0,37188072.0,640405.0,58.06961532155433,19.337020565893717
22,(주)ES큐브,50120,Dec-15,42152967.0,1968118.0,36887119.0,596347.0,61.85512629391948,21.417906345046383
