,회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별),자본증가율(개별),자본증가율(연결)
0,(주)CMG제약,58820,Dec-11,18034249.0,18034249.0,18290915.0,18290915.0,0.0,1.423214240859167
1,(주)CMG제약,58820,Dec-12,31590685.0,31590685.0,31602540.0,31602540.0,0.0,0.03752688490294531
2,(주)CMG제약,58820,Dec-13,48997281.0,48997281.0,49048213.0,49048213.0,0.0,0.10394862523087056
3,(주)CMG제약,58820,Dec-14,49002644.0,49002644.0,49067039.0,49067039.0,0.0,0.131411276501737
4,(주)CMG제약,58820,Dec-15,46806888.0,46806888.0,46872705.0,46872705.0,0.0,0.14061391989999095
5,(주)CMG제약,58820,Dec-16,101107635.0,94895419.0,101107635.0,94895419.0,6.546381337965329,6.546381337965329
6,(주)CMG제약,58820,Dec-17,97944019.0,97944019.0,97944019.0,97944019.0,0.0,0.0
7,(주)CMG제약,58820,Dec-18,103981846.0,103981846.0,103981846.0,103981846.0,0.0,0.0
8,(주)CMG제약,58820,Dec-19,180158283.0,,180158283.0,180158283.0,0.0,
9,(주)DB하이텍,990,Dec-11,308061688.0,308061688.0,291709498.0,291709498.0,0.0,-5.308089462913017
10,(주)DB하이텍,990,Dec-12,290893335.0,290893335.0,274553219.0,274553219.0,0.0,-5.617219108853078
11,(주)DB하이텍,990,Dec-13,204756748.0,204756748.0,197287466.0,197287466.0,0.0,-3.647880752628481
12,(주)DB하이텍,990,Dec-14,120702734.0,120702734.0,136104062.0,136104062.0,0.0,12.759717605070975
13,(주)DB하이텍,990,Dec-15,254057491.0,254057491.0,277662952.0,277662952.0,0.0,9.291385547061083
14,(주)DB하이텍,990,Dec-16,341917315.0,341917315.0,364450453.0,364450453.0,0.0,6.590230155498261
15,(주)DB하이텍,990,Dec-17,455797946.0,455797946.0,441546809.0,441546809.0,0.0,-3.1266347567086257
16,(주)DB하이텍,990,Dec-18,558391531.0,558391531.0,542557222.0,542557222.0,0.0,-2.8357000636530074
17,(주)DB하이텍,990,Dec-19,644650730.0,644650730.0,645305205.0,645305205.0,0.0,0.10152396787017892
18,(주)ES큐브,50120,Dec-11,39245830.0,39245830.0,39144414.0,39144414.0,0.0,-0.25841216761118346
19,(주)ES큐브,50120,Dec-12,39859681.0,39859681.0,39881477.0,39881477.0,0.0,0.05468182246617914
20,(주)ES큐브,50120,Dec-13,42372440.0,42372440.0,43712820.0,43712820.0,0.0,3.1633297492426777
21,(주)ES큐브,50120,Dec-14,49628091.0,49628091.0,41226335.0,41226335.0,0.0,-16.929436193707318
22,(주)ES큐브,50120,Dec-15,49654460.0,49654460.0,44872641.0,44872641.0,0.0,-9.630190319258332
23,(주)ES큐브,50120,Dec-16,71696122.0,71696122.0,69832373.0,69832373.0,0.0,-2.5995115886463225
24,(주)ES큐브,50120,Dec-17,72816880.0,72816880.0,71398467.0,71398467.0,0.0,-1.9479178454226513
25,(주)ES큐브,50120,Dec-18,70748607.0,70748607.0,66518631.0,66518631.0,0.0,-5.978882382800833
26,(주)ES큐브,50120,Dec-19,74038512.0,74038512.0,53986331.0,53986331.0,0.0,-27.083446787801464
27,(주)HJ중공업,97230,Dec-11,1866848000.0,1866848000.0,1874877000.0,1874877000.0,0.0,0.4300832204871483
28,(주)HJ중공업,97230,Dec-12,1715516000.0,1715516000.0,1863529000.0,1863529000.0,0.0,8.627899710641003
29,(주)HJ중공업,97230,Dec-13,1638998000.0,1638998000.0,1804609000.0,1804609000.0,0.0,10.10440525247742
30,(주)HJ중공업,97230,Dec-14,1573076000.0,1573076000.0,1761886000.0,1582996000.0,11.300723438340967,12.002598730131268
31,(주)HJ중공업,97230,Dec-15,1368589000.0,1178036000.0,1377529000.0,1186973000.0,16.05394562471092,16.934372124451215
32,(주)HJ중공업,97230,Dec-16,895183000.0,917608000.0,904150000.0,926577000.0,-2.4204140616484153,-1.4666393492646108
33,(주)HJ중공업,97230,Dec-17,577198000.0,577198000.0,563410000.0,563410000.0,0.0,-2.3887816659101304
34,(주)HJ중공업,97230,Dec-18,-708186000.0,-708186000.0,-398930000.0,-398930000.0,0.0,0.0
35,(주)HJ중공업,97230,Dec-19,244994000.0,244994000.0,247272000.0,247272000.0,0.0,0.9298186894372833
36,(주)MH에탄올,23150,Dec-11,42667338.0,42667338.0,56161251.0,56161251.0,0.0,31.625860980593643
37,(주)MH에탄올,23150,Dec-12,39678259.0,39678259.0,58712944.0,58712944.0,0.0,47.97258115584154
38,(주)MH에탄올,23150,Dec-13,45885523.0,45885523.0,47119925.0,47119925.0,0.0,2.6901774662130293
39,(주)MH에탄올,23150,Dec-14,52788681.0,52788681.0,52507884.0,52507884.0,0.0,-0.5319265317502442
40,(주)MH에탄올,23150,Dec-15,57884347.0,57884347.0,57569789.0,57569789.0,0.0,-0.5434249780860512
41,(주)MH에탄올,23150,Dec-16,63581883.0,63581883.0,63257513.0,63257513.0,0.0,-0.5101610469762363
42,(주)MH에탄올,23150,Dec-17,106837344.0,106837344.0,64698932.0,64698932.0,0.0,-39.4416506647713
43,(주)MH에탄올,23150,Dec-18,91585473.0,91585473.0,68471529.0,68471529.0,0.0,-25.237565787316512
44,(주)MH에탄올,23150,Dec-19,79389077.0,79389077.0,59477642.0,59477642.0,0.0,-25.080824406108164
45,(주)SH에너지화학,2360,Dec-11,65242326.0,65242326.0,64498684.0,64498684.0,0.0,-1.1398152788114828
46,(주)SH에너지화학,2360,Dec-12,64881202.0,64881202.0,64888612.0,64888612.0,0.0,0.01142087349121823
47,(주)SH에너지화학,2360,Dec-13,69599141.0,69599141.0,69781889.0,69781889.0,0.0,0.2625722061713418
48,(주)SH에너지화학,2360,Dec-14,84237197.0,84237197.0,83404299.0,83404299.0,0.0,-0.9887532226410656
49,(주)SH에너지화학,2360,Dec-15,91646221.0,91646221.0,90740136.0,90740136.0,0.0,-0.9886768817232507
50,(주)SH에너지화학,2360,Dec-16,104088887.0,104088887.0,103083032.0,103083032.0,0.0,-0.9663423531466862
51,(주)SH에너지화학,2360,Dec-17,107693472.0,107693472.0,105717970.0,105717970.0,0.0,-1.8343748820727086
52,(주)SH에너지화학,2360,Dec-18,105390892.0,105390892.0,104065473.0,104065473.0,0.0,-1.257621958451594
53,(주)SH에너지화학,2360,Dec-19,98999976.0,98999976.0,97386214.0,97386214.0,0.0,-1.6300630214294216
54,(주)SIMPAC,9160,Dec-11,168941269.0,168941269.0,155833324.0,155833324.0,0.0,-7.758876843762792
55,(주)SIMPAC,9160,Dec-12,187860952.0,,177830482.0,177830482.0,0.0,
56,(주)SIMPAC,9160,Dec-13,208831047.0,208831047.0,197900866.0,197900866.0,0.0,-5.233982761193545
57,(주)SIMPAC,9160,Dec-14,219125252.0,219125252.0,203904919.0,203904919.0,0.0,-6.945951167691064
58,(주)SIMPAC,9160,Dec-15,232007841.0,232007841.0,220087525.0,220087525.0,0.0,-5.137893593863495
59,(주)SIMPAC,9160,Dec-16,240416530.0,240416530.0,228959172.0,228959172.0,0.0,-4.765628220322455
60,(주)SIMPAC,9160,Dec-17,240826100.0,240826100.0,223781988.0,223781988.0,0.0,-7.077352496261824
61,(주)SIMPAC,9160,Dec-18,435032869.0,435032869.0,411119510.0,411119510.0,0.0,-5.49690855658082
62,(주)SIMPAC,9160,Dec-19,441195485.0,441195485.0,419215968.0,419215968.0,0.0,-4.981809140680568
63,(주)SNT에너지,100840,Dec-11,,,160595865.0,160595865.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,183306309.0,183306309.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,198164671.0,198164671.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,207712504.0,207712504.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,231399939.0,231399939.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,229799567.0,229799567.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,233817326.0,233817326.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,231276490.0,231276490.0,231193081.0,0.03607763676976106,0.0
71,(주)SNT에너지,100840,Dec-19,244954910.0,244954910.0,245545053.0,245545053.0,0.0,0.24091903281302507
72,(주)SNT홀딩스,36530,Dec-11,1311007481.0,1311007481.0,387839074.0,387839074.0,0.0,-70.41671541765977
73,(주)SNT홀딩스,36530,Dec-12,1318022867.0,1318022867.0,388611726.0,388611726.0,0.0,-70.51555509924245
74,(주)SNT홀딩스,36530,Dec-13,1374365240.0,1374365240.0,396851717.0,396851717.0,0.0,-71.1247268593609
75,(주)SNT홀딩스,36530,Dec-14,1356040938.0,1356040938.0,398863036.0,398863036.0,0.0,-70.58620983904248
76,(주)SNT홀딩스,36530,Dec-15,1529249091.0,1529249091.0,421925486.0,421925486.0,0.0,-72.4096297664564
77,(주)SNT홀딩스,36530,Dec-16,1530892611.0,1530892611.0,426682947.0,426682947.0,0.0,-72.12848609143884
78,(주)SNT홀딩스,36530,Dec-17,1519293154.0,1519293154.0,425136143.0,425136143.0,0.0,-72.01750420050928
79,(주)SNT홀딩스,36530,Dec-18,1503275496.0,1503275496.0,422573122.0,422573122.0,0.0,-71.88984167410389
80,(주)SNT홀딩스,36530,Dec-19,1625933047.0,1625933047.0,416939604.0,416939604.0,0.0,-74.35690204038272
81,(주)STX,11810,Dec-11,1915942000.0,1915942000.0,1164648000.0,1164648000.0,0.0,-39.212773664338485
82,(주)STX,11810,Dec-12,1506639000.0,1506639000.0,1123534000.0,1123534000.0,0.0,-25.427789935080668
83,(주)STX,11810,Dec-13,-509663000.0,-509663000.0,-522090000.0,-522090000.0,0.0,0.0
84,(주)STX,11810,Dec-14,93662000.0,93662000.0,54894000.0,98087000.0,-44.035397147430345,-41.39138604770345
85,(주)STX,11810,Dec-15,72342000.0,72342000.0,72316000.0,72316000.0,0.0,-0.03594039423848017
86,(주)STX,11810,Dec-16,-330596000.0,-330596000.0,-328883000.0,-328883000.0,0.0,0.0
87,(주)STX,11810,Dec-17,42560000.0,42560000.0,44710000.0,44710000.0,0.0,5.051691729323309
88,(주)STX,11810,Dec-18,64028000.0,64028000.0,62213000.0,62213000.0,0.0,-2.834697319922526
89,(주)STX,11810,Dec-19,56291000.0,56291000.0,50616000.0,50616000.0,0.0,-10.081540565987453
90,(주)TCC스틸,2710,Dec-11,225441968.0,225441968.0,205616971.0,205616971.0,0.0,-8.793836026129796
91,(주)TCC스틸,2710,Dec-12,225998781.0,225998781.0,209755733.0,209755733.0,0.0,-7.187228147040315
92,(주)TCC스틸,2710,Dec-13,205738102.0,205738102.0,210086242.0,210086242.0,0.0,2.1134344867243016
93,(주)TCC스틸,2710,Dec-14,189038004.0,189038004.0,210093654.0,210093654.0,0.0,11.138315870072347
94,(주)TCC스틸,2710,Dec-15,86012476.0,86012476.0,76555951.0,76555951.0,0.0,-10.9943643524458
95,(주)TCC스틸,2710,Dec-16,103337634.0,100863852.0,92623510.0,90149728.0,2.7440814907395037,-8.169767301768331
96,(주)TCC스틸,2710,Dec-17,100915803.0,100915803.0,89627045.0,89627045.0,0.0,-11.18631340623628
97,(주)TCC스틸,2710,Dec-18,112246210.0,112246210.0,98351707.0,98351707.0,0.0,-12.378594341849052
98,(주)TCC스틸,2710,Dec-19,116843135.0,116843135.0,97501452.0,97501452.0,0.0,-16.553546770206054
99,(주)가비아,79940,Dec-11,48665742.0,48665742.0,24298687.0,24298687.0,0.0,-50.07024243049659
100,(주)가비아,79940,Dec-12,58945247.0,58945247.0,31165211.0,31165211.0,0.0,-47.128542866229736
101,(주)가비아,79940,Dec-13,68600227.0,68600227.0,34822978.0,34822978.0,0.0,-49.23780937342962
102,(주)가비아,79940,Dec-14,75509702.0,75509702.0,38147677.0,38147677.0,0.0,-49.47976751384875
103,(주)가비아,79940,Dec-15,84096148.0,84096148.0,42470259.0,42470259.0,0.0,-49.497973438688305
104,(주)가비아,79940,Dec-16,95951841.0,95951841.0,45413712.0,45413712.0,0.0,-52.670306763577365
105,(주)가비아,79940,Dec-17,99896520.0,99896520.0,47662984.0,47662984.0,0.0,-52.28764325323845
106,(주)가비아,79940,Dec-18,114187490.0,114187490.0,49832912.0,49832912.0,0.0,-56.358693933985236
107,(주)가비아,79940,Dec-19,134959139.0,134959139.0,54084066.0,54084066.0,0.0,-59.925599406795264
108,(주)강스템바이오텍,217730,Dec-15,,,21237036.0,21237036.0,0.0,
109,(주)강스템바이오텍,217730,Dec-16,,22976911.0,22976911.0,22976911.0,0.0,0.0
110,(주)강스템바이오텍,217730,Dec-17,24482163.0,23404899.0,24668128.0,23590864.0,4.566445722377949,5.397284559954741
111,(주)강스템바이오텍,217730,Dec-18,47581374.0,47581374.0,47944961.0,47944961.0,0.0,0.764137244124143
112,(주)강스템바이오텍,217730,Dec-19,68719236.0,68719236.0,70845209.0,70845209.0,0.0,3.0937087251668487
113,(주)강원랜드,35250,Dec-11,2257362696.0,2257362696.0,2278202202.0,2278202202.0,0.0,0.923179338301594
114,(주)강원랜드,35250,Dec-12,2372026990.0,2372026990.0,2383160603.0,2383160603.0,0.0,0.4693712612435377
