,회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원,자본집약도(개별),자본집약도(연결)
0,(주)CMG제약,58820,11-Dec,27305198.0,27548539.0,135.0,204063.25185185185,202260.72592592592
1,(주)CMG제약,58820,12-Dec,57108035.0,56988604.0,134.0,425288.0895522388,426179.3656716418
2,(주)CMG제약,58820,13-Dec,55912563.0,55961620.0,136.0,411482.5,411121.7867647059
3,(주)CMG제약,58820,14-Dec,58068326.0,58127098.0,164.0,354433.5243902439,354075.15853658534
4,(주)CMG제약,58820,15-Dec,56532821.0,56591972.0,156.0,362769.0512820513,362389.8782051282
5,(주)CMG제약,58820,16-Dec,110979867.0,110979867.0,160.0,693624.16875,693624.16875
6,(주)CMG제약,58820,17-Dec,109568153.0,109568153.0,200.0,547840.765,547840.765
7,(주)CMG제약,58820,18-Dec,114379880.0,114379880.0,222.0,515224.6846846847,515224.6846846847
8,(주)CMG제약,58820,19-Dec,192243166.0,192243166.0,241.0,797689.4854771785,797689.4854771785
9,(주)DB하이텍,990,11-Dec,1199043869.0,1183957429.0,2567.0,461222.21620568755,467099.2867160109
10,(주)DB하이텍,990,12-Dec,1157755031.0,1149069244.0,2304.0,498727.9704861111,502497.84331597225
11,(주)DB하이텍,990,13-Dec,1058391832.0,1049494642.0,2142.0,489960.1503267974,494113.83380018675
12,(주)DB하이텍,990,14-Dec,984876636.0,1001959816.0,1999.0,501230.5232616308,492684.66033016506
13,(주)DB하이텍,990,15-Dec,984643712.0,1005673854.0,2004.0,501833.2604790419,491339.1776447106
14,(주)DB하이텍,990,16-Dec,986788572.0,1006370876.0,2047.0,491632.084025403,482065.7410845139
15,(주)DB하이텍,990,17-Dec,993950720.0,977575054.0,1940.0,503904.6670103093,512345.73195876286
16,(주)DB하이텍,990,18-Dec,1066533840.0,1050696487.0,1955.0,537440.6583120205,545541.6061381074
17,(주)DB하이텍,990,19-Dec,1088889810.0,1089400761.0,1979.0,550480.4249621021,550222.2385042951
18,(주)ES큐브,50120,11-Dec,55477032.0,45233434.0,237.0,190858.37130801688,234080.30379746837
19,(주)ES큐브,50120,12-Dec,46281660.0,44676182.0,236.0,189305.85593220338,196108.7288135593
20,(주)ES큐브,50120,13-Dec,47137573.0,47509654.0,100.0,475096.54,471375.73
21,(주)ES큐브,50120,14-Dec,56611836.0,44914173.0,27.0,1663487.888888889,2096734.6666666667
22,(주)ES큐브,50120,15-Dec,55620280.0,47123684.0,39.0,1208299.5897435897,1426161.0256410257
23,(주)ES큐브,50120,16-Dec,105164626.0,104459992.0,30.0,3481999.7333333334,3505487.533333333
24,(주)ES큐브,50120,17-Dec,105892131.0,104850192.0,35.0,2995719.7714285715,3025489.4571428574
25,(주)ES큐브,50120,18-Dec,112430896.0,108481764.0,30.0,3616058.8,3747696.533333333
26,(주)ES큐브,50120,19-Dec,463958680.0,136065488.0,30.0,4535516.266666667,15465289.333333334
27,(주)HJ중공업,97230,11-Dec,7036680000.0,5857119000.0,2785.0,2103094.793536804,2526635.5475763017
28,(주)HJ중공업,97230,12-Dec,6585093000.0,5938108000.0,2634.0,2254406.9855732727,2500035.3075170843
29,(주)HJ중공업,97230,13-Dec,6683379000.0,5839633000.0,2758.0,2117343.3647570703,2423270.1232777373
30,(주)HJ중공업,97230,14-Dec,6470284000.0,5469810000.0,2544.0,2150082.547169811,2543350.628930818
31,(주)HJ중공업,97230,15-Dec,5914637000.0,4638381000.0,2632.0,1762302.811550152,2247202.5075987843
32,(주)HJ중공업,97230,16-Dec,5256464000.0,3921561000.0,2473.0,1585750.5054589568,2125541.447634452
33,(주)HJ중공업,97230,17-Dec,4206655000.0,3312303000.0,2493.0,1328641.3959085438,1687386.6827115924
34,(주)HJ중공업,97230,18-Dec,2733620000.0,2388369000.0,2271.0,1051681.6380449142,1203707.61778952
35,(주)HJ중공업,97230,19-Dec,2470222000.0,2465650000.0,2016.0,1223040.6746031747,1225308.5317460317
36,(주)MH에탄올,23150,11-Dec,134206851.0,135927085.0,51.0,2665236.9607843137,2631506.882352941
37,(주)MH에탄올,23150,12-Dec,134385813.0,139200817.0,52.0,2676938.7884615385,2584342.5576923075
38,(주)MH에탄올,23150,13-Dec,129697936.0,122520742.0,51.0,2402367.4901960786,2543096.7843137253
39,(주)MH에탄올,23150,14-Dec,85534839.0,85253876.0,53.0,1608563.6981132075,1613864.8867924528
40,(주)MH에탄올,23150,15-Dec,78996052.0,78691328.0,47.0,1674283.574468085,1680767.0638297873
41,(주)MH에탄올,23150,16-Dec,72339673.0,72025138.0,43.0,1675003.2093023255,1682317.9767441861
42,(주)MH에탄올,23150,17-Dec,500180086.0,107437079.0,48.0,2238272.4791666665,10420418.458333334
43,(주)MH에탄올,23150,18-Dec,440177523.0,109656889.0,50.0,2193137.78,8803550.46
44,(주)MH에탄올,23150,19-Dec,451474451.0,101058662.0,47.0,2150184.2978723403,9605839.382978724
45,(주)SH에너지화학,2360,11-Dec,104710740.0,102383199.0,109.0,939295.4036697248,960648.9908256881
46,(주)SH에너지화학,2360,12-Dec,103690070.0,102492810.0,112.0,915114.375,925804.1964285715
47,(주)SH에너지화학,2360,13-Dec,110488951.0,109984767.0,116.0,948144.5431034482,952490.9568965518
48,(주)SH에너지화학,2360,14-Dec,110741407.0,109098264.0,140.0,779273.3142857143,791010.05
49,(주)SH에너지화학,2360,15-Dec,115520726.0,114048206.0,146.0,781152.095890411,791237.8493150685
50,(주)SH에너지화학,2360,16-Dec,124488724.0,122956894.0,148.0,830789.8243243244,841140.027027027
