,회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별),총자산순이익률(개별),총자산순이익률(연결)
0,(주)CMG제약,58820,Dec-11,-1508282.0,27305198.0,-1264488.0,27548539.0,-4.5900365170000486,-5.523790744897729
1,(주)CMG제약,58820,Dec-12,-6660149.0,57108035.0,-6892739.0,56988604.0,-12.094942701175835,-11.662367651066964
2,(주)CMG제약,58820,Dec-13,296181.0,55912563.0,335258.0,55961620.0,0.5990855875866352,0.5297217371344612
3,(주)CMG제약,58820,Dec-14,158039.0,58068326.0,171502.0,58127098.0,0.29504655470672214,0.2721604201230116
4,(주)CMG제약,58820,Dec-15,-3650091.0,56532821.0,-3648668.0,56591972.0,-6.447324366077931,-6.456587404332785
5,(주)CMG제약,58820,Dec-16,1727895.0,110979867.0,1693463.0,110979867.0,1.525919111076246,1.556944558241361
6,(주)CMG제약,58820,Dec-17,2834901.0,109568153.0,2834901.0,109568153.0,2.5873403195908575,2.5873403195908575
7,(주)CMG제약,58820,Dec-18,6065026.0,114379880.0,6065026.0,114379880.0,5.30252873145172,5.30252873145172
8,(주)CMG제약,58820,Dec-19,3051177.0,192243166.0,3051177.0,192243166.0,1.5871445854153277,1.5871445854153277
9,(주)DB하이텍,990,Dec-11,-97946584.0,1199043869.0,-93084414.0,1183957429.0,-7.862141975714568,-8.168723975185932
10,(주)DB하이텍,990,Dec-12,-31341318.0,1157755031.0,-32121504.0,1149069244.0,-2.7954367561159787,-2.7070768133850587
11,(주)DB하이텍,990,Dec-13,-83046768.0,1058391832.0,-73243309.0,1049494642.0,-6.978912141983093,-7.846504998349231
12,(주)DB하이텍,990,Dec-14,-77008844.0,984876636.0,-58319918.0,1001959816.0,-5.82058452531793,-7.819136040506093
13,(주)DB하이텍,990,Dec-15,126733352.0,984643712.0,127469869.0,1005673854.0,12.675070401104414,12.870985764239562
14,(주)DB하이텍,990,Dec-16,88344018.0,986788572.0,88002359.0,1006370876.0,8.744525611649358,8.952679480361878
15,(주)DB하이텍,990,Dec-17,110175089.0,993950720.0,74401732.0,977575054.0,7.610846010806655,11.084562522375355
16,(주)DB하이텍,990,Dec-18,86828768.0,1066533840.0,95087399.0,1050696487.0,9.049939747252624,8.141210784272912
17,(주)DB하이텍,990,Dec-19,104637012.0,1088889810.0,121159865.0,1089400761.0,11.121698215887331,9.60951338134021
18,(주)ES큐브,50120,Dec-11,-4796438.0,55477032.0,-2933429.0,45233434.0,-6.485090210042421,-8.645808593365269
19,(주)ES큐브,50120,Dec-12,-359216.0,46281660.0,516857.0,44676182.0,1.1568960839133478,-0.7761519357775846
20,(주)ES큐브,50120,Dec-13,-16455910.0,47137573.0,-14749080.0,47509654.0,-31.044385210635294,-34.91038878900278
