,회사명,거래소코드,회계년도,현금및현금성자산(IFRS연결),유동부채(IFRS연결),현금및현금성자산(IFRS개별),유동부채(IFRS개별),현금비율(개별),현금비율(연결ㅊ
0,(주)CMG제약,58820,Dec-11,1152489.0,7633673.0,1152489.0,7620349.0,15.123834879478618,15.097437367306668
1,(주)CMG제약,58820,Dec-12,4674359.0,6793095.0,4673134.0,6665126.0,70.1132131635621,68.81044649014919
2,(주)CMG제약,58820,Dec-13,21705184.0,5500075.0,21704962.0,5498201.0,394.7647967035036,394.634327713713
3,(주)CMG제약,58820,Dec-14,8827046.0,8719202.0,8826926.0,8713579.0,101.30080877214746,101.23685630863926
4,(주)CMG제약,58820,Dec-15,2566167.0,8849994.0,2566164.0,8843328.0,29.01808007121301,28.996256946614878
5,(주)CMG제약,58820,Dec-16,2148521.0,9136755.0,2148521.0,9136755.0,23.515142958304125,23.515142958304125
6,(주)CMG제약,58820,Dec-17,3799004.0,10884321.0,3799004.0,10884321.0,34.9034542439533,34.9034542439533
7,(주)CMG제약,58820,Dec-18,13464430.0,8495060.0,13464430.0,8495060.0,158.49717365151042,158.49717365151042
8,(주)CMG제약,58820,Dec-19,18579821.0,9306387.0,18579821.0,9306387.0,199.6459098466462,199.6459098466462
9,(주)DB하이텍,990,Dec-11,40025028.0,794704783.0,34534009.0,796794129.0,4.334119409657448,5.036464968652391
10,(주)DB하이텍,990,Dec-12,39917597.0,555433290.0,38557398.0,563352691.0,6.8442733328489584,7.186749105369611
11,(주)DB하이텍,990,Dec-13,35222233.0,476867874.0,34683939.0,476710357.0,7.275683964214775,7.38616185329356
12,(주)DB하이텍,990,Dec-14,40369011.0,376436760.0,39292223.0,376149526.0,10.445905227592922,10.723982163697297
13,(주)DB하이텍,990,Dec-15,108132861.0,244044785.0,104789976.0,242109386.0,43.28207911774226,44.30861368334505
14,(주)DB하이텍,990,Dec-16,115579823.0,274231115.0,110782463.0,271946015.0,40.736931923786415,42.14686688634877
15,(주)DB하이텍,990,Dec-17,107494652.0,145225195.0,102087610.0,143100665.0,71.33971739404565,74.01928570314537
16,(주)DB하이텍,990,Dec-18,119106293.0,156796450.0,118765482.0,156793407.0,75.74647701864149,75.96236585713515
17,(주)DB하이텍,990,Dec-19,84776807.0,219715556.0,84227309.0,219572033.0,38.35976187368088,38.58479961245894
18,(주)ES큐브,50120,Dec-11,3160449.0,14801430.0,1507599.0,4839823.0,31.149878828213346,21.352322039154327
19,(주)ES큐브,50120,Dec-12,4071828.0,4802996.0,2224088.0,3228112.0,68.89748558909976,84.77683512540922
20,(주)ES큐브,50120,Dec-13,10119258.0,3630549.0,9130501.0,2690545.0,339.35507490118175,278.7252836967632
21,(주)ES큐브,50120,Dec-14,25536887.0,6002775.0,5336807.0,3055060.0,174.68746931320499,425.4180274956166
22,(주)ES큐브,50120,Dec-15,26509578.0,5378364.0,14592925.0,1792096.0,814.2937097119797,492.8929689399974
23,(주)ES큐브,50120,Dec-16,31283393.0,3406254.0,28643855.0,4569554.0,626.8413722652145,918.4104591143232
24,(주)ES큐브,50120,Dec-17,24250014.0,3702478.0,21621666.0,4085637.0,529.2116259961422,654.9671328229365
25,(주)ES큐브,50120,Dec-18,26730206.0,37613190.0,18764713.0,37696219.0,49.77876693681135,71.06604358736922
26,(주)ES큐브,50120,Dec-19,111347468.0,230135454.0,13606557.0,54789915.0,24.834053858269357,48.383448123555965
27,(주)HJ중공업,97230,Dec-11,854074000.0,2482598000.0,647026000.0,1800533000.0,35.935248062657,34.40242842377219
28,(주)HJ중공업,97230,Dec-12,731662000.0,2448324000.0,622643000.0,2125376000.0,29.29566344966726,29.884198333227136
29,(주)HJ중공업,97230,Dec-13,590556000.0,3284862000.0,446094000.0,2490138000.0,17.914428838883627,17.97810684284454
30,(주)HJ중공업,97230,Dec-14,350490000.0,2843001000.0,215201000.0,2203465000.0,9.766481428114357,12.328170127270443
31,(주)HJ중공업,97230,Dec-15,163004000.0,3430218000.0,79869000.0,2558441000.0,3.121783930135579,4.75200118476435
32,(주)HJ중공업,97230,Dec-16,138821000.0,2636927000.0,98951000.0,1598996000.0,6.188320671221191,5.264499168918973
33,(주)HJ중공업,97230,Dec-17,145442000.0,3329421000.0,107247000.0,2532122000.0,4.235459428890078,4.368387176028505
34,(주)HJ중공업,97230,Dec-18,229003000.0,2140149000.0,228601000.0,1490510000.0,15.337099382090694,10.70032974339637
35,(주)HJ중공업,97230,Dec-19,122434000.0,1845223000.0,122369000.0,1840367000.0,6.649162911527973,6.635187183337732
36,(주)MH에탄올,23150,Dec-11,4086479.0,78266518.0,885201.0,66482839.0,1.3314729234111078,5.221235215804541
37,(주)MH에탄올,23150,Dec-12,597206.0,81625166.0,2474.0,67402817.0,0.003670469737192141,0.7316444538685531
38,(주)MH에탄올,23150,Dec-13,108868.0,75260635.0,47455.0,67842982.0,0.06994828145967993,0.14465463917491528
39,(주)MH에탄올,23150,Dec-14,7509.0,31619269.0,4557.0,31619104.0,0.014412173096366046,0.023748177100488946
40,(주)MH에탄올,23150,Dec-15,3159526.0,20538639.0,3151595.0,20538474.0,15.344835258938907,15.383327006234444
41,(주)MH에탄올,23150,Dec-16,1365583.0,7640748.0,1356886.0,7640583.0,17.75893279347924,17.87237322838026
42,(주)MH에탄올,23150,Dec-17,14814756.0,189894170.0,760875.0,15540676.0,4.89602254110439,7.801585483114095
43,(주)MH에탄올,23150,Dec-18,6903478.0,141080352.0,4630.0,13740951.0,0.033694902194178554,4.893295134392633
44,(주)MH에탄올,23150,Dec-19,9075329.0,282350933.0,1583.0,14251549.0,0.011107564518074492,3.214201881174588
45,(주)SH에너지화학,2360,Dec-11,5237442.0,34076575.0,3590134.0,32842749.0,10.93128349274295,15.36962561525036
46,(주)SH에너지화학,2360,Dec-12,2188211.0,29499813.0,460450.0,28724217.0,1.60300279029364,7.417711427526676
47,(주)SH에너지화학,2360,Dec-13,5531807.0,35131167.0,4805311.0,34930123.0,13.75692550524371,15.746152127539629
48,(주)SH에너지화학,2360,Dec-14,7793768.0,20681148.0,6708820.0,20421353.0,32.85198586009458,37.68537413880506
49,(주)SH에너지화학,2360,Dec-15,19647658.0,17080931.0,18503610.0,16794017.0,110.1797741421841,115.02685655717477
50,(주)SH에너지화학,2360,Dec-16,26449147.0,12512423.0,24614094.0,12205868.0,201.65787472058523,211.3830950248405
51,(주)SH에너지화학,2360,Dec-17,33117530.0,8284440.0,30420519.0,8386725.0,362.7222664389258,399.7558072724288
52,(주)SH에너지화학,2360,Dec-18,29395933.0,6658546.0,26369412.0,6653981.0,396.295270455386,441.47675783872336
53,(주)SH에너지화학,2360,Dec-19,40801867.0,7524603.0,37495593.0,7038413.0,532.7279459162172,542.2461091967244
54,(주)SIMPAC,9160,Dec-11,63806746.0,116979241.0,62612712.0,116922857.0,53.550446513635904,54.54535818026037
55,(주)SIMPAC,9160,Dec-12,23996902.0,108358727.0,22482530.0,108043478.0,20.80878033193267,22.14579541895135
56,(주)SIMPAC,9160,Dec-13,9579706.0,133795401.0,8440790.0,133732141.0,6.311713801097374,7.1599665821099485
57,(주)SIMPAC,9160,Dec-14,26579526.0,136708331.0,18149680.0,116089000.0,15.634280595060687,19.442506397068076
58,(주)SIMPAC,9160,Dec-15,24992942.0,169308019.0,13257512.0,142954454.0,9.273941195284479,14.761818221970927
59,(주)SIMPAC,9160,Dec-16,51893169.0,155344858.0,37552158.0,130874395.0,28.69328106540626,33.40514109581921
60,(주)SIMPAC,9160,Dec-17,30772455.0,130651105.0,21377049.0,114191470.0,18.720355382061374,23.553153262653233
61,(주)SIMPAC,9160,Dec-18,112467533.0,228518804.0,96706341.0,207957388.0,46.502960019867146,49.21587678185118
62,(주)SIMPAC,9160,Dec-19,127867537.0,219489571.0,102478339.0,178141755.0,57.52628798340962,58.25677111556248
63,(주)SNT에너지,100840,Dec-11,,,20431413.0,96002453.0,21.282178071012414,
64,(주)SNT에너지,100840,Dec-12,,,45359641.0,88443397.0,51.28663364207958,
65,(주)SNT에너지,100840,Dec-13,,,65884045.0,91989174.0,71.6215203758651,
66,(주)SNT에너지,100840,Dec-14,,,38991412.0,76613085.0,50.89393280534259,
67,(주)SNT에너지,100840,Dec-15,,,31732088.0,64293369.0,49.35514889568161,
68,(주)SNT에너지,100840,Dec-16,,,58818094.0,102181702.0,57.562257085911526,
69,(주)SNT에너지,100840,Dec-17,,,57181172.0,49128545.0,116.39093321408154,
70,(주)SNT에너지,100840,Dec-18,,,59575400.0,31555307.0,188.7967687970838,
71,(주)SNT에너지,100840,Dec-19,21039331.0,67469967.0,20449399.0,65138557.0,31.39369359993652,31.183253728284765
72,(주)SNT홀딩스,36530,Dec-11,233373653.0,597785981.0,36105093.0,199700.0,18079.6659989985,39.03966643874842
73,(주)SNT홀딩스,36530,Dec-12,194157169.0,540250663.0,14832665.0,165833.0,8944.338581585089,35.93834904743097
74,(주)SNT홀딩스,36530,Dec-13,276440760.0,569273848.0,17730734.0,306090.0,5792.653794635565,48.56024231065679
75,(주)SNT홀딩스,36530,Dec-14,243530561.0,477795324.0,9715942.0,245998.0,3949.602029284791,50.969640925158984
76,(주)SNT홀딩스,36530,Dec-15,359044775.0,433769566.0,40091211.0,8658519.0,463.02619420249584,82.77315956278962
77,(주)SNT홀딩스,36530,Dec-16,431998241.0,487107956.0,31484863.0,318763.0,9877.201243557125,88.68634471657039
78,(주)SNT홀딩스,36530,Dec-17,413299290.0,448821933.0,13150370.0,299279.0,4394.016954079639,92.08535938460922
79,(주)SNT홀딩스,36530,Dec-18,268803322.0,381612594.0,3600593.0,231691.0,1554.0495746489937,70.43879741558005
80,(주)SNT홀딩스,36530,Dec-19,375881409.0,405603647.0,1989989.0,233270.0,853.0839799374115,92.6720979409734
81,(주)STX,11810,Dec-11,233297000.0,2041868000.0,88385000.0,1568777000.0,5.634006617894066,11.425665126247143
82,(주)STX,11810,Dec-12,306062000.0,2363189000.0,17643000.0,1821548000.0,0.9685717861950385,12.951228192074355
83,(주)STX,11810,Dec-13,65147000.0,1278680000.0,43139000.0,1071743000.0,4.025125426524829,5.09486345293584
84,(주)STX,11810,Dec-14,111282000.0,788697000.0,78042000.0,671976000.0,11.613807635987,14.109601025488876
85,(주)STX,11810,Dec-15,77005000.0,866685000.0,46446000.0,677923000.0,6.851220566347506,8.885004355677092
86,(주)STX,11810,Dec-16,47692000.0,974743000.0,19366000.0,914419000.0,2.117847507543041,4.892776865286542
87,(주)STX,11810,Dec-17,95504000.0,553981000.0,74336000.0,453983000.0,16.374181412079306,17.239580418823028
88,(주)STX,11810,Dec-18,44279000.0,463598000.0,18077000.0,361935000.0,4.9945432190862995,9.551162860926924
89,(주)STX,11810,Dec-19,40025000.0,439806000.0,19163000.0,377150000.0,5.081002253745194,9.10060344788384
90,(주)TCC스틸,2710,Dec-11,5323614.0,165589918.0,2600896.0,143961450.0,1.8066614360997337,3.214938484358691
91,(주)TCC스틸,2710,Dec-12,15783640.0,191715329.0,4197045.0,115747321.0,3.6260407271110835,8.232852366228888
92,(주)TCC스틸,2710,Dec-13,13813767.0,155751890.0,2180002.0,98538725.0,2.212330228547203,8.869084670497418
93,(주)TCC스틸,2710,Dec-14,5864762.0,283660429.0,722769.0,189566139.0,0.38127537112521975,2.067529130050071
94,(주)TCC스틸,2710,Dec-15,10425620.0,153614700.0,1974872.0,121276743.0,1.6284012508482357,6.786863496787743
95,(주)TCC스틸,2710,Dec-16,8916043.0,94244692.0,2613057.0,77521428.0,3.370754470621981,9.460525373673034
96,(주)TCC스틸,2710,Dec-17,8669938.0,160048884.0,1131926.0,148607324.0,0.7616892421802844,5.417056203903303
97,(주)TCC스틸,2710,Dec-18,23250080.0,93172096.0,7997147.0,82038987.0,9.747983601991574,24.95390894715946
98,(주)TCC스틸,2710,Dec-19,14972034.0,165995910.0,7102053.0,152915323.0,4.644435142709668,9.0195198182895
99,(주)가비아,79940,Dec-11,12010183.0,13905604.0,2780000.0,11953563.0,23.25666414273301,86.36937309591156
100,(주)가비아,79940,Dec-12,12997549.0,14858349.0,2796114.0,10723878.0,26.073720719314412,87.47640131484326
101,(주)가비아,79940,Dec-13,12326982.0,14999568.0,5301724.0,11588806.0,45.748664702817535,82.18224684870924
