,회사명,거래소코드,회계년도,이자보상배율,cashflow_매출액비율,cashflow_부채비율,당좌비율,매입채무회전율,매출액순이익률,매출액총이익률,매출액영업이익률,매출액증가율,매출원가대매출액비율,매출채권회전율,부채비율,순이익증가율,영업이익증가율,유동부채,유동비율,유동자산구성비율,유동자산증가율,유형자산증가율,유형자산회전율,자기자본구성비율,자본증가율,타인자본회전율,재고자산_유동자산비율,재고자산증가율,재고자산회전율,차입금의존도,총자본영업이익률,총자산순이익률,총자산증가율,총자산회전율,현금비율
0,(주)CMG제약,58820,2011,3.53,-24.06614599,-46.08105384,165.0327961,11.98240409,-8.496547712,41.83206863,3.514118983,0,58.16793137,1.606457211,51.40745811,0,-98.21151578,82.33971517,200.9670443,56.18405331,-0.49723727,-0.568205288,1.828609878,66.04694461,1.423214241,1.914766654,17.97002074,0,6.47139535,1.750644694,1.729531404,-5.523790745,0.891189289,0.650121783,15.09743737
1,(주)CMG제약,58820,2012,-7.75,-12.71276559,-8.098448703,649.984153,6.086141078,-40.97194475,28.33951867,-25.8714387,1.539465113,71.66048133,1.430608984,80.7749183,0,-111.9587544,26.62147519,693.4867391,82.49139197,-0.075929946,-0.465646885,1.746486214,55.31740849,0.037526885,0.637032803,6.277790218,0,5.500657491,30.57777246,-6.656239015,-11.66236765,-0.209131692,0.284642765,68.81044649
2,(주)CMG제약,58820,2013,0.7,-13.50739187,-39.8508318,610.7367809,5.215469608,1.451715359,38.69850418,3.878269632,-0.392115729,61.30149582,1.457356611,14.11360153,13.19362147,-98.02251916,79.53509048,694.7123267,68.33830708,0.128676753,0,1.888196787,87.63197101,0.103948625,2.950298043,12.07228149,0,4.417273365,2.531105576,0.807442764,0.529721737,0.087738779,0.364893664,394.6343277
3,(주)CMG제약,58820,2014,3.6,-7.063197745,-17.72685166,268.2336985,4.820969322,0.694598029,37.07067294,1.944056112,0,62.92932706,1.35536338,18.50039357,8.518783338,-99.01843082,96.17811434,324.5817794,48.73731163,0.208056686,0,1.208073474,84.38790538,0.131411277,2.509748743,17.32416666,0,4.631000816,0.009387217,0.451325647,0.27216042,0.101211803,0.391824348,101.2368563
4,(주)CMG제약,58820,2015,-32.22,5.796742639,16.11720953,235.2091651,5.582443866,-13.4979118,36.25515284,-9.511793072,0,63.74484716,1.707399714,20.7788499,0,-104.5400832,90.99377921,296.8545967,46.47143648,0.225151755,0,1.51729233,82.79595317,0.14061392,2.780390735,20.71955372,0,4.956706822,0.011096209,-2.747639407,-6.456587404,0.104631255,0.478339724,28.99625695
5,(주)CMG제약,58820,2016,,8.692125299,29.02867862,792.1679524,5.795561494,5.240837645,40.35943776,5.249506177,0,59.64056224,2.283891903,9.764081615,105.7178294,-97.34569358,92.55004339,862.1463638,70.97882087,0,0,1.950206302,91.10448384,6.546381338,3.339652573,8.11676698,0,5.156566031,0,0.883023486,1.556944558,5.929517309,0.297079334,23.51514296
6,(주)CMG제약,58820,2017,,6.343280851,22.66593795,673.6553617,5.931715758,6.825233821,43.42790573,3.752461624,0,56.57209427,2.476978943,11.86814072,0,-98.08789366,93.63554309,746.2783393,74.13406887,0,0,2.566694998,89.3909556,0,3.573219992,9.731352736,0,5.254664231,0,0.795662163,2.58734032,0,0.379084495,34.90345424
7,(주)CMG제약,58820,2018,,2.842552285,13.63173689,856.9431293,11.97888833,12.16294498,45.6032095,5.149566281,0,54.3967905,2.620211676,9.999854205,0,-97.35716971,81.69872129,957.8556832,71.14049691,0,0,2.887609285,90.90921061,0,4.79559759,10.53525658,0,5.816775156,0,1.23474438,5.302528731,0,0.435957635,158.4971737
8,(주)CMG제약,58820,2019,303,3.164445857,15.35044237,1520.838678,13.54361424,5.204772194,49.33692985,4.441581237,0,50.66307015,2.704432931,6.707925275,0,-97.72877012,77.00849897,1618.072255,78.32999692,0,0,2.43051957,93.71375157,0,4.8509101,6.009223446,0,6.478408117,0,0.722635106,1.587144585,0,0.30494026,199.6459098
9,(주)DB하이텍,990,2011,-0.75,9.470456089,5.869634446,25.49536637,23.80618614,-17.73699794,16.61944951,-6.408417232,-3.241303957,83.38055049,6.963547055,289.2220019,0,-103.1047267,89.19423979,35.19867566,23.32905127,-4.915084663,-0.095216458,0.727651188,25.69227832,-5.308089463,0.619783714,28.99225049,0,7.16116165,0.450195872,-5.743706923,-8.168723975,-1.258205841,0.460547157,5.036464969
10,(주)DB하이텍,990,2012,-0.31,11.39377776,7.765125612,41.38782445,33.30076765,-5.305016048,16.38213347,-2.644209256,-1.165377195,83.61786653,8.540338961,297.9998476,0,-101.3048774,64.07403779,55.6581956,26.70203443,-1.891622422,-0.065315605,0.861972469,25.12563774,-5.617219109,0.681523352,26.1336489,0,7.45355361,18.99875622,-2.685113256,-2.707076813,-0.750226669,0.510286263,7.186749105
11,(주)DB하이텍,990,2013,-0.16,10.35515311,5.989535739,31.5775126,16.61471885,-16.8195295,18.07614044,-1.946445271,0,81.92385956,8.237231905,416.9020525,0,-100.9638423,55.86319991,46.75523602,21.06598835,-0.28873519,-0.043286089,0.776290397,19.34602496,-3.647880753,0.578411123,32.55608365,0,6.821881832,26.76690555,-2.346836696,-7.846504998,-0.840632905,0.466511563,7.386161853
12,(주)DB하이텍,990,2014,0.67,6.733893133,4.423824697,47.39250279,15.66753504,-13.56462427,24.11492942,8.025151576,0,75.88507058,6.811003935,715.9522186,0,-95.81968594,43.56030182,65.76997714,25.13841449,-0.515243066,-0.022606603,0.959328195,12.2556196,12.75971761,0.65694905,28.08675663,0,8.206443495,40.52967422,18.87291468,-7.819136041,1.734550235,0.576435874,10.72398216
13,(주)DB하이텍,990,2015,2.5,15.06164642,13.74241357,104.2012424,15.05693006,19.01204697,34.45562545,18.7473381,0,65.54437455,7.218753182,287.5672818,0.581154833,-89.65679295,33.40396766,138.3997064,34.30248545,-1.099055853,-0.004995308,1.250318044,25.80197161,9.291385547,0.912411113,24.98451908,0,7.987040947,41.12834542,24.59459383,12.87098576,2.13581235,0.676991057,44.30861368
14,(주)DB하이텍,990,2016,4.41,25.93542687,31.09414535,106.6908228,17.49206546,11.42664943,37.51069321,22.30228547,0,62.48930679,7.008678253,188.6044458,-0.386736994,-87.44931215,42.52493998,134.5303982,37.38634815,-1.300364372,-0.002390721,1.411610118,34.64950089,6.590230155,1.198906249,20.96653339,0,10.12695564,30.17268039,25.21485787,8.95267948,1.984447789,0.783491218,42.14686689
15,(주)DB하이텍,990,2017,6.05,31.73549489,40.08492514,191.8702543,20.0611891,16.2084701,37.30367399,21.06623757,0,62.69632601,7.930678541,118.0682756,-32.46955126,-88.22679561,26.98586754,243.5271931,35.58152672,-1.457569018,-0.001915701,1.223503098,45.85719763,-3.126634757,1.263094377,21.52573209,0,9.060887784,32.88715642,15.70818487,11.08456252,-1.647532988,0.683874694,74.0192857
16,(주)DB하이텍,990,2018,6.77,27.1536641,35.76435288,217.1524215,18.35187149,12.97347599,32.1743753,16.88281255,0,67.8256247,6.770300057,91.00107734,9.511399494,-90.78032336,30.85679882,244.5074088,35.94625155,-0.855709765,-0.00116639,1.120000311,52.35572563,-2.835700064,1.317109645,11.2843562,0,15.60394976,27.49758104,10.11773422,8.141210784,-1.484936755,0.627527333,75.96236586
