,회사명,거래소코드,회계년도,이자보상배율,,
0,(주)CMG제약,58820,Dec-00,11111111.11,,
1,(주)CMG제약,58820,Dec-01,1.03,,
2,(주)CMG제약,58820,Dec-02,-9.99,,
3,(주)CMG제약,58820,Dec-03,-3.37,,
4,(주)CMG제약,58820,Dec-04,-22.92,,
5,(주)CMG제약,58820,Dec-05,-13.4,,
6,(주)CMG제약,58820,Dec-06,-14.08,,
7,(주)CMG제약,58820,Dec-07,999999999,,
8,(주)CMG제약,58820,Dec-08,-5.05,,
9,(주)CMG제약,58820,Dec-09,-8.29,,
10,(주)CMG제약,58820,Dec-10,-7.42,,
11,(주)CMG제약,58820,Dec-11,3.53,,
12,(주)CMG제약,58820,Dec-12,-7.75,,
13,(주)CMG제약,58820,Dec-13,0.7,,
14,(주)CMG제약,58820,Dec-14,3.6,,
15,(주)CMG제약,58820,Dec-15,-32.22,,
16,(주)CMG제약,58820,Dec-16,999999999,,
17,(주)CMG제약,58820,Dec-17,999999999,,
18,(주)CMG제약,58820,Dec-18,999999999,,
19,(주)CMG제약,58820,Dec-19,303,,
20,(주)DB하이텍,990,Dec-00,1.01,,
21,(주)DB하이텍,990,Dec-01,1.37,,
22,(주)DB하이텍,990,Dec-02,1.5,,
23,(주)DB하이텍,990,Dec-03,1.27,,
24,(주)DB하이텍,990,Dec-04,2.94,,
25,(주)DB하이텍,990,Dec-05,1.01,,
26,(주)DB하이텍,990,Dec-06,0.56,,
27,(주)DB하이텍,990,Dec-07,-0.27,,
28,(주)DB하이텍,990,Dec-08,0.18,,
29,(주)DB하이텍,990,Dec-09,-0.77,,
30,(주)DB하이텍,990,Dec-10,-3.82,,
31,(주)DB하이텍,990,Dec-11,-0.75,,
32,(주)DB하이텍,990,Dec-12,-0.31,,
33,(주)DB하이텍,990,Dec-13,-0.16,,
34,(주)DB하이텍,990,Dec-14,0.67,,
35,(주)DB하이텍,990,Dec-15,2.5,,
36,(주)DB하이텍,990,Dec-16,4.41,,
37,(주)DB하이텍,990,Dec-17,6.05,,
38,(주)DB하이텍,990,Dec-18,6.77,,
39,(주)DB하이텍,990,Dec-19,13.44,,
40,(주)ES큐브,50120,Jun-01,11111111.11,,
41,(주)ES큐브,50120,Jun-02,4,,
42,(주)ES큐브,50120,Jun-03,2.24,,
43,(주)ES큐브,50120,Jun-04,1.66,,
44,(주)ES큐브,50120,Dec-05,-4.77,,
45,(주)ES큐브,50120,Dec-06,-6,,
46,(주)ES큐브,50120,Dec-07,-25.03,,
47,(주)ES큐브,50120,Dec-08,-35.62,,
48,(주)ES큐브,50120,Dec-09,10.3,,
49,(주)ES큐브,50120,Dec-10,-7.12,,
50,(주)ES큐브,50120,Dec-11,-245.99,,
51,(주)ES큐브,50120,Dec-12,1.72,,
52,(주)ES큐브,50120,Dec-13,-37.44,,
53,(주)ES큐브,50120,Dec-14,22.2,,
54,(주)ES큐브,50120,Dec-15,-11.86,,
55,(주)ES큐브,50120,Dec-16,8.98,,
56,(주)ES큐브,50120,Dec-17,2.86,,
57,(주)ES큐브,50120,Dec-18,-0.82,,
58,(주)ES큐브,50120,Dec-19,-0.68,,
59,(주)HJ중공업,97230,Dec-07,11111111.11,,
60,(주)HJ중공업,97230,Dec-08,3.39,,
61,(주)HJ중공업,97230,Dec-09,2.07,,
62,(주)HJ중공업,97230,Dec-10,0.54,,
63,(주)HJ중공업,97230,Dec-11,0.55,,
64,(주)HJ중공업,97230,Dec-12,0.27,,
65,(주)HJ중공업,97230,Dec-13,-0.4,,
66,(주)HJ중공업,97230,Dec-14,-0.88,,
67,(주)HJ중공업,97230,Dec-15,-0.5,,
68,(주)HJ중공업,97230,Dec-16,-0.58,,
69,(주)HJ중공업,97230,Dec-17,-1.08,,
70,(주)HJ중공업,97230,Dec-18,0.62,,
