,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),자기자본순이익률(개별)
0,(주)CMG제약,58820,2011/12,-1264488.0,18290915.0,-6.913202537981287
1,(주)CMG제약,58820,2012/12,-6892739.0,31602540.0,-21.810712050360507
2,(주)CMG제약,58820,2013/12,335258.0,49048213.0,0.6835274508369958
3,(주)CMG제약,58820,2014/12,171502.0,49067039.0,0.34952588029613935
4,(주)CMG제약,58820,2015/12,-3648668.0,46872705.0,-7.784206181401308
5,(주)CMG제약,58820,2016/12,1693463.0,101107635.0,1.674911098454632
6,(주)CMG제약,58820,2017/12,2834901.0,97944019.0,2.8944095095791402
7,(주)CMG제약,58820,2018/12,6065026.0,103981846.0,5.832773924786832
8,(주)CMG제약,58820,2019/12,3051177.0,180158283.0,1.6936090582079983
9,(주)DB하이텍,990,2011/12,-93084414.0,291709498.0,-31.909970240324505
10,(주)DB하이텍,990,2012/12,-32121504.0,274553219.0,-11.699554686335693
11,(주)DB하이텍,990,2013/12,-73243309.0,197287466.0,-37.125170942182415
12,(주)DB하이텍,990,2014/12,-58319918.0,136104062.0,-42.849505843550794
13,(주)DB하이텍,990,2015/12,127469869.0,277662952.0,45.90813001224593
14,(주)DB하이텍,990,2016/12,88002359.0,364450453.0,24.146590647810225
15,(주)DB하이텍,990,2017/12,74401732.0,441546809.0,16.850247920147467
16,(주)DB하이텍,990,2018/12,95087399.0,542557222.0,17.525782561604167
17,(주)DB하이텍,990,2019/12,121159865.0,645305205.0,18.77559084619502
18,(주)ES큐브,50120,2011/12,-2933429.0,39144414.0,-7.493863619979085
19,(주)ES큐브,50120,2012/12,516857.0,39881477.0,1.2959825936236011
20,(주)ES큐브,50120,2013/12,-14749080.0,43712820.0,-33.74085680127706
21,(주)ES큐브,50120,2014/12,-2412385.0,41226335.0,-5.851563084615695
22,(주)ES큐브,50120,2015/12,3610344.0,44872641.0,8.045757770308192
23,(주)ES큐브,50120,2016/12,17469014.0,69832373.0,25.01563852054691
