,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS2)
0,(주)CMG제약,58820,Dec-11,-1264488.0,18290915.0,
1,(주)CMG제약,58820,Dec-12,-6892739.0,31602540.0,18405116.0
2,(주)CMG제약,58820,Dec-13,335258.0,49048213.0,18290915.0
3,(주)CMG제약,58820,Dec-14,171502.0,49067039.0,31602540.0
4,(주)CMG제약,58820,Dec-15,-3648668.0,46872705.0,49048213.0
5,(주)CMG제약,58820,Dec-16,1693463.0,101107635.0,49067039.0
6,(주)CMG제약,58820,Dec-17,2834901.0,97944019.0,46872705.0
7,(주)CMG제약,58820,Dec-18,6065026.0,103981846.0,101107635.0
8,(주)CMG제약,58820,Dec-19,3051177.0,180158283.0,97944019.0
9,(주)DB하이텍,990,Dec-11,-93084414.0,291709498.0,
10,(주)DB하이텍,990,Dec-12,-32121504.0,274553219.0,376915607.0
11,(주)DB하이텍,990,Dec-13,-73243309.0,197287466.0,291709498.0
12,(주)DB하이텍,990,Dec-14,-58319918.0,136104062.0,274553219.0
13,(주)DB하이텍,990,Dec-15,127469869.0,277662952.0,197287466.0
14,(주)DB하이텍,990,Dec-16,88002359.0,364450453.0,136104062.0
15,(주)DB하이텍,990,Dec-17,74401732.0,441546809.0,277662952.0
16,(주)DB하이텍,990,Dec-18,95087399.0,542557222.0,364450453.0
17,(주)DB하이텍,990,Dec-19,121159865.0,645305205.0,441546809.0
18,(주)ES큐브,50120,Dec-11,-2933429.0,39144414.0,
19,(주)ES큐브,50120,Dec-12,516857.0,39881477.0,42087960.0
20,(주)ES큐브,50120,Dec-13,-14749080.0,43712820.0,39144414.0
21,(주)ES큐브,50120,Dec-14,-2412385.0,41226335.0,39881477.0
22,(주)ES큐브,50120,Dec-15,3610344.0,44872641.0,43712820.0
23,(주)ES큐브,50120,Dec-16,17469014.0,69832373.0,41226335.0
24,(주)ES큐브,50120,Dec-17,1218923.0,71398467.0,44872641.0
25,(주)ES큐브,50120,Dec-18,-3836071.0,66518631.0,69832373.0
26,(주)ES큐브,50120,Dec-19,-12738710.0,53986331.0,71398467.0
27,(주)HJ중공업,97230,Dec-11,-116272000.0,1874877000.0,
28,(주)HJ중공업,97230,Dec-12,13082000.0,1863529000.0,2001312000.0
29,(주)HJ중공업,97230,Dec-13,-212716000.0,1804609000.0,1874877000.0
30,(주)HJ중공업,97230,Dec-14,-225739000.0,1761886000.0,1863529000.0
31,(주)HJ중공업,97230,Dec-15,-260118000.0,1377529000.0,1804609000.0
32,(주)HJ중공업,97230,Dec-16,-334429000.0,904150000.0,1761886000.0
33,(주)HJ중공업,97230,Dec-17,-299028000.0,563410000.0,1377529000.0
