,회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS연결2),[제조]자본(*)(IFRS2),자기자본순이익률(개별),자기자본순이익률(연결)
1,(주)CMG제약,58820,2011/12,18034249.0,-1508282.0,18290915.0,-1264488.0,18405116.0,18405116.0,-0.06891688095641733,-0.08278311106683665
2,(주)CMG제약,58820,2012/12,31590685.0,-6660149.0,31602540.0,-6892739.0,18034249.0,18290915.0,-0.27629832409882216,-0.26841946026568014
3,(주)CMG제약,58820,2013/12,48997281.0,296181.0,49048213.0,335258.0,31590685.0,31602540.0,0.008313821942865183,0.007350501934742962
4,(주)CMG제약,58820,2014/12,49002644.0,158039.0,49067039.0,171502.0,48997281.0,49048213.0,0.0034959294605898784,0.0032252881826185073
5,(주)CMG제약,58820,2015/12,46806888.0,-3650091.0,46872705.0,-3648668.0,49002644.0,49067039.0,-0.07606165803402602,-0.0761947360310663
6,(주)CMG제약,58820,2016/12,101107635.0,1727895.0,101107635.0,1693463.0,46806888.0,46872705.0,0.022887675484459625,0.02336342591592578
7,(주)CMG제약,58820,2017/12,97944019.0,2834901.0,97944019.0,2834901.0,101107635.0,101107635.0,0.028484073787198975,0.028484073787198975
8,(주)CMG제약,58820,2018/12,103981846.0,6065026.0,103981846.0,6065026.0,97944019.0,97944019.0,0.06007180902753592,0.06007180902753592
9,(주)CMG제약,58820,2019/12,180158283.0,3051177.0,180158283.0,3051177.0,103981846.0,103981846.0,0.02147656517745862,0.02147656517745862
11,(주)DB하이텍,990,2011/12,308061688.0,-97946584.0,291709498.0,-93084414.0,398016157.0,376915607.0,-0.2784352944689386,-0.27743848555395473
12,(주)DB하이텍,990,2012/12,290893335.0,-31341318.0,274553219.0,-32121504.0,308061688.0,291709498.0,-0.11345088784999419,-0.10465332719982882
13,(주)DB하이텍,990,2013/12,204756748.0,-83046768.0,197287466.0,-73243309.0,290893335.0,274553219.0,-0.3104577936088746,-0.3351024073166553
14,(주)DB하이텍,990,2014/12,120702734.0,-77008844.0,136104062.0,-58319918.0,204756748.0,197287466.0,-0.3498584283161508,-0.4732315280954082
15,(주)DB하이텍,990,2015/12,254057491.0,126733352.0,277662952.0,127469869.0,120702734.0,136104062.0,0.6161432143549268,0.6763436648059435
16,(주)DB하이텍,990,2016/12,341917315.0,88344018.0,364450453.0,88002359.0,254057491.0,277662952.0,0.27410223276681167,0.29646896852213583
